15世紀のイタリアで、人類が解読できない謎の古文書が作られました。 [1:0.30s]
もう一つの説は、ジョン・ディーという16世紀の錬金術師です。 [104:0.30s]
ディーは、エリザベス1世の顧問でした。 [105:0.30s]
しかし同時に、魔術と錬金術に深く傾倒していました。 [106:0.30s]
彼は、天使と交信する方法を研究し、失われた古代の知識を求めました。 [107:0.30s]
ディーは、ヴォイニッチ手稿を所有していたことが記録されています。 [108:0.30s]
彼自身がこれを作ったのか、それとも誰かから入手したのか。 [109:0.30s]
それは謎のままです。 [110:1.00s]
第5章：植物は実在しないのか [111:1.00s]
ヴォイニッチ手稿の最も奇妙な部分は、植物の挿絵です。 [112:0.30s]
全240ページのうち、約半分は植物の絵で占められています。 [113:0.30s]
しかしこれらの植物は、地球上に存在しません。 [114:0.30s]
植物学者たちが何十年も研究しましたが、一つとして実在する植物を特定できませんでした。 [115:0.30s]
ある植物は、ヒマワリのような花を持っていますが、根の部分が全く異なります。 [116:0.30s]
ある植物は、複数の種類の植物の特徴を同時に持っています。 [117:0.30s]
まるで誰かが、実在の植物を見ながら、意図的に変形させて描いたかのようです。 [118:0.30s]
なぜそんなことをする必要があるのでしょうか。 [119:0.30s]
2014年、ある植物学者が驚くべき発見をしました。 [120:0.30s]
彼は、ヴォイニッチ手稿の植物を、中世のメキシコの植物と比較しました。 [121:0.30s]
そして、いくつかの植物がメキシコ原産の植物に似ていることを発見したのです。 [122:0.30s]
しかしコロンブスがアメリカ大陸を発見したのは1492年です。 [123:0.30s]
ヴォイニッチ手稿が作られた時期と一致しています。 [124:0.30s]
もしこの説が正しければ、作者はヨーロッパ人が知らないはずの新大陸の植物を知っていたことになります。 [125:0.30s]
どうやって。 [126:0.30s]
一部の研究者は、作者がコロンブスの航海に同行していた可能性を示唆しています。 [127:0.30s]
あるいは、コロンブスより前にアメリカ大陸に到達していた誰かから情報を得たのかもしれません。 [128:0.30s]
実際、コロンブス以前にもヴァイキングがアメリカ大陸に到達していたことが分かっています。 [129:0.30s]
15世紀のヨーロッパには、新大陸の情報が秘密裏に流れていた可能性があります。 [130:0.30s]
しかしなぜ、その情報を暗号化する必要があったのでしょうか。 [131:0.30s]
新しい植物の発見は、当時のヨーロッパでは大きな富を生みました。 [132:0.30s]
香辛料、薬草、染料。 [133:0.30s]
もしかしたら、作者は商業上の秘密を守るために、暗号で記録したのかもしれません。 [134:0.30s]
しかし240ページもの暗号文書を作る必要があったでしょうか。 [135:0.30s]
通常の商人は、もっと単純な方法で秘密を守ります。 [136:0.30s]
ヴォイニッチ手稿の植物図は、単なる商業記録以上の何かを隠しているのかもしれません。 [137:1.00s]
第6章：裸の女性たちの謎 [138:1.00s]
ヴォイニッチ手稿の後半部分には、さらに奇妙な挿絵があります。 [139:0.30s]
裸の女性たちが、緑色の液体で満たされた浴槽に浸かっています。 [140:0.30s]
浴槽は複雑な管でつながれており、まるで人体の血管のようです。 [141:0.30s]
女性たちは、何十人も描かれています。 [142:0.30s]
彼女たちは皆、同じような姿勢で、液体の中に浸かっています。 [143:0.30s]
これは一体何を表しているのでしょうか。 [144:0.30s]
一部の研究者は、これが錬金術の処方を表していると主張します。 [145:0.30s]
液体は水銀や硫黄などの化学物質で、浴槽は錬金術の器具だというのです。 [146:0.30s]
しかし通常の医学書には、このような複雑な管の図は描かれません。 [147:0.30s]
中世ヨーロッパの医学書は、もっと単純で実用的でした。 [148:0.30s]
ハーブの効能を説明し、病気の治療法を記述します。 [149:0.30s]
しかしヴォイニッチ手稿は違います。 [150:0.30s]
まるで何か別の目的のために、意図的に奇妙に描かれているかのようです。 [151:0.30s]
2017年、画像認識AIが、この挿絵を分析しました。 [152:0.30s]
AIは、浴槽の配置が人体の臓器の配置に似ていると指摘しました。 [153:0.30s]
心臓、肝臓、腎臓、肺。 [154:0.30s]
浴槽がこれらの臓器を表しているというのです。 [155:0.30s]
しかし15世紀の人々は、臓器の正確な配置を知りませんでした。 [156:0.30s]
解剖学が発展するのは、もう少し後の時代です。 [157:0.30s]
では、なぜこれほど正確に臓器が描かれているのでしょうか。 [158:0.30s]
さらに奇妙なのは、女性たちの頭の上に浮かぶ星のような記号です。 [159:0.30s]
これは占星術と関係があるのでしょうか。 [160:0.30s]
それとも、まったく別の意味があるのでしょうか。 [161:1.00s]
第7章：天文図の秘密 [162:1.00s]
ヴォイニッチ手稿には、天文図も含まれています。 [163:0.30s]
円形の図に、星座のような記号が描かれています。 [164:0.30s]
太陽、月、星が配置されています。 [165:0.30s]
しかしこれらの天体配置は、実際の星座とは一致しません。 [166:0.30s]
天文学者たちが、あらゆる時代の star chart と比較しましたが、一致するものは見つかりませんでした。 [167:0.30s]
ある研究者は、これが北半球の星座だと主張しました。 [168:0.30s]
別の研究者は、南半球だと主張しました。 [169:0.30s]
しかし決定的な証拠はありません。 [170:0.30s]
さらに不可解なのは、一部の星座が鏡文字のように反転して描かれていることです。 [171:0.30s]
まるで宇宙の外側から、地球を見下ろしているかのように。 [172:0.30s]
あるいは、鏡に映った星空を描いたのでしょうか。 [173:0.30s]
それとも、地球とは異なる場所から見た星空なのでしょうか。 [174:0.30s]
15世紀の天文学は、まだ発展途上でした。 [175:0.30s]
しかし、当時の天文学者でも、星座の形を間違えることはありません。 [176:0.30s]
航海において、星の位置を知ることは命に関わるからです。 [177:0.30s]
ヴォイニッチ手稿の作者は、明らかに高度な知識を持っていました。 [178:0.30s]
それなのに、なぜあえて間違った星座を描いたのでしょうか。 [179:0.30s]
意図的なのか、それとも私たちには理解できない正解があるのか。 [180:0.30s]
2016年、カナダの研究者が新しい説を発表しました。 [181:0.30s]
彼によれば、これは星座ではなく、細胞の図だというのです。 [182:0.30s]
顕微鏡で見た生物の細胞を、中世の人が描いたのだ、と。 [183:0.30s]
しかし顕微鏡が発明されたのは17世紀です。 [184:0.30s]
ヴォイニッチ手稿が作られた時代には、顕微鏡は存在しませんでした。 [185:0.30s]
では、作者はどうやって細胞を見たのでしょうか。 [186:0.30s]
あるいは、これは細胞ではなく、まったく別の何かなのでしょうか。 [187:1.00s]
第8章：ホークスの悪戯説 [188:1.00s]
一部の研究者は、ヴォイニッチ手稿がただの偽物だと主張しています。 [189:0.30s]
16世紀の詐欺師エドワード・ケリーが、金儲けのために作った偽の古文書だというのです。 [190:0.30s]
ケリーは、錬金術師ジョン・ディーの助手でした。 [191:0.30s]
彼は、神聖ローマ皇帝ルドルフ2世にこの文書を売りつけました。 [192:0.30s]
ルドルフ2世は、オカルトに深く傾倒していました。 [193:0.30s]
彼は600ドゥカット、現在の価値で約5000万円をこの文書に支払ったと言われています。 [194:0.30s]
もしこれが本当なら、ヴォイニッチ手稿は史上最も成功した詐欺です。 [195:0.30s]
しかし問題があります。 [196:0.30s]
統計分析の結果、ヴォイニッチ手稿の文字配列には、自然言語特有のパターンがあることが判明しています。 [197:0.30s]
ランダムに文字を並べただけでは、このようなパターンは生まれません。 [198:0.30s]
何らかの規則に従って書かれているのです。 [199:0.30s]
偽物を作るにしても、なぜこれほど複雑な規則を作る必要があるのでしょうか。 [200:0.30s]
単に意味のない文字を並べるだけで、十分に偽物は作れます。 [201:0.30s]
それなのに、作者は何らかの規則に従って、240ページもの文書を作り上げました。 [202:0.30s]
これは、単なる詐欺としては、あまりにも手が込みすぎています。 [203:0.30s]
当時の羊皮紙は非常に高価でした。 [204:0.30s]
ヴォイニッチ手稿に使われた羊皮紙は、少なくとも15頭以上の牛の皮から作られています。 [205:0.30s]
これだけの量の羊皮紙を用意するだけでも、莫大な費用がかかります。 [206:0.30s]
詐欺師が、売れるかどうかも分からない偽物のために、これほどの投資をするでしょうか。 [207:0.30s]
しかも、何年もかけて複雑な文字体系を考案し、何百もの挿絵を描く。 [208:0.30s]
リスクとリターンが釣り合いません。 [209:0.30s]
さらに、インクの分析も行われました。 [210:0.30s]
使われているインクや顔料は、15世紀当時のものと一致しています。 [211:0.30s]
後世の人間が、古い羊皮紙を使って偽造したという説も否定されました。 [212:0.30s]
つまり、この文書は間違いなく15世紀に、多大な労力と費用をかけて作られた本物の何かなのです。 [213:0.30s]
それが何なのかが分からないだけで。 [214:0.30s]
2019年、統計学者がヴォイニッチ手稿のテキストをさらに詳しく分析しました。 [215:0.30s]
彼らは、文章の長さ、単語の頻度、文字の並び方を調べました。 [216:0.30s]
その結果、ヴォイニッチ手稿は、自然言語の統計的特性を80パーセント以上満たしていることが判明しました。 [217:0.30s]
これは、ランダムな文字列では絶対に達成できない数値です。 [218:0.30s]
何らかの意味のある言語で書かれている可能性が高いのです。 [219:0.30s]
しかしその言語が何なのか、誰にも分かりません。 [220:0.30s]
さらに興味深いのは、ヴォイニッチ手稿には修正の痕跡がほとんどないことです。 [221:0.30s]
240ページすべてが、ほぼ一度で書き上げられています。 [222:0.30s]
通常、長い文章を書く時は、必ず間違いがあります。 [223:0.30s]
書き直したり、訂正したりします。 [224:0.30s]
しかしヴォイニッチ手稿には、そのような痕跡がほとんどありません。 [225:0.30s]
まるで作者が、何も参照せずに、頭の中だけで完璧な文章を書き上げたかのようです。 [226:0.30s]
普通の人間には、不可能なことです。 [227:1.00s]
第9章：失われた知識の暗号 [228:1.00s]
もしヴォイニッチ手稿が本物だとしたら、そこには何が書かれているのでしょうか。 [229:0.30s]
一部の研究者は、これが失われた古代の知識だと主張します。 [230:0.30s]
アトランティスやムー大陸のような、失われた文明の記録。 [231:0.30s]
その文明は、現代を超える科学技術を持っていた。 [232:0.30s]
しかし文明の滅亡とともに、その知識は失われました。 [233:0.30s]
わずかに残った記録が、ヴォイニッチ手稿なのだ、というのです。 [234:0.30s]
もちろん、これは証明されていません。 [235:0.30s]
しかし考えてみてください。 [236:0.30s]
もし本当に高度な文明が存在し、その文明が何らかの理由で滅びたとしたら。 [237:0.30s]
生き残った人々は、その知識を後世に残そうとするはずです。 [238:0.30s]
しかし、知識を悪用されないように、暗号で書くかもしれません。 [239:0.30s]
解読できるのは、選ばれた者だけ。 [240:0.30s]
ヴォイニッチ手稿は、その暗号文書なのかもしれません。 [241:0.30s]
そして私たちは、まだその鍵を見つけていないのです。 [242:0.30s]
あるいは、鍵はすでに失われてしまったのかもしれません。 [243:0.30s]
ヴォイニッチ手稿と一緒に発見されるべきだった解読書が、歴史の闇に消えてしまったとしたら。 [244:0.30s]
私たちは永遠に、開かない宝箱を前に立ち尽くすことになります。 [245:0.30s]
しかし、希望はあります。 [246:0.30s]
AIの進化です。 [247:0.30s]
今のAIは、人間が与えたデータから学習します。 [248:0.30s]
しかし将来のAIは、人間が知らない法則を自ら発見するかもしれません。 [249:0.30s]
その時、ヴォイニッチ手稿のページから、失われた文明の声が聞こえてくるかもしれません。 [250:0.30s]
「私たちはここにいた」と。 [251:1.00s]
第10章：人類への警告 [252:1.00s]
もう一つの可能性があります。 [253:0.30s]
ヴォイニッチ手稿は、警告なのかもしれません。 [254:0.30s]
作者は、何か恐ろしいことを知ってしまった。 [255:0.30s]
人類が知ってはいけない真実を。 [256:0.30s]
しかし彼は、その真実を完全に隠すこともできませんでした。 [257:0.30s]
なぜなら、誰かがいつか知る必要があるかもしれないから。 [258:0.30s]
だから彼は、解読困難な方法で記録を残しました。 [259:0.30s]
本当に必要な時、本当に理解できる人が現れた時、解読されるように。 [260:0.30s]
挿絵は手がかりかもしれません。 [261:0.30s]
実在しない植物は、別の惑星の植物かもしれません。 [262:0.30s]
裸の女性たちの浴槽は、遺伝子操作の図解かもしれません。 [263:0.30s]
天文図は、地球外文明の星図かもしれません。 [264:0.30s]
これらはすべて、推測に過ぎません。 [265:0.30s]
しかし一つだけ確かなことがあります。 [266:0.30s]
600年が経った今も、ヴォイニッチ手稿は私たちを拒み続けています。 [267:0.30s]
最新のAIでさえ、その意味を理解できません。 [268:0.30s]
それは、私たちがまだ準備ができていないからかもしれません。 [269:0.30s]
その時初めて、ヴォイニッチ手稿の真の意味が明らかになるのかもしれません。 [270:0.30s]
もしかしたら、その真実は私たちが望むようなものではないかもしれません。 [271:0.30s]
描かれている奇妙な植物は、かつて地球環境を破壊した侵略的外来種かもしれません。 [272:0.30s]
裸の女性たちは、遺伝子実験の犠牲者かもしれません。 [273:0.30s]
ヴォイニッチ手稿は、美しい図鑑ではなく、滅亡の記録なのかもしれません。 [274:0.30s]
「同じ過ちを繰り返すな」という、過去からの悲痛な叫び。 [275:0.30s]
私たちがその意味を理解できないのは、まだその過ちの段階に達していないからかもしれません。 [276:0.30s]
あるいは、理解した時こそが、終わりの始まりなのかもしれません。 [277:0.30s]
真実は、羊皮紙のインクの中に封印されています。 [278:1.00s]
エンディング [279:1.00s]
最後までご覧いただき、ありがとうございました。 [280:0.30s]
ヴォイニッチ手稿は今も、イェール大学の図書館に保管されています。 [281:0.30s]
誰でも閲覧できます。 [282:0.30s]
しかし誰一人として、その意味を理解できていません。 [283:0.30s]
もしかしたら、あなたが最初の解読者になるかもしれません。 [284:0.30s]
それでは、また次の動画でお会いしましょう。 [285:0.30s]
