ローカル線の駅からほど近い、小高い山の斜面。 [1:0.30s]
夕暮れ時、私たちは翼を広げず、ただ風を胸に受ける時間を持った。 [122:0.30s]
草の上に座り、遠くの山並みが茜色に染まっていくのを眺める。 [123:0.30s]
「まだ、飛びたいですか？ [124:0.30s]
」彼が聞いた。 [125:0.30s]
「いいえ。 [126:0.30s]
今は、風をもう少し感じていたいです」 [127:0.25s]
私が答えると、彼は満足そうに頷いた。 [128:0.30s]
言葉はいらない。 [129:0.30s]
風と声だけで満たされる時間が、何よりも濃密だった。 [130:0.30s]
夏の日差しの中、「眩しいですね」と目を細める私に、「あなたの目も眩しいですよ」と彼が言う。 [131:0.30s]
「風より眩しい目は久しぶりだ」。 [132:0.30s]
顔が近づき、日焼けした彼の肌の匂いがした。 [133:0.30s]
雨上がりの霧の日、私の頬についた水滴を、彼が指で払ってくれた。 [134:0.30s]
「霧の匂い、好きですか」 [135:0.25s]
「ええ。 [136:0.30s]
水と風が混ざる匂い」 [137:0.25s]
「僕もです。 [138:0.30s]
あなたの匂いに似ている」 [139:0.25s]
匂いの話をしているだけなのに、なぜか胸が震える。 [140:0.30s]
紅葉の季節、尾根の上を飛んだ。 [141:0.30s]
眼下は錦秋の世界。 [142:0.30s]
『この赤色、あなたの口紅に似ていますね』 [143:0.25s]
インカム越しの声に、私は思わず唇を舐めた。 [144:0.30s]
『……艶は、内側から出ますから』 [145:0.25s]
『その通りですね。 [146:0.30s]
今のあなたの声、風よりも柔らかい』 [147:0.25s]
彼の言葉が、物理的な感触を持って頬に触れた気がした。 [148:0.30s]
初雪が降った日。 [149:0.30s]
フライトを終えてかじかんだ私の手に、彼が息を吹きかけてくれた。 [150:0.30s]
「冷たいですね」 [151:0.25s]
彼が私の手袋を外し、自分の両手で包み込んでくれた。 [152:0.30s]
「温めましょうか」 [153:0.25s]
一瞬だけ、素手が重なる。 [154:0.30s]
白い息と共に、彼の体温が私の皮膚から血液へと溶け込んでいくようだった。 [155:0.30s]
「……温かい」 [156:0.25s]
「風が冷たい分、人の温もりが沁みますね」 [157:0.25s]
その夜、風の音だけが窓を叩く部屋で、私は日記を開いた。 [158:0.30s]
『呼吸を合わせて』『力を抜いて』 [159:0.25s]
ペンを走らせると、文字が彼の声になって耳に残った。 [160:0.30s]
窓の隙間から、昼間の風の匂いが戻ってくるような気がした。 [161:0.30s]
百回目のフライトの日。 [162:0.30s]
「一番覚えている風は、いつですか？ [163:0.30s]
」私が聞くと、彼は即答した。 [164:0.30s]
「あなたが初めて空で笑った日です。 [165:0.30s]
風が、あなたの声を運んでくれた日。 [166:0.30s]
あの時、僕は久しぶりに空を飛ぶ喜びを思い出しました」 [167:0.25s]
その記憶が、今の風に溶けて、私の鼓動を叩いた。 [168:0.30s]
「また、飛びましょう」 [169:0.25s]
「ええ。 [170:0.30s]
風が呼ぶ限り」 [171:0.25s]
私たちは約束を交わし、夜の山道を降りた。 [172:0.30s]
星明かりに照らされた二人の呼吸は、白く輝きながら夜空へと昇っていった。 [173:0.30s]
家に帰り、鏡の前で髪を梳く。 [174:0.30s]
ブラシが髪を通るたび、昼間の風の匂いがふわりと香り、藤原さんの声が髪に絡みついているようで、私は一人で微笑んだ。 [175:0.30s]
窓を開けて深呼吸をする。 [176:0.30s]
遠くの線路の音が混じる風が、私の頬を撫で、昼の温度を運んでくれた。 [177:0.30s]
私は空を見上げた。 [178:0.30s]
あそこには、私たちだけの世界がある。 [179:0.30s]
