あなたの周りに、いい人の仮面を被った危険な人物はいませんか。 [1:0.30s]
あなたが自分を守ることは、あなたの権利です。 [94:0.30s]
カルマの視点からも考えてみましょう。 [95:0.30s]
なぜ、こうした人物があなたの人生に現れたのでしょうか。 [96:0.30s]
カルマの観点からは、彼らはあなたに何かを教えに来たのかもしれません。 [97:0.30s]
境界線を設定すること、自分を大切にすること、自己価値を外部に依存しないこと。 [98:0.30s]
こうした学びが必要だったのかもしれません。 [99:0.30s]
また、過去世でのカルマが関係している可能性もあります。 [100:0.30s]
過去世であなたが誰かを支配した、あるいはあなたが支配された経験のカルマを清算するために、今世でこの経験をしているのかもしれません。 [101:0.30s]
大切なのは、経験から学び、成長することです。 [102:0.30s]
被害者のままでいる必要はありません。 [103:0.30s]
この経験を通じて、より強く、より賢く、より境界線のある自分になることができます。 [104:0.30s]
ヨガナンダはこう語りました。 [105:0.30s]
「すべての経験は、魂の成長のためにある。 [106:0.30s]
苦しみでさえ、学びの機会だ」と。 [107:0.30s]
日常で実践できることをお伝えします。 [108:0.30s]
「違和感センサー」を大切にしてください。 [109:0.30s]
初対面で「この人、何か違う」と感じたら、その感覚を無視しないでください。 [110:0.30s]
あなたの直感は、言語化できない情報を処理しています。 [111:0.30s]
与えすぎに注意してください。 [112:0.30s]
関係の初期から過度に与える人、あなたに過度に尽くす人は、後から見返りを求める可能性があります。 [113:0.30s]
バランスの取れた関係かどうか、観察してください。 [114:0.30s]
自己価値を内側に持ってください。 [115:0.30s]
外側の評価、他者からの承認に依存していると、ナルシストに付け込まれやすくなります。 [116:0.30s]
自分で自分を認める力を育ててください。 [117:0.30s]
そして、もしすでにナルシストとの関係にいるなら、専門家の助けを借りることを考えてください。 [118:0.30s]
カウンセラー、セラピスト、ナルシシズムに詳しい専門家。 [119:0.30s]
一人で抱え込まないでください。 [120:0.30s]
この動画をここまで見てくださったあなたへ。 [121:0.30s]
いい人の仮面は、最も危険な仮面かもしれません。 [122:0.30s]
見抜きにくいからです。 [123:0.30s]
しかし、知識があれば、見抜くことができます。 [124:0.30s]
そして、見抜けば、守ることができます。 [125:0.30s]
あなたの魂は、誰かに消耗させるためにあるのではありません。 [126:0.30s]
輝くためにあるのです。 [127:0.30s]
その輝きを守ってください。 [128:0.30s]
隠れナルシストの心理をさらに深く理解しましょう。 [129:0.30s]
彼らはなぜこのような行動をとるのでしょうか。 [130:0.30s]
彼らもまた、深い傷を抱えています。 [131:0.30s]
幼少期に安定した愛着を形成できなかった、過度に甘やかされた、あるいは無視された。 [132:0.30s]
そうした経験が、脆弱な自己を作り出しました。 [133:0.30s]
彼らは、本当の自分に自信がありません。 [134:0.30s]
だから、他者からの承認、称賛、注目を絶えず必要とします。 [135:0.30s]
いい人を演じることで、その供給を確保しようとします。 [136:0.30s]
しかし、理解することと許すことは違います。 [137:0.30s]
彼らの生い立ちを理解することは、彼らの行動を正当化することではありません。 [138:0.30s]
あなたは自分を守る権利があります。 [139:0.30s]
彼らが傷を負っているからといって、あなたが傷つく必要はないのです。 [140:0.30s]
ナルシスティック・アビューズからの回復について詳しくお伝えします。 [141:0.30s]
回復の第一段階は「ノー・コンタクト」です。 [142:0.30s]
可能であれば、ナルシストとの接触を完全に断ちます。 [143:0.30s]
彼らはあなたを引き戻そうとするでしょう。 [144:0.30s]
変わった「あなたなしでは生きていけない」「もう二度としない」と。 [145:0.30s]
これをフーバリングと呼びます。 [146:0.30s]
掃除機のように、あなたを吸い戻そうとする。 [147:0.30s]
しかし、ナルシストが本質的に変わることは稀です。 [148:0.30s]
彼らにとって問題は常に他者にあり、自分自身にはないからです。 [149:0.30s]
完全なノー・コンタクトが不可能な場合（たとえば、子供がいる場合や職場の関係者の場合）は、グレイロック技法が有効です。 [150:0.30s]
岩のように無反応になる。 [151:0.30s]
感情的な反応を見せない、個人的な情報を与えない、最小限のやり取りで済ませる。 [152:0.30s]
ナルシストは反応を求めています。 [153:0.30s]
反応がなければ、興味を失うことがあります。 [154:0.30s]
回復の第二段階は自己再発見です。 [155:0.30s]
ナルシストとの関係の中で、あなたは自分を失いました。 [156:0.30s]
自分が何を好きか、何を望むか、どんな人間かさえ分からなくなっているかもしれません。 [157:0.30s]
自分自身を再発見する時間を取ってください。 [158:0.30s]
放置していた趣味を再開する、新しいことに挑戦する、一人の時間を楽しむ。 [159:0.30s]
少しずつ、本来の自分を取り戻していきます。 [160:0.30s]
回復の第三段階は「トラウマの処理」です。 [161:0.30s]
ナルシスティック・アビューズは深いトラウマを残します。 [162:0.30s]
PTSD（心的外傷後ストレス障害）の症状を示す人もいます。 [163:0.30s]
フラッシュバック、悪夢、過剰な警戒心、感情の麻痺。 [164:0.30s]
専門家の助けを借りることを強くお勧めします。 [165:0.30s]
EMDR療法やトラウマに特化したセラピーが効果的な場合があります。 [166:0.30s]
一人で処理するには重すぎることがあります。 [167:0.30s]
回復の第四段階は「パターンの認識」です。 [168:0.30s]
なぜあなたはナルシストを引き寄せたのか、またはナルシストに引き寄せられたのか。 [169:0.30s]
この問いに向き合うことは痛みを伴いますが、重要です。 [170:0.30s]
多くの場合、幼少期の経験が関係しています。 [171:0.30s]
ナルシスティックな親のもとで育った人は、同じようなパートナーを無意識に選びがちです。 [172:0.30s]
慣れ親しんだパターンは、不健全でも安心感を与えることがあるからです。 [173:0.30s]
このパターンを認識することで、将来同じ罠に落ちることを避けられます。 [174:0.30s]
スピリチュアルな視点から回復を見てみましょう。 [175:0.30s]
この経験は、魂の成長のためにあったのかもしれません。 [176:0.30s]
境界線を学ぶため、自己価値を内側に見出すため、健全な愛とは何かを知るため。 [177:0.30s]
これは被害者を責めるためではありません。 [178:0.30s]
あなたに非はありません。 [179:0.30s]
しかし、経験を意味あるものに変換することは、回復の助けになります。 [180:0.30s]
仏教では苦から学ぶことが説かれています。 [181:0.30s]
苦しみは、何かが間違っていることを教えてくれます。 [182:0.30s]
その教えを受け取り、成長することができます。 [183:0.30s]
ヨガナンダは語りました。 [184:0.30s]
「困難は、魂を鍛える炎である。 [185:0.30s]
炎を通り抜けた魂は、より純粋に、より強くなる」と。 [186:0.30s]
健全な関係を見分ける方法をお伝えします。 [187:0.30s]
健全な関係では、あなたは支配されるのではなく、尊重されます。 [188:0.30s]
あなたの意見は聞かれ、あなたの境界線は守られ、あなたの成長は祝福されます。 [189:0.30s]
健全な相手は、あなたの成功を嫉妬しません。 [190:0.30s]
あなたの友人を遠ざけようとしません。 [191:0.30s]
あなたを罪悪感で操りません。 [192:0.30s]
相互性があります。 [193:0.30s]
一方だけが与え、一方だけが受け取る関係ではありません。 [194:0.30s]
双方が与え、双方が受け取ります。 [195:0.30s]
対立があっても、それは建設的に解決されます。 [196:0.30s]
「あなたはいつもそうだ」「私が言うことが正しい」ではなく、「私はこう感じた」「一緒に解決しよう」という対話があります。 [197:0.30s]
健全な関係の後では、あなたはよりエネルギーを感じます。 [198:0.30s]
消耗するのではなく、充電される。 [199:0.30s]
もし関係の後で常に疲れ果てているなら、それは警告サインかもしれません。 [200:0.30s]
再び信頼することへの恐れについて触れておきましょう。 [201:0.30s]
ナルシストとの経験後、人を信じることが怖くなるのは当然です。 [202:0.30s]
「また騙されるのでは」「また傷つくのでは」という恐れ。 [203:0.30s]
しかし、すべての人がナルシストではありません。 [204:0.30s]
信頼に値する人は存在します。 [205:0.30s]
時間をかけて、ゆっくりと、慎重に関係を築いてください。 [206:0.30s]
新しい関係では、最初から深入りしないでください。 [207:0.30s]
時間をかけて相手を観察する。 [208:0.30s]
言葉と行動が一致しているか、一貫性があるか、境界線を尊重するか。 [209:0.30s]
小さなテストをすることもできます。 [210:0.30s]
「今日は予定がある」と言ったとき、相手はどう反応するか。 [211:0.30s]
あなたの意見に反論したとき、相手はどう対応するか。 [212:0.30s]
こうした小さな場面で、相手の本質が見えてきます。 [213:0.30s]
あなたは再び信頼することができます。 [214:0.30s]
より賢く、より観察力を持って。 [215:0.30s]
過去の経験は、あなたを弱くしたのではなく、より洞察力のある人にしたのです。 [216:0.30s]
回復の最終段階についてお伝えします。 [217:0.30s]
自己ケアを最優先にしてください。 [218:0.30s]
ナルシストとの関係では、あなたはおそらく自分を後回しにしてきました。 [219:0.30s]
今こそ、自分を第一に考える時です。 [220:0.30s]
十分な睡眠、栄養のある食事、体を動かすこと、リラックスする時間。 [221:0.30s]
これらは贅沢ではなく、必需品です。 [222:0.30s]
インナーチャイルドを癒してください。 [223:0.30s]
多くの場合、ナルシストに惹かれたのは、幼少期に満たされなかった何かを求めていたからです。 [224:0.30s]
その傷を認識し、自分自身がその子供の親になるつもりで、愛と安心を与えてください。 [225:0.30s]
完璧な回復を求めないでください。 [226:0.30s]
回復は直線的ではありません。 [227:0.30s]
良い日と悪い日があります。 [228:0.30s]
時に後退することもあります。 [229:0.30s]
それは失敗ではなく、プロセスの一部です。 [230:0.30s]
自分に優しくしてください。 [231:0.30s]
あなたの経験を活かしてください。 [232:0.30s]
同じ経験をしている人を助けることで、あなた自身の回復が加速することがあります。 [233:0.30s]
あなたの痛みは、誰かの光になれるかもしれません。 [234:0.30s]
あなたは一人ではありません。 [235:0.30s]
多くの人が同じ経験をし、そこから立ち直っています。 [236:0.30s]
あなたにもできます。 [237:0.30s]
時間はかかるかもしれませんが、必ず光が見えてきます。 [238:0.30s]
高評価、チャンネル登録をお願いします。 [239:0.30s]
コメント欄であなたの経験を共有してください。 [240:0.30s]
同じ経験をした人の声が、誰かの気づきになるかもしれません。 [241:0.30s]
では、またお会いする日まで。 [242:0.30s]
あなたの魂が守られ、健全な関係に恵まれますように。 [243:0.30s]
あなたが自分自身を大切にし、本当に愛される経験をしますように。 [244:0.30s]
