聖書の最終章、ヨハネの黙示録。 [1:0.30s]
4人の騎士の次に、7人の天使がラッパを吹きます。 [70:0.30s]
すると、自然界に恐ろしい災厄が降りかかります。 [71:0.30s]
第一のラッパが鳴ると、血の混じった雹と火が地上に降り注ぎます。 [72:0.30s]
地上の樹木の3分の1が焼けてしまいます。 [73:0.30s]
第二のラッパが鳴ると、燃える巨大な山のようなものが海に投げ込まれます。 [74:0.30s]
海の3分の1が血になり、海の生物の3分の1が死にます。 [75:0.30s]
第三のラッパが鳴ると、苦よもぎという名の燃える星が落ちてきます。 [76:0.30s]
川の水の3分の1が苦くなり、多くの人が死にます。 [77:0.30s]
これは、現代の環境破壊や核戦争の描写のように聞こえませんか？ [78:0.30s]
森林火災の増加。 [79:0.30s]
海洋汚染と赤潮。 [80:0.30s]
放射能汚染。 [81:0.30s]
あるいは、巨大な小惑星の衝突を予言しているのかもしれません。 [82:0.30s]
燃える星が海に落ちれば、巨大な津波が発生し、沿岸部は壊滅します。 [83:0.30s]
巻き上げられた粉塵が太陽を遮り、地球は寒冷化します。 [84:0.30s]
まさに世界の終わりの光景です。 [85:0.30s]
チェルノブイリ原発事故の「チェルノブイリ」は、ウクライナ語で苦よもぎを意味するという説もあります。 [86:0.30s]
（実際には植物のヨモギの一種を指しますが、この一致は多くの人々を戦慄させました） [87:0.25s]
ヨハネは2000年前に、現代の環境危機を幻視していたのでしょうか。 [88:1.00s]
第4章：獣の数字666 [89:1.00s]
黙示録の中で最も有名な予言は、「獣の数字666」でしょう。 [90:0.30s]
「また、小さき者にも、大いなる者にも、富める者にも、貧しき者にも、自由人にも、奴隷にも、すべての人々に、その右の手あるいは額に刻印を押させ、この刻印のない者はみな、物を買うことも売ることもできないようにした。 [91:0.30s]
この刻印は、その獣の名、または、その名の数字のことである。 [92:0.30s]
ここに知恵がある。 [93:0.30s]
思慮のある者は、獣の数字を解くがよい。 [94:0.30s]
その数字は人間をさすものである。 [95:0.30s]
そして、その数字は六百六十六である。 [96:0.30s]
」（ヨハネの黙示録13章16-18節） [97:0.25s]
この予言は、長い間謎とされてきました。 [98:0.30s]
しかし現代社会において、この予言は現実味を帯びてきています。 [99:0.30s]
キャッシュレス社会の到来です。 [100:0.30s]
現金が消え、すべてがデジタルデータとして管理される世界。 [101:0.30s]
クレジットカード、スマートフォン、そして生体認証。 [102:0.30s]
スウェーデンでは、手にマイクロチップを埋め込み、それで決済を行う人々が現れています。 [103:0.30s]
まさに右の手に刻印です。 [104:0.30s]
もし将来、すべての経済活動がデジタル化され、政府や巨大企業によって管理されるようになったら。 [105:0.30s]
そして、そのシステムに従わない者が、経済活動から排除されるようになったら。 [106:0.30s]
「物を買うことも売ることもできない」という予言が成就することになります。 [107:0.30s]
666という数字は、バーコードのガードバー（最初、真ん中、最後にある2本の線）が6を表しているという説もあります。 [108:0.30s]
また、インターネットのWWW（World Wide Web）は、ヘブライ語の数値変換（ゲマトリア）で666になるという説もあります（Wは6番目の文字）。 [109:0.30s]
私たちは知らず知らずのうちに、獣のシステムの中に組み込まれているのかもしれません。 [110:0.30s]
さらに興味深い解釈があります。 [111:0.30s]
666という数字は、不完全さの象徴だというのです。 [112:0.30s]
聖書において、7は完全を表す数字です。 [113:0.30s]
神は7日で世界を創造しました。 [114:0.30s]
それに対して、6は7に一つ足りない数字。 [115:0.30s]
つまり不完全を表します。 [116:0.30s]
666は、6が3つ重なっています。 [117:0.30s]
これは「決定的な不完全さ」、つまり「神になろうとしてなれない人間」の象徴だというのです。 [118:0.30s]
AIや遺伝子操作によって、人間は神の領域に近づこうとしています。 [119:0.30s]
不老不死を求め、生命を創造しようとしています。 [120:0.30s]
しかし、それはあくまで6の積み重ねに過ぎません。 [121:0.30s]
決して7にはなれないのです。 [122:0.30s]
その傲慢さが、最終的な破滅を招くのかもしれません。 [123:0.30s]
また、最新のAI技術との関連も指摘されています。 [124:0.30s]
AIのアルゴリズムは、私たちの行動をすべて監視し、予測し、操作しようとしています。 [125:0.30s]
私たちが何を買うか、何を見るか、誰と会うか。 [126:0.30s]
すべてがAIによって誘導されています。 [127:0.30s]
もしAIが獣だとしたら。 [128:0.30s]
私たちはすでに、その支配下にあるのではないでしょうか。 [129:0.30s]
スマホを持たずに生活することは、もはや不可能です。 [130:0.30s]
それは、社会的な死を意味します。 [131:0.30s]
「刻印のない者はみな、物を買うことも売ることもできない」 [132:0.25s]
この予言は、物理的な刻印ではなく、デジタルな依存状態を指しているのかもしれません。 [133:1.00s]
第5章：大淫婦バビロン [134:1.00s]
黙示録には、「大淫婦バビロン」と呼ばれる存在も登場します。 [135:0.30s]
彼女は紫と緋の衣をまとい、金や宝石で身を飾り、手には汚れた杯を持っています。 [136:0.30s]
彼女は地上の王たちと淫らな行いをし、贅沢の限りを尽くしています。 [137:0.30s]
しかし最終的に、彼女は獣によって滅ぼされます。 [138:0.30s]
一夜にして彼女の富は消え去り、都は火で焼かれます。 [139:0.30s]
これは何を象徴しているのでしょうか。 [140:0.30s]
多くの解釈では、これは堕落した宗教や「強欲な経済システム」を表していると言われています。 [141:0.30s]
あるいは、特定の超大国や都市を指しているという説もあります。 [142:0.30s]
現代の消費社会、物質主義、そして道徳の退廃。 [143:0.30s]
これらはまさに、大淫婦バビロンの姿そのものです。 [144:0.30s]
世界経済が崩壊し、一夜にして富が紙切れになる。 [145:0.30s]
そんな日が来ることを、黙示録は警告しているのかもしれません。 [146:0.30s]
実際、現代の金融システムは非常に脆いものです。 [147:0.30s]
実体のない信用取引、膨れ上がる借金、複雑なデリバティブ。 [148:0.30s]
これらは砂上の楼閣のようなものです。 [149:0.30s]
何かのきっかけで、一瞬にして崩れ去る可能性があります。 [150:0.30s]
2008年のリーマンショックは、その予兆だったのかもしれません。 [151:0.30s]
あの時、世界中の金融機関が連鎖的に破綻の危機に瀕しました。 [152:0.30s]
もし、あれ以上の規模の崩壊が起きたら。 [153:0.30s]
私たちの生活はどうなるでしょうか。 [154:0.30s]
スーパーから食料が消え、電気が止まり、治安が悪化する。 [155:0.30s]
昨日までの当たり前の日常が、一瞬で失われるのです。 [156:0.30s]
大淫婦バビロンの滅亡は、決して過去の話ではありません。 [157:0.30s]
私たちの未来の姿かもしれないのです。 [158:1.00s]
第6章：ハルマゲドン [159:1.00s]
6番目の鉢が注がれると、ユーフラテス川の水が枯れ、東の王たちが攻め込んできます。 [160:0.30s]
そして、悪霊たちが世界の王たちを集め、最終戦争へと導きます。 [161:0.30s]
その場所の名は、ヘブライ語でハルマゲドン。 [162:0.30s]
これはイスラエルのメギドの丘を指す言葉です。 [163:0.30s]
古来より、数多くの戦争が行われてきた場所です。 [164:0.30s]
ハルマゲドンは、善と悪の最終決戦です。 [165:0.30s]
神の軍勢と、獣の軍勢が激突します。 [166:0.30s]
現代の中東情勢を見ると、この予言が不気味なほどリアルに感じられます。 [167:0.30s]
宗教対立、資源争奪、大国の介入。 [168:0.30s]
いつかこの場所で、世界を巻き込む最終戦争が勃発するのでしょうか。 [169:0.30s]
核兵器の存在が、この戦争を世界の終わりにする可能性を高めています。 [170:0.30s]
ヨハネが見た天から降る火は、核ミサイルのことだったのかもしれません。 [171:0.30s]
ハルマゲドンの戦いは、一夜にして終わると言われています。 [172:0.30s]
現代の核戦争もまた、ボタン一つで、数時間で世界を終わらせることができます。 [173:0.30s]
さらに、この地には地政学的な重要性もあります。 [174:0.30s]
アジア、アフリカ、ヨーロッパを結ぶ交差点です。 [175:0.30s]
石油という現代の黒い血が流れる場所でもあります。 [176:0.30s]
大国がこの地を巡って争うのは、必然なのかもしれません。 [177:0.30s]
また、宗教的な対立も根深いです。 [178:0.30s]
ユダヤ教、キリスト教、イスラム教。 [179:0.30s]
3つの宗教の聖地が密集しています。 [180:0.30s]
それぞれの正義が衝突し、妥協のない戦いが続いています。 [181:0.30s]
「平和だ、安全だ」と言っているその時、突然の破滅が来る。 [182:0.30s]
聖書はそう警告しています。 [183:0.30s]
私たちは今、平和と破滅の境界線上に立っているのです。 [184:1.00s]
第7章：新しい天と新しい地 [185:1.00s]
しかし、黙示録は絶望だけで終わるわけではありません。 [186:0.30s]
獣と偽預言者は滅ぼされ、サタンは封印されます。 [187:0.30s]
そして、古い天と古い地は消え去り、「新しい天と新しい地」が現れます。 [188:0.30s]
そこにはもはや死もなく、悲しみも、叫びも、苦しみもありません。 [189:0.30s]
神が人々と共に住み、彼らの目の涙をことごとく拭い取ってくださるのです。 [190:0.30s]
黄金に輝く新しいエルサレムが天から下ってきます。 [191:0.30s]
その都には太陽も月も必要ありません。 [192:0.30s]
神の栄光が都を照らしているからです。 [193:0.30s]
これは、人類の再生と、理想郷の到来を意味しています。 [194:0.30s]
苦難の先には、希望があるのです。 [195:0.30s]
しかし、その希望に辿り着くためには、私たちは試練を乗り越えなければなりません。 [196:0.30s]
自分の信仰と良心を守り抜かなければなりません。 [197:0.30s]
獣の刻印を拒否し、システムに屈しない強さが求められるのです。 [198:0.30s]
この「新しい天と新しい地」については、別の解釈もあります。 [199:0.30s]
物理的な世界の更新ではなく、人間の意識の進化を表しているという説です。 [200:0.30s]
人類が物質主義やエゴを乗り越え、精神的に高い次元へとシフトする。 [201:0.30s]
いわゆるアセンションです。 [202:0.30s]
古い価値観（古い天と地）が崩壊し、新しい価値観（新しい天と地）が生まれる。 [203:0.30s]
私たちは今、その過渡期にいるのかもしれません。 [204:0.30s]
苦しみや混乱は、新しい時代が生まれるための産みの苦しみなのかもしれません。 [205:0.30s]
そう考えると、黙示録は恐怖の予言ではなく、人類の進化のロードマップのように見えてきます。 [206:1.00s]
第8章：予言の真意 [207:1.00s]
ヨハネの黙示録は、単なる恐怖の物語ではありません。 [208:0.30s]
それは、困難な時代を生きる人々への励ましの書でもあります。 [209:0.30s]
ローマ帝国の迫害下にあった初期のキリスト教徒たちにとって、この書は希望の光でした。 [210:0.30s]
どんなに強力な帝国も、いつかは滅びる。 [211:0.30s]
正義は必ず勝つ。 [212:0.30s]
そのメッセージは、現代の私たちにも響きます。 [213:0.30s]
歴史的な背景を少し掘り下げてみましょう。 [214:0.30s]
多くの学者は、獣とはローマ皇帝ネロのことだと考えています。 [215:0.30s]
ヘブライ語で「皇帝ネロ（Neron Caesar）」を数字に変換すると、666になります。 [216:0.30s]
当時のキリスト教徒にとって、ネロはまさに悪魔のような存在でした。 [217:0.30s]
彼らは、ネロの名前を直接書くことができなかったため、数字の暗号を使ったのです。 [218:0.30s]
しかし、予言には二重の意味があることが多いです。 [219:0.30s]
当時の状況を表していると同時に、未来の出来事も予言しているのです。 [220:0.30s]
歴史は繰り返します。 [221:0.30s]
ネロのような独裁者は、形を変えて何度も現れます。 [222:0.30s]
ヒトラー、スターリン、ポル・ポト。 [223:0.30s]
彼らもまた、時代の獣でした。 [224:0.30s]
そして現代。 [225:0.30s]
特定の個人ではなく、システムそのものが獣になろうとしているのかもしれません。 [226:0.30s]
顔の見えない巨大な権力。 [227:0.30s]
私たちの自由を奪い、思考をコントロールするシステム。 [228:0.30s]
ヨハネは、そのような未来を見通していたのかもしれません。 [229:0.30s]
私たちは今、先行きの見えない不安な時代を生きています。 [230:0.30s]
テクノロジーの暴走、環境破壊、社会の分断。 [231:0.30s]
しかし、歴史は必ず良い方向へ向かうと信じること。 [232:0.30s]
悪に加担せず、正しく生きること。 [233:0.30s]
それが、黙示録が私たちに伝えている真のメッセージなのかもしれません。 [234:0.30s]
予言は、未来を確定するものではありません。 [235:0.30s]
警告です。 [236:0.30s]
もし私たちが今の生き方を改めなければ、こういう未来が待っているぞ、という警告です。 [237:0.30s]
未来を変える力は、私たち自身の手にあるのです。 [238:1.00s]
第9章：現代の予兆 [239:1.00s]
最近のニュースを見ていると、黙示録の予兆と思えるような出来事が次々と起こっています。 [240:0.30s]
ユーフラテス川の水位低下。 [241:0.30s]
イナゴの大量発生。 [242:0.30s]
世界的なパンデミック。 [243:0.30s]
これらは偶然でしょうか。 [244:0.30s]
特にユーフラテス川の水位低下は、衝撃的です。 [245:0.30s]
NASAの衛星データによると、中東の淡水貯蔵量は急速に減少しています。 [246:0.30s]
かつて豊かな水をたたえていた大河が、今や干上がりつつあるのです。 [247:0.30s]
黙示録にはこうあります。 [248:0.30s]
「第六の天使が、その鉢を大いなる川ユーフラテスに注いだ。 [249:0.30s]
すると、その水は涸れてしまった」 [250:0.25s]
これは、東の王たちが攻め込む道を作るためだと書かれています。 [251:0.30s]
また、2020年にはアフリカやインドで、聖書以来とも言われる規模のイナゴの大量発生が起きました。 [252:0.30s]
何億匹ものイナゴが空を覆い尽くし、作物を食い荒らしました。 [253:0.30s]
これもまた、黙示録のラッパの災いの一つです。 [254:0.30s]
さらに、疫病。 [255:0.30s]
新型コロナウイルスは、瞬く間に世界中に広がりました。 [256:0.30s]
これは青白い馬の騎士の到来を予感させます。 [257:0.30s]
そして戦争。 [258:0.30s]
大国同士の対立が激化し、核戦争の脅威が高まっています。 [259:0.30s]
これらすべての出来事が、同じ時期に集中して起こっているのです。 [260:0.30s]
これを単なる偶然と片付けることができるでしょうか。 [261:0.30s]
2020年代に入ってから、世界の動きが加速しているように感じませんか。 [262:0.30s]
何かが起ころうとしている。 [263:0.30s]
大きな転換点が近づいている。 [264:0.30s]
多くの人々が、漠然とした不安を感じています。 [265:0.30s]
ヨハネが見た幻視は、2000年の時を超えて、今の私たちに警鐘を鳴らしているのかもしれません。 [266:0.30s]
「目を覚ましていなさい」と。 [267:1.00s]
第10章：終わりの始まり [268:1.00s]
私たちは今、歴史のどの地点にいるのでしょうか。 [269:0.30s]
封印はすでに解かれ始めているのでしょうか。 [270:0.30s]
ラッパは鳴り響いているのでしょうか。 [271:0.30s]
それとも、まだ猶予は残されているのでしょうか。 [272:0.30s]
時計の針は、深夜零時に向かって進んでいます。 [273:0.30s]
終末時計は、残り90秒を指しています。 [274:0.30s]
これは人類史上、最も終わりに近い時間です。 [275:0.30s]
冷戦時代でさえ、これほど針が進んだことはありませんでした。 [276:0.30s]
科学者たちもまた、人類の危機を警告しているのです。 [277:0.30s]
しかし恐れる必要はありません。 [278:0.30s]
予言を知ることは、備えることです。 [279:0.30s]
物質的な備えだけでなく、精神的な備え。 [280:0.30s]
何が起きても揺るがない心を持つこと。 [281:0.30s]
愛と真実を大切にすること。 [282:0.30s]
それが、来るべき時代を生き抜くための鍵となるでしょう。 [283:0.30s]
そして、忘れてはならないのは、終わりの後には始まりがあるということです。 [284:0.30s]
古い世界が壊れることは、新しい世界が生まれるための陣痛なのかもしれません。 [285:0.30s]
私たちは今、その痛みの真っ只中にいるのです。 [286:0.30s]
新しい世界がどのようなものになるか。 [287:0.30s]
それは、私たちが今、どう生きるかにかかっています。 [288:0.30s]
ヨハネの黙示録の最後で、イエスはこう言います。 [289:0.30s]
「私はアルファであり、オメガである。 [290:0.30s]
最初であり、最後である」 [291:0.25s]
終わりは、始まりにすぎません。 [292:0.30s]
一つの物語が終わり、新しい物語が始まるのです。 [293:0.30s]
その新しい物語の主人公は、あなた自身です。 [294:0.30s]
あなたの名前は、命の書に記されているでしょうか。 [295:0.30s]
それとも、獣の刻印を押されてしまうのでしょうか。 [296:0.30s]
選択の時は、今この瞬間にあります。 [297:0.30s]
最後までご覧いただき、ありがとうございました。 [298:0.30s]
ヨハネの黙示録は、謎に満ちた書物です。 [299:0.30s]
その解釈は人それぞれです。 [300:0.30s]
あなたはこの予言をどう感じましたか？ [301:0.30s]
単なる神話だと思いますか？ [302:0.30s]
それとも、現実に起こりつつある警告だと思いますか？ [303:0.30s]
ぜひコメント欄であなたの考えを聞かせてください。 [304:0.30s]
そして、この動画が少しでも考えるきっかけになったなら、高評価とチャンネル登録をお願いします。 [305:0.30s]
未来はまだ白紙です。 [306:0.30s]
私たちがどのような選択をするかによって、結末は変わるはずです。 [307:0.30s]
それでは、また次の動画でお会いしましょう。 [308:0.30s]
