雨上がりの路地裏。 [1:0.30s]
彼の声は、まるで太い幹のようだ。 [66:0.30s]
揺るぎなく、力強い。 [67:0.30s]
その幹に絡みつく蔦のように、私は声を添わせる。 [68:0.30s]
「心の奥まで……」 [69:0.25s]
歌詞の一つ一つが、今の私たちの状況と重なり合うようで、胸が締め付けられる。 [70:0.30s]
かつての恋人たちの物語が、今ここで蘇る。 [71:0.30s]
サビの部分。 [72:0.30s]
二人の声が完全に重なり、倍音が生まれる。 [73:0.30s]
その瞬間、私の喉が震え、その震動が指先から心臓へと駆け抜けた。 [74:0.30s]
まるで、声という見えない手で抱きしめられているような感覚。 [75:0.30s]
物理的な接触以上の、魂の交歓。 [76:0.30s]
彼の視線を感じる。 [77:0.30s]
私も見つめ返す。 [78:0.30s]
視線が絡み合い、声が溶け合う。 [79:0.30s]
歌い終わり、拍手の中を席に戻ると、杉本さんが隣に座った。 [80:0.30s]
「最高だった。 [81:0.30s]
君の声は、僕の声を包み込んでくれる。 [82:0.30s]
一人で歌う時とは違う、色が生まれるんだ」 [83:0.25s]
彼は水を差し出してくれた。 [84:0.30s]
「喉、守れよ」 [85:0.25s]
その素朴な言葉と、無骨な指先。 [86:0.30s]
「ありがとうございます。 [87:0.30s]
杉本さんの声こそ、出汁みたいに深くて、沁みました」 [88:0.25s]
私が言うと、彼は照れくさそうに笑った。 [89:0.30s]
「出汁か……。 [90:0.30s]
君の表現は面白いな。 [91:0.30s]
でも、君の声には艶がある。 [92:0.30s]
あとは、湿度を少し足せば完璧だ」 [93:0.25s]
「湿度？ [94:0.30s]
」 [95:0.25s]
「ああ。 [96:0.30s]
悲しみとか、切なさとか……そういう水分だ。 [97:0.30s]
人生の涙を、声に混ぜるんだよ。 [98:0.30s]
乾いた声じゃ、人の心は震わせられない」 [99:0.25s]
彼が耳元で囁く。 [100:0.30s]
その低い声が耳朶を撫で、頬に熱が宿るのが分かった。 [101:0.30s]
ある夜、歌の途中で私の声がかすれたことがあった。 [102:0.30s]
高音が出ず、息が漏れてしまったのだ。 [103:0.30s]
恥ずかしさで顔が赤くなる。 [104:0.30s]
けれど、杉本さんは歌うのをやめず、さりげなく私の手首を下から支えてくれた。 [105:0.30s]
「ここを、少し落として。 [106:0.30s]
力が入りすぎている」 [107:0.25s]
マイクを通さない生の声。 [108:0.30s]
彼の人差し指が、私の手首の脈打つ部分をかすめる。 [109:0.30s]
その熱さに、一瞬息が止まりそうになった。 [110:0.30s]
「……はい」 [111:0.25s]
言われてみれば、肩に力が入っていた。 [112:0.30s]
私は深呼吸をし、彼の指の温もりを感じながら、力を抜いた。 [113:0.30s]
すると、声が驚くほどスムーズに出た。 [114:0.30s]
自分の知らない音色が喉から溢れ出し、背筋がぞくりとした。 [115:0.30s]
「そう、その声だ。 [116:0.30s]
君の中には、まだ知らない君がいる」 [117:0.25s]
彼が満足そうに微笑む。 [118:0.30s]
週末の昼下がり。 [119:0.30s]
私たちは駅前の明るい喫茶店で待ち合わせた。 [120:0.30s]
夜のスナックとは違う、健康的な日差しの中。 [121:0.30s]
「鼻歌でもいい。 [122:0.30s]
少し合わせてみよう」 [123:0.25s]
彼が小さくメロディを口ずさむ。 [124:0.30s]
私もそれに合わせてハミングをする。 [125:0.30s]
周囲の雑音にかき消されそうなほどの小さな音。 [126:0.30s]
ウェイトレスが水を運んでくる音、隣の席の話し声。 [127:0.30s]
それらが遠のき、二人の間の空気だけが、急に密度を増して湿り気を帯びた。 [128:0.30s]
「……昼間なのに、酔いそうですね」 [129:0.25s]
「音に酔うのは、悪くない。 [130:0.30s]
酒よりもたちが悪いがね。 [131:0.30s]
覚めないから」 [132:0.25s]
夕方、スタジオを借りて練習することになった。 [133:0.30s]
防音扉を閉めると、完全な静寂が訪れる。 [134:0.30s]
世界から切り離された密室。 [135:0.30s]
杉本さんは、いつもとは違う、甘い香水をまとっていた。 [136:0.30s]
「いい香り……」 [137:0.25s]
「君の低音に合うと思ってね。 [138:0.30s]
少し甘めのやつをつけてきた」 [139:0.25s]
彼が近づくと、その香りが私の鼻腔を満たした。 [140:0.30s]
ムスクとバニラ。 [141:0.30s]
「香りで、耳を開くんだ。 [142:0.30s]
そうすると、音がよく入ってくる」 [143:0.25s]
レコードプレーヤーに針を落とす。 [144:0.30s]
パチパチというノイズ混じりのイントロ。 [145:0.30s]
私たちは向かい合って歌った。 [146:0.30s]
マイクは使わない。 [147:0.30s]
生の声が、直接鼓膜を揺らす。 [148:0.30s]
「このブレスのタイミング、真似していいですか？ [149:0.30s]
」 [150:0.25s]
「ああ。 [151:0.30s]
でも、ここでだけだ。 [152:0.30s]
録音はしない」 [153:0.25s]
「どうして？ [154:0.30s]
」 [155:0.25s]
「録音すると、その瞬間の湿度が飛んでしまうから。 [156:0.30s]
音は、その場限りの方が艶が出る。 [157:0.30s]
消えてしまうからこそ、美しいんだ。 [158:0.30s]
今の僕たちのようにね」 [159:0.25s]
彼の瞳が、私を射抜くように見つめている。 [160:0.30s]
録音しないという約束が、この時間をより濃厚で、背徳的なものに変えていく。 [161:0.30s]
練習を終え、外に出ると夜になっていた。 [162:0.30s]
雨上がりで、アスファルトが濡れて黒く光っている。 [163:0.30s]
街灯の光が水たまりに反射し、キラキラと輝いていた。 [164:0.30s]
「送らせてほしい」 [165:0.25s]
「……ええ」 [166:0.25s]
明るい大通り。 [167:0.30s]
触れない距離を保ちながら、手だけは同じ高さを揺れている。 [168:0.30s]
街灯の下、二人の影が重なり、そして離れる。 [169:0.30s]
影だけが、寄り添って歩いている。 [170:0.30s]
「今日の歌、最高だったな」 [171:0.25s]
「杉本さんのリードのおかげです」 [172:0.25s]
「いや、君の声が僕を引っ張り上げてくれたんだ。 [173:0.30s]
一人じゃ、あんな声は出せない」 [174:0.25s]
信号待ちで立ち止まる。 [175:0.30s]
彼がふと、私の手に触れようとして、止めたのが分かった。 [176:0.30s]
「……余韻を、持ち帰りましょう」彼が言った。 [177:0.30s]
「触れてしまったら、この震えが消えてしまうかもしれない」 [178:0.25s]
「そうですね。 [179:0.30s]
声の余韻だけで、十分です」 [180:0.25s]
私も同じ気持ちだった。 [181:0.30s]
触れてしまえば、何かが壊れてしまう。 [182:0.30s]
あるいは、止まらなくなってしまう。 [183:0.30s]
この震えを、大切に持ち帰りたい。 [184:0.30s]
改札の前で別れる時、彼は一度だけ振り返り、手を振った。 [185:0.30s]
その仕草が、ステージ上の彼と重なり、胸が締め付けられた。 [186:0.30s]
「また来週、あの場所で」 [187:0.25s]
「ええ、待っています」 [188:0.25s]
家に戻り、鏡の前に立つ。 [189:0.30s]
私の頬は、紫の照明などないのに、上気して艶を帯びていた。 [190:0.30s]
口紅を少し濃く塗り直してみる。 [191:0.30s]
鏡の中の自分が、少し若返ったように見えた。 [192:0.30s]
「今日、どの声を選びますか。 [193:0.30s]
どの湿度を残しますか」 [194:0.25s]
枕元に、彼から貰った名刺と、歌詞を書いたメモを置く。 [195:0.30s]
深呼吸をすると、スタジオでの甘い香水の香りと、彼の低い声が蘇ってきた。 [196:0.30s]
喉の奥で、小さく鼻歌を震わせる。 [197:0.30s]
誰にも聞かせない、私だけのセレナーデ。 [198:0.30s]
紫の灯りの代わりに、声の余韻で部屋を照らしながら、私は静かに目を閉じた。 [199:0.30s]
夢の中でなら、思い切り彼と声を重ね、触れ合うことができるだろうか。 [200:0.30s]
そんな期待を抱きながら、私は眠りについた。 [201:0.30s]
マイクの冷たさと、彼の指の熱さ。 [202:0.30s]
そのコントラストが、まだ私の掌に残っていた。 [203:0.30s]
