娘の再婚相手は、私より二つ年下だった。 [1:0.30s]
チャペルの扉が開く。 [69:0.30s]
パイプオルガンの荘厳な音色が響き渡る。 [70:0.30s]
誓いの言葉が響く式場で、彼が一瞬だけ、新婦の母席にいる私に視線を寄越した。 [71:0.30s]
娘を見ているのではない。 [72:0.30s]
私を見ている。 [73:0.30s]
その一瞬が、永遠のように長く感じられ、胸が鳴った。 [74:0.30s]
背徳感と、優越感がない交ぜになった、甘い痛み。 [75:0.30s]
指輪交換の時、彼の手が震えているのが見えた。 [76:0.30s]
「緊張しているのかしら」 [77:0.25s]
「それとも、別のことを考えているのかしら」 [78:0.25s]
邪な考えを振り払うように、私はハンカチを握りしめた。 [79:0.30s]
披露宴の後、家族だけで庭に出た。 [80:0.30s]
夕方の風が頬を撫でる。 [81:0.30s]
庭園のバラの香りが濃厚だ。 [82:0.30s]
彼が私に近づき、小さな紙袋を差し出した。 [83:0.30s]
「これ、僕の母が焼いた茶碗です。 [84:0.30s]
遺品整理で出てきたんですが、あなたに使ってほしくて」 [85:0.25s]
「そんな、大切なものを……」 [86:0.25s]
「由美子には内緒です。 [87:0.30s]
彼女は焼き物には興味がないから。 [88:0.30s]
あなたなら、この土の温かさを分かってくれると思って」 [89:0.25s]
二人だけの秘密。 [90:0.30s]
紙袋越しに触れた陶器は冷たかったが、そこに込められた彼の体温を感じた。 [91:0.30s]
「ここで、一緒にお茶を飲みたかったな」 [92:0.25s]
彼がベンチを指差して言う。 [93:0.30s]
「……いつか、ね。 [94:0.30s]
家族として」 [95:0.25s]
「ええ。 [96:0.30s]
家族として……そして、一人の男と女として」 [97:0.25s]
私は紙袋を抱きしめた。 [98:0.30s]
夜、家に戻り、黒留袖を脱ぐ。 [99:0.30s]
帯が解ける瞬間、緊張から解放されると同時に、寂しさが押し寄せてきた。 [100:0.30s]
鏡の前で髪を梳かす。 [101:0.30s]
「美和子さん」 [102:0.25s]
彼に呼ばれた自分の名前の余韻を、口の中で転がしてみる。 [103:0.30s]
甘いけれど、その甘さは一瞬で消えてしまう儚いものだ。 [104:0.30s]
スマートフォンが震えた。 [105:0.30s]
彼からだった。 [106:0.30s]
『今日のあなた、とても綺麗でした。 [107:0.30s]
母としてではなく、女性として。 [108:0.30s]
見惚れてしまいました』 [109:0.25s]
心臓が早鐘を打つ。 [110:0.30s]
『……酔っているのね。 [111:0.30s]
お水飲んで、早く寝なさい』 [112:0.25s]
そう返信して、画面を伏せた。 [113:0.30s]
けれど、頬の熱は冷めない。 [114:0.30s]
すぐに返信が来る。 [115:0.30s]
『酔っていません。 [116:0.30s]
本心です』 [117:0.25s]
季節が巡り、彼らの結婚記念日が近づいた頃。 [118:0.30s]
昼下がりの喫茶店で、偶然彼に会った。 [119:0.30s]
「やあ、美和子さん」 [120:0.25s]
彼は自然に私の前の席に座った。 [121:0.30s]
「最近、声が落ち着いていますね」彼が言う。 [122:0.30s]
「線を意識すると、声も落ち着くのかもしれません」 [123:0.25s]
「線、ですか」 [124:0.25s]
「ええ。 [125:0.30s]
超えてはいけない線。 [126:0.30s]
私たちは、家族ですから」 [127:0.25s]
私がカップを置くと、カチャンと静かな音がした。 [128:0.30s]
「……僕は、その線の上を歩いている気分ですよ。 [129:0.30s]
綱渡りのように」 [130:0.25s]
彼がテーブルの上で、そっと指を伸ばしてきた。 [131:0.30s]
私の指に触れる直前で止める。 [132:0.30s]
「この距離が、一番熱い気がします」 [133:0.25s]
触れない指先と指先の間で、空気が振動している。 [134:0.30s]
「……悪い人ね」 [135:0.25s]
「あなたほどじゃありません。 [136:0.30s]
僕をこんな気持ちにさせておいて」 [137:0.25s]
春の終わり、孫（娘の連れ子）が「じいじになるの？ [138:0.30s]
」と無邪気に彼に聞いた。 [139:0.30s]
彼は優しく笑って、「まだ呼ばなくていいよ。 [140:0.30s]
修平おじさんでいい」と答えた。 [141:0.30s]
その言葉を聞いて、私は密かに安堵した。 [142:0.30s]
彼もまた、まだ「老人」の枠にはまりたくないのだ。 [143:0.30s]
私と同じように。 [144:0.30s]
花びらがテーブルに落ちる。 [145:0.30s]
薄桃色の花びらが、私たちの間の禁忌の音を少しだけ和らげてくれる気がした。 [146:0.30s]
夜、枕元で目を閉じ、頬に残る彼の視線の感触を確かめる。 [147:0.30s]
家族という枠組みの中で、決して交わることのない平行線。 [148:0.30s]
けれど、その線はずっと隣り合って続いていく。 [149:0.30s]
「今日、どの一歩を踏み出しましたか」 [150:0.25s]
自分に問いかける。 [151:0.30s]
踏み出さない一歩こそが、最も美しく、最も艶やかなのだと、私は知っていた。 [152:0.30s]
声を含んだ息を長く吐き出し、私は甘い罪悪感と共に眠りについた。 [153:0.30s]
明日もまた、彼に会う。 [154:0.30s]
家族という仮面をつけて。 [155:0.30s]
その仮面の下にある素顔を、彼だけが知っている。 [156:0.30s]
