冬の朝、まだ明けきらない薄暗い町を、二人の足音が踏みしめる。 [1:0.30s]
彼が私の指先を見て言った。 [56:0.30s]
「ええ、末端冷え性で」 [57:0.25s]
彼は自分の手袋を外そうとして、ためらった。 [58:0.30s]
その優しさが、痛いほど伝わってきた。 [59:0.30s]
直接触れることへの躊躇いと、触れたいという欲求の間で揺れている。 [60:0.30s]
防災倉庫の点検の日。 [61:0.30s]
重い鉄扉の鍵を彼が回す。 [62:0.30s]
ガチャリ、という金属音が低く響き渡る。 [63:0.30s]
「安心の音ですね」私が言うと、彼は「守られている音です」と笑った。 [64:0.30s]
中に入ると、ひんやりとした空気が肌を刺す。 [65:0.30s]
埃と、古い革製品、そして機械油の匂い。 [66:0.30s]
彼が懐中電灯をつける。 [67:0.30s]
一筋の光が闇を切り裂き、舞い上がる埃を照らし出した。 [68:0.30s]
光の粒がキラキラと二人の間で舞った。 [69:0.30s]
「光で見ると、埃もきれいだ」彼が呟く。 [70:0.30s]
「暗闇の中で見る光は、希望に見えるから不思議だ」 [71:0.25s]
「あなたの声も、光の中で聴くと柔らかく感じます」 [72:0.25s]
「……そうですか？ [73:0.30s]
昔は、怒鳴ってばかりでしたが」 [74:0.25s]
光と声と埃が重なり、無骨な倉庫がまるで舞台のように見えた。 [75:0.30s]
狭い空間、二人きり。 [76:0.30s]
外の世界から切り離されたような密室感が、鼓動を早める。 [77:0.30s]
彼が棚の上のヘルメットを取ろうとして、私に近づいた。 [78:0.30s]
腕が触れる。 [79:0.30s]
「あ……」 [80:0.25s]
「すみません」 [81:0.25s]
彼はすぐに離れたが、その瞬間の熱は消えなかった。 [82:0.30s]
ジャンパー越しに伝わった硬い腕の感触。 [83:0.30s]
雨の日は、見回りは中止になることが多いが、私たちは倉庫の中で資材の整理をしていた。 [84:0.30s]
雨粒がトタン屋根を叩くリズムが、心地よいBGMになる。 [85:0.30s]
「雨の匂い、少し甘いですね」 [86:0.25s]
「あなたの声も、今日は湿っています」 [87:0.25s]
彼の声が、雨音に混じって喉の奥に落ちてくる。 [88:0.30s]
炊き出しの訓練で使う大きな鍋をかき回した時、アルミの擦れる音と湯気、そして木杓子の香りが立ち込めた。 [89:0.30s]
「いい匂いだ。 [90:0.30s]
湯気の中にいると、素直になれる気がする」 [91:0.25s]
彼が私の手元を覗き込む。 [92:0.30s]
顔が近い。 [93:0.30s]
湯気越しに見る彼の瞳は、濡れているように見えた。 [94:0.30s]
湯気の中に、言葉にできない艶が漂っていた。 [95:0.30s]
「浩司さん……」 [96:0.25s]
思わず名前で呼んでしまった。 [97:0.30s]
彼は驚いた顔をしたが、すぐに優しく微笑んだ。 [98:0.30s]
「美和子さん。 [99:0.30s]
……いい響きだ」 [100:0.25s]
名前を呼び合うだけで、世界が変わった気がした。 [101:0.30s]
夏の夜の見回り。 [102:0.30s]
カチ、カチ、という拍子木の音が夜気に響く。 [103:0.30s]
懐中電灯で足元だけを照らしながら歩く。 [104:0.30s]
虫の音が響く中、彼の低い声が重なる。 [105:0.30s]
「暗いと、声が低くなるんですね」 [106:0.25s]
「相手に不安を与えないように、自然とそうなるんです。 [107:0.30s]
……あなたの足音も、夜は柔らかい。 [108:0.30s]
猫みたいだ」 [109:0.25s]
光と音が揺れる夜。 [110:0.30s]
触れない距離なのに、体温がすぐそこにあるように感じる。 [111:0.30s]
闇が二人の輪郭を曖昧にし、溶け合わせようとしているかのようだ。 [112:0.30s]
「手、繋ぎましょうか？ [113:0.30s]
足元が危ないから」 [114:0.25s]
彼が言った。 [115:0.30s]
言い訳だと分かっていた。 [116:0.30s]
「……ええ、お願いします」 [117:0.25s]
彼の手は大きくて、少し汗ばんでいた。 [118:0.30s]
その湿り気が、生々しくてドキドキした。 [119:0.30s]
繋いだ手から、彼の鼓動が伝わってくるようだった。 [120:0.30s]
秋には、倉庫のラジオの調子を見た。 [121:0.30s]
ザラついたノイズ混じりの音。 [122:0.30s]
二人の会話も、そのノイズに溶け込んでいく。 [123:0.30s]
机の上に広げた点検表に書き込むペンの音が、紙より柔らかい何かを生み出していく。 [124:0.30s]
春の雨上がり、ベンチで休憩した時、彼が自販機で買った温かい紙コップの飲み物を手渡してくれた。 [125:0.30s]
「手、冷えてますか」 [126:0.25s]
「少しだけ。 [127:0.30s]
……でも、あなたの声で温まります」 [128:0.25s]
受け取る時、指先が触れた。 [129:0.30s]
紙コップの縁の熱さと、彼の手の熱さ、そして声の温度が重なり、指先が発光したかのように熱を持った。 [130:0.30s]
彼が古びたマニュアルを声に出して読んでくれたことがあった。 [131:0.30s]
黄ばんだ紙に、彼の新しい声が乗る。 [132:0.30s]
「声で、紙が変わりますね」 [133:0.25s]
「紙が、声を吸うんです。 [134:0.30s]
だから、大切なことは紙に書くか、直接伝えるか、どちらかにしないといけない」 [135:0.25s]
ページをめくる音と、古書の匂いが胸に落ちる。 [136:0.30s]
言葉の一つ一つが、私の心に染み込んでいくようだった。 [137:0.30s]
夏前、彼が庭で摘んだというハーブを渡してくれた。 [138:0.30s]
「手紙にでも入れてください。 [139:0.30s]
魔除けになるそうです」 [140:0.25s]
「何の魔除けですか？ [141:0.30s]
」 [142:0.25s]
「……寂しさの、かな」 [143:0.25s]
私がそのハーブを便箋にこすりつけ、青い香りを紙に染み込ませると、彼は言った。 [144:0.30s]
「匂いがあると、思い出すのも早いね」 [145:0.25s]
「声にも、匂いがつきますか？ [146:0.30s]
」 [147:0.25s]
「ああ……君の声には、もうついている。 [148:0.30s]
ラベンダーのような、安らぐ匂いが」 [149:0.25s]
合同訓練の日。 [150:0.30s]
私たちは地図を畳み、並んで歩いた。 [151:0.30s]
足音が揃い、地図の紙が鳴り、残り香が立ち、彼の低い声が冬の空気を温める。 [152:0.30s]
「同じ音、聞こえますか」 [153:0.25s]
「ええ、あなたと同じ音」 [154:0.25s]
「これからも、この音を一緒に聞いてくれますか」 [155:0.25s]
プロポーズのような言葉に、私は立ち止まった。 [156:0.30s]
「……私の足音が、あなたについていける限り」 [157:0.25s]
彼は満足そうに頷いた。 [158:0.30s]
地図を折る音が重なり、静かな艶が尾を引く。 [159:0.30s]
夜、家に戻り、一人で地図を広げた。 [160:0.30s]
今日二人で歩いた道を指でなぞる。 [161:0.30s]
そこには、私たちの足跡は見えないけれど、確かに刻まれている。 [162:0.30s]
「また、同じ音で」 [163:0.25s]
小さく呟き、地図を折る音に耳を澄ませる。 [164:0.30s]
足音と紙と声と香り。 [165:0.30s]
触れないまま重ねたものが、確かな熱となって胸に残っている。 [166:0.30s]
この音がある限り、私は一人ではない。 [167:0.30s]
そう思えるだけで、夜の静寂さえも愛おしく感じられた。 [168:0.30s]
窓の外で、拍子木の音が聞こえた気がした。 [169:0.30s]
「火の用心」。 [170:0.30s]
それは、「恋の用心」とも聞こえた。 [171:0.30s]
用心しても、もう手遅れだけれど。 [172:0.30s]
私は微笑んで、明かりを消した。 [173:0.30s]
明日もまた、彼と同じ歩幅で歩く。 [174:0.30s]
それだけで、私の人生は満たされている。 [175:0.30s]
