夜のエレベーターに乗り込み、ボタンを押そうとした時だった。 [1:0.30s]
その夜、ポストにまたメモが入っていた。 [62:0.30s]
『今夜、月がきれいです。 [63:0.30s]
屋上で少しだけ、風に当たりませんか』 [64:0.25s]
迷いながらも、私はカーディガンを羽織り、屋上へと向かった。 [65:0.30s]
夜風が頬を撫で、街の灯りが眼下に広がっている。 [66:0.30s]
ベンチに座る佐伯さんの姿があった。 [67:0.30s]
「来てくれたんですね」 [68:0.25s]
「月がきれいだと言われたら、断れませんわ」 [69:0.25s]
彼が隣を指し、私は少し距離を開けて座った。 [70:0.30s]
「月の光の下だと、香りが少し薄くなる気がしますね」 [71:0.25s]
彼が空を見上げて言う。 [72:0.30s]
「そうかしら。 [73:0.30s]
あなたの声は、光の中でより濃く響くわ」 [74:0.25s]
私の言葉に、彼がこちらを見た。 [75:0.30s]
吐息が頬をかすめる距離。 [76:0.30s]
彼の手が、手すりの冷たさを確かめるように伸び、そして私の手の甲に触れた。 [77:0.30s]
冷たい指先が、一瞬で体温を帯びていく。 [78:0.30s]
「月よりも、あなたの香りを感じていたい」 [79:0.25s]
彼が囁く。 [80:0.30s]
風が彼の香りを運び、私を包み込む。 [81:0.30s]
休日の午後、マンションの中庭で彼に会った。 [82:0.30s]
彼はポケットから小さな小瓶を取り出した。 [83:0.30s]
「新しい香り、試してみてもらえませんか？ [84:0.30s]
」 [85:0.25s]
「ええ、喜んで」 [86:0.25s]
私が手首を差し出すと、彼が慎重に一滴、液体を落とした。 [87:0.30s]
冷たい感触が肌を滑り、すぐに体温で温められて香りが立ち上る。 [88:0.30s]
ベルガモットの爽やかさの中に、ジャスミンの甘さが隠れている。 [89:0.30s]
爽やかでいて、色気のある香り。 [90:0.30s]
「どうですか？ [91:0.30s]
」 [92:0.25s]
彼が顔を近づけてくる。 [93:0.30s]
香りを確かめるふりをして、私たちの距離は限界まで近づく。 [94:0.30s]
「……似合います」 [95:0.25s]
「あなたの肌で香ると、もっと良くなる」 [96:0.25s]
彼の囁きが香りをまとい、耳の奥で反響した。 [97:0.30s]
触れていないのに、全身を撫でられたような感覚に陥る。 [98:0.30s]
昼下がりの日差しの中で、私たちだけが夜の空気を纏っていた。 [99:0.30s]
「私のために、選んでくださったの？ [100:0.30s]
」 [101:0.25s]
「ええ。 [102:0.30s]
あなたのイメージです」 [103:0.25s]
その言葉が、どんな宝石よりも嬉しかった。 [104:0.30s]
私も彼のために、何かしたくなった。 [105:0.30s]
デパートの香水売り場に行き、自分のための香水を選んだ。 [106:0.30s]
「男性がつけても違和感のない、でも女性らしい香りを」 [107:0.25s]
店員に相談して選んだのは、ユニセックスなムスク系の香り。 [108:0.30s]
次に会った時、私はそれを手首につけていた。 [109:0.30s]
「……香りを、変えましたね？ [110:0.30s]
」 [111:0.25s]
彼はすぐに気づいた。 [112:0.30s]
「ええ。 [113:0.30s]
あなたの香りに、合うと思って」 [114:0.25s]
「素敵だ。 [115:0.30s]
僕たちの香りが混ざると、どんな匂いになるだろう」 [116:0.25s]
梅雨に入り、雨の日が続いたある午後。 [117:0.30s]
エントランスで雨宿りをしていると、彼が帰ってきた。 [118:0.30s]
「一緒に入りますか？ [119:0.30s]
」 [120:0.25s]
差し出された一本の傘。 [121:0.30s]
断る理由はなかった。 [122:0.30s]
雨音が布を叩くリズムが、二人の足音と重なる。 [123:0.30s]
「雨の匂い、好きですか？ [124:0.30s]
」 [125:0.25s]
「ええ。 [126:0.30s]
世界が静かになって、香りが湿って甘くなる気がして」 [127:0.25s]
「僕もです。 [128:0.30s]
あなたの声も、雨の日は少し低くなって、心地いい」 [129:0.25s]
「あなたに届くように、低くしているのかもしれません」 [130:0.25s]
大胆な言葉が自然と口をついて出る。 [131:0.30s]
雨音だけがそれを聞いていた。 [132:0.30s]
傘の中で肩が触れ合う。 [133:0.30s]
濡れたスーツの匂いと、彼の香水が混ざり合い、私の嗅覚を刺激する。 [134:0.30s]
雨に閉じ込められた、二人だけの世界。 [135:0.30s]
停電の夜があった。 [136:0.30s]
廊下は真っ暗で、非常灯の緑色の光だけが頼りだった。 [137:0.30s]
「大丈夫ですか、美和子さん」 [138:0.25s]
暗闇から彼の声がした。 [139:0.30s]
スマホのライトが私の足元を照らし、その光の中に彼の瞳が浮かび上がる。 [140:0.30s]
「暗いと、匂いが濃く感じますね」 [141:0.25s]
「あなたの声も、すぐ近くにあるみたい。 [142:0.30s]
視覚が奪われると、嗅覚と聴覚が鋭くなるのね」 [143:0.25s]
恐怖よりも、この暗闇がもたらす密室感に酔いしれていた。 [144:0.30s]
指先が触れそうで触れず、光と香りと息遣いだけが重なり合う。 [145:0.30s]
時間がゆっくりと伸び、暗闇が甘い蜜のように感じられた。 [146:0.30s]
彼の手が私の肩に触れた。 [147:0.30s]
安心させるような、けれど熱を含んだタッチ。 [148:0.30s]
「明かりがつくまで、ここにいましょう」 [149:0.25s]
秋が深まり、彼の香水も少し重めの、ウッディな香りを帯びたものに変わった。 [150:0.30s]
「季節が変わると、匂いも衣替えしたくて」 [151:0.25s]
「あなたの声にも、秋の音が混ざっているわね」 [152:0.25s]
冬には、マフラーの毛糸の匂いと香水が混ざり合った。 [153:0.30s]
「寒いと香りが飛ぶから、少し濃くしました」 [154:0.25s]
「甘さが際立って、素敵よ」 [155:0.25s]
彼が私のマフラーに触れると、毛糸越しに柔らかさと熱が指に移った。 [156:0.30s]
「あなたの香りに包まれていると、寒くないわ」 [157:0.25s]
ある夕暮れ、彼が小さな小箱を手に部屋を訪ねてきた。 [158:0.30s]
「開けてみますか？ [159:0.30s]
」 [160:0.25s]
中には、香水の瓶と手書きのカードが入っていた。 [161:0.30s]
『この香りを、あなたの声で試したい』 [162:0.25s]
栓を開けると、今までで一番スモーキーで、そして官能的な甘い匂いがした。 [163:0.30s]
イランイランとパチュリ。 [164:0.30s]
「強いですね、この香り」 [165:0.25s]
「あなたの声の強さに負けないように」 [166:0.25s]
一滴を手首に落とし、深く吸い込む。 [167:0.30s]
彼が手首に顔を寄せ、「似合います」と囁く声が、香りに染み込んで胸を痺れさせた。 [168:0.30s]
「これを着けて、どこに行きましょうか」 [169:0.25s]
「どこへも行かず、ここで香りが消えるまで……」 [170:0.25s]
夜、枕元でそのカードを何度も撫でた。 [171:0.30s]
「香りは記憶、声は温度」。 [172:0.30s]
廊下で交わしたささやき、屋上の月明かり、雨の日の相合い傘。 [173:0.30s]
どの場面にも、彼の香りと声があり、触れなくても近づける熱があった。 [174:0.30s]
明日、エレベーターの扉が開くとき、どんな香りが二人の間に混ざるだろうか。 [175:0.30s]
夜の静けさに身を沈め、香りと声が絡み合う余韻を抱きしめながら、私は目を閉じた。 [176:0.30s]
七十歳を前にして知った、五感で感じる恋の深みに、私は溺れていた。 [177:0.30s]
明日もまた、あのエレベーターに乗るのが楽しみで仕方がない。 [178:0.30s]
私の日常は、彼という香りによって、鮮やかに彩られている。 [179:0.30s]
