眠れない夜、天井の暗がりに「意味」という言葉が浮かんでは消える。 [1:0.30s]
ひびや影を一つ見つけ、その形を指で空中になぞる。 [91:0.30s]
なぞる行為は、意味を探さない観察だ。 [92:0.30s]
観察が終わると、心は少し軽くなる。 [93:0.30s]
彼はフランス郊外で劇団を作り、深夜までリハーサルをした。 [94:0.30s]
舞台の暗闇で、俳優の呼吸が揃うのを聞くのが好きだった。 [95:0.30s]
あなたも、部屋の空気の音を聞く。 [96:0.30s]
エアコンの微かな振動、外の車の遠い音、布団の擦れる音。 [97:0.30s]
音たちは意味を持たない。 [98:0.30s]
ただそこにある。 [99:0.30s]
意味を持たない音と一緒にいると、あなたも意味を手放せる。 [100:0.30s]
音の代わりに、完全な静寂が訪れたら、それも受け取る。 [101:0.30s]
静寂は何も要求しない。 [102:0.30s]
要求されない状態に身を置くと、意味を作る癖が休む。 [103:0.30s]
休むとき、人は少し眠くなる。 [104:0.30s]
カミュは自分の人生を「太陽と影の間を歩く」と表現した。 [105:0.30s]
今夜、あなたも影の側に寄る。 [106:0.30s]
明かりを背にし、壁に映る自分の影を眺める。 [107:0.30s]
影は何も求めない。 [108:0.30s]
求めない存在を見ていると、自分も求めるのをやめられる。 [109:0.30s]
彼は「愛とは、解釈されない沈黙を共有すること」と書いた。 [110:0.30s]
誰か一人を思い浮かべ、その人と沈黙を共有する。 [111:0.30s]
相手の呼吸を想像し、自分の呼吸と重ねる。 [112:0.30s]
呼吸の重なりだけが会話になる。 [113:0.30s]
意味は要らない。 [114:0.30s]
呼吸が繋がれば、それで夜は十分だ。 [115:0.30s]
沈黙が不安なら、耳たぶをそっとつまみ、軽く引いてから離す。 [116:0.30s]
耳は体の扉だ。 [117:0.30s]
扉を開け閉めする所作で、沈黙が出入りする道ができる。 [118:0.30s]
道ができると、沈黙は怖くない。 [119:0.30s]
カミュは「世界は美しい。 [120:0.30s]
それに反して生きることはできない」とも言った。 [121:0.30s]
意味がなくても、美しい瞬間はある。 [122:0.30s]
枕の下に手を滑り込ませ、布の柔らかさを感じる。 [123:0.30s]
柔らかさは美しさの一片だ。 [124:0.30s]
柔らかさに指を沈め、指に残った感触を覚える。 [125:0.30s]
感触は言葉より先に心を満たす。 [126:0.30s]
彼は夜、原稿用紙を一枚机に置き、「今日は書かない」と決めて寝た。 [127:0.30s]
あなたも、何もしないための紙を一枚枕元に置く。 [128:0.30s]
「今日は書かない」と心で言い、紙を裏返す。 [129:0.30s]
裏返した紙が「不作為の決意」になる。 [130:0.30s]
紙の上に小石やコインをそっと置いてもいい。 [131:0.30s]
重さを紙に預けると、紙が夜の重荷を引き受ける。 [132:0.30s]
紙に重さを渡したら、あなたの手は空になる。 [133:0.30s]
空になった手で布団を撫で、布団に入る。 [134:0.30s]
カミュは砂漠の夜の冷たさを愛した。 [135:0.30s]
足首からふくらはぎにかけて、想像の冷たい風を一筋流す。 [136:0.30s]
風は膝で止まり、そこで溜まる。 [137:0.30s]
溜まった冷たさが、意味に火照った頭をゆっくり冷ます。 [138:0.30s]
冷たさを感じたら、布団の熱に溶かしていく。 [139:0.30s]
熱と冷たさが混ざるところが、あなたの中の中立地帯だ。 [140:0.30s]
裏返した紙の上に手のひらを一度置き、温度を移す。 [141:0.30s]
温度が紙に移ると、紙があなたの代わりに夜を過ごす。 [142:0.30s]
紙に夜を任せ、あなたは眠りに沈む。 [143:0.30s]
カミュは最後の年、車に乗り、原稿を鞄に入れたまま事故で亡くなった。 [144:0.30s]
彼の未完の原稿は、意味を持たないまま残った。 [145:0.30s]
それでも、彼が生きた時間には太陽と海と煙草と友があった。 [146:0.30s]
あなたの一日にも、小さな太陽、小さな海、小さな煙草、小さな友があったかもしれない。 [147:0.30s]
思い出せなくてもいい。 [148:0.30s]
あったかもしれないと想像するだけでいい。 [149:0.30s]
もし途中で目が覚めたら、カミュの海を思い出す。 [150:0.30s]
布団の中で手のひらをこすり合わせ、熱を作る。 [151:0.30s]
熱を胸に当て、「これが海の温度だ」と心で言う。 [152:0.30s]
海の温度は、意味のない波を受け入れる温度だ。 [153:0.30s]
温度を感じたら、目を閉じ、波の音を一つだけ想像して、沈む。 [154:0.30s]
目が冴えても、自分を責めない。 [155:0.30s]
カミュは「不条理を責めない。 [156:0.30s]
受け入れ、微笑む」と書いた。 [157:0.30s]
布団の中で、口角をほんの少しだけ上げる。 [158:0.30s]
微笑みは、意味を作らずに生きる顔の形だ。 [159:0.30s]
形だけでいい。 [160:0.30s]
形だけで、夜は少し柔らかくなる。 [161:0.30s]
最後に、今夜試す小さな一歩を並べよう。 [162:0.30s]
光を絞り、意味のあるものを暗がりに置く。 [163:0.30s]
岩を胸に抱き、吐く息で形を変える。 [164:0.30s]
小石の冷たさと重さを感じ、鼓動を光として受け取る。 [165:0.30s]
「今は答えない」と三度唱え、夜の友のフレーズを呼吸に乗せる。 [166:0.30s]
スマートフォンに布をかけ、影を眺め、音を背景の毛布にする。 [167:0.30s]
紙を裏返し、「今日は書かない」と決める。 [168:0.30s]
できるところだけでいい。 [169:0.30s]
全部でなくてもいい。 [170:0.30s]
不条理はそこにあるが、あなたの呼吸もそこにある。 [171:0.30s]
おやすみ。 [172:0.30s]
