私たちが暮らすこの地球は、中心部に灼熱の核を持つ、中身の詰まった球体である。 [1:0.30s]
ハレーは、地球磁場の変動を説明するために、地球の内部に複数の球殻が入れ子状に存在すると考えました。 [30:0.30s]
それぞれの球殻が独立して回転し、その相互作用が磁場の変化を生み出すと。 [31:0.30s]
これは、当時の科学水準では、合理的な仮説でした。 [32:0.30s]
19世紀には、アメリカの軍人ジョン・クリーブス・シムズが、地球空洞説を熱心に主張しました。 [33:0.30s]
彼は1818年、アメリカ議会に請願書を提出し、北極への探検隊派遣を求めました。 [34:0.30s]
シムズは、北極と南極に、地球内部へと通じる巨大な穴が存在すると主張し、自らその穴を通過して地底世界を探検しようとしました。 [35:0.30s]
彼の主張は多くの支持を得ました。 [36:0.30s]
アメリカの一部の新聞は、彼の説を真剣に報道しました。 [37:0.30s]
著名な科学者の中にも、彼の説に興味を示す者がいたのです。 [38:0.30s]
しかし、現代の地震波の研究によって、地球の内部構造が明らかになり、科学界では地球空洞説は完全に否定されています。 [39:0.30s]
地震波は地球の内部を通過する際に、その層の密度によって速度が変わります。 [40:0.30s]
この地震波の解析により、地球の内部構造が詳細に判明したのです。 [41:0.30s]
それでもなお、この説を信じる人々は後を絶ちません。 [42:0.30s]
むしろ、インターネットの普及により、地球空洞説を支持する人々のコミュニティは拡大しています。 [43:0.30s]
なぜ、科学が否定した説が、今も生き続けているのでしょうか。 [44:1.00s]
第2章：バード少将の日誌 [45:1.00s]
1947年2月、アメリカ海軍の提督リチャード・E・バードは、北極探検を行いました。 [46:0.30s]
ハイジャンプ作戦と名付けられたこの任務は、南極の基地建設と探査を目的とした公式任務でした。 [47:0.30s]
彼の秘密の日誌とされる文書には、驚くべき記録が残されています。 [48:0.30s]
2月19日、バードの飛行機は、北極点を越えて飛行していました。 [49:0.30s]
それまでの記録には、一面の氷原、白い景色が広がるばかりと記されていました。 [50:0.30s]
すると、突然、下方に奇妙な風景が現れたというのです。 [51:0.30s]
そこには、氷ではなく、緑の森と川が広がっていました。 [52:0.30s]
気温計は、氷点下から、摂氏19度まで上昇しました。 [53:0.30s]
北極で、このような温度はあり得ないことです。 [54:0.30s]
バードは日誌に記しました。 [55:0.30s]
信じられない。 [56:0.30s]
氷の下に、緑の大地がある。 [57:0.30s]
機体のエンジン音が変わった。 [58:0.30s]
何かが、私たちを導いている。 [59:0.30s]
さらに飛行を続けると、見たこともない動物が歩いているのが見えました。 [60:0.30s]
まるで、マンモスのような巨大な生物でした。 [61:0.30s]
毛皮に覚われた象のような、しかし現代には存在しないはずの生き物が、確かにそこにいたのです。 [62:0.30s]
そして、彼の飛行機は、突然、見えない力によって操縦不能になり、どこかへ導かれていきました。 [63:0.30s]
コンパスは狂ったように回転し、無線も雑音だらけとなりました。 [64:0.30s]
着陸すると、そこには信じがたい光景が広がっていました。 [65:0.30s]
高度な文明を持つ、人間のような存在が彼を迎えたのです。 [66:0.30s]
彼らは長身で、金髪、青い目をしていたといいます。 [67:0.30s]
完全に平和的な態度で、バード一行を迎えました。 [68:0.30s]
彼らは、自分たちは地球内部の住人であり、地上の人類が核兵器を使用したことに深い懸念を抱いていると語りました。 [69:0.30s]
広島と長崎の悲劇を、彼らは知っていたのです。 [70:0.30s]
核の炎は、地上だけでなく、地球全体に影響を及ぼす。 [71:0.30s]
だからこそ、彼らはバードに警告を伝えようとしたのです。 [72:1.00s]
第3章：日誌の真贋 [73:1.00s]
バード少将の秘密の日誌は、1990年代にインターネット上で公開されました。 [74:0.30s]
しかし、その真贋については、激しい論争があります。 [75:0.30s]
懐疑派は、この日誌は後世に作られた偽物だと主張します。 [76:0.30s]
なぜなら、バード少将の公式な記録や、同行した他の隊員の証言には、このような出来事は一切記録されていないからです。 [77:0.30s]
公式に記録されたハイジャンプ作戦の報告書には、緑の森も、マンモスも、地底人も登場しません。 [78:0.30s]
飛行記録は、極めて通常の南極探査として記述されています。 [79:0.30s]
また、この日誌に記された日付や、飛行経路には、矛盾点が多数あります。 [80:0.30s]
たとえば、日誌では2月19日に北極の穴を発見したとされていますが、公式記録ではその日、バードは南極にいたことになっています。 [81:0.30s]
一方、信奉者たちは、この日誌は本物であり、アメリカ政府が機密扱いにして隠蔽したのだと主張します。 [82:0.30s]
地底文明の存在は、人類史を根底から覆す重大な秘密です。 [83:0.30s]
もし公表されれば、世界の権力構造は崩壊し、パニックが広がるかもしれません。 [84:0.30s]
だからこそ、政府は隙蔽を続けているのだ、と。 [85:0.30s]
さらには、バードが死ぬ直前まで、地底世界のことを語り続けていたという証言もあります。 [86:0.30s]
彼の親族や友人たちは、バードが最後まで永遠の氷の地平線の向こうにある世界のことを話していたと言います。 [87:0.30s]
真実は、今もって分かりません。 [88:0.30s]
しかし、一つだけ確かなことがあります。 [89:0.30s]
それは、バード少将が実際に南極で何かを見たということです。 [90:0.30s]
それが何であったのかは、永遠に謎のままかもしれません。 [91:1.00s]
第4章：北極と南極の穴 [92:1.00s]
地球空洞説によれば、北極と南極には、地球内部へと通じる巨大な穴が存在するとされています。 [93:0.30s]
この穴は、直径約2000キロメートルもあり、飛行機や船で通過できるというのです。 [94:0.30s]
地球の直径が約1万6400キロメートルですから、これは非常に巨大な穴です。 [95:0.30s]
しかし、現代の衛星写真を見ても、北極や南極に、そのような巨大な穴は確認できません。 [96:0.30s]
数千枚の衛星画像を解析しても、そこには氷しかないのです。 [97:0.30s]
空洞説の支持者たちは、衛星写真が加工されており、穴が隠されていると主張します。 [98:0.30s]
実際、Google Earthなどの衛星画像では、北極と南極の中心部分が、不自然にぼやけています。 [99:0.30s]
これは、単に衛星の軌道の関係で、極地の画像が得られにくいためだと説明されています。 [100:0.30s]
衛星は地球の赤道上空を周回しているため、極地を真上から撮影することが難しいのです。 [101:0.30s]
しかし、陰謀論者たちは、これが意図的な隠蔽だと信じています。 [102:0.30s]
NASAや各国の宇宙機味が、協力して真実を隠しているのだ、と。 [103:0.30s]
さらに彼らは、南極上空の飛行が厳しく制限されていることを指摘します。 [104:0.30s]
南極条約により、南極大陸の一部地域への飛行は許可制です。 [105:0.30s]
それは、何かを隠すためではないのか、と。 [106:1.00s]
第5章：アガルタとシャンバラ [107:1.00s]
地球内部に存在するとされる文明は、アガルタと呼ばれています。 [108:0.30s]
アガルタは、サンスクリット語で到達不能な場所という意味です。 [109:0.30s]
この地下王国には、高度な科学技術を持つ種族が住んでいるとされています。 [110:0.30s]
彼らは、地上よりも数千年進んだ科学を持ち、永久とも言えるほどの寿命を持つと言われています。 [111:0.30s]
また、シャンバラという地下都市も、チベット仏教の伝説に登場します。 [112:0.30s]
シャンバラは、完全に平和で、争いのない理想郷だと言われています。 [113:0.30s]
この都市は、物質的な富だけでなく、精神的な啓発をもたらす場所とされています。 [114:0.30s]
チベットの僧侶たちは、何世紀もの間、シャンバラへの道を探し続けてきました。 [115:0.30s]
19世紀のフランスの作家サン＝ティーヴ・ダルヴェードルは、小説の中でアガルタを詳しく描写しました。 [116:0.30s]
彼の描写によれば、アガルタには約2000万人が住んでおり、首都はシャンバラだとされています。 [117:0.30s]
アガルタの社会は、完全な階層社会でありながら、全員が自分の役割に満足しているといいます。 [118:0.30s]
消費や資源をめぐる競争はなく、全てが調和しているのです。 [119:0.30s]
この小説が、アガルタ伝説を広めるきっかけとなりました。 [120:0.30s]
20世紀に入り、この伝説は様々な形で語られ、多くの作品の素材となりました。 [121:1.00s]
第6章：ナチスの地下世界探求 [122:1.00s]
第二次世界大戦中、ナチス・ドイツは、地球空洞説を信じ、地下世界への入り口を探していたとされています。 [123:0.30s]
ヒトラーは、オカルトに強い関心を持っており、超古代文明や、秘密の知識を求めていました。 [124:0.30s]
彼は、アーリア人種の起源が地底世界にあると信じていたとも言われています。 [125:0.30s]
ナチスのイデオロギーと、地球空洞説は、奇妙に融合していたのです。 [126:0.30s]
ナチスは、チベットに探検隊を派遣し、シャンバラへの入り口を探したと言われています。 [127:0.30s]
1938年と〹1939年、SS隊員たちがチベットに送られ、古代の文書を探しました。 [128:0.30s]
また、南極にも秘密基地を建設し、地下世界への入り口を探したという噂があります。 [129:0.30s]
1938年、ナチスは南極に探検隊を送り、ニューシュヴァーベンラントと名付けた地域を領有宣言しました。 [130:0.30s]
この探検では、広大な南極大陸の一部を航空写真で記録し、ナチスの旗を流しました。 [131:0.30s]
戦後、この地域に、ナチスの秘密基地、新ベルリンが建設されたという都市伝説が生まれました。 [132:0.30s]
さらに、この基地は地下深くまで続いており、地球内部へと通じているという説もあります。 [133:0.30s]
この伝説によれば、ヒトラーは戦争の終わりに自殺したのではなく、南極の基地に逃げ、そこから地底世界へと入ったとされています。 [134:0.30s]
しかし、これらはすべて証拠のない噂話です。 [135:0.30s]
ナチスがオカルトに関心を持っていたのは事実ですが、地球空洞説を国家プロジェクトとして追求したという明確な証拠はありません。 [136:1.00s]
第7章：科学的反証 [137:1.00s]
現代の地球科学は、地球空洞説を完全に否定しています。 [138:0.30s]
地震波の研究によって、地球の内部構造は詳しく解明されています。 [139:0.30s]
地球は、地殻、マントル、外核、内核という 層状の構造を持っており、空洞はありません。 [140:0.30s]
地震が起きると、その振動は地球の内部を通過します。 [141:0.30s]
P波とS波という異なる種類の地震波が、地球の内部を通過する際に、その速度が変化します。 [142:0.30s]
この変化を解析することで、地球内部の密度や組成がわかるのです。 [143:0.30s]
外核は液体の鉄とニッケルでできており、その運動が地球磁場を生み出しています。 [144:0.30s]
もし地球が空洞なら、このような磁場は生まれません。 [145:0.30s]
コンパスが機能するのも、地球の内部が中身の詰まった球体だからなのです。 [146:0.30s]
また、地球の質量と重力から計算しても、地球が空洞である可能性はゼロです。 [147:0.30s]
地球の質量は約5.972×10の24乗キログラムです。 [148:0.30s]
もし空洞なら、地球の質量は現在の値よりもはるかに小さくなるはずです。 [149:0.30s]
さらに、もし北極や南極に巨大な穴があれば、海水がそこに流れ込み、巨大な渦ができるはずです。 [150:0.30s]
しかし、そのような現象は観測されていません。 [151:0.30s]
科学的証拠は、圧倒的に地球空洞説を否定しています。 [152:0.30s]
それでも、信じる人々がいるのはなぜでしょうか。 [153:1.00s]
第8章：それでも信じる理由 [154:1.00s]
科学的には完全に否定されているにもかかわらず、なぜ地球空洞説を信じる人々がいるのでしょうか。 [155:0.30s]
一つの理由は、ロマンです。 [156:0.30s]
私たちがまだ知らない、神秘的な世界が存在するという考えは、心を惹きつけます。 [157:0.30s]
未知の文明、見たこともない生き物、地下に広がる別の世界。 [158:0.30s]
そのような想像は、日常の退屈さから私たちを解放してくれます。 [159:0.30s]
もう一つの理由は、政府や科学界への不信です。 [160:0.30s]
権力者たちが、真実を隠蔽しているという陰謀論は、多くの人々に受け入れられやすいのです。 [161:0.30s]
歴史上、政府が秘密を隠してきた例は数多くあります。 [162:0.30s]
そのため、地球空洞説の隠蔽も、あり得ないことではないと感じるのです。 [163:0.30s]
また、古代の神話や伝説が、地下世界の存在を示唆しているという点も、人々の想像力をかき立てます。 [164:0.30s]
なぜ、世界中の古代文明が、同じような地下世界の神話を持っているのか。 [165:0.30s]
それは単なる偶然なのか、それとも何か共通の起源があるのか。 [166:0.30s]
さらに言えば、現代社会への不満も、地球空洞説を支持する理由の一つです。 [167:0.30s]
地上の世界は、戦争、環境破壊、不平等に満ちています。 [168:0.30s]
それに対して、地底世界アガルタは、理想郷として描かれます。 [169:0.30s]
完全な平和、高度な科学技術、調和のとれた社会。 [170:0.30s]
そのような世界が存在してほしい、という願望が、地球空洞説を信じさせるのです。 [171:1.00s]
第9章：別の可能性 [172:1.00s]
地球が完全に空洞である可能性はゼロですが、地球内部に巨大な空洞が存在する可能性はあります。 [173:0.30s]
実際、地球の地殻には、多くの洞窟や地下空間が存在します。 [174:0.30s]
世界最大の洞窟、ベトナムのソンドン洞窟は、高さ200メートル、長さ9キロメートルもあります。 [175:0.30s]
その内部には、独自の生態系が存在し、地上では見られない生物が生息しています。 [176:0.30s]
洞窟の天井が崩れてできた天窓から差し込む光によって、洞窟の中でジャングルが形成されているのです。 [177:0.30s]
また、地下深くには、マグマ溜まりや、地下水脈による空洞も存在します。 [178:0.30s]
地球のマントルの一部は、部分的に溶融しており、巨大な空間を形成している可能性があります。 [179:0.30s]
さらに、地球のマントルには、リングウッダイトという鉱物が大量に存在し、その中には海洋と同じくらいの量の水が含まれている可能性があることが、近年の研究で分かっています。 [180:0.30s]
地下410キロメートルから660キロメートルの深さに、地球上の全海洋の水量に匹敵する水が存在するかもしれないのです。 [181:0.30s]
つまり、地球の内部には、私たちがまだ知らない、巨大な水の層があるかもしれないのです。 [182:0.30s]
完全な空洞ではないにせよ、地球の内部には、まだ多くの謎が残されています。 [183:0.30s]
そして、私たちは、その謎の解明に、まだほんの一歩を踏み出したばかりなのです。 [184:1.00s]
結び：足元の謎 [185:1.00s]
地球空洞説は、科学的には否定 されています。 [186:0.30s]
しかし、それが人々を魅了し続けているのは、人間の探求心と想像力の表れです。 [187:0.30s]
私たちは、宇宙の果てを探求しています。 [188:0.30s]
火星への移住計画、太陽系の外への探査。 [189:0.30s]
人類は、常に遠くを見つめてきました。 [190:0.30s]
しかし、自分たちの足元、地球の深部についても、まだ多くのことを知りません。 [191:0.30s]
地球内部へ人類が到達した最深記録は、わずか12キロメートル程度です。 [192:0.30s]
それは、旧ソ連が行ったコーラ半島超深度掘削坑の記録です。 [193:0.30s]
1970年から1989年まで続けられたこの掘削は、技術的な限界と、予算の問題で中止されました。 [194:0.30s]
地球の中心までは、約6400キロメートルあります。 [195:0.30s]
つまり、私たちは、自分たちが住む惑星の、ほんのわずかな表面しか知らないのです。 [196:0.30s]
地球の半径の0.2パーセントにも満たない深さまでしか、直接調査できていないのです。 [197:0.30s]
もしかしたら、地球の深部には、私たちが想像もしない何かが存在するのかもしれません。 [198:0.30s]
それは、地底文明ではないかもしれません。 [199:0.30s]
しかし、未知の鉱物、未知の生命体、未知の物理現象が、そこにあるかもしれないのです。 [200:0.30s]
地球空洞説は、荒唐無稽な神話かもしれません。 [201:0.30s]
しかし、それが私たちに教えてくれることがあります。 [202:0.30s]
それは、私たちがまだ知らないことが、あまりにも多いということです。 [203:0.30s]
最後までご覧いただき、ありがとうございました。 [204:0.30s]
もし、この地球空洞説に興味を持たれたなら、ぜひ高評価とチャンネル登録をお願いします。 [205:0.30s]
そして、コメント欄で教えてください。 [206:0.30s]
あなたは、地球内部に何があると思いますか？ [207:0.30s]
それでは、また次の動画でお会いしましょう。 [208:0.30s]
真実は、私たちの足元、遥か深くに眠っています。 [209:0.30s]
