1963年11月22日、午後12時30分。 [1:0.30s]
委員会によれば、このたった1発の弾丸が、ケネディの背中から入り、喉から抜け、前の座席にいたコナリー知事の背中に入り、胸を抜け、右手首を砕き、最後に左太ももに食い込んだというのです。 [54:0.30s]
しかも、これほど人体や骨を貫通し破壊したにもかかわらず、後にストレッチャーの上で発見された弾丸（証拠番号CE399）は、ほぼ無傷のきれいな状態でした。 [55:0.30s]
常識的に考えて、弾頭が潰れていないのはあり得ません。 [56:0.30s]
さらに、この弾道を描くには、弾丸が空中でジグザグに曲がり、一時停止し、再び加速するという魔法を使わなければなりません。 [57:0.30s]
この理論を考案したのは、後に上院議員となるアーレン・スペクター調査官でしたが、これは単独犯という結論を維持するために無理やり捻り出された、苦肉の策だったことは明らかです。 [58:0.30s]
また、ケネディが最初に運び込まれたパークランド記念病院の医師たちの証言も、公式発表と真っ向から対立しています。 [59:0.30s]
治療にあたったマルコム・ペリー医師をはじめとする複数の医師が、ケネディの喉の傷は「前方から撃たれた射入口」であると明言していました。 [60:0.30s]
しかし、後に遺体がベセスダ海軍病院に移送され、検死が行われると、その傷は「気管切開による傷」として処理され、証言も歪められてしまいました。 [61:0.30s]
なぜ、医師たちの専門的な見解が無視されたのか。 [62:0.30s]
そこには、どうしても「後方からの狙撃」というシナリオを守らなければならない、強力な圧力が働いていたのではないでしょうか。 [63:0.30s]
魔法の弾丸は、物理学への冒涜であると同時に、国民の知性に対する侮辱でもあったのです。 [64:1.00s]
第3章：グラシー・ノールの銃声 [65:1.00s]
「銃声は前方から聞こえた」 [66:0.25s]
事件当時、ディーリープラザにいた多くの目撃者がそう証言しました。 [67:0.30s]
彼らが指差したのは、教科書倉庫ビルではなく、パレードルートの前方右側にあった小高い丘、「グラシー・ノール（草の生えた丘）」でした。 [68:0.30s]
そこには木の柵があり、その背後から硝煙が上がったのを見たという証言や、不審な男たちが逃げ去るのを見たという証言が数多く残されています。 [69:0.30s]
中には、シークレットサービスの身分証を見せた男に追い払われたという警察官の証言まであります。 [70:0.30s]
さらに、科学的な証拠もあります。 [71:0.30s]
事件当時、現場にいた白バイの無線マイクがオンの状態になっており、銃声を含む音声が録音されていました（ディクタベルト録音）。 [72:0.30s]
1979年、下院暗殺調査委員会（HSCA）がこの音声を最新の音響解析にかけた結果、「少なくとも4発の銃声」が記録されており、そのうちの1発は「グラシー・ノールから発射された可能性が高い」と結論づけました。 [73:0.30s]
つまり、オズワルド以外にもう一人、別の狙撃手がいたのです。 [74:0.30s]
そして、グラシー・ノールで撮影された写真（メアリー・モーマン写真）を拡大解析すると、木の柵の背後に、警察官の制服を着てライフルを構えたような人影が浮かび上がります。 [75:0.30s]
これは通称バッジ・マンと呼ばれています。 [76:0.30s]
また、事件直後に近くの貨車から発見され、連行された「三人の浮浪者（スリー・トランプス）」も謎に包まれています。 [77:0.30s]
彼らは身なりが小綺麗で、高級な靴を履いており、警察署に連行されたものの、尋問記録も残されずに釈放されました。 [78:0.30s]
彼らは一体何者だったのか？ [79:0.30s]
CIAの工作員だったのか、それともプロのヒットマンだったのか。 [80:0.30s]
状況証拠は、現場に複数の実行部隊が配置されていたことを強く示唆しています。 [81:1.00s]
第4章：CIAの逆襲 [82:1.00s]
「CIAを千の破片に砕いて、風に撒いてやる」 [83:0.25s]
これは、ケネディが生前、側近に漏らしたとされる有名な言葉です。 [84:0.30s]
1961年のピッグス湾事件（キューバ侵攻作戦）の失敗をきっかけに、ケネディはCIAへの不信感を募らせ、当時の長官アレン・ダレスを更迭しました。 [85:0.30s]
さらに、CIAが立案した「ノースウッズ作戦」という狂気の計画を却下しました。 [86:0.30s]
これは、アメリカ国内で自作自演のテロを起こし、それをキューバのせいにして戦争を始めるという恐るべき計画でした。 [87:0.30s]
また、CIAはマフィアと手を組み、カストロ暗殺を企てる「モンゲスト作戦」を極秘裏に進めていましたが、ケネディはこの無法な活動にもブレーキをかけようとしていました。 [88:0.30s]
平和を望み、軍事介入を拒むケネディは、冷戦構造の中で権力を拡大したいCIAにとって、邪魔な存在でしかありませんでした。 [89:0.30s]
皮肉なことに、ケネディ暗殺を調査したウォーレン委員会のメンバーには、彼が解任したはずのアレン・ダレスが含まれていました。 [90:0.30s]
被疑者になり得る組織のトップが、捜査を指揮する側にいたのです。 [91:0.30s]
これでは、真実が明らかになるはずがありません。 [92:0.30s]
後に、ウォーターゲート事件に関与した元CIA工作員E・ハワード・ハントは、死の床で「ケネディ暗殺はCIAの仕業であり、リンドン・ジョンソンも関与していた」と衝撃的な告白を残しています。 [93:1.00s]
第5章：裏切られたマフィア [94:1.00s]
ケネディ家とマフィアの癒着は、父親のジョセフ・ケネディの時代にまで遡ります。 [95:0.30s]
禁酒法時代の密造酒ビジネスでマフィアと深い関係を築いたジョセフは、息子のジョンを大統領にするために、シカゴのボスであるサム・ジアンカーナに選挙協力を依頼したと言われています。 [96:0.30s]
マフィアは、ケネディ政権になれば自分たちのビジネスが見逃されると期待し、裏工作を行いました。 [97:0.30s]
しかし、大統領になったケネディは、弟のロバート・ケネディを司法長官に任命し、マフィアに対する徹底的な摘発を開始しました。 [98:0.30s]
「飼い犬に手を噛まれた」マフィアの怒りは頂点に達しました。 [99:0.30s]
彼らにとって、ケネディの裏切りは許されざる死罪に値するものでした。 [100:0.30s]
特に、ニューオーリンズのボスであるカルロス・マルセロや、シカゴ・アウトフィットのサム・ジアンカーナといった大物たちは、公然とケネディへの殺意を口にしていたと言われています。 [101:0.30s]
さらに、ケネディとジアンカーナは、ジュディス・キャンベル・エクスナーという一人の女性を愛人として共有していたことまで発覚しています。 [102:0.30s]
国家の最高権力者と裏社会のボスが、一人の女性を通じて繋がっていたのです。 [103:0.30s]
実は、CIAとマフィアは、カストロ暗殺という共通の目的のために手を組んでいました。 [104:0.30s]
この黒い同盟が、その矛先をカストロからケネディへと変えたとしても、不思議ではありません。 [105:0.30s]
オズワルドを射殺したジャック・ルビーが、マフィアの手下であったことは公然の事実です。 [106:0.30s]
彼は「愛国心からやった」と供述しましたが、実際には口封じのために送り込まれたヒットマンだった可能性が高いのです。 [107:1.00s]
第6章：戦争という名のビジネス [108:1.00s]
軍産複合体という言葉を初めて使ったのは、ケネディの前任者アイゼンハワー大統領でした。 [109:0.30s]
彼は退任演説で、軍部と軍需産業が結びつき、政治に不当な影響力を持つことの危険性を警告しました。 [110:0.30s]
ケネディはその警告を真剣に受け止めていました。 [111:0.30s]
彼は暗殺の直前、「国家安全保障行動覚書（NSAM）263号」に署名していました。 [112:0.30s]
これは、ベトナムから1965年までに米軍を完全撤退させるという計画でした。 [113:0.30s]
しかし、ケネディが死んだ瞬間、この計画は白紙に戻されました。 [114:0.30s]
後任のリンドン・ジョンソン大統領は、就任からわずか数日後に「NSAM 273号」に署名し、ベトナム政策を撤退から拡大へと180度転換させたのです。 [115:0.30s]
その結果、泥沼のベトナム戦争が始まり、ベル・ヘリコプター社をはじめとする軍需企業は莫大な利益を上げました。 [116:0.30s]
ケネディの死によって、最も得をしたのは誰か。 [117:0.30s]
戦争をビジネスとする死の商人たちにとって、平和を愛する大統領は、利益を阻む最大の敵だったのです。 [118:0.30s]
そして、その利益を享受したリンドン・ジョンソン自身にも、黒い噂が絶えません。 [119:0.30s]
彼の愛人だったマデリン・ブラウンは、晩年、衝撃的な証言を残しています。 [120:0.30s]
暗殺の前夜、ダラスの石油王クリント・マーチソンの自宅で秘密会議が開かれ、そこから戻ったジョンソンは彼女にこう囁いたというのです。 [121:0.30s]
「明日以降、あのケネディたちが二度と私に恥をかかせることはないだろう」 [122:0.25s]
これは、単なる強がりだったのでしょうか、それとも翌日の惨劇を知っていたのでしょうか。 [123:0.30s]
エアフォース・ワンの中で行われた大統領就任宣誓の直後、彼がウインクをしているように見える写真も、多くの憶測を呼んでいます。 [124:1.00s]
第7章：黒塗りの真実 [125:1.00s]
1991年の映画『JFK』の公開をきっかけに、国民の関心が高まり、1992年に「ケネディ暗殺記録収集法」が制定されました。 [126:0.30s]
これにより、25年後の2017年までに全ての機密文書を公開することが義務付けられました。 [127:0.30s]
しかし、約束の2017年が来ても、全ての文書は公開されませんでした。 [128:0.30s]
トランプ大統領（当時）は、CIAやFBIからの強い要請を受け、一部の文書の公開を延期したのです。 [129:0.30s]
特に注目されているのが、CIAの工作員ジョージ・ジョアニデスに関するファイルです。 [130:0.30s]
彼は、オズワルドが接触していた反カストロ団体DREの指導役でした。 [131:0.30s]
もし、CIAがオズワルドを操っていた証拠がそこにあるとしたら？ [132:0.30s]
事件から60年以上が経過し、関係者のほとんどが鬼籍に入った今なお、国家が頑なに隠し続けなければならない不都合な真実とは何なのでしょうか。 [133:0.30s]
国家安全保障という言葉は、権力者の犯罪を隠蔽するための隠れ蓑に過ぎないのかもしれません。 [134:0.30s]
一部の研究者は、これを「リミテッド・ハングアウト（限定的な情報公開）」と呼んでいます。 [135:0.30s]
あえて一部の情報を小出しにすることで、「隠蔽はしていない」というポーズを取りつつ、核心部分（例えば、オズワルドのCIA給与番号や、具体的な作戦命令書など）は永遠に闇に葬り去る手法です。 [136:0.30s]
私たちが目にしているのは、巨大な氷山の一角に過ぎないのかもしれません。 [137:1.00s]
第8章：消された証人たち [138:1.00s]
「ケネディ暗殺の真相に近づく者は死ぬ」 [139:0.25s]
これは、決して都市伝説ではありません。 [140:0.30s]
事件直後から数年間の間に、目撃者や関係者が次々と不審な死を遂げています。 [141:0.30s]
有名なのは、人気ジャーナリストのドロシー・キルガレンです。 [142:0.30s]
彼女はジャック・ルビーへの単独インタビューに成功し、「この事件を覆す重大な情報を掴んだ」と友人に語っていました。 [143:0.30s]
しかしその直後、自宅で死体となって発見されました。 [144:0.30s]
死因は薬物の過剰摂取とされましたが、彼女が持ち歩いていた取材ノートは消え失せていました。 [145:0.30s]
また、グラシー・ノールの裏で不審な男たちを目撃した鉄道員リー・バウワーズは、不可解な交通事故で死亡。 [146:0.30s]
オズワルドの愛人だったジュディス・バーリーは、事故に見せかけて殺害されたと噂されています。 [147:0.30s]
さらに、ローズ・チェラミという女性のケースも有名です。 [148:0.30s]
彼女は麻薬中毒で保護された際、「金曜日に大統領が殺される」と予言していました。 [149:0.30s]
彼女はジャック・ルビーと面識があり、暗殺計画を知っていたのです。 [150:0.30s]
しかし、彼女もまた、後に不可解なひき逃げ事故で命を落としました。 [151:0.30s]
ある統計学者の計算によれば、これだけの重要証人が短期間に死亡する確率は「100兆分の1」だそうです。 [152:0.30s]
これは偶然ではなく、組織的な証拠隠滅が行われたと考えるのが自然でしょう。 [153:1.00s]
第9章：見えざる政府の影 [154:1.00s]
結局のところ、誰が引き金を引いたのかという問題よりも重要なのは、「なぜ彼が殺されなければならなかったのか」という動機です。 [155:0.30s]
ケネディは、あまりにも多くのタブーに触れすぎました。 [156:0.30s]
CIAの解体、ベトナムからの撤退、マフィアの撲滅、そして連邦準備制度（FRB）への挑戦。 [157:0.30s]
彼は、選挙で選ばれていない権力者たち、いわゆる「ディープステート（闇の政府）」にとって、コントロール不能な脅威となっていたのです。 [158:0.30s]
元空軍大佐で、CIAの秘密工作支援を担当していたL・フレッチャー・プラウティは、これを「シークレット・チーム」と呼びました。 [159:0.30s]
彼らにとって、大統領暗殺は「エグゼクティブ・アクション（執行命令）」と呼ばれる、単なる業務の一環に過ぎなかったのかもしれません。 [160:0.30s]
ダラスでの暗殺は、単なる殺人事件ではなく、見せしめのための公開処刑でした。 [161:0.30s]
「我々の利益を損なう者は、たとえ大統領であっても抹殺される」 [162:0.25s]
その強烈なメッセージは、その後の歴代大統領たちを沈黙させ、アメリカという国家を、軍産複合体が支配する戦争国家へと変質させてしまいました。 [163:0.30s]
アイゼンハワー大統領は、退任演説の草稿で当初「軍産議会複合体」と書いていました。 [164:0.30s]
しかし、議会への配慮から議会という言葉を削除したと言われています。 [165:0.30s]
もし彼が、政治家たちもまたこの巨大なシステムの一部であることを明確に警告していたら、歴史は変わっていたかもしれません。 [166:0.30s]
あの日、死んだのはケネディ一人ではありません。 [167:0.30s]
アメリカの民主主義そのものが、ダラスの路上で息絶えたのです。 [168:1.00s]
結び：消えない聖火 [169:1.00s]
アーリントン国立墓地にあるケネディの墓には、永遠の炎が燃え続けています。 [170:0.30s]
それは、彼が掲げた理想の光であると同時に、未だ解明されない真実を照らし出そうとする、私たちの執念の炎でもあります。 [171:0.30s]
ケネディは就任演説でこう言いました。 [172:0.30s]
「松明（たいまつ）は、新しい世代のアメリカ人に引き継がれた」 [173:0.25s]
今、その松明を受け継ぐのは、私たち一人ひとりです。 [174:0.30s]
真実を知ることは、時に痛みを伴います。 [175:0.30s]
しかし、目を背けてはいけません。 [176:0.30s]
私たちが沈黙した時、権力は暴走し、再び悲劇が繰り返されるからです。 [177:0.30s]
権力者たちは、不都合な真実を闇に葬り去ろうとします。 [178:0.30s]
しかし、私たちが疑問を持ち続け、語り継ぐ限り、真実は決して死にません。 [179:0.30s]
ケネディが命を賭して守ろうとした自由と平和の意志は、今も私たちの心の中に生きているはずです。 [180:0.30s]
最後までご覧いただき、ありがとうございました。 [181:0.30s]
もし、この動画が、あなたが世界の裏側にある真実について考えるきっかけになれば幸いです。 [182:0.30s]
ぜひ高評価とチャンネル登録、そしてコメント欄であなたの推理を聞かせてください。 [183:0.30s]
オズワルド単独犯説を信じますか？ [184:0.30s]
それとも、巨大な陰謀があったと思いますか？ [185:0.30s]
それでは、また次の動画でお会いしましょう。 [186:0.30s]
真実は、決して消えることのない炎のように、私たちを待ち続けています。 [187:0.30s]
