静寂に包まれた茶室。 [1:0.30s]
「その言葉、好きです」 [100:0.25s]
「僕もです。 [101:0.30s]
あなたとの出会いも、一期一会だ。 [102:0.30s]
だから、一瞬も無駄にしたくない」 [103:0.25s]
タオルを渡してくれる彼の視線が、熱を帯びている。 [104:0.30s]
ある雨の日。 [105:0.30s]
茶室の窓を開け、雨音を聞きながらお茶を点てた。 [106:0.30s]
雨が庭の石灯籠を濡らし、色が濃くなる。 [107:0.30s]
苔の緑が鮮やかだ。 [108:0.30s]
「雨音と、茶を点てる音。 [109:0.30s]
リズムが似ていますね」 [110:0.25s]
「あなたの呼吸とも、似ています」 [111:0.25s]
彼が言った。 [112:0.30s]
「あなたの点てるお茶は、優しい音がする。 [113:0.30s]
心がほどける音だ。 [114:0.30s]
ささくれだった神経を撫でてくれる。 [115:0.30s]
母に抱かれているような、そんな安心感がある」 [116:0.25s]
褒められた嬉しさに、頬が熱くなる。 [117:0.30s]
彼が懐紙を取り出し、和菓子を載せてくれた。 [118:0.30s]
「これは？ [119:0.30s]
」 [120:0.25s]
「練り切りです。 [121:0.30s]
僕が作りました」 [122:0.25s]
「えっ、お菓子まで？ [123:0.30s]
」 [124:0.25s]
「陶芸も菓子作りも、練る作業は同じですから」 [125:0.25s]
薄紅色の菓子。 [126:0.30s]
口に含むと、上品な甘さが広がった。 [127:0.30s]
「……甘い」 [128:0.25s]
「あなたに似合うと思って。 [129:0.30s]
少し塩を効かせてあります」 [130:0.25s]
「……意地悪ですね」 [131:0.25s]
「塩があるから、甘さが引き立つんですよ。 [132:0.30s]
人生と同じです」 [133:0.25s]
詩的な言葉に、胸が締め付けられる。 [134:0.30s]
冬、雪が降った日。 [135:0.30s]
釜の湯気が一段と白く見える。 [136:0.30s]
外は銀世界。 [137:0.30s]
静寂が深まる。 [138:0.30s]
「寒いですね」 [139:0.25s]
「ええ。 [140:0.30s]
でも、ここだけは別世界みたい。 [141:0.30s]
時間が止まっているようです」 [142:0.25s]
彼が、焼きたての茶碗を持ってきた。 [143:0.30s]
軍手を二重にして。 [144:0.30s]
「まだ熱い。 [145:0.30s]
冷める前に、触れてください」 [146:0.25s]
私が茶碗を包み込むように持つと、強烈な熱が掌を襲った。 [147:0.30s]
火傷しそうなほどの熱。 [148:0.30s]
でも、離したくない。 [149:0.30s]
「……熱いです」 [150:0.25s]
「その熱さを、覚えていてほしい。 [151:0.30s]
土が炎を記憶するように、あなたにも記憶してほしい」 [152:0.25s]
彼の瞳が、炎のように揺れていた。 [153:0.30s]
窯の中の炎が、まだ彼の目に残っているかのようだ。 [154:0.30s]
「土は、一度焼かれると、もう元の土には戻れない。 [155:0.30s]
僕たちの関係も、そうありたい。 [156:0.30s]
戻れないところまで、行きたい」 [157:0.25s]
プロポーズのような、けれど、もっと深い魂の契約のような言葉。 [158:0.30s]
私は茶碗を抱きしめたまま、無言で頷いた。 [159:0.30s]
言葉にしてしまえば、冷めてしまいそうだったから。 [160:0.30s]
熱さが掌から腕へ、そして心臓へと伝わってくる。 [161:0.30s]
帰り際、彼が小さな包みを渡してくれた。 [162:0.30s]
「割れた茶碗の欠片です。 [163:0.30s]
金継ぎをして、箸置きにしました」 [164:0.25s]
「……継いだ跡が、きれい。 [165:0.30s]
金色の線が、血管みたい」 [166:0.25s]
「傷があるからこそ、美しいんです。 [167:0.30s]
人も、物も。 [168:0.30s]
傷を隠さず、景色として愛でる。 [169:0.30s]
それが金継ぎの心です」 [170:0.25s]
「私の傷も、いつか美しくなるでしょうか。 [171:0.30s]
夫を亡くした悲しみも」 [172:0.25s]
「もうなっていますよ。 [173:0.30s]
あなたのその深い眼差しが、何よりの証拠だ。 [174:0.30s]
悲しみを知る人は、美しい」 [175:0.25s]
彼の指が、私の手の甲をそっと撫でた。 [176:0.30s]
ざらりとした陶芸家の指。 [177:0.30s]
その摩擦が、愛おしい。 [178:0.30s]
家に戻り、その箸置きをテーブルに置く。 [179:0.30s]
金色の線が、照明の光を反射して輝いている。 [180:0.30s]
「今日、どの一歩を選びましたか」 [181:0.25s]
鏡の中の自分に問いかける。 [182:0.30s]
掌には、まだ茶碗の熱さと、彼の手の感触が残っていた。 [183:0.30s]
泥の匂いと、抹茶の香り。 [184:0.30s]
静寂な夜。 [185:0.30s]
私は一人、見えないお茶を点てる仕草をした。 [186:0.30s]
松風の音の代わりに、彼の低い声を心の中で再生しながら。 [187:0.30s]
「結構なお手前でした」 [188:0.25s]
自分で自分に言い聞かせる。 [189:0.30s]
明日の稽古が、待ち遠しい。 [190:0.30s]
茶碗の中の小宇宙。 [191:0.30s]
そこに、私たちの物語が溶けている。 [192:0.30s]
