夜十時、壁を震わせるバイオリンの音に耐えかねて、田中美和子は隣室のドアを叩いた。 [1:0.30s]
夫が生きていた頃、よく二人でコンサートに行ったことを思い出す。 [31:0.30s]
拒むつもりでドアを開けると、玄関に椅子が二脚置かれていた。 [32:0.30s]
俊介がバイオリンを構え、弓が弦に触れた瞬間、家の空気が変わった。 [33:0.30s]
柔らかなビブラートが胸の奥まで震えを届ける。 [34:0.30s]
こんな音を出す人が隣に住んでいたのか。 [35:0.30s]
怒鳴り込んだことが恥ずかしくなった。 [36:0.30s]
壁越しに聞こえていた音とは全く違う。 [37:0.30s]
生で聴くバイオリンは、まるで彼の心臓の鼓動そのもののようだった。 [38:0.30s]
涙がこぼれそうになって、慌てて俯いた。 [39:0.30s]
曲はバッハの「G線上のアリア」だった。 [40:0.30s]
夫との結婚式で流れた曲だ。 [41:0.30s]
偶然なのか、それとも。 [42:0.30s]
いや、彼が知るはずがない。 [43:0.30s]
でも、あの曲が今、彼の手によって蘇っている。 [44:0.30s]
演奏が終わると、俊介が頭を下げた。 [45:0.30s]
「もう少し、あなたの耳で調律してもいいですか。 [46:0.30s]
毎晩、あなたの壁に向けて弾いていたんです」その言葉に、心臓がどきりとした。 [47:0.30s]
私のために弾いていた？ [48:0.30s]
いや、そんなはずはない。 [49:0.30s]
ただの言い訳だろう。 [50:0.30s]
でも、頷いている自分に気づく。 [51:0.30s]
数日後、俊介の部屋を訪れた。 [52:0.30s]
ロジンと木の匂いが満ちた空間。 [53:0.30s]
壁には古い楽譜や指揮棒が飾られ、窓際には使い込まれたバイオリンが置かれている。 [54:0.30s]
部屋中に音楽があふれているようだった。 [55:0.30s]
「触ってみますか」と差し出されたバイオリンを恐る恐る握ると、木肌が手の温度を吸い、指板がひんやりと肌に沿った。 [56:0.30s]
思ったより軽い。 [57:0.30s]
でも、この小さな楽器から、あの豊かな音が生まれるのだ。 [58:0.30s]
「弓はここです。 [59:0.30s]
肩の力を抜いて」俊介が背後に回り、私の手に手を重ねた。 [60:0.30s]
彼の胸が背中に触れる。 [61:0.30s]
耳元に息がかかる。 [62:0.30s]
心臓が跳ねた。 [63:0.30s]
「震えていますね」「怒りが残っているから」咄嗟に嘘をついた。 [64:0.30s]
本当は、彼に触れられたことへの動揺だった。 [65:0.30s]
「その震えで音が揺れるなら、悪くない。 [66:0.30s]
音楽は感情を映すものですから」低い声が耳を掠める。 [67:0.30s]
その言葉が、心に深く響いた。 [68:0.30s]
それから、夜ごとに壁越しの演奏が続いた。 [69:0.30s]
以前は騒音だったものが、今は毎晩の楽しみになっていた。 [70:0.30s]
九時になると、壁の向こうから柔らかな音が聞こえてくる。 [71:0.30s]
約束を守ってくれている。 [72:0.30s]
「音量はどうですか」と壁越しに声が聞こえる。 [73:0.30s]
「もう少し柔らかく」と私も壁に向かって返事をした。 [74:0.30s]
この奇妙なやり取りが、日課になっていった。 [75:0.30s]
やがて、音楽だけでなく、別のことも壁越しに話すようになった。 [76:0.30s]
「今日のあなたの声、低いですね。 [77:0.30s]
何かあったんですか」「少し疲れただけ。 [78:0.30s]
あなたの弓、今日は少し甘いわ」「分かりますか。 [79:0.30s]
今日は妻の命日で」「そう。 [80:0.30s]
うちの夫も、十月に逝ったの」音以外の感覚を確かめ合うやり取り。 [81:0.30s]
壁を隔てているからこそ、言えることがある。 [82:0.30s]
顔を合わせていたら恥ずかしくて言えないようなことも、壁越しなら言えた。 [83:0.30s]
俊介の奥様は五年前に亡くなったそうだ。 [84:0.30s]
長い闘病の末に。 [85:0.30s]
それ以来、彼はバイオリンだけを友として生きてきた。 [86:0.30s]
私と同じだ。 [87:0.30s]
夫を亡くしてから、私もずっと一人で生きてきた。 [88:0.30s]
娘たちは遠くに住んでいるし、孫たちの顔を見るのも年に数回。 [89:0.30s]
静かすぎる日常に、バイオリンの音が彩りを添えてくれていることに気づいた。 [90:0.30s]
あの騒音だと思っていた音が、今は私の心を癒やしてくれている。 [91:0.30s]
不思議なものだ。 [92:0.30s]
ある夜、バイオリンを抱えて俊介が訪れた。 [93:0.30s]
「また教えてほしいんです」と私が言うと、彼は微笑んで部屋に入ってきた。 [94:0.30s]
私の手に彼の手が重なる。 [95:0.30s]
「握り方をもう一度」弓を引くと、呼吸が揃い、音が細く伸びた。 [96:0.30s]
二人の呼吸が一つになったような感覚。 [97:0.30s]
「指揮者の指、こんなに滑らかだったのね」「君の頬に合わせているだけです」弓毛が私の頬に触れそうで触れず、内側が熱を帯びる。 [98:0.30s]
演奏が終わると、俊介が紅茶を淹れてくれた。 [99:0.30s]
彼の部屋にあるティーセットは、奥様のものだったという。 [100:0.30s]
「音のない時間、どう感じますか」と俊介が聞く。 [101:0.30s]
「音が消えると、あなたの呼吸だけが残る」カップを渡される時、指が触れた。 [102:0.30s]
視線が絡み、紅茶より指先に残る温度の方が濃い。 [103:0.30s]
窓の外では秋の虫が鳴いている。 [104:0.30s]
その音も、一つの音楽だと思った。 [105:0.30s]
週末、二人で近くの喫茶店に出かけた。 [106:0.30s]
初めて、壁越しではなく、向かい合って話をした。 [107:0.30s]
でも不思議と、壁越しの時と同じように心が通じ合っている気がした。 [108:0.30s]
「君の声、少し甘くなったね」と俊介が言う。 [109:0.30s]
「あなたの弓が柔らかいからかしら」私は砂糖壺を指でなぞりながら答えた。 [110:0.30s]
テーブルの下で、彼の靴がリズムを刻んでいる。 [111:0.30s]
私もつい、同じリズムを足で刻んでしまう。 [112:0.30s]
俊介が語ってくれた彼の人生。 [113:0.30s]
オーケストラで指揮を振っていた若い頃、世界各地に演奏旅行で回った日々、ウィーンやベルリンの名だたるホールで演奏した思い出。 [114:0.30s]
そして奥様を亡くしてからの寂しさ。 [115:0.30s]
「音楽があったから、なんとか生きてこられた」と彼は言った。 [116:0.30s]
私も夫を亡くしてからの七年間のことを話した。 [117:0.30s]
寂しさを紛らわすために始めた市民大学のこと、娘たちが遠くに住んでいること、一人で食事をする夜の静けさ。 [118:0.30s]
言葉にすると、ずっと抱えていた重荷が少し軽くなった気がした。 [119:0.30s]
ある日のこと、俊介が言った。 [120:0.30s]
「今度、小さなコンサートがあるんです。 [121:0.30s]
聴きに来てもらえますか」老人ホームでのボランティア演奏だという。 [122:0.30s]
私は二つ返事で承諾した。 [123:0.30s]
当日、俊介の演奏を聴きながら、胸が熱くなった。 [124:0.30s]
彼の音楽には、人生が詰まっていた。 [125:0.30s]
喜び、悲しみ、そして希望。 [126:0.30s]
老人ホームのお年寄りたちが、目を閉じて聴き入っている姿を見て、音楽の力を改めて感じた。 [127:0.30s]
演奏が終わると、俊介が客席にいる私に向かって小さく手を振った。 [128:0.30s]
まるで、私だけに向けた合図のように。 [129:0.30s]
その瞬間、心臓が大きく跳ねた。 [130:0.30s]
最後の演奏の日。 [131:0.30s]
秋の夕暮れ、廊下に開け放たれたドア越しにバイオリンの音が聞こえてきた。 [132:0.30s]
控えめな音量でも、湿度は濃い。 [133:0.30s]
私はそっとドアを開けて、彼の部屋に入った。 [134:0.30s]
「あなたの音、壁を越えて届いたわ」「君の怒りがなかったら、出会えなかった音だ」と笑い、指先だけで触れ合う。 [135:0.30s]
唇を重ねることはなかったけれど、それは唇より深い触れ合いだったと思う。 [136:0.30s]
夜、ベッドに横たわりながら、俊介からもらった譜面のコピーに指を滑らせた。 [137:0.30s]
紙のざらつきとロジンの匂いが指に感じられる。 [138:0.30s]
耳元でまだ壁越しのビブラートが揺れている気がした。 [139:0.30s]
あの音は、これからも私の中で響き続けるだろう。 [140:0.30s]
翌日、市民大学の帰り道、俊介と偶然出会った。 [141:0.30s]
彼は買い物帰りで、両手にエコバッグを提げていた。 [142:0.30s]
「荷物、重そうね。 [143:0.30s]
手伝いましょうか」「いいんですか」と俊介は少し照れたように笑った。 [144:0.30s]
二人で並んで歩く帰り道、商店街の夕暮れが二人の影を長く伸ばす。 [145:0.30s]
「今日は何を弾いてくれるの」「リクエストがあれば」「じゃあ、シューベルトがいいわ」「渋いですね」笑い合いながら歩く。 [146:0.30s]
こんなにも自然に会話ができることが、自分でも不思議だった。 [147:0.30s]
俊介の部屋で、シューベルトの「アヴェ・マリア」を聴いた。 [148:0.30s]
窓から差し込む夕陽が、彼のバイオリンを黄金色に染めている。 [149:0.30s]
音が空間を満たし、私の心にしみ込んでいく。 [150:0.30s]
演奏が終わった後、しばらく二人とも無言だった。 [151:0.30s]
言葉がなくても通じ合える。 [152:0.30s]
そんな関係が、心地よかった。 [153:0.30s]
ある雨の日、俊介が傘を持って迎えに来てくれた。 [154:0.30s]
市民大学の玄関で、彼の姿を見つけた瞬間、心臓が大きく跳ねた。 [155:0.30s]
「濡れると困るでしょう」と差し出された傘に入る。 [156:0.30s]
肩と肩が触れ合う距離。 [157:0.30s]
雨音がリズムを刻み、二人の足音がそれに重なる。 [158:0.30s]
「この雨の音も、音楽みたいね」「君が言うと、そう聞こえる」彼の低い声が、雨音に溶けていく。 [159:0.30s]
夫の遺影に向かって、「また新しい音が聞こえるようになったわ」と呟いた。 [160:0.30s]
夫は何も言わないけれど、微笑んでいるように見えた。 [161:0.30s]
あなたがくれた「G線上のアリア」の思い出を、今度は別の人と共有している。 [162:0.30s]
それを許してくれるだろうか。 [163:0.30s]
遺影の中の夫は、穏やかな顔をしていた。 [164:0.30s]
「今日、どの音を選びますか」自分に問いかけながら、唇に口紅を少し足す。 [165:0.30s]
鏡の中の自分は、少し若返って見える気がした。 [166:0.30s]
恋をすると女性は綺麗になるというけれど、この歳になってもそれは本当なのかもしれない。 [167:0.30s]
明日も俊介に会える。 [168:0.30s]
その事実が、一日を特別なものにしてくれる。 [169:0.30s]
市民大学の講義も楽しい。 [170:0.30s]
でも一番楽しいのは、帰り道に俊介と会えるかもしれないという期待。 [171:0.30s]
そして夜、壁越しに聞こえてくるバイオリンの音。 [172:0.30s]
私の日常は、彼と出会ってから色づいた。 [173:0.30s]
六十七年生きてきて、こんなにも心躍る毎日は久しぶりだった。 [174:0.30s]
指先の熱を抱きしめながら、静かな夜に身を沈めた。 [175:0.30s]
壁の向こうから、かすかにバイオリンの音が聞こえてくる。 [176:0.30s]
今夜の曲は、モーツァルトのセレナーデ。 [177:0.30s]
軽やかで、でもどこか切ない旋律。 [178:0.30s]
今夜もまた、彼は私のために弾いてくれている。 [179:0.30s]
その音を子守唄にして、私は眠りについた。 [180:0.30s]
夢の中で、二人でデュエットを弾いた気がした。 [181:0.30s]
彼が弓を動かし、私がピアノを弾く。 [182:0.30s]
そんな夢だった。 [183:0.30s]
目が覚めた時、微笑んでいる自分に気づいた。 [184:0.30s]
窓から朝日が差し込んでいる。 [185:0.30s]
今日もまた、新しい一日が始まる。 [186:0.30s]
バイオリンの余韻が、まだ耳の奥で響いていた。 [187:0.30s]
怒りから始まった出会いが、こんなにも甘い音楽を奏でるなんて。 [188:0.30s]
人生とは本当に不思議なものだと思いながら、私は布団から起き上がった。 [189:0.30s]
壁の向こうから、おはようの代わりの柔らかなピチカートが聞こえてきた。 [190:0.30s]
思わず壁に手を当てて、「おはよう」と呟いた。 [191:0.30s]
