No.,チャンネル,動画番号,動画ID,台本番号,タイトル,進捗,作成フラグ,台本,品質チェック結果,文字数,更新日時,サムネタイトル上,サムネタイトル下,サムネ画像プロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,DALL-Eプロンプト（URL・テキスト指示込み）,台本本文（冒頭サンプル）,音声整形,音声検証,音声生成,音声品質,納品,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,内容,動画内挿絵AI向けプロンプト（10個）,内容（企画要約）,台本パス,GPT用プロンプト（日本人シニア女性）,台本本文,GPT用プロンプト（日本人シニア女性）_1,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること
11,CH20,011,CH20-011,CH20-011,香りの記憶｜心がゆるむ話,topic_research: pending,,workspaces/scripts/CH20/011/content/assembled.md,未完了,,2025-12-23 23:43:33,香り,心がゆるむ,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「香り」を入口に、リラックス方向へ静かに運びます。最後は 温かい飲み物を一口 を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 香りの小ネタを一つだけ残す。
今夜の一手: 温かい飲み物を一口
締め: 静かにおやすみへ。",,,,,,,,香り 心がゆるむ,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Steaming cup, soft lamp, warm mood, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 香りの小ネタを一つだけ残す。
今夜の一手: 温かい飲み物を一口
締め: 静かにおやすみへ。",,香りの記憶｜心がゆるむ話,workspaces/scripts/CH20/011/content/assembled.md,,,,考えすぎ,頭が冴える,夜の部屋,香り,リラックス,湯気,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
12,CH20,012,CH20-012,CH20-012,色が落ち着く理由｜夜に聞く小話,topic_research: pending,,workspaces/scripts/CH20/012/content/assembled.md,未完了,,2025-12-23 23:43:33,色の話,落ち着く,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「色の話」を入口に、落ち着く方向へ静かに運びます。最後は 部屋を少し暗くする を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 色の小ネタを一つだけ残す。
今夜の一手: 部屋を少し暗くする
締め: 静かにおやすみへ。",,,,,,,,色の話 落ち着く,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Soft color gradient, calm blue, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 色の小ネタを一つだけ残す。
今夜の一手: 部屋を少し暗くする
締め: 静かにおやすみへ。",,色が落ち着く理由｜夜に聞く小話,workspaces/scripts/CH20/012/content/assembled.md,,,,考えすぎ,頭が冴える,深夜,色,落ち着く,青,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
13,CH20,013,CH20-013,CH20-013,日本語の語源｜言葉の雑学ラジオ,topic_research: pending,,workspaces/scripts/CH20/013/content/assembled.md,未完了,,2025-12-23 23:43:33,言葉の雑学,ラジオ,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「言葉の雑学」を入口に、落ち着く方向へ静かに運びます。最後は 紙に一行書いて閉じる を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 語源の小ネタを一つだけ残す。
今夜の一手: 紙に一行書いて閉じる
締め: 静かにおやすみへ。",,,,,,,,言葉の雑学 ラジオ,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Notebook and pen, soft lamp, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 語源の小ネタを一つだけ残す。
今夜の一手: 紙に一行書いて閉じる
締め: 静かにおやすみへ。",,日本語の語源｜言葉の雑学ラジオ,workspaces/scripts/CH20/013/content/assembled.md,,,,考えすぎ,頭が冴える,夜の書斎,語源,落ち着く,紙,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
14,CH20,014,CH20-014,CH20-014,方言のやさしい違い｜眠れる言葉,topic_research: pending,,workspaces/scripts/CH20/014/content/assembled.md,未完了,,2025-12-23 23:43:33,方言,眠れる言葉,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「方言」を入口に、眠くなる方向へ静かに運びます。最後は 目を閉じて聞き流す を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 言葉の小ネタを一つだけ残す。
今夜の一手: 目を閉じて聞き流す
締め: 静かにおやすみへ。",,,,,,,,方言 眠れる言葉,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Cozy room, gentle speech bubbles (no text), minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 言葉の小ネタを一つだけ残す。
今夜の一手: 目を閉じて聞き流す
締め: 静かにおやすみへ。",,方言のやさしい違い｜眠れる言葉,workspaces/scripts/CH20/014/content/assembled.md,,,,考えすぎ,頭が冴える,深夜,言葉,眠くなる,声,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
15,CH20,015,CH20-015,CH20-015,食べ物の小さな科学｜湯気の雑学,topic_research: pending,,workspaces/scripts/CH20/015/content/assembled.md,未完了,,2025-12-23 23:43:33,食べ物の話,湯気,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「食べ物の話」を入口に、ほっとする方向へ静かに運びます。最後は 温かい飲み物を一口 を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 食の小ネタを一つだけ残す。
今夜の一手: 温かい飲み物を一口
締め: 静かにおやすみへ。",,,,,,,,食べ物の話 湯気,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Kitchen at night, steaming bowl, warm light, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 食の小ネタを一つだけ残す。
今夜の一手: 温かい飲み物を一口
締め: 静かにおやすみへ。",,食べ物の小さな科学｜湯気の雑学,workspaces/scripts/CH20/015/content/assembled.md,,,,考えすぎ,頭が冴える,夜の台所,食,ほっとする,湯気,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
16,CH20,016,CH20-016,CH20-016,お茶の世界｜湯の音と雑学,topic_research: pending,,workspaces/scripts/CH20/016/content/assembled.md,未完了,,2025-12-23 23:43:33,お茶,湯の音,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「お茶」を入口に、リラックス方向へ静かに運びます。最後は 一口ゆっくり飲む を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: お茶の小ネタを一つだけ残す。
今夜の一手: 一口ゆっくり飲む
締め: 静かにおやすみへ。",,,,,,,,お茶 湯の音,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Teacup and kettle steam, warm lamp, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: お茶の小ネタを一つだけ残す。
今夜の一手: 一口ゆっくり飲む
締め: 静かにおやすみへ。",,お茶の世界｜湯の音と雑学,workspaces/scripts/CH20/016/content/assembled.md,,,,考えすぎ,頭が冴える,夜の部屋,お茶,リラックス,湯のみ,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
17,CH20,017,CH20-017,CH20-017,パンがふくらむ話｜眠くなる小話,topic_research: pending,,workspaces/scripts/CH20/017/content/assembled.md,未完了,,2025-12-23 23:43:33,パンの話,小話,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「パンの話」を入口に、落ち着く方向へ静かに運びます。最後は 吐く息を長く を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 発酵の小ネタを一つだけ残す。
今夜の一手: 吐く息を長く
締め: 静かにおやすみへ。",,,,,,,,パンの話 小話,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Bread loaf silhouette, soft warm light, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 発酵の小ネタを一つだけ残す。
今夜の一手: 吐く息を長く
締め: 静かにおやすみへ。",,パンがふくらむ話｜眠くなる小話,workspaces/scripts/CH20/017/content/assembled.md,,,,考えすぎ,頭が冴える,深夜,発酵,落ち着く,ふくらみ,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
18,CH20,018,CH20-018,CH20-018,温泉の湯気｜温かい雑学,topic_research: pending,,workspaces/scripts/CH20/018/content/assembled.md,未完了,,2025-12-23 23:43:33,温泉,湯気,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「温泉」を入口に、ほっとする方向へ静かに運びます。最後は 肩の力を抜く を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 湯の小ネタを一つだけ残す。
今夜の一手: 肩の力を抜く
締め: 静かにおやすみへ。",,,,,,,,温泉 湯気,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Onsen steam, lantern, calm night, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 湯の小ネタを一つだけ残す。
今夜の一手: 肩の力を抜く
締め: 静かにおやすみへ。",,温泉の湯気｜温かい雑学,workspaces/scripts/CH20/018/content/assembled.md,,,,考えすぎ,頭が冴える,夜更け,湯,ほっとする,湯気,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
19,CH20,019,CH20-019,CH20-019,図書館のひみつ｜静かな場所の雑学,topic_research: pending,,workspaces/scripts/CH20/019/content/assembled.md,未完了,,2025-12-23 23:43:33,図書館,静かな場所,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「図書館」を入口に、落ち着く方向へ静かに運びます。最後は 本を閉じて目を休める を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 本の小ネタを一つだけ残す。
今夜の一手: 本を閉じて目を休める
締め: 静かにおやすみへ。",,,,,,,,図書館 静かな場所,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Bookshelf, soft lamp, cozy, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 本の小ネタを一つだけ残す。
今夜の一手: 本を閉じて目を休める
締め: 静かにおやすみへ。",,図書館のひみつ｜静かな場所の雑学,workspaces/scripts/CH20/019/content/assembled.md,,,,考えすぎ,頭が冴える,夜の書斎,本,落ち着く,本棚,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
20,CH20,020,CH20-020,CH20-020,時計の歴史｜時間をほどく夜,topic_research: pending,,workspaces/scripts/CH20/020/content/assembled.md,未完了,,2025-12-23 23:43:33,時計,時間をほどく,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「時計」を入口に、落ち着く方向へ静かに運びます。最後は 今日を終える一言 を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 時間の小ネタを一つだけ残す。
今夜の一手: 今日を終える一言
締め: 静かにおやすみへ。",,,,,,,,時計 時間をほどく,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Minimal pendulum clock, soft moonlight, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 時間の小ネタを一つだけ残す。
今夜の一手: 今日を終える一言
締め: 静かにおやすみへ。",,時計の歴史｜時間をほどく夜,workspaces/scripts/CH20/020/content/assembled.md,,,,考えすぎ,頭が冴える,夜更け,時間,落ち着く,振り子,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
21,CH20,021,CH20-021,CH20-021,地図の読み方｜頭が静まる雑学,topic_research: pending,,workspaces/scripts/CH20/021/content/assembled.md,未完了,,2025-12-23 23:43:33,地図,頭が静まる,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「地図」を入口に、落ち着く方向へ静かに運びます。最後は 明日の一つだけ決める を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 地図の小ネタを一つだけ残す。
今夜の一手: 明日の一つだけ決める
締め: 静かにおやすみへ。",,,,,,,,地図 頭が静まる,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Old map on desk, warm lamp, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 地図の小ネタを一つだけ残す。
今夜の一手: 明日の一つだけ決める
締め: 静かにおやすみへ。",,地図の読み方｜頭が静まる雑学,workspaces/scripts/CH20/021/content/assembled.md,,,,考えすぎ,頭が冴える,夜の書斎,地図,落ち着く,道しるべ,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
22,CH20,022,CH20-022,CH20-022,砂漠のふしぎ｜乾いた夜の雑学,topic_research: pending,,workspaces/scripts/CH20/022/content/assembled.md,未完了,,2025-12-23 23:43:33,砂漠,ふしぎ,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「砂漠」を入口に、落ち着く方向へ静かに運びます。最後は 目を閉じて聞き流す を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 砂漠の小ネタを一つだけ残す。
今夜の一手: 目を閉じて聞き流す
締め: 静かにおやすみへ。",,,,,,,,砂漠 ふしぎ,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Desert night, stars, calm, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 砂漠の小ネタを一つだけ残す。
今夜の一手: 目を閉じて聞き流す
締め: 静かにおやすみへ。",,砂漠のふしぎ｜乾いた夜の雑学,workspaces/scripts/CH20/022/content/assembled.md,,,,考えすぎ,頭が冴える,深夜,砂漠,落ち着く,星,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
23,CH20,023,CH20-023,CH20-023,森のしくみ｜木々の静かな話,topic_research: pending,,workspaces/scripts/CH20/023/content/assembled.md,未完了,,2025-12-23 23:43:33,森,静かな話,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「森」を入口に、リラックス方向へ静かに運びます。最後は 肩を落として吐く を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 森の小ネタを一つだけ残す。
今夜の一手: 肩を落として吐く
締め: 静かにおやすみへ。",,,,,,,,森 静かな話,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Forest silhouette, soft night, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 森の小ネタを一つだけ残す。
今夜の一手: 肩を落として吐く
締め: 静かにおやすみへ。",,森のしくみ｜木々の静かな話,workspaces/scripts/CH20/023/content/assembled.md,,,,考えすぎ,頭が冴える,夜更け,森,リラックス,木漏れ日,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
24,CH20,024,CH20-024,CH20-024,鉄道の小ネタ｜夜行列車の雑学,topic_research: pending,,workspaces/scripts/CH20/024/content/assembled.md,未完了,,2025-12-23 23:43:33,鉄道,夜行列車,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「鉄道」を入口に、眠くなる方向へ静かに運びます。最後は 目を閉じて聞き流す を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 鉄道の小ネタを一つだけ残す。
今夜の一手: 目を閉じて聞き流す
締め: 静かにおやすみへ。",,,,,,,,鉄道 夜行列車,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Train window at night, ticket, soft lights, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 鉄道の小ネタを一つだけ残す。
今夜の一手: 目を閉じて聞き流す
締め: 静かにおやすみへ。",,鉄道の小ネタ｜夜行列車の雑学,workspaces/scripts/CH20/024/content/assembled.md,,,,考えすぎ,頭が冴える,深夜,鉄道,眠くなる,切符,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
25,CH20,025,CH20-025,CH20-025,船の旅の小話｜波音と雑学,topic_research: pending,,workspaces/scripts/CH20/025/content/assembled.md,未完了,,2025-12-23 23:43:33,船の旅,波音,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「船の旅」を入口に、落ち着く方向へ静かに運びます。最後は 吐く息を長く を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 海の小ネタを一つだけ残す。
今夜の一手: 吐く息を長く
締め: 静かにおやすみへ。",,,,,,,,船の旅 波音,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Night sea, gentle waves, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 海の小ネタを一つだけ残す。
今夜の一手: 吐く息を長く
締め: 静かにおやすみへ。",,船の旅の小話｜波音と雑学,workspaces/scripts/CH20/025/content/assembled.md,,,,考えすぎ,頭が冴える,夜の窓辺,海,落ち着く,波,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
26,CH20,026,CH20-026,CH20-026,昔の道具の工夫｜静かな暮らし,topic_research: pending,,workspaces/scripts/CH20/026/content/assembled.md,未完了,,2025-12-23 23:43:33,昔の道具,工夫,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「昔の道具」を入口に、ほっとする方向へ静かに運びます。最後は 温かい飲み物を一口 を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 暮らしの小ネタを一つだけ残す。
今夜の一手: 温かい飲み物を一口
締め: 静かにおやすみへ。",,,,,,,,昔の道具 工夫,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Old tools on wooden table, warm lamp, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 暮らしの小ネタを一つだけ残す。
今夜の一手: 温かい飲み物を一口
締め: 静かにおやすみへ。",,昔の道具の工夫｜静かな暮らし,workspaces/scripts/CH20/026/content/assembled.md,,,,考えすぎ,頭が冴える,夜の部屋,暮らし,ほっとする,木,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
