閉園間近の遊園地。 [1:0.30s]
でも、心の中にはまだ、あの日の若妻だった私が住んでいる気がした。 [36:0.30s]
「あなたも、お別れを言いに来たんですか？ [37:0.30s]
」 [38:0.25s]
背後から、穏やかな低音が聞こえた。 [39:0.30s]
振り返ると、ハットを被った初老の紳士が立っていた。 [40:0.30s]
土屋隆さん、七十五歳。 [41:0.30s]
ステッキをついているが、背筋はピンと伸びている。 [42:0.30s]
グレーのツイードのコートが、夕暮れの冷たい空気に馴染んでいた。 [43:0.30s]
その佇まいは、まるで古い映画から抜け出してきた紳士のようだ。 [44:0.30s]
「……ええ。 [45:0.30s]
この遊園地、来月で閉園すると聞いたので。 [46:0.30s]
どうしても、もう一度見ておきたくて」 [47:0.25s]
「僕もです。 [48:0.30s]
昔、妻とここで何度も回りました。 [49:0.30s]
彼女は、ここのメリーゴーランドが大好きだったんです。 [50:0.30s]
『お姫様になった気分になれるから』と言ってね」 [51:0.25s]
彼は懐かしそうに回転木馬を見上げた。 [52:0.30s]
湿った木の匂いと、微かな機械油の匂いが鼻をくすぐる。 [53:0.30s]
二人並んで柵にもたれると、私たちの影が地面で長く伸び、重なり合った。 [54:0.30s]
遠くから聞こえるオルゴールの音色が、胸の奥に染み渡っていく。 [55:0.30s]
曲は『美しき青きドナウ』。 [56:0.30s]
優雅で、どこか物悲しい旋律。 [57:0.30s]
「最後にもう一度、乗りませんか？ [58:0.30s]
」 [59:0.25s]
彼の誘いに、私は少し躊躇してから頷いた。 [60:0.30s]
「いいんですか？ [61:0.30s]
いい歳をした二人が。 [62:0.30s]
周りの人に笑われませんか？ [63:0.30s]
」 [64:0.25s]
「だからこそ、です。 [65:0.30s]
誰も見ていませんよ。 [66:0.30s]
それに、笑いたい人には笑わせておけばいい。 [67:0.30s]
僕たちは、僕たちの時間を楽しみましょう。 [68:0.30s]
人生の残りの時間は、誰かの目を気にするには短すぎます」 [69:0.25s]
彼の言葉に背中を押され、私は頷いた。 [70:0.30s]
回転木馬がゆっくりと動き出す。 [71:0.30s]
私たちは隣り合わせの木馬に乗った。 [72:0.30s]
彼は白馬、私は馬車。 [73:0.30s]
「夫と私も、これが好きでした。 [74:0.30s]
夫はいつも、外側で手を振る役でしたが」 [75:0.25s]
私が手すりの真鍮に触れると、ひんやりと冷たかった。 [76:0.30s]
長年、多くの人々に触れられてきた手すりは、滑らかに磨り減っている。 [77:0.30s]
けれど、隣にいる土屋さんの気配だけが、確かな熱を持って感じられた。 [78:0.30s]
上下する木馬のリズム。 [79:0.30s]
景色がゆっくりと回り始める。 [80:0.30s]
「回る景色を見ていると、時間が戻るような気がしますね」 [81:0.25s]
彼が言った。 [82:0.30s]
低い笑い声が耳元で震え、金属の冷たさと声の温度が混ざり合い、私の頬をわずかに燃え上がらせた。 [83:0.30s]
光の粒が流れていく。 [84:0.30s]
過去も、現在も、未来も、全てがこの回転の中に溶け込んでいくようだ。 [85:0.30s]
「妻も、こうして笑っていたのかな」 [86:0.25s]
彼がポツリと呟く。 [87:0.30s]
「きっと、そうですよ。 [88:0.30s]
あなたと一緒にいられて、幸せだったはずです」 [89:0.25s]
「……そうだといいんですが」 [90:0.25s]
木馬から降りると、彼がポケットから飴玉を取り出した。 [91:0.30s]
「どうぞ。 [92:0.30s]
喉が渇いたでしょう。 [93:0.30s]
黄金糖です」 [94:0.25s]
黄金色の包み紙。 [95:0.30s]
受け取って舌の上で転がすと、懐かしい甘さが広がった。 [96:0.30s]
ニッキのような、べっこう飴のような、素朴な味。 [97:0.30s]
包み紙を開く時のかさりとした音が、風の音と重なる。 [98:0.30s]
彼が自分の飴の包み紙を丁寧に伸ばし、四つ折りにする指先に見惚れてしまった。 [99:0.30s]
節くれだっているが、物を大切に扱う手だ。 [100:0.30s]
「写真を、撮り合いませんか」 [101:0.25s]
彼が古いフィルムカメラを取り出した。 [102:0.30s]
ライカだ。 [103:0.30s]
黒いボディが、使い込まれて鈍く光っている。 [104:0.30s]
「魂まで撮られそうで、怖いですわ。 [105:0.30s]
シワも全部写ってしまいそう」 [106:0.25s]
「あなたの魂なら、きっと美しい。 [107:0.30s]
シワは、人生の年輪ですから。 [108:0.30s]
隠す必要なんてない」 [109:0.25s]
お互いを撮り合う。 [110:0.30s]
ファインダー越しに見る彼は、少し寂しそうで、でも優しかった。 [111:0.30s]
シャッター音が、カシャリと小気味よく響く。 [112:0.30s]
その音が、心臓の鼓動とシンクロする。 [113:0.30s]
モニターに映る私の顔を見て、彼が言った。 [114:0.30s]
「あなた、こんな素敵な笑い方をするんですね」 [115:0.25s]
「……そうですか？ [116:0.30s]
お世辞が上手ですね」 [117:0.25s]
「いや、本当です。 [118:0.30s]
その笑顔に、僕は救われた気がします」 [119:0.25s]
囁かれ、胸が詰まる。 [120:0.30s]
ベンチに座り、彼が水筒のお茶を勧めてくれた。 [121:0.30s]
カップの金属の縁が唇に触れる。 [122:0.30s]
温かいほうじ茶が喉を通る時、ゆっくりと熱が広がった。 [123:0.30s]
香ばしい匂いが、鼻腔を抜ける。 [124:0.30s]
「木馬の音が、まだ耳に残っています」私が呟く。 [125:0.30s]
「回る音は、心に残りますね。 [126:0.30s]
止まっても、ずっと。 [127:0.30s]
人生も同じかもしれません。 [128:0.30s]
終わっても、誰かの記憶の中で回り続ける。 [129:0.30s]
僕たちが今日ここで会ったことも、いつか思い出になる」 [130:0.25s]
短い言葉が風に乗り、沈黙の間に淡い熱が育っていく。 [131:0.30s]
ポツリ、ポツリと雨粒が落ち始めた。 [132:0.30s]
天気予報では曇りだったのに。 [133:0.30s]
私たちは慌てて回転木馬の屋根の下に駆け込んだ。 [134:0.30s]
雨足が強くなる。 [135:0.30s]
アスファルトを叩く雨音が、ザーザーと響く。 [136:0.30s]
「濡れますよ」 [137:0.25s]
土屋さんが、自分の上着を脱いで私の肩にかけてくれた。 [138:0.30s]
「いいえ、あなたが風邪を引いてしまいます」 [139:0.25s]
「僕は大丈夫です。 [140:0.30s]
厚着をしていますから。 [141:0.30s]
それに、女性を濡らすわけにはいきません」 [142:0.25s]
「濡れた木の匂い、好きなんです」彼が微笑む。 [143:0.30s]
「色が濃くなって、艶が増すから」 [144:0.25s]
「……私もです」 [145:0.25s]
上着に残る彼の体温と、雨の冷たい匂いが混ざり合う。 [146:0.30s]
雨音が、私たちの呼吸のリズムと重なっていた。 [147:0.30s]
このまま、雨が止まなければいいのに。 [148:0.30s]
不謹慎にもそう願ってしまった。 [149:0.30s]
雨というカーテンが、私たちを世界から切り離してくれている。 [150:0.30s]
雨が小降りになると、観覧車のイルミネーションが点灯した。 [151:0.30s]
「あれも、最後ですね」 [152:0.25s]
私たちは一度だけ、観覧車に乗ることにした。 [153:0.30s]
ゴンドラが上昇していく。 [154:0.30s]
眼下に広がる遊園地の灯りと、雨に濡れたアスファルトが宝石のように輝いている。 [155:0.30s]
狭い密室。 [156:0.30s]
向かい合って座ると、膝が触れそうだった。 [157:0.30s]
上から見下ろす二人の影が重なる。 [158:0.30s]
少し怖くて、私は笑って誤魔化した。 [159:0.30s]
「高いところの風は、甘いですね」 [160:0.25s]
「……あなたの声の方が、甘いですよ」 [161:0.25s]
低く囁かれ、窓ガラスに映る自分の顔を見た。 [162:0.30s]
赤く染まった頬が、薄く映っていた。 [163:0.30s]
頂上に達した時、世界が止まったような気がした。 [164:0.30s]
「……もし、もっと早くに出会っていたら」 [165:0.25s]
彼が呟いた。 [166:0.30s]
「……ええ」 [167:0.25s]
それ以上は言わなかった。 [168:0.30s]
言わなくても、分かっていたから。 [169:0.30s]
「でも、今出会えたことにも、意味があるはずです」 [170:0.25s]
「そうですね。 [171:0.30s]
人生の黄昏時に、こんな美しい夕焼けを見られたんですから」 [172:0.25s]
閉園のアナウンスが流れる。 [173:0.30s]
蛍の光のメロディ。 [174:0.30s]
出口に向かう途中、彼は花壇の柵に、持っていた小さな花を一輪かけた。 [175:0.30s]
「妻が好きだった花です。 [176:0.30s]
コスモス」 [177:0.25s]
「……素敵なお別れですね」 [178:0.25s]
「回るものはいつか止まる。 [179:0.30s]
でも、匂いは残りますね」 [180:0.25s]
彼は寂しげに、けれど満足げに微笑んだ。 [181:0.30s]
「場所を変えても、この匂いは持って歩けそうです」 [182:0.25s]
「あなたの声がついてくるなら、私も」 [183:0.25s]
私の短い返事に、彼の喉が鳴った。 [184:0.30s]
駅の改札で別れる時、彼は帽子を少し持ち上げて挨拶した。 [185:0.30s]
「また、どこかで」 [186:0.25s]
「ええ、また。 [187:0.30s]
お元気で」 [188:0.25s]
帰りの電車の中で、彼に撮ってもらった写真のデータが消えていることを確認する。 [189:0.30s]
けれど、飴紙の感触と、彼の上着の温度、そして回転木馬のオルゴールの音は、鮮明に残っていた。 [190:0.30s]
窓に映る自分の顔は、来る時よりも少しだけ若返っているように見えた。 [191:0.30s]
家に着き、遺影の夫の横に、小さな飴の包み紙を置いた。 [192:0.30s]
「今日、どの一歩を選びますか」 [193:0.25s]
鏡の中の自分に問いかける。 [194:0.30s]
頬に残る湿度は、雨のせいだけではない。 [195:0.30s]
それをそのまま次の場所へ持ち運ぶつもりで、私はゆっくりと目を閉じた。 [196:0.30s]
瞼の裏で、まだ木馬が回り続けていた。 [197:0.30s]
終わりは始まり。 [198:0.30s]
この閉園が、私たちの新しい物語の幕開けになるかもしれない。 [199:0.30s]
夢の中で、私はまたあの回転木馬に乗っていた。 [200:0.30s]
隣には、彼が微笑んで座っていた。 [201:0.30s]
「ずっと、回っていましょう」 [202:0.25s]
彼がそう言って、私の手に自分の手を重ねた。 [203:0.30s]
夢の中の温度は、現実よりも熱く、そして甘かった。 [204:0.30s]
