あなたが普段何気なく使っているGoogleやYahooなどの検索エンジン。 [1:0.30s]
しかし、実態はどうだったのでしょうか。 [80:0.30s]
後に流出したデータから、このサイトは完全な詐欺だったことが判明しました。 [81:0.30s]
依頼者からビットコインを受け取ると、「警察に捕まった」事故が起きたなどと言い訳をして実行を先延ばしにし、最終的には連絡を絶つのです。 [82:0.30s]
あるいは、依頼者の情報を警察に売ると脅して、さらに金をゆすり取るケースもありました。 [83:0.30s]
とはいえ、安心はできません。 [84:0.30s]
クリプトアナキストのジム・ベルが提唱した「暗殺政治（Assassination Politics）」という理論があります。 [85:0.30s]
これは、匿名の寄付を集めて懸賞金をかけ、政治家や独裁者を暗殺するというシステムです。 [86:0.30s]
技術的には実現可能であり、実際にこれに近い試みが過去に行われたこともあります。 [87:0.30s]
ダークウェブは、殺人を「クラウドファンディング」する未来さえも予感させるのです。 [88:1.00s]
第5章：赤い部屋の真実 [89:1.00s]
ダークウェブ最大の都市伝説、それがレッドルームです。 [90:0.30s]
拷問や殺人をライブ配信し、視聴者がチャットで命令を下すという、まさに地獄のようなサイトです。 [91:0.30s]
多くのYouTuberやブロガーが「レッドルームを見つけた」と主張していますが、技術的な観点から言えば、これはほぼ間違いなくフェイクです。 [92:0.30s]
Torのネットワークは、世界中のサーバーを経由するため通信速度が極端に遅く、高画質のライブストリーミングを行うことは物理的に不可能なのです。 [93:0.30s]
しかし、だからといって安心できるわけではありません。 [94:0.30s]
ライブではないものの、実際に拷問や殺人を撮影した動画は取引されています。 [95:0.30s]
フィリピンで逮捕されたピーター・スカリーの事件は、その最悪の事例です。 [96:0.30s]
彼は「デイジーズ・デストラクション（デイジーの破壊）」というタイトルで、幼児に対する筆舌に尽くしがたい虐待と殺害の様子を撮影し、ダークウェブで販売していました。 [97:0.30s]
この事件が発覚したきっかけは、流出した動画の一部を分析した捜査官が、背景に映っていた家具や床の模様から場所を特定したことでした。 [98:0.30s]
逮捕されたスカリーには、懲役129年という判決が下されましたが、彼が破壊した子供たちの人生は二度と戻りません。 [99:0.30s]
これは都市伝説ではなく、現実に起きた事件です。 [100:0.30s]
レッドルームという劇場は存在しなくても、人間の狂気が生み出す地獄は、確かにそこに存在していたのです。 [101:0.30s]
そして、その地獄を直視しなければならない人々がいます。 [102:0.30s]
FBIやインターポールの捜査官たちです。 [103:0.30s]
彼らは、犯人を特定するために、押収した膨大な量の虐待映像を、秒単位で分析しなければなりません。 [104:0.30s]
その精神的負担は計り知れず、多くの捜査官がPTSD（心的外傷後ストレス障害）を患い、職を辞しています。 [105:0.30s]
彼らは、私たちの代わりに、人間の心の最も暗い部分を見つめ続けているのです。 [106:1.00s]
第6章：FBIの逆襲 [107:1.00s]
ダークウェブの最も卑劣な住人たち、それが児童ポルノの愛好家です。 [108:0.30s]
しかし、法執行機関も黙ってはいません。 [109:0.30s]
2015年、FBIはプレイペンという巨大児童ポルノサイトのサーバーを押収しました。 [110:0.30s]
しかし、彼らはすぐにサイトを閉鎖しませんでした。 [111:0.30s]
なんと、FBIは自らそのサイトを運営し続けたのです。 [112:0.30s]
これは「オペレーション・パシファイア（おしゃぶり作戦）」と呼ばれました。 [113:0.30s]
FBIは、サイトにアクセスしてきたユーザーのパソコンに、「NIT（ネットワーク捜査技術）」と呼ばれる特殊なマルウェアを送り込みました。 [114:0.30s]
このマルウェアは、Torの匿名化機能を無効化し、ユーザーの本当のIPアドレスをFBIに送信するようプログラムされていました。 [115:0.30s]
この囮捜査によって、世界中で数千人のユーザーが特定され、逮捕されました。 [116:0.30s]
その中には、教師、警察官、聖職者までもが含まれていたという事実は、社会に大きな衝撃を与えました。 [117:0.30s]
匿名だと思っていた場所が、実は警察が仕掛けた巨大なネズミ捕りだったのです。 [118:0.30s]
しかし、この作戦には法的な論争も巻き起こりました。 [119:0.30s]
「犯罪者を捕まえるためとはいえ、FBIが児童ポルノサイトを運営し、被害を拡大させたことは許されるのか？ [120:0.30s]
」 [121:0.25s]
弁護士たちは「毒樹の果実（違法な捜査で得られた証拠は無効）」の法理を盾に戦いましたが、裁判所はFBIの手法を概ね認めました。 [122:0.30s]
「子供たちを守るためなら、悪魔と手を組むことも辞さない」 [123:0.25s]
それが、現代の法執行機関のスタンスなのです。 [124:0.30s]
さらに最近では、技術の進歩が悪用され、新たな脅威が生まれています。 [125:0.30s]
AIやCG技術を使った、極めてリアルな「バーチャル児童ポルノ」の拡散です。 [126:0.30s]
実在しない子供の画像であれば法的に問題ないのではないか、という議論もありますが、それが小児性愛者の欲望を刺激し、現実の犯行を誘発する危険性は否定できません。 [127:0.30s]
闇は、技術と共に進化し続けているのです。 [128:1.00s]
第7章：監視される闇 [129:1.00s]
「Torを使えば絶対に捕まらない」 [130:0.25s]
それは、危険な幻想に過ぎません。 [131:0.30s]
NSA（アメリカ国家安全保障局）やGCHQ（イギリス政府通信本部）といった諜報機関は、長年にわたりTorネットワークの監視を行っています。 [132:0.30s]
彼らは、Torの「出口ノード（Exit Node）」を監視することで、通信の内容を傍受しようとしています。 [133:0.30s]
出口ノードとは、暗号化された通信が解読され、通常のインターネットに出て行く最後の出口のことです。 [134:0.30s]
ここで待ち伏せすれば、誰が何を見ているのか、ある程度推測することが可能なのです。 [135:0.30s]
さらに、ダークウェブ上の多くの違法サイトは、実は警察が運営する「ハニーポット（囮サイト）」である可能性があります。 [136:0.30s]
あなたが違法な商品を購入しようとボタンを押した瞬間、その情報は捜査機関のデータベースに記録されているかもしれません。 [137:0.30s]
エドワード・スノーデンがリークした極秘文書「Tor Stinks（Torは厄介だ）」によれば、NSAはTorの解読に苦戦しつつも、ユーザーを特定するための様々な裏技を開発し続けています。 [138:0.30s]
その一つが「XKeyscore（エックスキースコア）」と呼ばれる、世界中の通信データを検索できるシステムです。 [139:0.30s]
驚くべきことに、GoogleでTorや「Tails（匿名OS）」という単語を検索しただけで、このシステムの監視リストに自動的に登録されるというのです。 [140:0.30s]
つまり、あなたが「プライバシーを守りたい」と思った瞬間、あなたは監視対象となるのです。 [141:0.30s]
さらに恐ろしいのは、「今は解読できなくても、とりあえず保存しておく」というNSAの戦略です。 [142:0.30s]
これは「ハーベスト・ナウ、デクリプト・レイター（今収穫し、後で解読する）」と呼ばれています。 [143:0.30s]
現在のスーパーコンピュータでは解読に数百年かかる暗号でも、将来実用化される量子コンピュータなら数秒で解けるかもしれません。 [144:0.30s]
その時のために、彼らは世界中の暗号化通信をせっせと収集し、巨大なデータセンターに蓄積しているのです。 [145:0.30s]
あなたの秘密は、未来永劫守られるわけではないのです。 [146:1.00s]
第8章：自由への抜け道 [147:1.00s]
ここまでダークウェブの暗部ばかりを見てきましたが、光の側面も忘れてはいけません。 [148:0.30s]
独裁政権による厳しい検閲が行われている国々では、Torは自由への扉として機能しています。 [149:0.30s]
中国の「グレート・ファイアウォール」や、イラン、ロシアなどの情報統制を突破し、真実の情報を得るための唯一の手段なのです。 [150:0.30s]
また、ニューヨーク・タイムズやガーディアンといった主要メディアは、ダークウェブ上に「SecureDrop（セキュアドロップ）」という内部告発受付サイトを設置しています。 [151:0.30s]
これにより、政府や企業の不正を知る内部告発者が、身元の特定を恐れることなく、安全に情報をリークすることが可能になりました。 [152:0.30s]
エドワード・スノーデンやウィキリークスの活動も、この技術なしにはあり得ませんでした。 [153:0.30s]
ウィキリークスの創設者ジュリアン・アサンジは、アメリカ軍による民間人誤射映像「コラテラル・マーダー」を公開し、世界を震撼させました。 [154:0.30s]
彼はその代償として、長年にわたる逃亡生活と投獄を余儀なくされましたが、彼が投じた一石は、権力の監視という新たな潮流を生み出しました。 [155:0.30s]
また、米軍の機密情報をウィキリークスに提供したチェルシー・マニングや、世界中の富裕層の脱税を暴いたパナマ文書のリーク元も、こうした暗号化技術によって守られていました。 [156:0.30s]
ダークウェブは、犯罪者の隠れ家であると同時に、民主主義を守るための最後の砦でもあるのです。 [157:0.30s]
それは、使う人間によって毒にも薬にもなる、強烈な諸刃の剣なのです。 [158:1.00s]
第9章：深淵からの招待状 [159:1.00s]
ダークウェブには、犯罪や政治だけでなく、知的な謎も存在します。 [160:0.30s]
その代表が「Cicada 3301（セミ3301）」です。 [161:0.30s]
2012年、ネット上の掲示板に突如として現れたこの謎の組織は、極めて難解な暗号解読パズルを出題しました。 [162:0.30s]
「我々は高度な知能を持つ個体を探している」 [163:0.25s]
このメッセージと共に始まったパズルは、デジタル空間だけでなく、世界中の都市に隠された物理的なヒントを解読しなければならない壮大なものでした。 [164:0.30s]
CIAやMI6の採用試験ではないかとも噂されましたが、その正体は今も不明です。 [165:0.30s]
彼らは後に「Liber Primus（リベル・プリムス）」と呼ばれる謎の書物を公開しました。 [166:0.30s]
ルーン文字で書かれたこの書物は、まだ完全には解読されていません。 [167:0.30s]
彼らが探していた高度な知能とは何だったのか。 [168:0.30s]
そして、選ばれた者たちは今、どこで何をしているのか。 [169:0.30s]
一説には、彼らは「プライバシーを守るための新たな暗号技術」を開発しているとも、あるいは「人類を監視から解放するための慈悲深いAI」を作っているとも言われています。 [170:0.30s]
しかし、真相を知る者は、決して口を開きません。 [171:0.30s]
インターネットの深淵には、私たちの理解を超えた何かが潜んでいるのかもしれません。 [172:0.30s]
しかし、安易な好奇心でダークウェブに足を踏み入れることはお勧めしません。 [173:0.30s]
ウイルス感染や詐欺のリスクはもちろんですが、最大のリスクは精神的な汚染です。 [174:0.30s]
そこには、人間の尊厳を蹂躙するような、見てはいけない映像や画像が溢れています。 [175:0.30s]
一度見てしまったら、二度と忘れることはできません。 [176:0.30s]
それはあなたの心に深い傷跡を残し、世界の見方を変えてしまうでしょう。 [177:0.30s]
知らぬが仏という言葉は、ダークウェブのためにあるのかもしれません。 [178:1.00s]
結び：深淵を覗くとき [179:1.00s]
ドイツの哲学者ニーチェはこう言いました。 [180:0.30s]
「怪物と戦う者は、その過程で自分自身も怪物にならぬよう気をつけなくてはならない。 [181:0.30s]
深淵を覗くとき、深淵もまたこちらを覗いているのだ」 [182:0.25s]
ダークウェブは、まさに現代の深淵です。 [183:0.30s]
そこには、私たちが普段見ないようにしている、人間の醜悪な本性が剥き出しになっています。 [184:0.30s]
それは、インターネットという技術が生み出した歪みであり、私たち人類の心の闇そのものなのかもしれません。 [185:0.30s]
鏡を覗き込んだ時、そこに映るのは美しい顔だけではありません。 [186:0.30s]
ダークウェブは、人類という種の醜い素顔を映し出す、巨大な鏡なのです。 [187:0.30s]
その鏡を直視する勇気がないのなら、決して近づいてはいけません。 [188:0.30s]
最後までご覧いただき、ありがとうございました。 [189:0.30s]
もし、この動画が、あなたがインターネットの裏側について考えるきっかけになれば幸いです。 [190:0.30s]
ぜひ高評価とチャンネル登録、そしてコメント欄で教えてください。 [191:0.30s]
あなたは、この深淵を覗いてみたいと思いましたか？ [192:0.30s]
それとも、一生関わりたくないと思いましたか？ [193:0.30s]
それでは、また次の動画でお会いしましょう。 [194:0.30s]
真実は、決して光の届かない、深い闇の底であなたを待っています。 [195:0.30s]
