ガタン、ゴトン。 [1:0.30s]
壁には古い鉄道の写真が飾られている。 [79:0.30s]
「美和子さんには、クリームソーダが似合いそうだ」彼がメニューを見て言った。 [80:0.30s]
「あら、子供っぽいかしら？ [81:0.30s]
」 [82:0.25s]
「いや、泡が弾ける音が、君の声に似ている気がして。 [83:0.30s]
弾んでいて、楽しそうで」 [84:0.25s]
運ばれてきたクリームソーダ。 [85:0.30s]
緑色の液体の中で、炭酸の泡がシュワシュワと音を立てている。 [86:0.30s]
バニラアイスが溶けて、白い筋を描く。 [87:0.30s]
「耳を近づけてごらん」彼に促され、グラスに顔を寄せる。 [88:0.30s]
パチ、パチパチ。 [89:0.30s]
小さな破裂音。 [90:0.30s]
「……鉄道のリズムに、似ていませんか？ [91:0.30s]
」 [92:0.25s]
彼の低い声が重なる。 [93:0.30s]
泡が消える速度が、ゆっくりになった気がした。 [94:0.30s]
「本当ですね。 [95:0.30s]
小さな列車が走っているみたい」 [96:0.25s]
「線路はまっすぐに見えて、実は少しずつ曲がっているんです。 [97:0.30s]
人も同じでしょう？ [98:0.30s]
」 [99:0.25s]
彼はコーヒーを一口飲み、私を見つめた。 [100:0.30s]
「あなたは、なぜ心理学を？ [101:0.30s]
」 [102:0.25s]
私はスプーンでアイスクリームを溶かしながら答えた。 [103:0.30s]
「夫に、好きなことを続けろと言われて。 [104:0.30s]
遅いスタートでしたけど、今は続けています。 [105:0.30s]
人の心の線路も、まっすぐじゃないと分かったから」 [106:0.25s]
「遅くても、進めばどこかに着く。 [107:0.30s]
列車と同じですよ。 [108:0.30s]
脱線さえしなければね」 [109:0.25s]
彼の言葉が、すとんと胸に落ちた。 [110:0.30s]
帰り際、彼はポケットから古い切符を取り出した。 [111:0.30s]
「これ、僕が初めて自分で図面を引いた路線の、記念切符です。 [112:0.30s]
お守り代わりに持っていてください」 [113:0.25s]
硬券と呼ばれる、厚紙の切符。 [114:0.30s]
端が少し擦り切れている。 [115:0.30s]
受け取ると、厚紙の感触と共に、彼の手の温もりが伝わってきた。 [116:0.30s]
「触るだけで、旅気分になれますね」 [117:0.25s]
「いつでも、旅に出られますよ。 [118:0.30s]
心の旅に」 [119:0.25s]
夕暮れの商店街を歩いた。 [120:0.30s]
店先で風鈴が鳴っている。 [121:0.30s]
「音と匂いは、線路より長く記憶に残るんです」 [122:0.25s]
彼と並んで歩くと、自然と歩幅が揃った。 [123:0.30s]
肩が触れそうで触れない距離。 [124:0.30s]
そのもどかしさが、心地よかった。 [125:0.30s]
「次に来る時は、あそこの蕎麦屋に行きましょう。 [126:0.30s]
出汁が美味いんです」 [127:0.25s]
次があること。 [128:0.30s]
それが何よりの約束だった。 [129:0.30s]
再びローカル線に乗り、帰路につく。 [130:0.30s]
外はもう夜だった。 [131:0.30s]
「夜の車窓もいいものです。 [132:0.30s]
街灯が流れる線になって見える」 [133:0.25s]
彼が指で窓ガラスをなぞる。 [134:0.30s]
「次のカーブで、あそこの灯りが重なりますよ」 [135:0.25s]
彼の予言通り、遠くの街灯と信号機の光が、一瞬重なって淡い光の輪を作った。 [136:0.30s]
「……光が重なると、心も重なる気がしますね」 [137:0.25s]
私が言うと、彼は静かに頷いた。 [138:0.30s]
車内の空気が、甘く揺れた気がした。 [139:0.30s]
トンネルに入ると、轟音と共に窓の外が真っ暗になった。 [140:0.30s]
窓ガラスに映る私たちの顔が、重なって見える。 [141:0.30s]
「暗闇も、悪くないですね」彼が呟く。 [142:0.30s]
「ええ。 [143:0.30s]
光が恋しくなるから」 [144:0.25s]
終着駅に着いた。 [145:0.30s]
ホームの階段の手すりに手を置くと、ひんやりとしていた。 [146:0.30s]
「ここも、僕が磨いたんです。 [147:0.30s]
冷たいのに、落ち着くでしょう？ [148:0.30s]
」 [149:0.25s]
彼の手が、私の手のすぐ近くに置かれる。 [150:0.30s]
鉄の冷たさの奥に、彼が込めた情熱の温度が隠れているようで、私は指先を離せなかった。 [151:0.30s]
「その切符、また次に会う理由にしてもいいですか？ [152:0.30s]
」 [153:0.25s]
勇気を出して聞くと、彼は嬉しそうに目を細めた。 [154:0.30s]
「ええ。 [155:0.30s]
次はどこで、どの音を聴かせましょうか」 [156:0.25s]
「夜の高架下の響きが好きです。 [157:0.30s]
次はそこへ」 [158:0.25s]
約束が重なり、夜の空気が温まった。 [159:0.30s]
数日後、彼から葉書が届いた。 [160:0.30s]
『今夜、高架下で待っています』 [161:0.25s]
ざらつく紙を指でなぞると、文字の凸凹が指先を撫で、インクの匂いに彼の声が混ざっている気がした。 [162:0.30s]
夜の高架下は静かで、時折頭上を通過する列車の轟音が、巨大な橋脚を揺らしていた。 [163:0.30s]
「音が、胸に直接入ってくるようです」 [164:0.25s]
私が言うと、彼は同じように手すりに肘をつき、空を見上げた。 [165:0.30s]
「音が骨に響きますね。 [166:0.30s]
生きている音だ」 [167:0.25s]
振動が身体に伝わり、夜の湿った空気と混ざり合って、艶のある空間を作り出していた。 [168:0.30s]
「ここ、誰かと来るのは久しぶりです」 [169:0.25s]
「私も、夜の線路は初めてです」 [170:0.25s]
暗闇の中で、互いの輪郭だけがぼんやりと浮かんでいる。 [171:0.30s]
彼は少し私に近づいた。 [172:0.30s]
「風が冷たいですね。 [173:0.30s]
……手すりに触れて、温度を分け合いませんか」 [174:0.25s]
彼の手が、手すりの上で私の手に重なった。 [175:0.30s]
手袋越しの温もり。 [176:0.30s]
鉄の冷たさを一緒に感じるだけで、鼓動が揃っていく。 [177:0.30s]
帰り道、駅前の小さな立ち飲み屋に寄った。 [178:0.30s]
燗酒の湯気が立ち上るのを見つめながら、「湯気を見ているのが好きなんです」と言うと、「あなたは何でも線路や列車に繋げますね」と笑われた。 [179:0.30s]
店を出ると雨が降り始めていた。 [180:0.30s]
彼は傘を持っていなかった。 [181:0.30s]
「入ってください」 [182:0.25s]
私が傘を差すと、彼は遠慮がちに身を寄せた。 [183:0.30s]
雨粒が傘の布を叩く音が、バラバラと響く。 [184:0.30s]
「雨の音、車輪の音に似てますね」 [185:0.25s]
「リズムが、心を撫でてくれます」 [186:0.25s]
肩が触れそうで触れない距離。 [187:0.30s]
雨音が、私たちの呼吸を包み込んでいた。 [188:0.30s]
夏には、廃線跡の枕木の上を歩いた。 [189:0.30s]
古いトンネルに向かって「こんにちは」と声をかけると、反響音が少し低くなって返ってきた。 [190:0.30s]
「あなたの声、ここで低くなりますね」 [191:0.25s]
彼が微笑む。 [192:0.30s]
反響した自分の声が、彼の身体に触れているようで、胸が震えた。 [193:0.30s]
紅葉の頃、私たちは互いのノートに同じ時間を書き込んだ。 [194:0.30s]
筆が紙を擦る音が並ぶ。 [195:0.30s]
そして冬。 [196:0.30s]
粉雪が舞う駅舎のベンチで、私たちは再び並んで座っていた。 [197:0.30s]
「手、冷たいね」 [198:0.25s]
彼が私の手袋の上から、自分の手を重ねた。 [199:0.30s]
「重ねると、温まりますね」 [200:0.25s]
布越しの微かな熱に、心臓が大きく跳ねる。 [201:0.30s]
「……手袋を、外してもいいですか」 [202:0.25s]
彼が静かに聞いた。 [203:0.30s]
私は黙って頷き、ゆっくりと手袋を外した。 [204:0.30s]
素手が触れ合う瞬間、周りの冷たい空気が一瞬で消え去り、全ての血液の温度が指先に集まったかのように熱くなった。 [205:0.30s]
頭上を列車が通り過ぎていく。 [206:0.30s]
その轟音が、二人の繋いだ手の中を通り抜け、心臓の鼓動がレールのリズムと重なった。 [207:0.30s]
指を離さず、私たちは夜の線路に身を委ねた。 [208:0.30s]
静かな艶が、冬の凍てつく空気に溶けていくのを肌で感じながら。 [209:0.30s]
終電のベルが鳴るまで、私たちはそうしていた。 [210:0.30s]
