倉庫の冷たい空気に、低い声が響いた。 [1:0.30s]
紙の粉が舞い、二人の手の甲に白く降り積もる。 [33:0.30s]
「指、細いんだな。 [34:0.30s]
これじゃあ力が伝わりにくい」「あら、あなたは随分と分厚いわね。 [35:0.30s]
営業で接待ゴルフばかりしていた手かしら」憎まれ口を叩きながらも、私の心臓はトクトクと早鐘を打っていた。 [36:0.30s]
わずかな掛け合いが、汗ばんだ掌に確かな熱を残していく。 [37:0.30s]
彼の手を横目で見ていると、その人生の厚みが見えるような気がした。 [38:0.30s]
何千という名刺を交換し、数え切れないほどの契約書にサインを促し、時には部下の肩を叩いて励まし、時には机を叩いて怒鳴ったであろう手。 [39:0.30s]
そして今、その手は黙々と段ボールを組んでいる。 [40:0.30s]
かつての栄光にしがみつくことなく、今のこの場所で全力を尽くしている。 [41:0.30s]
人生とは、本当に不思議で愛おしいものだ。 [42:0.30s]
昼休みのアラームが鳴ると、彼は無言で自販機の前に歩き出した。 [43:0.30s]
私もなんとなく後に続く。 [44:0.30s]
ガコン、という音と共に落ちてきた缶コーヒーを、彼は私に放り投げた。 [45:0.30s]
「えっ」「冷たいのと温かいの、どっちがいいか聞くのも野暮だろ。 [46:0.30s]
今は身体が熱い」ぶっきらぼうな物言いだが、その気遣いが妙に心地よい。 [47:0.30s]
金属の冷たさより先に、彼の指の温度が缶に残っていて、それが私の指先へと伝わってくる。 [48:0.30s]
「ありがとう」「礼は夜に聞こうか」低い声で冗談めかして言う彼。 [49:0.30s]
プシュッと缶を開ける音がやけに大きく響き、苦いコーヒーの香りと、彼がつけている古いブランドの香水の香りが混ざり合った。 [50:0.30s]
どこか懐かしい、昭和の男の香り。 [51:0.30s]
亡き夫が使っていたものとは違うけれど、同じ時代の空気を吸って生きてきた男の匂いだ。 [52:0.30s]
休憩室の隅にあるソファに並んで座った。 [53:0.30s]
彼は胸ポケットから、丁寧に折り畳まれた古い新聞の切り抜きを取り出した。 [54:0.30s]
「これ、君の会社に大型案件を横取りされた時の記事だ」茶色く変色した紙を、彼の人差し指がなぞる。 [55:0.30s]
そこには、三十年前のビジネス戦争の結末が記されていた。 [56:0.30s]
「よく持っていましたね、こんなもの」「戒めだ。 [57:0.30s]
この時の悔しさを忘れないように持っていた。 [58:0.30s]
まさか、その元凶と隣で弁当を食うことになるとはな」彼は自嘲気味に笑った。 [59:0.30s]
「その時、私、三日徹夜してたわ。 [60:0.30s]
あなたの会社に勝つために、必死で企画書を書き直して」「知ってるよ。 [61:0.30s]
君のプレゼンは鬼気迫るものがあった。 [62:0.30s]
負けたと思ったよ、あの瞬間」彼もまた、遠い目をして笑った。 [63:0.30s]
「あの頃は必死だった」「今も必死よ。 [64:0.30s]
生きるために、老け込まないために」私が言うと、彼は新聞を畳み直した。 [65:0.30s]
そのカサカサという音が、二人の間の沈黙を埋める。 [66:0.30s]
かつては敵同士だった。 [67:0.30s]
でも今は、同じ「老い」という未知の領域に立ち向かう同志だ。 [68:0.30s]
「君は事務畑かと思っていたが、やはり営業だったのか」村上がサンドイッチを頬張りながら聞く。 [69:0.30s]
「ええ、バリバリの営業よ。 [70:0.30s]
あなたと同じ」「女で営業か。 [71:0.30s]
当時は珍しかったろう」「だからこそ勝てたのよ。 [72:0.30s]
女だと思って相手が油断するから、そこを突くの」私が悪戯っぽく微笑むと、彼は目を細めて笑った。 [73:0.30s]
「やっぱりな。 [74:0.30s]
敵に回すと一番厄介なタイプだ」「あら、今は味方よ」「味方か……。 [75:0.30s]
悪くない響きだ」その一言だけで、三十年分の物語が交差して、溶け合った気がした。 [76:0.30s]
午後の作業が始まると、急な発注が入ったのか現場が慌ただしくなった。 [77:0.30s]
「急ぎだ！ [78:0.30s]
手を止めるな！ [79:0.30s]
」現場監督の怒号が飛ぶ。 [80:0.30s]
周りの若者たちが焦ってミスを連発する中、私と村上だけは冷静だった。 [81:0.30s]
「村上さん、私が箱を作るから、あなたは詰めて」「よし、そのペースで頼む。 [82:0.30s]
テープは俺がやる」言葉少なに役割を分担し、阿吽の呼吸で作業を進める。 [83:0.30s]
段ボールを組み立て、商品を詰め、封をする。 [84:0.30s]
その流れが美しく、まるでダンスを踊っているようだった。 [85:0.30s]
夕方になり、西日が倉庫の高い窓から差し込む頃には、私たちのレーンには完成した箱の山ができていた。 [86:0.30s]
橙色の光が埃の中を斜めに切り裂き、その中を二人が動く。 [87:0.30s]
大きな箱を二人で抱え上げた時、腕と腕が触れ合った。 [88:0.30s]
汗が作業着越しに滲み、重みで指が段ボールに食い込む感覚。 [89:0.30s]
自然と呼吸がシンクロしていく。 [90:0.30s]
「重いわね」「まだ腕は現役だぞ。 [91:0.30s]
任せろ」「じゃあ、もう少しこっちを持ってくれる？ [92:0.30s]
」少し体重を預けるように寄りかかると、彼の筋肉の硬さと、布の下にある体温がダイレクトに伝わってきた。 [93:0.30s]
七十歳とは思えない逞しさ。 [94:0.30s]
頼もしさ。 [95:0.30s]
ラベル貼りの作業では、さらに距離が縮まった。 [96:0.30s]
私の手の甲に、彼の手が触れる回数が増える。 [97:0.30s]
そのたびに、静電気のようなピリッとした痺れが指先から肩へと走る。 [98:0.30s]
「営業って、こんなに手を使う仕事だったかしら？ [99:0.30s]
」「口だけじゃないさ。 [100:0.30s]
数字よりも手で覚えたことも多い。 [101:0.30s]
名刺交換の角度、握手の強さ、契約書を渡す時の指の添え方。 [102:0.30s]
全部、この手が覚えている」ラベルを貼る乾いた音と、互いの息遣いが重なる。 [103:0.30s]
言葉などなくても、濃厚な何かが二人の間に流れていた。 [104:0.30s]
この人は、その手で人を説得し、道を切り拓いてきたのだろう。 [105:0.30s]
私はどちらかと言えば言葉で戦ってきた。 [106:0.30s]
でも今、言葉よりも彼の手の温もりの方が、何倍も雄弁だと感じている。 [107:0.30s]
互いの戦場は違ったけれど、激動の時代を戦い抜いてきた者同士にしか分からない共感が、そこにはあった。 [108:0.30s]
定時を知らせるチャイムが鳴り、作業が終わった。 [109:0.30s]
心地よい疲労感が全身を包む。 [110:0.30s]
「一杯、どうだ？ [111:0.30s]
」帰り支度をしていると、彼が背中越しに声をかけてきた。 [112:0.30s]
「ええ、喜んで」断る理由はなかった。 [113:0.30s]
駅前の商店街にある、赤提灯が揺れる小さな居酒屋に入った。 [114:0.30s]
湯気の向こうで、村上の腕がカウンターに置かれている。 [115:0.30s]
ジョッキのビールが運ばれてくると、カチンと小気味よい音を立てて乾杯した。 [116:0.30s]
「君の行間、今日も広いか？ [117:0.30s]
」彼がニヤリと笑う。 [118:0.30s]
行間という言葉は、昼休みに私が「人生の行間を読むために心理学を学んでいる」と話したことを指しているのだろう。 [119:0.30s]
「ええ、今日は特に広くて深かったわ。 [120:0.30s]
あなたのおかげでね」「いい言葉だな、行間か」彼は満足そうに頷き、ビールを喉に流し込んだ。 [121:0.30s]
「なぜシルバー人材センターに登録したの？ [122:0.30s]
」酔いが回ってきた頃、私は改めて聞いてみた。 [123:0.30s]
「暇だからだ」と彼は即答した。 [124:0.30s]
でも、その目は別のことを語っていた。 [125:0.30s]
グラスの水滴を指でなぞりながら、彼はポツリと言う。 [126:0.30s]
「カミさんを亡くしてから、家にいると壁が迫ってくる気がしてな。 [127:0.30s]
誰かと話したかった。 [128:0.30s]
それだけだ」寂しいから、が本音だろう。 [129:0.30s]
私も同じだ。 [130:0.30s]
夫を亡くしてから、何かに打ち込んでいないと、心がしぼんでいくような恐怖があった。 [131:0.30s]
市民大学も、この仕事も、心を満たすための術なのだ。 [132:0.30s]
私たちは似た者同士なのかもしれない。 [133:0.30s]
店を出ると、雨が降り出していた。 [134:0.30s]
「おい、入れよ」村上は持っていた折り畳み傘を開き、私を招き入れた。 [135:0.30s]
狭い傘の下、肩が触れ合う。 [136:0.30s]
雨の匂いに混じって、彼の香水の香りと、微かなアルコールの匂いが鼻をくすぐる。 [137:0.30s]
「濡れるぞ、もっと寄れ」彼は私の腰に手を回し、ぐっと引き寄せた。 [138:0.30s]
その強引さが、現役時代の彼を彷彿とさせ、胸がときめいた。 [139:0.30s]
「昔、こういうのを何て言ったか知ってるか？ [140:0.30s]
」「相合い傘、でしょ？ [141:0.30s]
」「いや、『濡れ鼠の道連れ』だ」彼は可笑しそうに笑った。 [142:0.30s]
「何それ、聞いたことないわ」「俺が今作った」二人して声を上げて笑った。 [143:0.30s]
雨音が私たちの笑い声を包み込む。 [144:0.30s]
駅までの道すがら、彼はふと真面目な顔で言った。 [145:0.30s]
「明日も、来るか？ [146:0.30s]
」「もちろん。 [147:0.30s]
私のテープ貼りの技術、見せつけてあげないと」「ハッ、望むところだ」 [148:0.25s]
改札の前で別れる時、差し出された彼の手を握った。 [149:0.30s]
分厚くて、温かくて、少しざらついた手。 [150:0.30s]
その感触が、私の心に深く刻まれた。 [151:0.30s]
「じゃあな、田中さん」「ええ、また明日、村上さん」 [152:0.25s]
家に戻り、化粧を落としながら鏡を見た。 [153:0.30s]
そこに映る私の頬は、湯上がりのように紅潮していた。 [154:0.30s]
自分でも驚くほど、生き生きとした顔をしている。 [155:0.30s]
「今日、どの一歩を踏み出す？ [156:0.30s]
」鏡の中の自分に問いかける。 [157:0.30s]
口紅を落とした唇が、自然と笑みの形を作っていた。 [158:0.30s]
夫の遺影に向かって、今日あったことを報告する。 [159:0.30s]
「ライバルだった男と、今は同じ倉庫で働いているの。 [160:0.30s]
変でしょう？ [161:0.30s]
」遺影の中の夫は、いつものように穏やかに笑っている。 [162:0.30s]
「いいじゃないか、楽しそうで」そんな声が聞こえた気がした。 [163:0.30s]
夫なら、きっとこの奇妙な再会を面白がってくれるはずだ。 [164:0.30s]
「頑張れ」と背中を押してくれている、そんな気がした。 [165:0.30s]
ベッドに入り、目を閉じても、まだ指先に段ボールの感触と、村上の手の温もりが残っていた。 [166:0.30s]
ライバルだった時代、私たちは敵だった。 [167:0.30s]
でも今は違う。 [168:0.30s]
同じ戦場で、肩を並べて戦う仲間であり、人生の黄昏時を共に歩むパートナーかもしれない。 [169:0.30s]
そう思うと、胸の奥がじんわりと熱くなった。 [170:0.30s]
明日の朝も、あの倉庫の冷たい空気の中で、彼と顔を合わせる。 [171:0.30s]
段ボールの角を立てながら、彼の掌の温度をまた感じるだろう。 [172:0.30s]
そして、いつか彼に言ってやりたい。 [173:0.30s]
「あなたのテープの貼り方、少し乱暴よ」と。 [174:0.30s]
そんな些細なやり取りができる明日が来ることが、たまらなく嬉しかった。 [175:0.30s]
静かな夜、私は明日への期待を抱きしめながら、深い眠りへと落ちていった。 [176:0.30s]
夢の中でも、段ボールを組み立てる小気味よい音が、リズムを刻んでいる気がした。 [177:0.30s]
