1万2000年前、人類はまだ狩猟採集民でした。 [1:0.30s]
距離にして約500メートル、標高差は約30メートルです。 [31:0.30s]
問題は、どうやって運んだのか、ということです。 [32:0.30s]
1万2000年前の人類は、車輪も、青銅も、鉄も持っていませんでした。 [33:0.30s]
家畜もまだ飼いならされていなかったため、牛や馬に引かせることもできません。 [34:0.30s]
つまり、50トンの石を、人力だけで500メートル運び、立てなければならなかったのです。 [35:0.30s]
考古学者たちの推測では、500人から1000人の人々が組織的に協力して作業を行ったと考えられています。 [36:0.30s]
しかし、狩猟採集社会で、これほど大規模な労働力を組織することが可能だったのでしょうか。 [37:0.30s]
これだけの人数を集め、食べさせ、指揮するためには、高度な社会組織が必要です。 [38:0.30s]
つまり、ギョベクリ・テペの建設者たちは、私たちが考えていたよりもはるかに高度な社会を築いていたことになります。 [39:1.00s]
第3章：石柱に刻まれた動物たち [40:1.00s]
T字型石柱の表面には、驚くほど精巧な動物の彫刻が刻まれています。 [41:0.30s]
ライオン、サソリ、蛇、キツネ、イノシシ、鶴、ハゲワシ、鴨、蜘蛛。 [42:0.30s]
40種類以上の動物が確認されています。 [43:0.30s]
興味深いのは、これらの動物の多くが、人間を攻撃する可能性のある危険な生物だということです。 [44:0.30s]
ライオン、蛇、サソリ、イノシシ。 [45:0.30s]
なぜ、古代の人々は危険な動物を神殿の柱に刻んだのでしょうか。 [46:0.30s]
一つの解釈は、これらがトーテムポールのような役割を果たしていたというものです。 [47:0.30s]
古代の部族が、自分たちの守護霊としてこれらの動物を崇拝していたのかもしれません。 [48:0.30s]
もう一つの解釈は、これらが宇宙や自然の象徴だったというものです。 [49:0.30s]
例えば、サソリは蠍座を表しているという説があります。 [50:0.30s]
もしこれが正しければ、ギョベクリ・テペは世界最古の天文台だった可能性があります。 [51:0.30s]
さらに注目すべきは、石柱そのものが人間を表しているように見えることです。 [52:0.30s]
T字型の形状は、手を横に広げた人間のシルエットに似ています。 [53:0.30s]
実際、いくつかの石柱には、腕や手、ベルトのバックルのような装飾が刻まれています。 [54:0.30s]
これらの石柱は、神々の像なのでしょうか。 [55:0.30s]
それとも、偉大な祖先の記念碑なのでしょうか。 [56:1.00s]
第4章：意図的に埋められた神殿 [57:1.00s]
ギョベクリ・テペの最大の謎の一つは、この遺跡が意図的に埋められたように見えることです。 [58:0.30s]
考古学者たちが発掘を進めると、石柱の周りが大量の土砂で覆われていることが分かりました。 [59:0.30s]
この土砂は自然に堆積したものではありません。 [60:0.30s]
人工的に運び込まれ、神殿を埋めるために使われたのです。 [61:0.30s]
なぜ、何百年もかけて建設した壮大な神殿を、わざわざ埋めてしまったのでしょうか。 [62:0.30s]
一つの仮説は、宗教的な理由です。 [63:0.30s]
古代の人々は、神殿の力が弱まったと感じた時、新しい神殿を建設し、古い神殿を聖なる土で覆って封印したのかもしれません。 [64:0.30s]
実際、ギョベクリ・テペには複数の層があり、古い神殿の上に新しい神殿が建設されていた痕跡があります。 [65:0.30s]
もう一つの仮説は、知識の隠蔽です。 [66:0.30s]
何らかの理由で、神殿の建設者たちは、この場所の秘密を後世に残したくなかったのかもしれません。 [67:0.30s]
彼らは神殿を埋めることで、未来の人々からこの知識を隠そうとしたのでしょうか。 [68:0.30s]
そして最も興味深い仮説は、時間カプセルとしての役割です。 [69:0.30s]
建設者たちは、遠い未来にこの遺跡が発見されることを予見し、そのために保存したのかもしれません。 [70:1.00s]
第5章：農業の起源との関係 [71:1.00s]
ギョベクリ・テペは、人類が農業を始めた場所のすぐ近くにあります。 [72:0.30s]
考古学的証拠によれば、世界で最初に小麦が栽培されたのは、ギョベクリ・テペからわずか30キロメートル離れた場所でした。 [73:0.30s]
世界で最初に豚が家畜化されたのも、この地域です。 [74:0.30s]
従来の考古学では、農業革命は段階的に起こったとされていました。 [75:0.30s]
気候変動により、狩猟採集だけでは食料が足りなくなり、人々は仕方なく農業を始めた、と。 [76:0.30s]
しかし、ギョベクリ・テペの発見は、別の可能性を示唆しています。 [77:0.30s]
それは、農業が神殿建設のために発明された、という可能性です。 [78:0.30s]
ギョベクリ・テペのような巨大な建造物を作るためには、大量の人々を長期間、一か所に集める必要があります。 [79:0.30s]
狩猟採集だけでは、これだけの人数を養うことはできません。 [80:0.30s]
そこで、人々は農業を発明したのではないでしょうか。 [81:0.30s]
神殿を建設するという宗教的な目的のために、人類は農業を始めたのかもしれません。 [82:0.30s]
つまり、宗教が農業を生み、農業が文明を生んだ。 [83:0.30s]
人類史の最初のきっかけは、精神的な衝動だったのかもしれないのです。 [84:1.00s]
第6章：古代の天文学 [85:1.00s]
ギョベクリ・テペの石柱の配置には、天文学的な意味があるという説があります。 [86:0.30s]
2017年、エディンバラ大学の研究チームが驚くべき論文を発表しました。 [87:0.30s]
彼らによれば、石柱に刻まれた動物の彫刻は、星座を表している可能性があるというのです。 [88:0.30s]
特に注目されたのは、「ハゲワシの石柱」と呼ばれる石柱です。 [89:0.30s]
この石柱には、ハゲワシ、サソリ、蛇、そして円盤のような形が刻まれています。 [90:0.30s]
研究チームは、これが紀元前1万950年頃の夜空を表していると主張しました。 [91:0.30s]
ハゲワシは射手座、サソリは蠍座、円盤は太陽を表しているというのです。 [92:0.30s]
そして最も衝撃的なのは、この日付が、ヤンガードリアスと呼ばれる急激な寒冷期の始まりと一致することです。 [93:0.30s]
ヤンガードリアスは、約1万2800年前に突然始まった寒冷期で、地球全体の気温が急激に低下しました。 [94:0.30s]
ギョベクリ・テペの建設者たちは、この気候変動の記録を石に刻んだのかもしれません。 [95:0.30s]
彼らは、何か重要な天文学的イベントを記念するために、この神殿を建設したのかもしれないのです。 [96:1.00s]
第7章：失われた文明との繋がり [97:1.00s]
ギョベクリ・テペの存在は、もう一つの大きな疑問を生みます。 [98:0.30s]
それは、この高度な技術を持った人々は、どこから来たのか、という疑問です。 [99:0.30s]
1万2000年前、人類は小さな遊牧集団で暮らしていたはずです。 [100:0.30s]
農業も、文字も、金属も持っていなかったはずです。 [101:0.30s]
それなのに、突然、高度な建築技術を持った人々が現れ、巨大な神殿を建設した。 [102:0.30s]
彼らの技術は、どこから来たのでしょうか。 [103:0.30s]
一部の研究者は、ギョベクリ・テペの建設者たちは、失われた先史文明の生き残りだったのではないかと推測しています。 [104:0.30s]
この仮説によれば、1万2000年前よりもさらに古い時代に、高度な文明が存在していた。 [105:0.30s]
しかし、ヤンガードリアスの寒冷期か、あるいは他の大災害によって、その文明は滅亡した。 [106:0.30s]
ギョベクリ・テペは、生き残った人々が、失われた知識を保存するために建設したものだ、というのです。 [107:0.30s]
この説は、主流の考古学では受け入れられていません。 [108:0.30s]
しかし、ギョベクリ・テペの謎を説明するためには、従来の枠組みを超えた発想が必要なのかもしれません。 [109:1.00s]
第8章：まだ発掘されていない95パーセント [110:1.00s]
ギョベクリ・テペで驚くべきは、これまでに発掘されたのは遺跡全体のわずか5パーセントに過ぎないということです。 [111:0.30s]
地中レーダー調査によって、丘全体に20以上の円形構造物が埋まっていることが確認されています。 [112:0.30s]
そのほとんどは、まだ手つかずの状態です。 [113:0.30s]
クラウス・シュミットは、この遺跡の発掘には少なくとも50年はかかると語っていました。 [114:0.30s]
残念ながら、シュミットは2014年に心臓発作で急逝し、その夢を見届けることはできませんでした。 [115:0.30s]
現在、発掘はドイツ考古学研究所とトルコ政府の共同で続けられています。 [116:0.30s]
毎年、新しい発見がもたらされています。 [117:0.30s]
2021年には、さらに古い層が発見され、遺跡の歴史がさらに遡る可能性が示唆されました。 [118:0.30s]
また、ギョベクリ・テペの周辺地域でも、同時代の関連遺跡が次々と発見されています。 [119:0.30s]
私たちは、この遺跡の謎のほんの一部しか知らないのです。 [120:0.30s]
地中には、まだ私たちの想像を超える発見が眠っているかもしれません。 [121:1.00s]
第9章：人類史への問いかけ [122:1.00s]
ギョベクリ・テペの発見は、私たちに重要な問いを投げかけています。 [123:0.30s]
人類の歴史は、私たちが教科書で習ったものと、どれほど異なっているのでしょうか。 [124:0.30s]
従来の考古学では、人類文明は約5000年前のメソポタミアから始まったとされていました。 [125:0.30s]
しかし、ギョベクリ・テペは、それよりも7000年も前に、高度な社会組織と建築技術が存在していたことを証明しています。 [126:0.30s]
では、その前には何があったのでしょうか。 [127:0.30s]
1万2000年よりもさらに前の時代に、私たちが知らない文明が存在していた可能性はないのでしょうか。 [128:0.30s]
ギョベクリ・テペは、その可能性を真剣に考えるきっかけを与えてくれます。 [129:0.30s]
私たちの祖先は、決して原始的な野蛮人ではありませんでした。 [130:0.30s]
彼らは星を観測し、神々を崇拝し、巨大な建造物を作り上げる能力を持っていました。 [131:0.30s]
彼らの知識と技術は、何千年もの時を経て、私たちに受け継がれているのかもしれません。 [132:1.00s]
結び：太鼓腹の丘に眠る秘密 [133:1.00s]
ギョベクリ・テペ、太鼓腹の丘。 [134:0.30s]
この小さな丘の下には、人類の歴史を書き換える秘密が眠っています。 [135:0.30s]
1万2000年前、この場所で何が起こったのでしょうか。 [136:0.30s]
誰が、何のために、この巨大な神殿を建設したのでしょうか。 [137:0.30s]
そして、なぜ彼らはそれを埋めて去っていったのでしょうか。 [138:0.30s]
これらの問いに対する答えは、まだ見つかっていません。 [139:0.30s]
しかし、発掘が進むにつれて、少しずつ真実が明らかになっていくでしょう。 [140:0.30s]
ギョベクリ・テペは、私たちに謙虚さを教えてくれます。 [141:0.30s]
私たちは、人類の歴史についてほとんど何も知らないのだ、と。 [142:0.30s]
教科書に書かれていることは、真実のほんの一部に過ぎません。 [143:0.30s]
本当の歴史は、まだ地中に埋もれているのです。 [144:0.30s]
そして、ギョベクリ・テペの建設者たちは、私たちにメッセージを残したのかもしれません。 [145:0.30s]
1万2000年の時を超えて、彼らの声が聞こえてくるようです。 [146:0.30s]
我々は、あなたたちが思っているよりも、はるかに古く、はるかに賢かった、と。 [147:0.30s]
最後までご覧いただき、ありがとうございました。 [148:0.30s]
もし、このギョベクリ・テペの謎に興味を持たれたなら、ぜひ高評価とチャンネル登録をお願いします。 [149:0.30s]
そして、コメント欄で教えてください。 [150:0.30s]
あなたは、1万2000年前に何があったと思いますか？ [151:0.30s]
それでは、また次の動画でお会いしましょう。 [152:0.30s]
真実は、太鼓腹の丘の下に眠っています。 [153:0.30s]
