市民大学の教室で赤ペンが走る音がした。 [1:0.30s]
肩に落ちる雨粒と低い声。 [40:0.30s]
夫以外の男の傘に入るのは、本当に久しぶりだった。 [41:0.30s]
夫と相合傘をした最後の日を思い出す。 [42:0.30s]
あの人は傘を持つのが下手で、いつも私が濡れる側だった。 [43:0.30s]
でも、今日は違う。 [44:0.30s]
先生は慎重に傘を傾けて、私が濡れないように気を遣ってくれている。 [45:0.30s]
滴る水が襟元を伝い、背中に落ちる感覚が妙に艶めいて感じられた。 [46:0.30s]
「濡れないように、もう少し寄ってきなさい」と言われ、肩と肩が触れ合う。 [47:0.30s]
傘の柄を握る先生の手が、思ったより大きかった。 [48:0.30s]
節くれだった指が傘の柄をしっかり握っている。 [49:0.30s]
「田中さんは、どうして心理学を学ぼうと思ったのかね」「夫を亡くしてから、自分の心と向き合う時間が増えて。 [50:0.30s]
でも、向き合い方が分からなくて」「そうか。 [51:0.30s]
私も似たようなものだ」先生の奥様は三年前に亡くなったと聞いたことがある。 [52:0.30s]
私たちは、同じ種類の寂しさを知っている人間なのかもしれない。 [53:0.30s]
駅に着くまでの十五分が、まるで何時間にも感じられた。 [54:0.30s]
「また来週」と言って別れた後、心臓がまだドキドキしていた。 [55:0.30s]
電車の中で窓に映る自分の顔を見ると、頬が紅潮していた。 [56:0.30s]
恥ずかしくなって視線を逸らすと、先生の香りがまだ残っている気がした。 [57:0.30s]
石鹸の匂い。 [58:0.30s]
清潔で、温かい匂い。 [59:0.30s]
翌週、図書室で課題に眉を寄せていると、背後から気配がした。 [60:0.30s]
振り返る前に、万年筆が目の前に差し出される。 [61:0.30s]
「これを使いなさい」島田先生の声だった。 [62:0.30s]
「退職祝いで買った。 [63:0.30s]
私には少し重すぎるから、君に預けよう。 [64:0.30s]
黒インクでゆっくり書け」重みのある万年筆を受け取ると、彼の体温がまだ残っている気がした。 [65:0.30s]
ペン軸は深い緑色で、金のペン先が光っている。 [66:0.30s]
「高価なものでしょう。 [67:0.30s]
私には」「いいから預かっておけ。 [68:0.30s]
返すのはいつでもいい」 [69:0.25s]
万年筆を握ってみると、手に馴染む重さだった。 [70:0.30s]
ペン先が紙を滑る音がさらさらと心地よい。 [71:0.30s]
肩越しに先生の視線を感じる。 [72:0.30s]
「いい行間だ」と囁かれ、頬が染まる。 [73:0.30s]
行間、という言葉が先生の口から出るたびに、胸がきゅっとなる。 [74:0.30s]
文章の行間だけでなく、人と人との間にも適切な距離があるのだと、先生は教えてくれているような気がした。 [75:0.30s]
夕暮れの廊下で、スカーフの端が乱れているのを直された。 [76:0.30s]
「ほら、こうして」と言いながら、布越しに首筋に触れられる。 [77:0.30s]
背中がぞくりとした。 [78:0.30s]
先生の指は温かくて、でも自分の体温よりも少しだけ低い。 [79:0.30s]
「叱っていいなら、君の行間を広げさせてくれ」先生がそう言った。 [80:0.30s]
叱るという言葉が、なぜか甘く響く。 [81:0.30s]
喉がきゅっと鳴った。 [82:0.30s]
この人に叱られることが、どうしてこんなにも心地よいのだろう。 [83:0.30s]
教室では厳しい目で私の文章を添削し、廊下では優しい手で私の身なりを整えてくれる。 [84:0.30s]
その二面性が、私の心をかき乱していた。 [85:0.30s]
厳しさと優しさの間を揺れ動く感情。 [86:0.30s]
それは恋に似ているのかもしれないと、ふと思った。 [87:0.30s]
夏の補講は蒸し暑かった。 [88:0.30s]
クーラーが壊れた教室で、受講生たちはうちわで風を送っている。 [89:0.30s]
先生が扇子で風を送ると、襟元に涼しさが届いた。 [90:0.30s]
でも、その視線が私の首元に落ちるのを感じて、涼しさの中に熱が混じった。 [91:0.30s]
汗が鎖骨を伝い、シャツの中に滲み込んでいく。 [92:0.30s]
その一滴一滴を、先生は見ているのだろうか。 [93:0.30s]
「麦茶を飲みなさい。 [94:0.30s]
脱水には気をつけろ」とペットボトルを差し出される。 [95:0.30s]
受け取るとき、指と指が触れた。 [96:0.30s]
ほんの一瞬だったけれど、その温度を覚えている。 [97:0.30s]
唇にペットボトルを当てると、先生の指の温度がまだ残っている気がして、暑さだけではない熱が頬を染めた。 [98:0.30s]
冷たい麦茶が喉を滑り落ちていくのに、身体の内側は熱を持っていた。 [99:0.30s]
グループワークの発表で失敗し、落ち込んでいた。 [100:0.30s]
言葉が詰まり、用意した原稿を読み上げることしかできなかった。 [101:0.30s]
他の受講生たちは優しく拍手をしてくれたけれど、自分では納得がいかなかった。 [102:0.30s]
教室の隅で俯いていると、耳元で先生が囁いた。 [103:0.30s]
「子育ての話を混ぜてごらん。 [104:0.30s]
経験は武器だ」そして、肩に置かれた手が軽く押す。 [105:0.30s]
励ますように、でも親密すぎるように。 [106:0.30s]
次の発表では、娘たちを育てた経験を織り交ぜた。 [107:0.30s]
すると、聴衆の反応が変わった。 [108:0.30s]
うなずきが増え、メモを取る人もいた。 [109:0.30s]
「ほら、通じるだろう」と先生が言った。 [110:0.30s]
その指先の圧に、身体の奥がざわめいた。 [111:0.30s]
発表がうまくいったのは先生のおかげだった。 [112:0.30s]
でも、それ以上に、彼の手の温もりが忘れられなかった。 [113:0.30s]
文化祭の準備で、夜の印刷室に二人きりになった。 [114:0.30s]
他の受講生たちは帰宅し、先生と私だけが残っていた。 [115:0.30s]
資料を印刷し、紙を揃える作業を黙々と続ける。 [116:0.30s]
先生の手にうっすらと油汚れがついているのが見えた。 [117:0.30s]
機械を触っていたからだろう。 [118:0.30s]
生々しい手の匂いが、紙より強く鼻を刺す。 [119:0.30s]
蛍光灯が時折揺れて、その光が先生の横顔を照らした。 [120:0.30s]
「田中さんは、真面目だな」と先生が言った。 [121:0.30s]
「そんなことないです」「いや、真面目だ。 [122:0.30s]
だから教え甲斐がある」褒められているのか、叱られているのか分からなかった。 [123:0.30s]
でも、どちらでも嬉しかった。 [124:0.30s]
「先生こそ、いつも遅くまで残っていますね」「生徒のためなら当然だ」「私は生徒じゃないって言ったでしょう」「そうだったな。 [125:0.30s]
では、何と呼べばいい」「分かりません」「じゃあ、このままでいい」静かに笑い合った。 [126:0.30s]
図書室で並んで自習する日々が続いた。 [127:0.30s]
いつの間にか、私たちには決まった席があった。 [128:0.30s]
窓際の、光が差し込む場所。 [129:0.30s]
万年筆を返そうとすると、「もう少し預けて」と手を重ねられる。 [130:0.30s]
重なった手の温度が胸に沈み、呼吸がゆっくりになった。 [131:0.30s]
先生の手は節くれだっていて、長年チョークを握ってきた手だとわかった。 [132:0.30s]
「今日はもっと行間を広げよう」「叱るのは興味があるからだよ」静かな低音が耳元に残った。 [133:0.30s]
雨上がりの入口で、また傘を差し出された。 [134:0.30s]
「君のペースで」そう言いながら、肩と肩が触れる。 [135:0.30s]
雨粒が頬を撫でるたび、隣にいる先生の温度が際立った。 [136:0.30s]
この人といると、雨の日が好きになった。 [137:0.30s]
濡れることを恐れなくなった。 [138:0.30s]
傘の中という小さな世界で、二人だけの時間が流れていく。 [139:0.30s]
秋が深まり、冬が近づいてきた。 [140:0.30s]
廊下の冷気が身に沁みる朝、マフラーを巻き直された。 [141:0.30s]
「喉を守りなさい。 [142:0.30s]
風邪をひいたら講義に出られなくなる」首筋に先生の指が触れた。 [143:0.30s]
毛糸の柔らかさと指の温度が重なり、背筋に甘い熱が走る。 [144:0.30s]
「ありがとうございます」と言う声が震えていた。 [145:0.30s]
寒さのせいだと思いたかった。 [146:0.30s]
でも本当は、彼に触れられることへの喜びだった。 [147:0.30s]
クリスマスが近づき、街がイルミネーションで彩られた。 [148:0.30s]
市民大学は冬休みに入り、講義は年明けまでお休みだ。 [149:0.30s]
最後の講義の日、先生から小さな包みを渡された。 [150:0.30s]
「開けるのは帰ってからにしなさい」と言われ、胸ポケットに入れた。 [151:0.30s]
その重みを感じながら、一日中そわそわしていた。 [152:0.30s]
帰宅してから包みを開けると、中には栞が入っていた。 [153:0.30s]
革製の、シンプルだけど上品な栞。 [154:0.30s]
裏に小さく「行間を楽しめ」と書いてあった。 [155:0.30s]
涙が溢れた。 [156:0.30s]
先生が私のために選んでくれたのだ。 [157:0.30s]
私のことを思い出しながら、この栞を手に取ってくれたのだ。 [158:0.30s]
そう思うと、胸がいっぱいになった。 [159:0.30s]
鏡の前で口紅を選びながら、「叱られると唇が潤う気がする」と小さく笑った。 [160:0.30s]
赤、ピンク、ベージュ。 [161:0.30s]
どの色が先生の目に留まるだろうか。 [162:0.30s]
そんなことを考えている自分が可笑しい。 [163:0.30s]
六十七歳にもなって、口紅の色で悩むなんて。 [164:0.30s]
でも、悩めることが嬉しかった。 [165:0.30s]
年甲斐もなく、という言葉が頭をよぎったけれど、すぐに消えた。 [166:0.30s]
恋に年齢は関係ない。 [167:0.30s]
夜、夫の遺影に向かった。 [168:0.30s]
「叱られるのも悪くないわ。 [169:0.30s]
誰かを頼るって、こういう温度なのね」と囁く。 [170:0.30s]
夫は何も言わないけれど、微笑んでいるように見えた。 [171:0.30s]
あなたが遺してくれた「誰かを頼れ」という言葉の意味が、少しずつ分かってきた気がする。 [172:0.30s]
先生のインクの匂いと、自分の香水を胸に溜めた。 [173:0.30s]
次の講義でまた叱られることを、少し楽しみにしている自分がいる。 [174:0.30s]
赤ペンの音、低い声、肩に触れる手。 [175:0.30s]
そのすべてが愛おしい。 [176:0.30s]
静かに目を閉じると、先生の顔が浮かんだ。 [177:0.30s]
眼鏡の奥の優しい目、白髪の混じったこめかみ、そして厳しくも温かい声。 [178:0.30s]
年明けの講義が待ち遠しい。 [179:0.30s]
万年筆を握りしめながら、新しい年を迎える準備をした。 [180:0.30s]
来年もまた、この大学で、あの人に会える。 [181:0.30s]
その事実だけで、冬の夜は温かかった。 [182:0.30s]
栞を心理学の教科書に挟み、ページを閉じる。 [183:0.30s]
行間を楽しめ。 [184:0.30s]
先生の言葉が、心の中で響いていた。 [185:0.30s]
窓の外では粉雪が舞い始めている。 [186:0.30s]
来年の春には、きっともっと先生のことを知っていられるだろう。 [187:0.30s]
そう思うと、寒い夜も悪くなかった。 [188:0.30s]
温かい布団に潜り込み、先生からもらった栞を胸に当てて眠りについた。 [189:0.30s]
夢の中でも、赤ペンの音が聞こえた気がした。 [190:0.30s]
