猫カフェの扉を開けると、そこは別世界だった。 [1:0.30s]
頬が熱を帯びるのを止められなかった。 [65:0.30s]
彼は一匹一匹の性格を教えてくれた。 [66:0.30s]
「この子は寂しがり屋。 [67:0.30s]
この子はツンデレ。 [68:0.30s]
人間と一緒ですね」 [69:0.25s]
「佐川さんは？ [70:0.30s]
」 [71:0.25s]
「僕は……待つのが得意なタイプかな」 [72:0.25s]
意味深な言葉に、ドキリとする。 [73:0.30s]
ある日、孫を連れて店を訪れた。 [74:0.30s]
佐川さんは孫の目線に合わせて膝をつき、「順番に、一人ずつだよ。 [75:0.30s]
時間は五分。 [76:0.30s]
猫の呼吸を邪魔しないでね」と丁寧に説明してくれた。 [77:0.30s]
孫がおっかなびっくり指先を近づけ、「……温かい」と囁く。 [78:0.30s]
その瞬間、私も同じタイミングで息を吐いた。 [79:0.30s]
佐川さんと視線が合う。 [80:0.30s]
三人で小さな生き物の呼吸を共有する瞬間、そこには言葉にできない静かな艶が生まれた。 [81:0.30s]
店の奥で、流れている音楽の話になった。 [82:0.30s]
「夜、猫たちが落ち着くように、少し低い音のジャズを流しているんです」 [83:0.25s]
「素敵ですね。 [84:0.30s]
昼間のクラシックも好きですが」 [85:0.25s]
「あなたには、昼の柔らかさが似合います。 [86:0.30s]
でも……」彼は少し声を落とした。 [87:0.30s]
「夜の低い音も、似合うかもしれない」 [88:0.25s]
昼と夜の境目が、彼の言葉で甘く揺らいだ気がした。 [89:0.30s]
春の終わり、新しい子猫が入ったと聞いて駆けつけた。 [90:0.30s]
「この子はまだ小さいから、今日は見るだけにしましょう」 [91:0.25s]
ガラスケースの中、白い毛玉のような子猫が眠っている。 [92:0.30s]
私の吐息でガラスに白い曇りが生まれた。 [93:0.30s]
佐川さんがその曇りを指でなぞる。 [94:0.30s]
「温度が見えると、距離も感じますね」 [95:0.25s]
彼が呟く。 [96:0.30s]
曇りが消える瞬間、彼の指先がガラス越しに私の指先と重なった。 [97:0.30s]
透明な膜ごしに、確かに熱が伝わった。 [98:0.30s]
ある日、佐川さんが小さな紙袋を持ってきた。 [99:0.30s]
「ここで一粒だけ、特別なおやつをあげてみませんか？ [100:0.30s]
持ち帰りはなしですよ」 [101:0.25s]
彼は封を開け、一粒のカリカリとしたおやつを私の指先に摘ませた。 [102:0.30s]
猫の口元に差し出す。 [103:0.30s]
その動きを、彼が横で見守っている。 [104:0.30s]
「ゆっくり……そう、焦らして」 [105:0.25s]
彼の指示に合わせて指を動かす時間が、永遠のように長く感じられた。 [106:0.30s]
猫の舌が伸びておやつを絡め取る瞬間、私たちの息が完全に同じリズムで揺れた。 [107:0.30s]
指先に走る軽い衝撃と、胸の震えがリンクする。 [108:0.30s]
ザラリとした舌の感触。 [109:0.30s]
閉店前、「少し歩きましょうか。 [110:0.30s]
店の灯りが落ちる前に」と誘われた。 [111:0.30s]
商店街を並んで歩く。 [112:0.30s]
夜風が温かい。 [113:0.30s]
「丸くなって眠る姿、あなたに似ています」彼が冗談めかして言う。 [114:0.30s]
「あら、私はあんなに可愛くないわ」 [115:0.25s]
「いや、安心しきっている背中がね」 [116:0.25s]
店のシャッターが閉まる音が響き、二人の影が並んで伸びる。 [117:0.30s]
梅雨の日、雨音を聞きながら店内で過ごした。 [118:0.30s]
「濡れた毛の匂い、嫌いじゃないんです」彼が囁く。 [119:0.30s]
「私も。 [120:0.30s]
雨と寝息と、鼓動が重なると、胸が潤う気がします」 [121:0.25s]
雨音に包まれた狭い店内で、言葉がゆっくりと沈殿していく。 [122:0.30s]
夏の冷房が効いた店内。 [123:0.30s]
「寒くないですか？ [124:0.30s]
」と彼が聞いてきた。 [125:0.30s]
「少し。 [126:0.30s]
でも、この冷たさで体温が際立ちますから」 [127:0.25s]
彼は自分のカーディガンを脱ぎ、丁寧に畳んで私の膝に置いた。 [128:0.30s]
「温度は残すより、見せる方が艶になる」 [129:0.25s]
彼が私の眼鏡の指紋をハンカチで拭ってくれる。 [130:0.30s]
視界がクリアになると同時に、彼の瞳が至近距離で重なり、心臓が跳ねた。 [131:0.30s]
秋、落ち葉を拾って店に持っていくと、「乾いた葉の匂いが好きですよ」と耳打ちされた。 [132:0.30s]
葉を猫に見せると、興味深そうに鼻を近づけ、ガラスに曇りを作った。 [133:0.30s]
「葉の匂いと、あなたの香り、混ざっている気がする」 [134:0.25s]
彼の低い声が、秋の空気に溶け込んだ。 [135:0.30s]
冬、彼は小さな湯たんぽを猫のそばに置いた。 [136:0.30s]
その手つきがあまりにもゆっくりで、見ているだけでこちらの指先まで温まった。 [137:0.30s]
「手をかざしてみます？ [138:0.30s]
」 [139:0.25s]
言われて湯たんぽの上に手をかざす。 [140:0.30s]
布越しの柔らかな熱が掌を包み込む。 [141:0.30s]
彼の視線が、私の手の甲を撫でているようで、胸が震えた。 [142:0.30s]
大掃除の日、店を手伝った。 [143:0.30s]
埃っぽい空気の中で、「掃除の後の匂い、意外と好きなんです」と笑い合う。 [144:0.30s]
雑音の中に、生活の艶が生まれる。 [145:0.30s]
年明けの静かな午後、「新しい子、見ますか。 [146:0.30s]
名前はまだないんです」と目で合図された。 [147:0.30s]
「夜に、いい名前を思いつくかもしれません」私が口にすると、空気が急に湿度を帯びた。 [148:0.30s]
春、テラスの鉢植えをガラス越しに置いた。 [149:0.30s]
「甘い匂いに弱いんです」彼が微笑む。 [150:0.30s]
「あなたの声も、花びらみたいに揺れますね」 [151:0.25s]
囁かれ、私は思わず口元を押さえた。 [152:0.30s]
帰り道、私は日記に書いた。 [153:0.30s]
『今日も抱かずに、温度をもらった』。 [154:0.30s]
「香りと声で、十分だった」遺影の夫に微笑みかける。 [155:0.30s]
「今日、どの一歩を選びますか。 [156:0.30s]
誰と共有しますか」 [157:0.25s]
スマホを置き、昼間の彼の呼吸と視線を思い出す。 [158:0.30s]
胸の奥で、それらが柔らかく揺れている。 [159:0.30s]
数日後、彼から新しい手袋をプレゼントされた。 [160:0.30s]
「触れない温度の方が、近く感じることもあるでしょう？ [161:0.30s]
」 [162:0.25s]
私は黙って頷いた。 [163:0.30s]
夜、その手袋を撫でてみる。 [164:0.30s]
昼間の彼の低い声が重なるようで、自然とまぶたが閉じる。 [165:0.30s]
眠りに落ちる瞬間、子猫の寝息と佐川さんのささやきが混ざり合い、私の心に甘い湿度が残った。 [166:0.30s]
触れられないからこそ、その熱は永遠に冷めることがないのだと知った。 [167:0.30s]
明日もまた、あのガラスの向こうへ。 [168:0.30s]
呼吸を重ねにいく。 [169:0.30s]
