冬の澄んだ空気が張り詰めるペット霊園。 [1:0.30s]
予備として持っていたんですが、使う機会がなくて」 [73:0.25s]
「え、でも……」 [74:0.25s]
「嫌なら受け取らなくていいんですが、誰かに持っていてほしいんです。 [75:0.30s]
この音を知っている人に」 [76:0.25s]
私はその鈴を手に乗せた。 [77:0.30s]
金属の冷たさと、微かな傷跡。 [78:0.30s]
「預かります。 [79:0.30s]
私がこれを鳴らす時は、あなたにも知らせますね。 [80:0.30s]
『今、思い出しているよ』って」 [81:0.25s]
「ええ。 [82:0.30s]
お願いします」 [83:0.25s]
鈴をポーチに忍ばせ、帰宅してから夫とポチの遺影の前で鳴らした。 [84:0.30s]
「チリン」。 [85:0.30s]
「あなたと、ポチと、私。 [86:0.30s]
そして新しいお友達の猫ちゃん。 [87:0.30s]
みんなで記憶を分け合うね」と報告する。 [88:0.30s]
ある日、駅前の喫茶店で待ち合わせた。 [89:0.30s]
お互いのペットの写真を見せ合うためだ。 [90:0.30s]
彼は分厚いアルバムを持ってきた。 [91:0.30s]
「うちの子、印鑑を転がす癖があってね。 [92:0.30s]
大事な書類に朱肉をつけられたこともありました」彼が苦笑いしながら写真を見せる。 [93:0.30s]
朱肉まみれの猫の足跡がついた書類。 [94:0.30s]
「ふふ、可愛い犯人ですね。 [95:0.30s]
うちは靴下を集めるのが趣味でした。 [96:0.30s]
洗濯機の中から片方だけなくなるんです。 [97:0.30s]
後で掃除したら、ソファの下から大量に出てきて」 [98:0.25s]
私の話に、彼も声を上げて笑った。 [99:0.30s]
二人の笑い声が、コーヒーの湯気に混ざり合う。 [100:0.30s]
「亡くなった子の話をして、笑える日が来るなんて思わなかった」 [101:0.25s]
彼が目を細めて言った。 [102:0.30s]
「私もです。 [103:0.30s]
一人だと、どうしても泣いてしまうから」 [104:0.25s]
会計の時、私が財布を出そうとすると、彼が制した。 [105:0.30s]
「ここは私が」 [106:0.25s]
「いえ、支払いは各自で。 [107:0.30s]
形は混ぜない方がいいわ。 [108:0.30s]
依存したくないの」 [109:0.25s]
「……そうですね。 [110:0.30s]
自立した悲しみ、ですね。 [111:0.30s]
感謝は、言葉だけで十分ですね」 [112:0.25s]
触れずに礼を交わす。 [113:0.30s]
その距離感が、逆に心の温度を上げていく。 [114:0.30s]
テーブルの上、封筒に入れた猫と犬の写真を並べた。 [115:0.30s]
指先だけを写真に乗せ、風に当ててから戻す。 [116:0.30s]
「物は動かさず、温度だけ行き来させる」。 [117:0.30s]
それが私たちのルールになった。 [118:0.30s]
「手紙を書いてきました」 [119:0.25s]
ある日、彼が言った。 [120:0.30s]
「声に出して読むと涙が止まらなくなるから、文字で湿らせようと思って」 [121:0.25s]
私も頷き、持ってきた手紙を取り出す。 [122:0.30s]
互いのペットへの手紙。 [123:0.30s]
それを交換し、黙読する。 [124:0.30s]
『ミーコへ。 [125:0.30s]
君のいない部屋は広すぎる。 [126:0.30s]
君の毛がまだカーペットに残っていて、それを捨てられずにいるよ』 [127:0.25s]
『ポチへ。 [128:0.30s]
今日はあなたの好きなジャーキーを買ってしまいそうになりました。 [129:0.30s]
散歩の時間になると、まだ体が勝手に動いてしまうの』 [130:0.25s]
文字を追うごとに、胸が締め付けられる。 [131:0.30s]
でも、不思議と温かい。 [132:0.30s]
「手紙は、声よりも湿度が高いですね。 [133:0.30s]
インクが涙の代わりみたいだ」 [134:0.25s]
読み終えた封筒を、ベンチの真ん中にそっと置く。 [135:0.30s]
置くという行為で、触れない境界線を示す。 [136:0.30s]
村上さんから、メッセージアプリで音声データが届いた。 [137:0.30s]
鈴の音の録音だ。 [138:0.30s]
『寂しくなったら、これを聴いてください。 [139:0.30s]
一人じゃないですよ』 [140:0.25s]
私は朝、それを再生する。 [141:0.30s]
チリン、という音が部屋に響く。 [142:0.30s]
『夜は鳴らさずに、心の中で聴きます』と返信すると、彼からスタンプが一つ届いた。 [143:0.30s]
それだけで、心のチューニングが整う。 [144:0.30s]
霊園の帰り、手芸店に寄った。 [145:0.30s]
「鈴を入れるポーチを作ろうと思って」 [146:0.25s]
彼も付き合ってくれた。 [147:0.30s]
「この布、ミーコの背中の毛並みに似ている」彼がグレーのベルベットを指差す。 [148:0.30s]
「こっちは、ポチの耳の感触ね」私は茶色のフェルトを選んだ。 [149:0.30s]
布を頬に当てると、思い出の感触が蘇ってくる。 [150:0.30s]
「柔らかいですね」彼が私の頬に触れそうな距離で覗き込む。 [151:0.30s]
「……ええ。 [152:0.30s]
あの子たちも、こうして触れられるのを待っているのかしら」 [153:0.25s]
墓地の裏手にある小径を、並んで歩いた。 [154:0.30s]
石畳が足音を吸い込み、私のポーチの中の鈴が、歩くたびに微かに鳴る。 [155:0.30s]
チリン、チリン。 [156:0.30s]
手は繋がない。 [157:0.30s]
音だけで互いの距離を測る。 [158:0.30s]
「歩幅、合ってきましたね」彼が言った。 [159:0.30s]
「ええ。 [160:0.30s]
あなたと同じリズムになりました。 [161:0.30s]
無理をしていない、自然なリズム」 [162:0.25s]
足音が重なるたび、胸の奥が静かに震える。 [163:0.30s]
悲しみを共有することで生まれた絆は、恋と呼ぶには静かすぎて、友情と呼ぶには深すぎた。 [164:0.30s]
私は小さなノートに、今日鈴が鳴った回数や、彼と会った場所を記録し始めた。 [165:0.30s]
紙が温度を持ち、指がしっとりと光る。 [166:0.30s]
桜が満開の日、いつものベンチは花びらで薄く覆われていた。 [167:0.30s]
村上さんが、小さな水のボトルと紙コップを取り出した。 [168:0.30s]
「猫と、犬と、君と、僕に。 [169:0.30s]
乾杯」 [170:0.25s]
「お水ですか？ [171:0.30s]
」 [172:0.25s]
「ええ。 [173:0.30s]
一番美味しい水を持ってきました。 [174:0.30s]
あの子たちも、水が好きだったから」 [175:0.25s]
少しだけ水をこぼすと、花びらが水面に浮かんだ。 [176:0.30s]
花と水と、遠くで響く鈴の音が重なり、触れないまま胸の奥が満たされていく。 [177:0.30s]
「また、ここで会えますか」私が聞くと、彼は優しく微笑んだ。 [178:0.30s]
「ええ。 [179:0.30s]
その鈴が鳴り続ける限り、僕は駆けつけますよ」 [180:0.25s]
私はポーチの上から、一度だけ鈴を鳴らした。 [181:0.30s]
チリン。 [182:0.30s]
その音が、私たちの次の約束の合図だった。 [183:0.30s]
夜、鈴を枕元に置き、目を閉じる。 [184:0.30s]
石の冷たさ、名刺の紙の硬さ、鈴の柔らかい音。 [185:0.30s]
触れない距離で重ねたものが、静かな艶となって胸に残っている。 [186:0.30s]
「今日、どの音を思い出しますか。 [187:0.30s]
誰と重ねますか」 [188:0.25s]
自分に問いかけ、もう一度だけ心の中で鈴を鳴らしてから、私は深い眠りへと沈んでいった。 [189:0.30s]
夢の中で、ポチとミーコが仲良く遊んでいるのが見えた気がした。 [190:0.30s]
そして、その横で私たちも笑っている。 [191:0.30s]
悲しみは消えないけれど、共に背負うことで、少しだけ軽くなることを知った冬の終わりだった。 [192:0.30s]
