公園の広い空き地。 [1:0.30s]
「ただの暇な老人ですよ。 [93:0.30s]
でも、君の役には立てたかな」 [94:0.25s]
雨の日は、飛ばせない。 [95:0.30s]
私たちは駅前の喫茶店で地図を広げた。 [96:0.30s]
ドローンを飛ばせる場所を探すためだ。 [97:0.30s]
窓を叩く雨音に合わせて、風の匂いを言葉にする遊び。 [98:0.30s]
「この川沿いは、甘い匂いが混ざるんです。 [99:0.30s]
春になると菜の花が咲くから」 [100:0.25s]
「その甘さ、あなたの声にも出ていますよ」 [101:0.25s]
「え？ [102:0.30s]
」 [103:0.25s]
「砂糖菓子みたいな、甘い声だ。 [104:0.30s]
疲れが取れる」 [105:0.25s]
コーヒーの湯気が彼の眼鏡を曇らせる。 [106:0.30s]
彼がそれを指で拭う仕草が、妙に艶やかで、私は目を逸らせなかった。 [107:0.30s]
紙に落ちたインクが湿気で少し波打ち、文字が熱を持っているように見えた。 [108:0.30s]
「航空図を見るのは久しぶりだ。 [109:0.30s]
昔は毎日、これと睨めっこしていた」 [110:0.25s]
「空の地図には、道がないんですね」 [111:0.25s]
「道は自分で作るんです。 [112:0.30s]
風を読んでね。 [113:0.30s]
人生と同じだ」 [114:0.25s]
川土手で風を読む練習をした。 [115:0.30s]
「目を閉じて。 [116:0.30s]
鼻先で風を掴むんです。 [117:0.30s]
頬に当たる風の圧力を感じて」 [118:0.25s]
言われた通りに目を閉じる。 [119:0.30s]
視覚を遮断すると、聴覚と嗅覚が研ぎ澄まされる。 [120:0.30s]
草の青い匂い。 [121:0.30s]
土の匂い。 [122:0.30s]
遠くの電車の音。 [123:0.30s]
そして、佐久間さんの微かな整髪料の匂い。 [124:0.30s]
シトラスと、タバコの残り香。 [125:0.30s]
「今日は低く飛ばしましょう。 [126:0.30s]
匂いが甘いから、雨が近い。 [127:0.30s]
低気圧が近づいている」 [128:0.25s]
「分かりますか？ [129:0.30s]
」 [130:0.25s]
「古傷が痛むからね。 [131:0.30s]
君も、膝とか痛まないかい？ [132:0.30s]
」 [133:0.25s]
「……心が、少し痛む時があります。 [134:0.30s]
雨の日は」 [135:0.25s]
「なら、僕が傘になろう」 [136:0.25s]
指先に残る草の感触と、彼の低音が重なり、体の中に静かな熱が灯る。 [137:0.30s]
帰り道、彼から小さなノートを手渡された。 [138:0.30s]
「飛行ログです。 [139:0.30s]
今日の風を書いておきました。 [140:0.30s]
君も記録をつけるといい」 [141:0.25s]
二人で今日の風の記録を書き込む。 [142:0.30s]
紙のざらつきと鉛筆の粉が指に移り、その手触りが夕方の光と混ざった。 [143:0.30s]
夕暮れ、プロペラを止めた静けさの中で。 [144:0.30s]
「今日はここまでですね」と佐久間さんが言った。 [145:0.30s]
西日に照らされた二人の影が、交わらずに長く伸びている。 [146:0.30s]
その隙間に、柔らかな湿度が生まれる。 [147:0.30s]
「君の旦那さんも、空が好きだった？ [148:0.30s]
」 [149:0.25s]
不意に聞かれた。 [150:0.30s]
「ええ。 [151:0.30s]
雲の形をよく見ていました。 [152:0.30s]
でも、飛ぶことはしなかった」 [153:0.25s]
「……そうですか。 [154:0.30s]
その視線、今もここに残っている気がします。 [155:0.30s]
君を通して、空を見ているのかもしれない」 [156:0.25s]
彼が空を見上げて呟く。 [157:0.30s]
過去と今が風で繋がり、喉の奥が温かくなった。 [158:0.30s]
「あなたの奥様は？ [159:0.30s]
」 [160:0.25s]
「空の上で待っていますよ。 [161:0.30s]
僕が最後のフライトを終えるのをね。 [162:0.30s]
だから、それまでは地上の風を楽しみたい」 [163:0.25s]
夏の午後、熱気が強すぎる時は飛ばすのをやめ、木陰で風速計を眺めた。 [164:0.30s]
「飛ばさない日も、空はきれいですね」 [165:0.25s]
「残したい風は、触らない方が艶があるんです。 [166:0.30s]
無理に飛ばない勇気も必要だ」彼が微笑む。 [167:0.30s]
汗の匂いと、木の陰の涼しさが混ざり合う。 [168:0.30s]
蝉時雨が、二人の沈黙を埋めてくれる。 [169:0.30s]
「トリム調整、しましょうか」 [170:0.25s]
彼が私のコントローラーを取り、微調整をしてくれる。 [171:0.30s]
彼の手が私の手に触れた。 [172:0.30s]
「あ……」 [173:0.25s]
「……ごめん。 [174:0.30s]
つい」 [175:0.25s]
彼は謝ったが、手は離さなかった。 [176:0.30s]
ほんの数秒、重なった手のひら。 [177:0.30s]
コントローラー越しに伝わる熱。 [178:0.30s]
秋の土手。 [179:0.30s]
枯葉を踏む音に合わせて、機体を低く飛ばした。 [180:0.30s]
風に乗るプロペラ音と、二人の呼吸が溶け合う。 [181:0.30s]
冬が近づき、日没が早くなると、午後の短い光だけを追った。 [182:0.30s]
「暗くなる前に終わろう。 [183:0.30s]
夜は声が冷えるから」 [184:0.25s]
「そうですね。 [185:0.30s]
風邪を引かないように」 [186:0.25s]
寒い空気の中で、白い吐息が絡み合う。 [187:0.30s]
吐息だけが、キスをしているように見えた。 [188:0.30s]
春、孫が遊びに来て、「ドローン貸して！ [189:0.30s]
」と駆け寄ってきた。 [190:0.30s]
私は笑って首を横に振った。 [191:0.30s]
「だめよ、これは見るだけ。 [192:0.30s]
大事な相棒だから」 [193:0.25s]
佐久間さんが隣で、「風が優しい日にね。 [194:0.30s]
それまでは、おばあちゃんの操縦を見てごらん」と孫に囁いた。 [195:0.30s]
彼と私だけの秘密の空。 [196:0.30s]
孫が「おじちゃん、誰？ [197:0.30s]
」と聞く。 [198:0.30s]
「……風の番人だよ」と彼が答えた。 [199:0.30s]
「ふうん。 [200:0.30s]
かっこいいね」 [201:0.25s]
家に戻り、夫の遺影に報告する。 [202:0.30s]
「今日の空の音、少し甘かったわ」 [203:0.25s]
枕元で目を閉じる。 [204:0.30s]
指先に残る草の匂いと、耳に残る佐久間さんの低い声を撫でながら、私は明日の風を思った。 [205:0.30s]
明日は北風か、それとも南風か。 [206:0.30s]
空がある限り、私たちのロマンスは続いていく。 [207:0.30s]
プロペラが回る限り、この胸のときめきも止まらない。 [208:0.30s]
風に乗せて、想いを飛ばす。 [209:0.30s]
操縦桿を握る手には、確かな明日への希望があった。 [210:0.30s]
