万国旗が秋晴れの空にはためき、子供たちの歓声が校庭に響き渡る。 [1:0.30s]
彼の誘いに頷き、並んで歩く。 [148:0.30s]
夕暮れの光が二人の影を長く伸ばし、時折重なり合う。 [149:0.30s]
影だけが、寄り添っている。 [150:0.30s]
「来週、市民センターの図書室で読み聞かせのボランティアをしているんです。 [151:0.30s]
もしお時間があれば……」 [152:0.25s]
別れ際、勇気を出して誘ってみた。 [153:0.30s]
断られるかもしれない。 [154:0.30s]
迷惑かもしれない。 [155:0.30s]
彼は少し驚いた顔をして、すぐに破顔した。 [156:0.30s]
「行きます。 [157:0.30s]
必ず行きます。 [158:0.30s]
君の声をもっと聴きたいですから」 [159:0.25s]
その言葉は、どんな約束よりも嬉しかった。 [160:0.30s]
翌週の土曜日。 [161:0.30s]
図書室の子供用スペースには、数組の親子連れが集まっていた。 [162:0.30s]
私は絵本を開き、読み聞かせを始めた。 [163:0.30s]
緊張で指が少し震える。 [164:0.30s]
視線の端に、一番後ろの席で静かに座っている木村さんの姿が見えた。 [165:0.30s]
彼は約束通り来てくれた。 [166:0.30s]
黒縁眼鏡の奥の瞳が、私をまっすぐに見つめている。 [167:0.30s]
その眼差しに支えられるように、声が自然と深みを増していく。 [168:0.30s]
物語の世界に没頭し、登場人物になりきって語る。 [169:0.30s]
子供たちの目が輝き、木村さんも深く頷きながら聴き入っている。 [170:0.30s]
読み聞かせが終わった後、併設のカフェで二人でココアを飲んだ。 [171:0.30s]
「緊張しました？ [172:0.30s]
最初、指が震えていましたよ」 [173:0.25s]
彼が茶化すように言う。 [174:0.30s]
「もう、意地悪ですね。 [175:0.30s]
あなたがじっと見ているからですよ」 [176:0.25s]
「特等席で君の声を独り占めしている気分でした。 [177:0.30s]
心地よかった。 [178:0.30s]
まるで、子守唄を聴いているような安心感がありました」 [179:0.25s]
湯気の向こうで、彼の低音が喉に落ちてくる。 [180:0.30s]
ココアの甘さと、彼の言葉の甘さが混ざり合う。 [181:0.30s]
「甘いですね、ココア」 [182:0.25s]
「君の声も、甘かったです」 [183:0.25s]
不意打ちの言葉に、カップを持つ手が止まる。 [184:0.30s]
「……からかわないでください」 [185:0.25s]
「本心ですよ。 [186:0.30s]
妻を亡くしてから、こんなに穏やかな気持ちになったのは久しぶりです」 [187:0.25s]
真剣な眼差しに、胸が締め付けられる。 [188:0.30s]
「私もです。 [189:0.30s]
木村さんといると、心が凪いでいく気がします」 [190:0.25s]
雨の日には、駅まで迎えに来てくれた彼と、一本の傘に入った。 [191:0.30s]
「濡れますよ、もっと寄ってください」 [192:0.25s]
肩を抱き寄せられ、雨の匂いが鼻をくすぐる。 [193:0.30s]
アスファルトが濡れる匂い。 [194:0.30s]
「雨の匂い、好きですか？ [195:0.30s]
」 [196:0.25s]
「ええ。 [197:0.30s]
世界が静かになって、香りが柔らかくなる気がして」 [198:0.25s]
「僕もです。 [199:0.30s]
こうして君と歩いていると、雨音さえも音楽に聞こえる」 [200:0.25s]
濡れた私の頬にかかった髪を、彼の手がそっと払った。 [201:0.30s]
その指の感触が、雨の冷たさとは対照的に、火傷しそうなほど熱かった。 [202:0.30s]
傘という狭い空間。 [203:0.30s]
世界から切り離された二人だけの場所。 [204:0.30s]
ある秋の日、公園のベンチで二人でスケッチブックを広げた。 [205:0.30s]
「絵なんて、小学生以来ですよ」と苦笑する彼。 [206:0.30s]
「いいじゃないですか。 [207:0.30s]
心のままに描けば」 [208:0.25s]
色鉛筆を動かす音だけが響く静かな午後。 [209:0.30s]
彼が描いたのは、私の横顔だった。 [210:0.30s]
拙い線だけれど、そこには確かな温かさがあった。 [211:0.30s]
「似てませんね」 [212:0.25s]
「いいえ、とても素敵。 [213:0.30s]
私が知らない私みたい」 [214:0.25s]
スケッチブックを閉じると、彼の手が私の手に重なった。 [215:0.30s]
「美和子さん」 [216:0.25s]
名前を呼ばれた。 [217:0.30s]
「……はい」 [218:0.25s]
「ありがとう」 [219:0.25s]
ただそれだけの言葉。 [220:0.30s]
けれど、全てが詰まっていた。 [221:0.30s]
夕暮れの校庭。 [222:0.30s]
運動会の片付けも終わり、静まり返った場所を二人で再訪した。 [223:0.30s]
「ここが出会いでしたね」と彼が呟く。 [224:0.30s]
「ええ。 [225:0.30s]
あの時、声をかけてくれてありがとう」 [226:0.25s]
「君が、そこにいてくれてよかった」 [227:0.25s]
彼の指が、私の頬の輪郭をゆっくりとなぞる。 [228:0.30s]
まるで、壊れ物を扱うように。 [229:0.30s]
「ここに、何か残してもいいですか？ [230:0.30s]
」 [231:0.25s]
唇は触れず、指先だけで頬に円を描く。 [232:0.30s]
そこに、キスよりも濃密な熱が宿った。 [233:0.30s]
「……今夜、思い出してもいいですか？ [234:0.30s]
」 [235:0.25s]
「ええ。 [236:0.30s]
あなたの指の熱を、ずっと覚えておきます」 [237:0.25s]
家に戻り、一人になった部屋で、手のひらを鼻先に近づけた。 [238:0.30s]
校庭の土の匂い、お弁当の唐揚げの香り、雨の匂い、そして木村さんの指の温度。 [239:0.30s]
それらすべてが混ざり合い、私の新しい「現在」を作っている。 [240:0.30s]
鏡の中の自分に向かって囁く。 [241:0.30s]
「今日、どの一歩を踏み出す？ [242:0.30s]
」 [243:0.25s]
口紅を少し足し、指先に息を吹きかける。 [244:0.30s]
触れそうで触れない距離の甘さと、焦れったさを抱きしめながら。 [245:0.30s]
孫の笑い声と、木村さんの低い声を耳の奥で反芻し、静かな夜の闇に心地よく沈んでいった。 [246:0.30s]
夫への愛が消えたわけではない。 [247:0.30s]
ただ、心の中に新しい部屋ができただけ。 [248:0.30s]
人生の黄昏時は、思ったよりもずっと、彩りに満ちている。 [249:0.30s]
明日もまた、彼に会いたい。 [250:0.30s]
そう素直に思える自分が、愛おしかった。 [251:0.30s]
