静寂に包まれた大学図書館。 [1:0.30s]
鍵は、正しい順番で差し込まないと開かない。 [35:0.30s]
声で試したくなるのは、そのせいかもしれません。 [36:0.30s]
言葉の響きの中に、正解が隠されていることがある」 [37:0.25s]
「鍵」という言葉が、静けさの中に艶を落とした気がした。 [38:0.30s]
彼の言葉は、いつも詩的で、哲学的だ。 [39:0.30s]
夕方、喉が渇いた私たちは、キャンパス内のカフェへ移動した。 [40:0.30s]
学生たちの賑やかな声が響く中、私たちは窓際の静かな席を選んだ。 [41:0.30s]
別々に受け取ったコーヒーカップをテーブルに置く。 [42:0.30s]
湯気が立ち上り、私の指を優しく撫でる。 [43:0.30s]
「コーヒーと紙の匂いが混ざると、落ち着きますね」 [44:0.25s]
「法廷も同じですよ。 [45:0.30s]
紙と木の匂いがする。 [46:0.30s]
そこに人の声が重なると、独特の艶が出るんです。 [47:0.30s]
判決文を読み上げる裁判官の声、弁護人の熱弁、証人の震える声……」 [48:0.25s]
彼は遠い目をしていた。 [49:0.30s]
香りと記憶が混ざり合い、胸に静かな湿度が生まれる。 [50:0.30s]
壁の古い時計が、カチコチと大きな音を立てていた。 [51:0.30s]
「時効、という言葉は好きですか？ [52:0.30s]
」不意に彼が聞いた。 [53:0.30s]
「……少し、寂しい言葉に聞こえます。 [54:0.30s]
忘れ去られるようで」 [55:0.25s]
「そうですか。 [56:0.30s]
でも、時が経つほど、言葉に艶が出ることもありますよ。 [57:0.30s]
ワインのように。 [58:0.30s]
あるいは、許しのように」 [59:0.25s]
彼がカップに添えた指が、スローモーションのように見えた。 [60:0.30s]
時計の音と重なり、時間が引き伸ばされていく。 [61:0.30s]
再び図書館に戻り、彼は小さな判例集を差し出した。 [62:0.30s]
「原告役と被告役で、読んでみませんか？ [63:0.30s]
ちょっとした演劇です」 [64:0.25s]
大人の遊びのようだった。 [65:0.30s]
けれど、声を重ねるうちに、それは演劇のように熱を帯びていった。 [66:0.30s]
「異議あり」 [67:0.25s]
彼が低く呟いたその言葉に、妙な艶が宿っていて、私は思わず息を呑んだ。 [68:0.30s]
胸が震える。 [69:0.30s]
法廷という戦場で戦ってきた男の、鋭さと脆さが同居した声。 [70:0.30s]
「声を重ねると、文字が呼吸を始めますね」私が言うと、彼は「ええ。 [71:0.30s]
あなたの呼吸音が、文字に命を吹き込んでいる。 [72:0.30s]
法律が、物語に変わる瞬間です」と返した。 [73:0.30s]
声だけで、指先が触れ合っているような錯覚に陥り、頬が温まった。 [74:0.30s]
雨の日は、窓を叩く雨音に合わせて本を読んだ。 [75:0.30s]
「雨音と判例、意外と合いますね」と笑い合う。 [76:0.30s]
夜のキャンパスを並んで歩いた。 [77:0.30s]
街灯が濡れた路面を照らしている。 [78:0.30s]
「判決文の最後の一文には、余韻があるんです」彼が言った。 [79:0.30s]
「『主文、被告人を……』の後に続く沈黙。 [80:0.30s]
今日の私たちの最後の一文は、どうしましょう」 [81:0.25s]
「『また明日、この続きを』で、どうでしょう」 [82:0.25s]
「それがいい。 [83:0.30s]
棄却しません。 [84:0.30s]
むしろ、控訴したいくらいだ。 [85:0.30s]
もっと長く、あなたと話していたいから」 [86:0.25s]
夜風が頬を撫で、私たちの声を運んでいく。 [87:0.30s]
授業の帰り、彼が古い判決文のコピーを封筒に入れて渡してくれた。 [88:0.30s]
「この紙、柔らかいでしょう。 [89:0.30s]
触るだけで落ち着くんです。 [90:0.30s]
昔のタイプライターで打ったものです」 [91:0.25s]
「……お借りします」 [92:0.25s]
「返すとき、あなたの好きな条文を一つ、書き添えてください。 [93:0.30s]
それが、僕への宿題です」 [94:0.25s]
ただの借り物が、次の約束に変わる。 [95:0.30s]
紙一枚が、確かな温度を持って私のバッグに収まった。 [96:0.30s]
夏休み前、図書館がしばらく閉館することになった。 [97:0.30s]
「閉まっている間、朗読の音声を送りましょうか」彼が提案してくれた。 [98:0.30s]
「聞いてみたいです」 [99:0.25s]
その夜、彼から届いた低い朗読のボイスメッセージ。 [100:0.30s]
再生すると、夕暮れの部屋が一瞬で図書館の空気に変わった気がした。 [101:0.30s]
朗読されているのは、ただの民法の条文。 [102:0.30s]
それなのに、なぜこんなにも色っぽく聞こえるのだろう。 [103:0.30s]
『声だけで、紙に触れた気がします』と返信すると、『声は、紙の次に柔らかい素材ですから』と短い返事が来た。 [104:0.30s]
図書館再開の日。 [105:0.30s]
「お礼に、あなたの朗読を聞かせてください」と頼まれた。 [106:0.30s]
私は迷った末、夫の遺言書の一節を読んだ。 [107:0.30s]
『……妻、美和子に、全ての財産を相続させる。 [108:0.30s]
ありがとう、美和子。 [109:0.30s]
君と過ごした日々が、僕の財産だった』 [110:0.25s]
文字を追う声が震え、喉が熱くなった。 [111:0.30s]
夫の愛を、自分の声で確認する作業。 [112:0.30s]
読み終えると、長い沈黙があった。 [113:0.30s]
「……優しい声でした」 [114:0.25s]
彼が静かに言った。 [115:0.30s]
その一言が、胸に染み渡った。 [116:0.30s]
「ご主人は、幸せだったでしょうね。 [117:0.30s]
あなたの声に看取られて」 [118:0.25s]
落ち葉が舞うキャンパス。 [119:0.30s]
「法律は線を引くためのものだと思われがちです」彼が言った。 [120:0.30s]
「でも、その線の内側が温かくないと、意味がない。 [121:0.30s]
法律は、人の幸せを守るための器でなくてはならない」 [122:0.25s]
「今日の線の内側は、温かいですね」 [123:0.25s]
「あなたの声があるから、温度が上がるんです」 [124:0.25s]
紅葉色に染まった彼の頬を見て、私の胸も高鳴った。 [125:0.30s]
冬、暖房で乾燥した図書館。 [126:0.30s]
「紙が乾いて、軽くなりますね」と私が言うと、「声で湿らせましょう」と彼が冗談めかして言った。 [127:0.30s]
二人で静かに本を読む。 [128:0.30s]
文字が声で濡れていくようで、寒さが和らいだ。 [129:0.30s]
年末、彼から真っ白なメモ帳を渡された。 [130:0.30s]
「これは？ [131:0.30s]
」 [132:0.25s]
「あなたの声を書くための紙です。 [133:0.30s]
あなたの言葉で、埋めてください」 [134:0.25s]
私はペンを取り、『紙の匂いとコーヒー、あなたの声は琥珀色』と書いた。 [135:0.30s]
「琥珀色、いいですね。 [136:0.30s]
時を経て、輝きを増す」彼は嬉しそうに笑った。 [137:0.30s]
午後の日差しが、二人を温かく包んだ。 [138:0.30s]
新年。 [139:0.30s]
「第一条は『また声を重ねる』でいきましょう」彼が茶目っ気たっぷりに言い、「採択です」と私が笑う。 [140:0.30s]
ページを開く音と、二人の呼吸が揃った。 [141:0.30s]
春、桜の花びらが舞い込み、開いた判決文の上に落ちた。 [142:0.30s]
「怒られますか？ [143:0.30s]
」私が聞くと、「歓迎しますよ。 [144:0.30s]
文字が春の匂いになりますから」と彼。 [145:0.30s]
「今日のあなたの声、花びらみたいでした」 [146:0.25s]
花と声が重なり、紙に艶が生まれる。 [147:0.30s]
夏前、窓から入った風がページをめくった。 [148:0.30s]
「風が条文を読みたがっているようです」 [149:0.25s]
「なら、読ませてあげましょう」 [150:0.25s]
風に向かって声を出すと、紙が小刻みに震え、その振動が指先に伝わってきた。 [151:0.30s]
風と声と紙の振動が重なり、彼と視線が合う。 [152:0.30s]
夕暮れ、校庭を歩いた。 [153:0.30s]
「あなたの声は、細いリボンのように見えます」彼が言った。 [154:0.30s]
「紙に触れずに、心と心を結びつけるリボン。 [155:0.30s]
解けない結び目を作るリボン」 [156:0.25s]
「今、どこに結びますか？ [157:0.30s]
」 [158:0.25s]
「ここに」彼は自分の胸をトントンと叩いた。 [159:0.30s]
「……私も、胸に結びます」 [160:0.25s]
リボンが風にそっとなびくのが見えた気がした。 [161:0.30s]
卒業の季節。 [162:0.30s]
机の上に、彼からの小さな封筒が置かれていた。 [163:0.30s]
「ありがとうの手紙です。 [164:0.30s]
声には出しません。 [165:0.30s]
好きな時に読んでください」 [166:0.25s]
厚手の上質な紙に触れると、確かな温度があった。 [167:0.30s]
「開ける前に、もう声が聞こえる気がします」 [168:0.25s]
「開けても閉じても、声は残りますよ」 [169:0.25s]
最後に、私たちはある条文を一緒に声に出して読んだ。 [170:0.30s]
文字が震え、声が重なり、紙が波打つ。 [171:0.30s]
帰宅後、封筒を開けた。 [172:0.30s]
『あなたの声は、紙を柔らかくする。 [173:0.30s]
そして、僕の心も』 [174:0.25s]
たった一文、彼らしい文字で書かれていた。 [175:0.30s]
指でなぞり、目を閉じる。 [176:0.30s]
川村さんの声が、紙の温度と共に鮮やかに蘇る。 [177:0.30s]
「今日、どの条文を誰と重ねますか」 [178:0.25s]
心に問いかけ、窓を開ける。 [179:0.30s]
夜風がページを揺らす。 [180:0.30s]
紙の香りと声の余韻が部屋に満ち、触れないまま重ねた声が、静かな夜に艶を残し続けていた。 [181:0.30s]
この六法全書には載っていない、私たちだけの法律。 [182:0.30s]
それは「愛」と呼ばれるものかもしれない。 [183:0.30s]
