病院の朝は早い。 [1:0.30s]
彼の手が、私の手の甲に触れた。 [122:0.30s]
「……手、冷たいですね」 [123:0.25s]
「雨の日は、少し冷えるんです」 [124:0.25s]
「温めましょう」 [125:0.25s]
彼が私の手を両手で包み込んでくれた。 [126:0.30s]
大きく、温かい手。 [127:0.30s]
カイロなんかよりもずっと、心の奥まで熱が伝わってくる。 [128:0.30s]
「……野村さんの手は、魔法使いみたい」 [129:0.25s]
「魔法？ [130:0.30s]
ただのじじいの手ですよ」 [131:0.25s]
「いいえ。 [132:0.30s]
不安を消してくれる魔法の手です」 [133:0.25s]
私が言うと、彼は耳まで赤くして照れた。 [134:0.30s]
その顔が可愛らしくて、愛おしかった。 [135:0.30s]
退院の日が近づいてきた。 [136:0.30s]
「寂しくなりますね」 [137:0.25s]
最後の散歩の時、中庭のタンポポを見ながら私が言った。 [138:0.30s]
コンクリートの隙間から、黄色い花が力強く咲いている。 [139:0.30s]
「……退院したら、またこの公園で会いましょう」 [140:0.25s]
彼が立ち止まり、真剣な顔で言った。 [141:0.30s]
「今度は、患者としてではなく。 [142:0.30s]
男と女として」 [143:0.25s]
心臓がトクン、と跳ねた。 [144:0.30s]
「……ええ。 [145:0.30s]
私服で、杖なしで」 [146:0.25s]
「約束ですよ」 [147:0.25s]
彼が小指を差し出した。 [148:0.30s]
「指切りなんて、何十年ぶりかしら」 [149:0.25s]
「契約書よりも確かな約束です」 [150:0.25s]
小指を絡める。 [151:0.30s]
指先から伝わる彼の体温を、私は記憶に刻み込んだ。 [152:0.30s]
退院して一週間後。 [153:0.30s]
私は約束の公園に向かっていた。 [154:0.30s]
新しいベージュのパンプス。 [155:0.30s]
春らしい淡いピンクのブラウス。 [156:0.30s]
口紅は、いつもより少し明るい色を選んだ。 [157:0.30s]
杖は持っていない。 [158:0.30s]
まだ少し不安はあるけれど、彼に見せたい姿があった。 [159:0.30s]
公園の入り口が見える。 [160:0.30s]
時計を見る。 [161:0.30s]
約束の十分前。 [162:0.30s]
ベンチに座っている男性の姿が見えた。 [163:0.30s]
ジャケットを着て、髪を整えた野村さんだ。 [164:0.30s]
彼も杖を持っていない。 [165:0.30s]
「野村さん！ [166:0.30s]
」 [167:0.25s]
私が声をかけると、彼が弾かれたように顔を上げた。 [168:0.30s]
「美和子さん……！ [169:0.30s]
」 [170:0.25s]
彼が立ち上がり、こちらへ歩いてくる。 [171:0.30s]
その足取りは、病院の時よりもずっと力強く、自信に満ちていた。 [172:0.30s]
私たちが向き合うと、彼は自然に右手を差し出した。 [173:0.30s]
「さあ、行きましょうか」 [174:0.25s]
「……はい」 [175:0.25s]
私は彼の手を取った。 [176:0.30s]
病院で支え合った時の「介護」の手ではない。 [177:0.30s]
男性が女性をエスコートする、優しく、そして熱っぽい手。 [178:0.30s]
並んで歩く歩道の感触は、病院の廊下よりもずっと柔らかく感じられた。 [179:0.30s]
春の風が吹き抜け、桜の花びらが舞う。 [180:0.30s]
「足、痛みませんか？ [181:0.30s]
」彼が気遣う。 [182:0.30s]
「あなたの手が温かいから、痛みなんて忘れました」 [183:0.25s]
「僕もです。 [184:0.30s]
あなたの声を聞いていると、どこまでも歩けそうだ」 [185:0.25s]
二人の影が、アスファルトの上で一つに重なり、長く伸びていく。 [186:0.30s]
「あそこのカフェで、お茶でもしましょう」 [187:0.25s]
彼が指差した先には、テラス席のあるおしゃれなカフェがあった。 [188:0.30s]
「いいですね。 [189:0.30s]
病院の自販機のコーヒーとは大違い」 [190:0.25s]
「味はともかく、あの自販機の前で話した時間も、僕にとっては宝物ですがね」 [191:0.25s]
「ふふ、私もです」 [192:0.25s]
カフェの席に着き、向かい合う。 [193:0.30s]
太陽の光が、彼の顔を照らしている。 [194:0.30s]
入院していた頃の青白さは消え、健康的な血色が戻っていた。 [195:0.30s]
「乾杯しましょうか」 [196:0.25s]
「何に？ [197:0.30s]
」 [198:0.25s]
「僕たちの、新しい一歩に」 [199:0.25s]
アイスティーのグラスを軽く合わせる。 [200:0.30s]
カチン、と涼やかな音が響いた。 [201:0.30s]
「……生きていてよかった」 [202:0.25s]
彼がしみじみと言った。 [203:0.30s]
「怪我をした時は絶望したけれど、そのおかげであなたに出会えた」 [204:0.25s]
「人生、何があるか分かりませんね。 [205:0.30s]
転んでも、ただでは起きない」 [206:0.25s]
「ハハッ、たくましいな」 [207:0.25s]
彼が笑い、私も笑った。 [208:0.30s]
帰り道、彼は駅まで送ってくれた。 [209:0.30s]
「次は、映画でもどうですか。 [210:0.30s]
座って見られますから」 [211:0.25s]
「ええ、喜んで」 [212:0.25s]
改札の前で、繋いでいた手を離すのが惜しかった。 [213:0.30s]
「今日、どの一歩を選びましたか」 [214:0.25s]
心の中で自分に問いかける。 [215:0.30s]
私が選んだのは、過去を振り返る一歩でも、一人で踏ん張る一歩でもない。 [216:0.30s]
彼と共に歩く、この温かく、少しこそばゆい一歩だ。 [217:0.30s]
「じゃあ、また」 [218:0.25s]
彼が手を振る。 [219:0.30s]
「また、近いうちに」 [220:0.25s]
私も手を振り返す。 [221:0.30s]
自動改札を抜け、振り返ると、彼はまだそこに立って私を見ていた。 [222:0.30s]
その姿が見えなくなるまで、私は何度も振り返った。 [223:0.30s]
左足の痛みは、もう感じなかった。 [224:0.30s]
胸の奥にある温かい塊が、全身を支えてくれていたから。 [225:0.30s]
私は前を向いた。 [226:0.30s]
駅の雑踏が、まるで祝福のファンファーレのように聞こえた。 [227:0.30s]
人生の第二章は、まだ始まったばかりだ。 [228:0.30s]
