雨に濡れた遍路道。 [1:0.30s]
「歩けるかしら……自信がありません」 [72:0.25s]
「大丈夫。 [73:0.30s]
私がついています。 [74:0.30s]
背中を押しますよ。 [75:0.30s]
物理的にも、精神的にも」 [76:0.25s]
窓に映る店の灯りが、私の頬を照らしていた。 [77:0.30s]
名前を呼ばずに、視線だけで互いの温度を確かめ合う。 [78:0.30s]
食堂のテレビからは、浮かれたバラエティ番組の音が流れている。 [79:0.30s]
それが逆に、私たちの旅の静けさを際立たせた。 [80:0.30s]
宿の部屋。 [81:0.30s]
薄い壁一枚を隔てて、彼がいる。 [82:0.30s]
濡れた白衣を干しながら、昼間の彼の声を反芻する。 [83:0.30s]
「歩く声ってあるのね」。 [84:0.30s]
畳の匂いと雨の湿度を吸い込みながら、私は独り言ちた。 [85:0.30s]
壁に耳を当てると、彼の咳払いが聞こえた。 [86:0.30s]
生きている音がする。 [87:0.30s]
それだけで、独り寝の寂しさが薄れた。 [88:0.30s]
翌日。 [89:0.30s]
苔むした石段。 [90:0.30s]
「手、貸します。 [91:0.30s]
ほんの少しだけ」 [92:0.25s]
急な段差で、彼が手を差し出す。 [93:0.30s]
私はその手に自分の手を重ねた。 [94:0.30s]
ゴツゴツとした、温かい手。 [95:0.30s]
鼓動が、雨だれの音と重なる。 [96:0.30s]
「雨の香り、好きですか」 [97:0.25s]
「湿った空気は、声を深くしますね。 [98:0.30s]
あなたの声が、身体の芯まで届きます」 [99:0.25s]
低く落ちる彼の声が、私の胸に共鳴する。 [100:0.30s]
「休みましょう、息が上がる前に」。 [101:0.30s]
彼の気遣いが心地よい。 [102:0.30s]
老僧にお茶を勧められ、縁側で並んで座った。 [103:0.30s]
「いいお連れ合いですな」と言われ、否定しようとして、言葉に詰まった。 [104:0.30s]
「……旅の、道連れです」 [105:0.25s]
彼が代わりに答えた。 [106:0.30s]
その「道連れ」という言葉の響きが、妙に色っぽく聞こえた。 [107:0.30s]
湯気の向こうで、山下さんの長い睫毛に露が光っているのを見た。 [108:0.30s]
茶の渋みが舌に残り、喉の奥が甘く湿った。 [109:0.30s]
古い橋の上。 [110:0.30s]
風が強く、白衣が体に張り付く。 [111:0.30s]
「杖の下に、弘法大師様がいらっしゃる。 [112:0.30s]
だから杖は突いてはいけない」 [113:0.25s]
彼が教えてくれた作法。 [114:0.30s]
「濡れた布は重いですね」私が言うと、「その重さが、今の私を包んでくれている気がします。 [115:0.30s]
生きてるって重さだ」と彼が返した。 [116:0.30s]
「歩く姿がしなやかですね」 [117:0.25s]
「あなたの背中の音も、静かで好きです。 [118:0.30s]
金剛杖の音が、リズムを刻んでくれる」 [119:0.25s]
褒め合いながらも、踏み込みすぎないように足元の石を見る。 [120:0.30s]
この旅が終われば、また別々の日常に戻るのだから。 [121:0.30s]
夕方、宿で日記を書いた。 [122:0.30s]
『艶は、踏み込まない勇気から生まれる。 [123:0.30s]
手は貸すが、長くは握らない。 [124:0.30s]
声は深いが、距離は一定』。 [125:0.30s]
書き終えると、喉の湿度が整うのを感じた。 [126:0.30s]
山下さんから、手書きの地図をもらった。 [127:0.30s]
「明日の抜け道です。 [128:0.30s]
少し楽ができますよ」 [129:0.25s]
紙のざらつきに、彼の体温が残っていた。 [130:0.30s]
ポケットにしまうと、胸のあたりが温かくなった。 [131:0.30s]
峠道で霧が出た。 [132:0.30s]
視界が真っ白になり、不安が募る。 [133:0.30s]
彼の姿が見えなくなる。 [134:0.30s]
「山下さん！ [135:0.30s]
」 [136:0.25s]
「ここにいますよ」 [137:0.25s]
すぐ近くから声がした。 [138:0.30s]
彼の息遣いが近づく。 [139:0.30s]
「ここで休憩しましょう。 [140:0.30s]
手を伸ばしたくなる前に、深呼吸を。 [141:0.30s]
霧はいずれ晴れます」 [142:0.25s]
霧の中で立ち尽くす。 [143:0.30s]
冷たい霧の粒子と、互いの温かい吐息が混ざり合う。 [144:0.30s]
世界に二人きりになったような錯覚。 [145:0.30s]
「……もし、このまま霧が晴れなかったら」 [146:0.25s]
「その時は、ずっとここで雨宿りですね」 [147:0.25s]
冗談めかした言葉に、本音が隠れている気がした。 [148:0.30s]
海沿いの道に出ると、夕暮れの海が広がっていた。 [149:0.30s]
波の音がザザーッと響く。 [150:0.30s]
「長く見ていたいけど、今日は別々の宿ですね」彼が寂しそうに笑う。 [151:0.30s]
「……名残惜しいくらいが、ちょうどいいのよ。 [152:0.30s]
また明日、会える楽しみがあるから」 [153:0.25s]
艶を胸にしまう。 [154:0.30s]
「あなたの声、潮の匂いがします」 [155:0.25s]
「あなたの声は、砂の色ですね。 [156:0.30s]
乾いていて、でも温かい」 [157:0.25s]
砂利を踏む靴音が、柔らかいリズムを刻んだ。 [158:0.30s]
結願の寺、八十八番札所。 [159:0.30s]
ついにたどり着いた。 [160:0.30s]
長かった旅の終わり。 [161:0.30s]
弘法大師像の前で、彼が囁いた。 [162:0.30s]
「言葉にしてくれたから、歩けました。 [163:0.30s]
一人だったら、途中で挫けていたかもしれない」 [164:0.25s]
「頷いてくれたから、声が澄みました。 [165:0.30s]
あなたのおかげです」 [166:0.25s]
空に虹がかかっていた。 [167:0.30s]
雨上がりの空に、七色の橋。 [168:0.30s]
白衣に透ける光が、疲れた肌を優しく照らす。 [169:0.30s]
「濡れた光の方が、艶がありますね」 [170:0.25s]
「危うさは、距離があるから味わえるんです。 [171:0.30s]
近づきすぎたら、虹も見えなくなってしまう」 [172:0.25s]
軽口を交わし、笑い声が湿った空気に溶けていく。 [173:0.30s]
別れの駅。 [174:0.30s]
彼は西へ、私は東へ。 [175:0.30s]
「ここから先は、別の道ですね」 [176:0.25s]
彼が言った。 [177:0.30s]
手を握らず、名前も呼ばず、ただ声の温度だけを確かめる。 [178:0.30s]
「歩いた湿度を、家に持ち帰ります」 [179:0.25s]
「私もです。 [180:0.30s]
……お元気で。 [181:0.30s]
良い旅を」 [182:0.25s]
「あなたも」 [183:0.25s]
背を向けて歩き出す。 [184:0.30s]
振り返らなかった。 [185:0.30s]
振り返れば、引き返したくなるから。 [186:0.30s]
肩越しに風が吹き、昼間の彼の声が耳の奥で柔らかく鳴った。 [187:0.30s]
金剛杖の音も、まだ聞こえる気がする。 [188:0.30s]
夜、自宅の畳に横になり、メモ帳に『歩幅を合わせた声の湿度』と記した。 [189:0.30s]
窓の外から風の音が聞こえる。 [190:0.30s]
翌朝、「今日はもう歩かない。 [191:0.30s]
地図を広げて、声を思い出すだけ」と呟き、あの旅の湿った余韻を静かに味わった。 [192:0.30s]
納経帳を開くと、墨の香りと共に、彼の横顔が蘇る。 [193:0.30s]
私の巡礼は終わったけれど、心の中の旅はまだ続いている。 [194:0.30s]
