夏の朝、市民農園の湿った土の匂いが立ち込める中、私はトマトの苗と格闘していた。 [1:0.30s]
その不器用な言葉に、胸の奥がじんわりと温かくなるのを感じた。 [40:0.30s]
土の湿度に、微かな甘い熱が混ざった瞬間だった。 [41:0.30s]
午前の光が畝に差し込み、私の背後から伸びた彼の手が、別の支柱の麻紐を少し締める。 [42:0.30s]
「力は抜け。 [43:0.30s]
土が受け止めるから」 [44:0.25s]
耳元で囁かれたその声は、怒鳴り声とは違って低く、振動となって私の鼓膜を震わせた。 [45:0.30s]
夕方、水やりに行くと、私の区画の土がしっとりと濡れているのに気づいた。 [46:0.30s]
「あれ、雨降ったかしら？ [47:0.30s]
」 [48:0.25s]
隣で作業をしていた黒田さんに尋ねると、彼は野菜の葉をむしりながら目を合わせずに言った。 [49:0.30s]
「夜風が強そうだったからな。 [50:0.30s]
乾きすぎると思って、ついでに撒いといた」 [51:0.25s]
「……ありがとうございます」 [52:0.25s]
「ついでだ、ついで」 [53:0.25s]
彼の頬に、夕焼けとは違う薄い紅が差しているのが見えた。 [54:0.30s]
土の匂いと、照れ隠しの温度が夕風に混ざり、私の頬も熱くした。 [55:0.30s]
週末、私が畑に行くと、また黒田さんがいた。 [56:0.30s]
手には見たことのない苗を持っている。 [57:0.30s]
「これを植えろ」 [58:0.25s]
「……お願い、でしょ？ [59:0.30s]
」 [60:0.25s]
私が少し首を傾げて笑うと、彼は観念したように息を吐いた。 [61:0.30s]
「……お願いする。 [62:0.30s]
いい苗が手に入ったんだ。 [63:0.30s]
あんたの畑の土なら、合うと思ってな」 [64:0.25s]
彼は膝をつき、苗を植えるための穴を掘り始めた。 [65:0.30s]
私も隣にしゃがみ込む。 [66:0.30s]
彼の手が苗を穴に置く時、土の冷たさが私の手のひらにも伝わってくるようだった。 [67:0.30s]
「根を崩さないように、優しくな」 [68:0.25s]
根を撫でる彼の指先が、少し震えているように見えた。 [69:0.30s]
土に触れるその手つきは、まるで宝石か、壊れやすいガラス細工を扱っているかのように艶やかだった。 [70:0.30s]
「妻を亡くしてから、土だけが話し相手でな」 [71:0.25s]
ぽつりと彼が漏らした。 [72:0.30s]
シャベルで土を均す音が、静寂を埋める。 [73:0.30s]
「土は文句を言わん。 [74:0.30s]
手をかければかけただけ、応えてくれる」 [75:0.25s]
「私もです。 [76:0.30s]
夫を亡くして、寂しさを埋めるためにここに来ました。 [77:0.30s]
土は黙って受け止めてくれますものね」 [78:0.25s]
「雑草みたいなもんだ。 [79:0.30s]
寂しさなんて、抜いても抜いても生えてくる」 [80:0.25s]
「でも、野菜を育てるのと同じくらい、大切にしてやればいいのかもしれませんね」 [81:0.25s]
喪失という共通の痛みが、土の香りと混ざり合い、二人の間の空気を親密なものに変えていった。 [82:0.30s]
日曜の朝、畑の脇のベンチで二人でコーヒーを飲んだ。 [83:0.30s]
彼が持ってきた魔法瓶から注がれたインスタントコーヒー。 [84:0.30s]
「美味しいですね」 [85:0.25s]
「外で飲むとな。 [86:0.30s]
土の匂いが隠し味だ」 [87:0.25s]
湯気が二人の間に薄いヴェールを作る。 [88:0.30s]
彼の指先に残る土の粉が、湯気でしっとりと濡れている。 [89:0.30s]
「土を触っていると、怒鳴る気が抜けるんだ。 [90:0.30s]
あんたの声も、土と一緒だと柔らかく聞こえる」 [91:0.25s]
「あら、普段は硬いですか？ [92:0.30s]
」 [93:0.25s]
「いや……普段も、悪くない。 [94:0.30s]
鈴のような声だ」 [95:0.25s]
不意の褒め言葉に、私は顔を伏せた。 [96:0.30s]
コーヒーの湯気が、私の頬を隠してくれた。 [97:0.30s]
脇芽を摘む作業中、「ここ、切ってみろ」と彼が私の手に自分の手を重ねてきた。 [98:0.30s]
剪定ばさみの金属の冷たさと、彼の手の熱さが同時に伝わる。 [99:0.30s]
パチン、と茎を切る音よりも、重なった掌から伝わる鼓動の方が、大きく耳に響いた。 [100:0.30s]
「上手くなったな」 [101:0.25s]
「指導が良いですから」 [102:0.25s]
彼の体温が、私の皮膚を通して染み込んでくる。 [103:0.30s]
夏本番。 [104:0.30s]
私の畑のミニトマトが、真っ赤に色づいた。 [105:0.30s]
太陽の光を浴びて、宝石のように輝いている。 [106:0.30s]
「食べてみろ」彼に促され、もぎたての実を口に放り込む。 [107:0.30s]
プチッという音と共に、鮮烈な酸味が弾け、その後に濃厚な甘さが広がった。 [108:0.30s]
「……美味しい！ [109:0.30s]
味が濃いです」 [110:0.25s]
「艶っぽい味だろう？ [111:0.30s]
」 [112:0.25s]
「野菜で艶を言うとは思いませんでした」私が笑うと、彼もニヤリと笑った。 [113:0.30s]
口の端に果汁がついてしまったのを、彼が自然な動作で指で拭った。 [114:0.30s]
ドキリとした。 [115:0.30s]
果汁と彼の汗が混ざり、指先が光っている。 [116:0.30s]
「……甘いな」 [117:0.25s]
彼がその指を舐める仕草に、心臓が跳ね上がった。 [118:0.30s]
それは野菜の味見以上の意味を持っているように見えた。 [119:0.30s]
夕立が降った後、畑の土は柔らかく、靴が沈み込んだ。 [120:0.30s]
「今日は無理に歩くな。 [121:0.30s]
転ぶぞ」 [122:0.25s]
彼が肩を貸してくれた。 [123:0.30s]
並んで歩くと、濡れた葉から雫が私の手の甲に落ちた。 [124:0.30s]
「冷たい」 [125:0.25s]
彼が親指でその雫を拭う。 [126:0.30s]
「すぐ温まる」 [127:0.25s]
拭われた場所に、じわりと熱が残る。 [128:0.30s]
彼の手の摩擦熱が、皮膚の奥まで浸透していくようだった。 [129:0.30s]
雨が強くなり、私たちは道具小屋に逃げ込んだ。 [130:0.30s]
狭い小屋の中には、肥料の匂いと、錆びた農具の匂いが充満している。 [131:0.30s]
トタン屋根を叩く雨音が、激しく響く。 [132:0.30s]
「すごい雨ですね」 [133:0.25s]
「ああ。 [134:0.30s]
通り雨だ」 [135:0.25s]
薄暗い小屋の中で、彼と二人きり。 [136:0.30s]
湿気がこもり、互いの体温が伝わってくるようだ。 [137:0.30s]
「……あんたといると、落ち着くな」 [138:0.25s]
彼がポツリと言った。 [139:0.30s]
「私もです。 [140:0.30s]
黒田さんのおかげで、土が好きになりました」 [141:0.25s]
「土だけか？ [142:0.30s]
」 [143:0.25s]
「え？ [144:0.30s]
」 [145:0.25s]
彼はそれ以上言わず、外の雨を見つめた。 [146:0.30s]
その横顔が、どこか寂しげで、そして愛おしかった。 [147:0.30s]
雨が上がり、夕暮れ時。 [148:0.30s]
彼が収穫した苗のラベルを手渡してくれた。 [149:0.30s]
「来年は、これも植えてみろ。 [150:0.30s]
ナスだ。 [151:0.30s]
漬物にすると美味いぞ」 [152:0.25s]
紙のざらつきよりも、彼の手の温度が先に伝わった。 [153:0.30s]
「紙より、手の方が温かいですね」 [154:0.25s]
「……あんたの手もな」 [155:0.25s]
私たちは顔を見合わせて笑った。 [156:0.30s]
作業の最後に、彼が小さなスプレーを取り出した。 [157:0.30s]
「手、貸してくれ」 [158:0.25s]
手に霧を吹きかけられる。 [159:0.30s]
ひんやりとした感触。 [160:0.30s]
ハッカの香り。 [161:0.30s]
「ハッカ油だ。 [162:0.30s]
虫除けになる」 [163:0.25s]
彼が自分の手で、私の手にその油を馴染ませる。 [164:0.30s]
アルコールの冷たさと、指の温かさ。 [165:0.30s]
対照的な二つの温度が同じ場所に残り、肌の内側が熱を持った。 [166:0.30s]
「いい匂い……」 [167:0.25s]
「ここだけの匂いだ。 [168:0.30s]
家には持ち込むなよ」彼は悪戯っぽく笑った。 [169:0.30s]
「家で思い出されたら、困るだろう？ [170:0.30s]
」 [171:0.25s]
「……そうですね。 [172:0.30s]
困ります」 [173:0.25s]
なぜ困るのか、言葉にはしなかったけれど、お互いに分かっていた。 [174:0.30s]
この畑にいる間だけ、私たちは「妻を亡くした男」と「夫を亡くした女」ではなく、ただの男と女になれるのだ。 [175:0.30s]
家には、それぞれの思い出が待っている。 [176:0.30s]
でも、ここには「今」しかない。 [177:0.30s]
夏の終わり、夕焼けに染まる畑で、私はトマトの支柱に小さな紙を結びつけた。 [178:0.30s]
『ありがとう』と書いたメモ。 [179:0.30s]
夕陽に透けて紙が風に踊る。 [180:0.30s]
私の指は、トマトの色と夕陽の色で赤く染まっていた。 [181:0.30s]
「夜に来なくても、土の匂いで思い出せそうだ」 [182:0.25s]
彼が背後で囁く。 [183:0.30s]
「ええ。 [184:0.30s]
私も、トマトを見るたびに思い出すわ」 [185:0.25s]
「……また、来年も頼む」 [186:0.25s]
「お願い、でしょ？ [187:0.30s]
」 [188:0.25s]
「ああ……お願いする。 [189:0.30s]
これからも、俺の隣で畑を作ってくれ」 [190:0.25s]
私たちは肩を並べて、暮れなずむ畑を見つめた。 [191:0.30s]
空には一番星が光り始めていた。 [192:0.30s]
帰宅しても、手には土の匂いが残っていた。 [193:0.30s]
爪の間に入り込んだ土は、洗ってもなかなか落ちない。 [194:0.30s]
私は手を洗う前に、そっと鼻先に近づけた。 [195:0.30s]
触れそうで触れなかった場所が、薄く熱を持っている。 [196:0.30s]
「今日、どの一歩を踏み出す？ [197:0.30s]
」 [198:0.25s]
鏡の前で口紅を足し、指先に息を吹きかける。 [199:0.30s]
土の湿度と、守り抜いた距離の中で育った艶やかな感情。 [200:0.30s]
それを抱きしめながら、私は静かな夜に目を閉じた。 [201:0.30s]
来年の夏も、あの場所で、彼と土に触れる日が待ち遠しかった。 [202:0.30s]
それまでは、この手のひらの記憶だけで生きていける。 [203:0.30s]
土に蒔いた種は、いつか必ず芽吹く。 [204:0.30s]
私たちの関係も、ゆっくりと時間をかけて育てていけばいい。 [205:0.30s]
