会議の五分前に議題が増え、資料が足りず、時間も押している。 [1:0.30s]
寝る前のスマホをやめ、白湯を飲み、呼吸を整えて眠る。 [75:0.30s]
朝は光を浴び、深く息を吸う。 [76:0.30s]
昼は水とタンパク質を取る。 [77:0.30s]
体が整うと、心の余白が戻り、三行を思い出しやすくなります。 [78:0.30s]
体調管理は、ミニ原則を機能させるための土台です。 [79:0.30s]
罪悪感や怖さが出たときは、「守りたいもの」を紙に書きます。 [80:0.30s]
仕事の質、家族時間、健康、信頼。 [81:0.30s]
守りたいものが見えると、拙速を止める理由がはっきりし、罪悪感が和らぎます。 [82:0.30s]
守りたいものを守るために遅らせ、基準に戻る。 [83:0.30s]
遅さは弱さではなく、質を守る速度です。 [84:0.30s]
具体的なシーンをもう一つ。 [85:0.30s]
フリーランスの人が午前に深い作業をしたいのに、クライアントから「至急」のチャットが来る。 [86:0.30s]
朝に三行を書いている。 [87:0.30s]
「今日の目的は案件Aの質」「基準は長期の信頼」「言わないのは『とりあえずやります』」。 [88:0.30s]
通知は切ってある。 [89:0.30s]
昼の受信でチャットを見て、「明日〇時までに初稿、〇時に仕上げます」と返す。 [90:0.30s]
夜の三行で「午前を守れた」「夕方の催促で焦った。 [91:0.30s]
理由は睡眠不足」「明日は夕方の受信を十五分前倒し」。 [92:0.30s]
翌朝、ロック画面を見て呼吸をしてから始める。 [93:0.30s]
三日続けると、午前の集中が守られ、質も信頼も上がる。 [94:0.30s]
ミニ原則は、時間を取り戻すための小さな仕組みです。 [95:0.30s]
会議以外の瞬間にも三行は効きます。 [96:0.30s]
メールの即答を止めたいとき、三行を思い出して「目的」「基準」「言わないこと」を一文で添える。 [97:0.30s]
家族の誘いで迷ったとき、「今日は決めない」「明朝十時に十分話す」と三行目の戻り先を使う。 [98:0.30s]
子どもの質問攻めに疲れたとき、「五分後に話す」と一呼吸置き、三行で整理する。 [99:0.30s]
場面が違っても、三行は反射を止め、基準に戻すスイッチとして機能します。 [100:0.30s]
三行を文化にするために、週に一度だけ棚卸しをします。 [101:0.30s]
五分で、今週の三行を並べ、効いた場面と崩れた場面を書きます。 [102:0.30s]
崩れた理由を一つ書き、次の三行に一つだけ反映します。 [103:0.30s]
時間を短く設定する。 [104:0.30s]
目的を先に共有する。 [105:0.30s]
クッション言葉を足す。 [106:0.30s]
小さな修正を積み重ねると、三行は身体化します。 [107:0.30s]
身体化すれば、会議前に紙を見なくても、姿勢を整えた瞬間に思い出せるようになります。 [108:0.30s]
三行を支えるのは、短い儀式です。 [109:0.30s]
会議前に肩をすくめて落とし、深呼吸を一度。 [110:0.30s]
ノートの一番上に三行を書く。 [111:0.30s]
終わったら三行で振り返る。 [112:0.30s]
儀式は短くて十分です。 [113:0.30s]
同じ流れを続けることで、脳が「ここから軸に戻る時間だ」と覚え、切り替えが早くなります。 [114:0.30s]
儀式は自分への合図であり、反射を止める扉です。 [115:0.30s]
三行をさらに強くするために、影響と納得の二軸を加えてもいいでしょう。 [116:0.30s]
会議前に、議題ごとに影響◎○△と納得◎○△を丸で付けておきます。 [117:0.30s]
影響が大きく納得も高い議題に時間を多く配分し、影響が小さく納得も低い議題は後ろに送る。 [118:0.30s]
丸を三行の目的・基準とセットで置くと、時間の使い方が整い、拙速な合意が減ります。 [119:0.30s]
丸付けは三分で済みます。 [120:0.30s]
丸があると、声の大きさではなく影響と納得で優先順位を決められます。 [121:0.30s]
味方を一人作ると、三行が使いやすくなります。 [122:0.30s]
会議前に「今日は目的と基準を先に共有させて」と同僚に一言伝える。 [123:0.30s]
場が逸れたら味方が戻す手助けをしてくれます。 [124:0.30s]
味方がいないときは、紙が味方です。 [125:0.30s]
紙に三行を書き、紙に戻る。 [126:0.30s]
紙はいつでも味方です。 [127:0.30s]
罪悪感や怖さが出てきたときは、守りたいものを書き添えます。 [128:0.30s]
品質、信頼、時間、家族。 [129:0.30s]
守りたいものが見えると、拙速を止める理由がはっきりし、罪悪感が薄れます。 [130:0.30s]
守りたいものを守るために遅らせ、基準に戻る。 [131:0.30s]
遅らせることは、責任を持つことです。 [132:0.30s]
三行と相性が良いのが、デフォルト選択です。 [133:0.30s]
迷ったら戻る基本形を決めておく。 [134:0.30s]
「迷ったら一晩置く」「迷ったら影響と納得で見る」「迷ったら小さく試す」。 [135:0.30s]
三行の三行目に「戻り先」として書いておくと、拙速を防げます。 [136:0.30s]
戻り先があると、安心して「今日は決めない」と言えます。 [137:0.30s]
決めない勇気も、軸の一部です。 [138:0.30s]
メールのテンプレも少しずつ磨きましょう。 [139:0.30s]
「目的は〇〇です」「基準は〇〇を優先します」「拙速を避けるため、〇時までに初稿、〇時に仕上げます」「ご協力ありがとうございます」。 [140:0.30s]
目的・基準・礼の三要素を入れると、相手もあなたの軸を理解し、圧が減ります。 [141:0.30s]
礼を添えると、遅答でも冷たく映りません。 [142:0.30s]
丁寧な軸は、なめられにくさにもつながります。 [143:0.30s]
家庭で子どもと話すときも、ミニ原則が役立ちます。 [144:0.30s]
宿題をめぐって衝突しそうなとき、「今日決めるのは何」「期限はいつ」「言わないフレーズは何」と三行を書く。 [145:0.30s]
「宿題の順番を決める」「期限は夕食前」「言わないのは『早くしなさい』」。 [146:0.30s]
三行を見せてから話すと、感情ではなく行動に焦点が当たり、子どもも落ち着きます。 [147:0.30s]
三行は家庭の空気も静かに整えます。 [148:0.30s]
三行を守るために、睡眠を優先することも忘れないでください。 [149:0.30s]
寝不足は反射を強め、基準を思い出す前に口が動きます。 [150:0.30s]
寝る前のスマホをやめ、白湯を飲み、深呼吸をして眠る。 [151:0.30s]
朝は光を浴び、深く息を吸う。 [152:0.30s]
体が整えば、三行が思い出せます。 [153:0.30s]
体調管理は、ミニ原則の根っこです。 [154:0.30s]
三行を紙だけでなく、カードにしてポケットに入れると、場面を選ばず使えます。 [155:0.30s]
名刺サイズのカードに三行を書き、裏面にクッション言葉を三つだけ添える。 [156:0.30s]
「少し考えさせてください」「目的に戻してもいいですか」「影響と期限を教えてください」。 [157:0.30s]
カードを触る動作が、反射を止める合図になります。 [158:0.30s]
カードは小さな物理スイッチです。 [159:0.30s]
強い空気に流されそうな場面では、クッションと言い換えが役に立ちます。 [160:0.30s]
「急いで決めましょう」と言われたら「影響とリスクだけ確認させてください」。 [161:0.30s]
「みんな賛成ですよ」と言われたら「目的に照らして確認させてください」。 [162:0.30s]
「とりあえずやりましょう」と言われたら「小さく試してから決めませんか」。 [163:0.30s]
短い言い換えが、空気を和らげ、基準をテーブルに戻します。 [164:0.30s]
クッション言葉を三つだけ決め、三行と一緒に置いておくと、咄嗟に出せます。 [165:0.30s]
三行をチームで共有すると、場の質が上がります。 [166:0.30s]
会議の冒頭に「今日の目的」「基準」「やらないこと」を画面に表示する。 [167:0.30s]
議事録に三行を残す。 [168:0.30s]
三行を共有すると、誰か一人が戻す役を担わなくても、全員が戻れるようになります。 [169:0.30s]
文化になると、拙速な決定や責任の押しつけが減り、時間が短くなります。 [170:0.30s]
三行はチームの共通言語になり得ます。 [171:0.30s]
もし三行を守れなかった日があっても、大丈夫です。 [172:0.30s]
守れなかった理由を一つ書き、次の三行に一つだけ反映する。 [173:0.30s]
完璧を目指さず、戻る回数を増やす。 [174:0.30s]
戻れる場所が紙にあり、カードにあり、呼吸にある。 [175:0.30s]
戻れる仕組みがあれば、三行は続きます。 [176:0.30s]
続けば、反射は弱まり、決断は静かになります。 [177:0.30s]
週のリズムに三行を組み込むと、さらに定着します。 [178:0.30s]
月曜はテンプレを更新し、三つのクッション言葉を選ぶ。 [179:0.30s]
水曜は会議前の三行を意識的に短くする。 [180:0.30s]
金曜は一週間の「守れた/流された」を三行で振り返る。 [181:0.30s]
日曜は来週の目的・基準のサンプルを三つだけ用意する。 [182:0.30s]
曜日ごとに焦点を変えると、負荷が分散し、続けやすくなります。 [183:0.30s]
早口で畳みかけてくる人に対しては、「一度繰り返させてください」と言い、内容を自分の言葉でゆっくり復唱します。 [184:0.30s]
復唱の間に三行を見返せば、勢いを落とせます。 [185:0.30s]
勢いを落とす言葉も、クッションリストに入れておきましょう。 [186:0.30s]
最後に、今日からの流れをまとめます。 [187:0.30s]
朝、三行を三分で作り、ロック画面と紙に置く。 [188:0.30s]
会議前に深呼吸をし、三行を目でなぞる。 [189:0.30s]
会議中は脱線したら目的に戻し、拙速が出たら基準で問い、言わないフレーズを避ける。 [190:0.30s]
会議後に三分で「守れた/流された/次」を書く。 [191:0.30s]
メールや家庭でも三行を使い、日中は呼吸で反射を止める。 [192:0.30s]
夜に三行で締め、眠る前に呼吸を整える。 [193:0.30s]
週末に五分だけ棚卸しをする。 [194:0.30s]
これだけで、反射的なYESが減り、会議の時間が短くなり、決断が静かになります。 [195:0.30s]
三行のミニ原則は、あなたの時間と信頼を守る静かな盾です。 [196:0.30s]
今日の三分が、その始まりになります。 [197:0.30s]
