秋の深まりを感じさせる山道。 [1:0.30s]
水面には、色づいた紅葉が映り込み、揺れている。 [33:0.30s]
「手は握りませんが、視線は合わせてください」 [34:0.25s]
加藤さんが対岸で私を待つ。 [35:0.30s]
私は彼の目を見つめながら、慎重に足を運ぶ。 [36:0.30s]
水音に混ざる彼の声。 [37:0.30s]
「呼吸を合わせて。 [38:0.30s]
吸って、吐いて」 [39:0.25s]
耳の後ろを撫でるようなその声だけで、足裏の緊張がほどけていく。 [40:0.30s]
手を繋いでいるわけではない。 [41:0.30s]
けれど、触れない距離で声と視線だけに支えられているこの感覚は、妙に妖艶で、吊り橋効果とは違う種類のときめきを覚えた。 [42:0.30s]
もし足を滑らせたら、彼は受け止めてくれるだろうか。 [43:0.30s]
そんな期待と不安が交錯する。 [44:0.30s]
森の奥深くに進むにつれ、湿った土と苔の濃密な匂いが立ち込めてきた。 [45:0.30s]
「雨上がりの匂いですね」私が言うと、加藤さんが笑った。 [46:0.30s]
「ええ。 [47:0.30s]
森が髪を洗った後のような匂いです。 [48:0.30s]
誰かの髪を撫でているみたいでしょう？ [49:0.30s]
」 [50:0.25s]
彼の詩的な表現に、鼻腔をくすぐる湿度が、胸の奥まで落ちてくるようだった。 [51:0.30s]
緩やかな登り坂。 [52:0.30s]
私たちは自然と歩幅を合わせた。 [53:0.30s]
「少し右に。 [54:0.30s]
そこの岩は滑りやすい」 [55:0.25s]
彼が囁く。 [56:0.30s]
木漏れ日を反射する彼の声は、柔らかい。 [57:0.30s]
「あなたの声、森に溶けていますね」私が感想を漏らすと、彼は嬉しそうに目を細めた。 [58:0.30s]
「森がフィルターになって、余計な雑音を取り除いてくれるんです。 [59:0.30s]
低い音だけが残る。 [60:0.30s]
夜の音みたいでしょう？ [61:0.30s]
」 [62:0.25s]
真昼の森に落ちる「夜」という単語。 [63:0.30s]
その一言が、周囲の空気を少しだけ湿らせた。 [64:0.30s]
尾根に出ると、冷たい風が体を包んだ。 [65:0.30s]
加藤さんが私のジャケットの襟を立ててくれた。 [66:0.30s]
「風が髪を撫でると、誰かに触れられているみたいですか？ [67:0.30s]
」 [68:0.25s]
彼が唐突に聞いた。 [69:0.30s]
「……少し、そう思います」 [70:0.25s]
私が答えると、彼の視線が私の髪を追い、頬に淡い熱が宿るのを感じた。 [71:0.30s]
「僕も、風になりたい時がありますよ」 [72:0.25s]
彼が呟いた言葉は、風にさらわれて消えた。 [73:0.30s]
岩場では、彼が先行してルートを示してくれた。 [74:0.30s]
「少し左、いいですね、そのまま」 [75:0.25s]
背骨をなぞるような声が響く。 [76:0.30s]
足場を変えるたびに、その声が私の重心を支えてくれる。 [77:0.30s]
触れないまま導かれる甘さを、私はこの歳になって初めて知った。 [78:0.30s]
頂上近くの大きな岩に腰を下ろし、休憩をとった。 [79:0.30s]
私はリュックからお弁当を取り出した。 [80:0.30s]
自分でにぎったおにぎりと、卵焼き。 [81:0.30s]
「よかったら、どうですか？ [82:0.30s]
」 [83:0.25s]
「おや、いいんですか？ [84:0.30s]
では、僕のみかんと交換しましょう」 [85:0.25s]
物々交換。 [86:0.30s]
まるで子供の頃に戻ったようだ。 [87:0.30s]
金属の水筒を唇に当てる。 [88:0.30s]
水と金属の冷たい温度が混ざり合う。 [89:0.30s]
ふと見上げると、加藤さんが空を見上げていた。 [90:0.30s]
西日が彼の横顔を照らしている。 [91:0.30s]
「薄い琥珀色ですね」彼が呟いた。 [92:0.30s]
「え？ [93:0.30s]
何がですか？ [94:0.30s]
」 [95:0.25s]
「空の色です。 [96:0.30s]
そして……あなたの声の色に似ている」 [97:0.25s]
思わず自分の喉を撫でた。 [98:0.30s]
「私の声、琥珀色ですか？ [99:0.30s]
」 [100:0.25s]
「ええ。 [101:0.30s]
透明感があって、でも深みがあって、温度のある色です。 [102:0.30s]
ずっと聴いていたい声だ」 [103:0.25s]
「琥珀」という言葉が、蜂蜜のように胸の中で溶けていく。 [104:0.30s]
下山を始めた時だった。 [105:0.30s]
濡れた落ち葉に足を滑らせ、私はバランスを崩した。 [106:0.30s]
「あっ！ [107:0.30s]
」 [108:0.25s]
身体が宙に浮く感覚。 [109:0.30s]
「危ない！ [110:0.30s]
」 [111:0.25s]
強い力で腕を引かれた。 [112:0.30s]
加藤さんが私を抱きとめていた。 [113:0.30s]
一瞬、胸と胸がぶつかる。 [114:0.30s]
彼の硬い胸板の感触。 [115:0.30s]
土と汗の匂い。 [116:0.30s]
「……大丈夫ですか？ [117:0.30s]
」 [118:0.25s]
耳元で彼の荒い息遣いが聞こえる。 [119:0.30s]
「は、はい……すみません」 [120:0.25s]
彼はしばらく私を離さなかった。 [121:0.30s]
私の心臓の音が、彼に伝わっているのではないかと恥ずかしくなるほど、強く鼓動していた。 [122:0.30s]
「……怪我がなくてよかった」 [123:0.25s]
彼がゆっくりと体を離す。 [124:0.30s]
その名残惜しそうな仕草に、胸が締め付けられた。 [125:0.30s]
夕方の斜面を下る。 [126:0.30s]
太陽が傾き、私たちの影が長く伸びていた。 [127:0.30s]
二人の影が、時々重なり合う。 [128:0.30s]
「影は自由ですね。 [129:0.30s]
触れなくても、こうして寄り添える」 [130:0.25s]
彼が私の影に自分の影を重ねるように歩く。 [131:0.30s]
影だけの抱擁。 [132:0.30s]
ふもとの山小屋に入ると、ストーブの鉄と薪の匂いが迎えてくれた。 [133:0.30s]
「この匂い、安心します」 [134:0.25s]
「鉄も木も、熱を知っているからでしょう」 [135:0.25s]
揺れる火に映る私たちの姿が重なり、胸に小さな火が灯る。 [136:0.30s]
靴紐を結び直そうと屈むと、彼も同じように身をかがめた。 [137:0.30s]
「手、冷えていませんか？ [138:0.30s]
」 [139:0.25s]
「むしろ、火照っています」 [140:0.25s]
「山の温度が合うと、手が温かくなるんですよ」 [141:0.25s]
彼の掌の熱が、私の指先まで艶を出していくようだった。 [142:0.30s]
駐車場が近づく頃、加藤さんが私を見た。 [143:0.30s]
「帰りたくない顔をしていますね」 [144:0.25s]
図星だった。 [145:0.30s]
「……山の匂いを、もう少しだけまとっていたいんです」 [146:0.25s]
「次は、夜明けの山もいいですよ。 [147:0.30s]
音も匂いも、全く違います」 [148:0.25s]
「行ってみたいです」 [149:0.25s]
それは、次の約束だった。 [150:0.30s]
言葉が夕暮れに溶けていく。 [151:0.30s]
別れ際、握手はしなかった。 [152:0.30s]
視線だけを交わし、ロープよりも強い結び目を感じた。 [153:0.30s]
帰宅後、今日撮った写真を眺めていると、彼からメッセージが届いた。 [154:0.30s]
『琥珀色の声、ありがとうございました。 [155:0.30s]
また歩きましょう』 [156:0.25s]
画面の文字を指でなぞると、昼間の風と彼の声が蘇ってくる。 [157:0.30s]
『次は、夜明けの音を聴かせてください』 [158:0.25s]
送信ボタンを押すと同時に、胸の奥の火がまた大きく揺れた。 [159:0.30s]
夜、窓を少し開けて寝た。 [160:0.30s]
風が庭の木を揺らす音がする。 [161:0.30s]
苔の匂いが戻ってきた気がした。 [162:0.30s]
「呼吸を合わせて」と言われた彼の声が耳に残り、私の呼吸は自然と深くなる。 [163:0.30s]
数日後、彼から朝焼けの山の写真が送られてきた。 [164:0.30s]
『この色、あなたに似合います』と添えられていた。 [165:0.30s]
『次はその時間に』と返すと、『約束です』と返ってきた。 [166:0.30s]
そして、夜明け前の駐車場で再会した。 [167:0.30s]
白い息が絡み合う。 [168:0.30s]
「白い息が絡むの、きれいですね」彼が囁く。 [169:0.30s]
すぐに消えてしまう白さが、触れない温度のようで、胸が震えた。 [170:0.30s]
尾根から街の灯りを見下ろす。 [171:0.30s]
「線路みたいですね」私が笑うと、「あなたの声が混ざっています」と彼が返した。 [172:0.30s]
朝の光と声が絡み合い、艶が増していく。 [173:0.30s]
鳥の声が聞こえ始めた。 [174:0.30s]
「混ぜたいですね」彼が囁く。 [175:0.30s]
照れながら私がハミングすると、鳥と風と声が重なり、森全体が静かな音楽になった。 [176:0.30s]
私は手帳に『琥珀から朝焼けへ』とメモをした。 [177:0.30s]
その紙を胸ポケットに入れると、彼の温度が移った気がした。 [178:0.30s]
部屋で古い地図を広げる。 [179:0.30s]
紙を折る音が響き、私の中で小さな山歩きが始まる。 [180:0.30s]
夕方の尾根で「夕方の匂いが好き」と言えば、彼の目の色が変わり、肩先が触れそうになったこと。 [181:0.30s]
薄暗さを味わうためにライトをつけずに歩き、「暗さに目が慣れると、音がよく聞こえますね」「あなたの息遣いもはっきりします」と、声と息が重なり合ったこと。 [182:0.30s]
キャンディの包み紙を剥がす音に、「音でほどける人は珍しい」と笑われ、甘さと湿度で頬が熱くなったこと。 [183:0.30s]
紅葉が散り始める頃、彼が真顔で言った。 [184:0.30s]
「怖いと思ったら、風のせいにしてもいいですよ」 [185:0.25s]
その優しさに頷き、私は風のせいにしながら、彼の声に身を預ける準備をした。 [186:0.30s]
触れないまま重ねた声と風と匂い。 [187:0.30s]
それらが、季節ごとに胸の奥で静かに艶を深めていく。 [188:0.30s]
この山がある限り、そして彼の声がある限り、私の人生の秋は、琥珀色に輝き続けるだろう。 [189:0.30s]
