休日の早朝、公園の森は朝露に濡れ、静謐な空気に包まれていた。 [1:0.30s]
「あなたの声、風みたいですね。 [60:0.30s]
鳥も安心するはずだ」 [61:0.25s]
背後から彼の声が聞こえる。 [62:0.30s]
「あなたの声こそ、枝にとまる音に似ています。 [63:0.30s]
静かで、優しい。 [64:0.30s]
警戒心を解いてしまう」 [65:0.25s]
私の言葉に、彼が息を飲む気配がした。 [66:0.30s]
羽音と声が混ざり合い、二人の間の湿度が増していく。 [67:0.30s]
休憩のベンチで、彼が無塩のナッツを差し出した。 [68:0.30s]
「これは人間用です。 [69:0.30s]
嫌なら捨ててください」 [70:0.25s]
低く囁かれたその言葉に、喉が震えた。 [71:0.30s]
「いただきます」 [72:0.25s]
コリ、とナッツを噛む音。 [73:0.30s]
風に落ちる木の実の音と、私の鼓動が重なった。 [74:0.30s]
「美味しいですね」 [75:0.25s]
「ええ。 [76:0.30s]
噛みしめると、甘みが出る」 [77:0.25s]
「静かな趣味が、心を潤しますね」 [78:0.25s]
解散後、次の散策場所が書かれたメモを受け取ると、彼は微笑んだ。 [79:0.30s]
別の日、私が双眼鏡の紐を結び直していると、彼の手が伸びてきた。 [80:0.30s]
「二重にした方がいい。 [81:0.30s]
落とさないように」 [82:0.25s]
彼の手が私の首元に近づく。 [83:0.30s]
触れそうで触れない。 [84:0.30s]
「……君のレンズは、湿度があるから曇らないな」 [85:0.25s]
「え？ [86:0.30s]
」 [87:0.25s]
「いや、冗談です。 [88:0.30s]
君の瞳が、潤んでいるから」 [89:0.25s]
彼は照れくさそうに笑った。 [90:0.30s]
その冗談の意味を考えて、頬が熱くなった。 [91:0.30s]
鳥の鳴き声だけを録音するのが好きだと話すと、彼も興味を示した。 [92:0.30s]
「声を混ぜたら、鳥の警戒心を超えそうですね」 [93:0.25s]
「混ぜてみますか？ [94:0.30s]
」 [95:0.25s]
「いや……混ぜないでおきましょう。 [96:0.30s]
その方が、想像が膨らむ」 [97:0.25s]
混ぜない選択が、逆に耳の奥の湿度を高める。 [98:0.30s]
録音された静寂の中に、私たちの気配だけが残る。 [99:0.30s]
冬が近づき、手袋越しにカメラを操作するのが難しくなってきた。 [100:0.30s]
「寒いと、機材も人も動きが鈍くなりますね」 [101:0.25s]
彼が肩を並べて歩く。 [102:0.30s]
「今日は短めにしましょう」 [103:0.25s]
短い時間でも、視線と言葉が重なる瞬間に、確かな艶が宿る。 [104:0.30s]
夕方のベンチ。 [105:0.30s]
「君の足音は、鳥が警戒しないリズムだ」彼が言う。 [106:0.30s]
「あなたの声は、風のように枝を撫でますね」 [107:0.25s]
互いの感覚に触れつつ、指は触れそうで触れない距離を保つ。 [108:0.30s]
その隙間に、湿った熱が宿っていた。 [109:0.30s]
強風の日。 [110:0.30s]
突風が吹き荒れた。 [111:0.30s]
私の帽子が飛ばされた。 [112:0.30s]
「あっ！ [113:0.30s]
」 [114:0.25s]
高瀬さんが走って追いかけ、地面すれすれで拾い上げた。 [115:0.30s]
まるで映画のワンシーンのように。 [116:0.30s]
「風が上がる前に帰りましょう」 [117:0.25s]
手渡された帽子の布が、私の指に絡む。 [118:0.30s]
乱れた髪を直そうとする彼の視線に、息が詰まった。 [119:0.30s]
「……髪、乱れていますね」 [120:0.25s]
「直してください」とは言えなかった。 [121:0.30s]
駅前の喫茶店に入り、温かい紅茶を飲んだ。 [122:0.30s]
湯気が、乱れた心を落ち着かせてくれる。 [123:0.30s]
「今度、夜明けの観察に行きませんか」と彼が誘った。 [124:0.30s]
「夜明け……」 [125:0.25s]
「鳥たちが目覚める瞬間です。 [126:0.30s]
世界が音を取り戻す瞬間。 [127:0.30s]
その瞬間を、君と共有したい」 [128:0.25s]
魅力的だったが、私は首を振った。 [129:0.30s]
「私は、昼の森が好きです。 [130:0.30s]
光の中で見たいから。 [131:0.30s]
夜明けは、まだ眩しすぎます」 [132:0.25s]
「……そうですか。 [133:0.30s]
じゃあ、昼に同じ鳥を探しましょう」 [134:0.25s]
彼は素直に頷いた。 [135:0.30s]
その約束だけで、胸が十分に温まった。 [136:0.30s]
拒絶ではないことを、彼は分かってくれた。 [137:0.30s]
図書館の郷土資料室で、二人で鳥の図鑑を開いた。 [138:0.30s]
指で写真をなぞりながら、小声で囁き合う。 [139:0.30s]
「この鳥の鳴き声、聞いてみたいですね」 [140:0.25s]
「あなたの声で、再生してみてください」 [141:0.25s]
彼が無茶振りをする。 [142:0.30s]
私は口を閉じたまま、喉の奥で「クルル」と響きを作った。 [143:0.30s]
すると、彼もそれに合わせて息を吐いた。 [144:0.30s]
静かな室内に、二人の呼吸だけが湿った音を立てて響いた。 [145:0.30s]
司書が怪訝そうな顔でこちらを見たが、私たちは共犯者のように微笑み合った。 [146:0.30s]
彼が膝の治療でしばらく来られなくなった。 [147:0.30s]
「歩幅は、ゆっくり戻しますから」と彼は言った。 [148:0.30s]
「待っています。 [149:0.30s]
枝にとまる音の声を」 [150:0.25s]
私が返すと、彼の目尻が柔らかく沈んだ。 [151:0.30s]
春、再び森に立った彼。 [152:0.30s]
「離れている間、君の声を思い出していました。 [153:0.30s]
風のようで、決して枝を揺らさない声」 [154:0.25s]
「私は、あなたの足音を思い出していました。 [155:0.30s]
鳥が逃げない、優しい足音」 [156:0.25s]
距離を取っていた分、再会した時の湿度は濃く戻っていた。 [157:0.30s]
桜の枝に指を伸ばす。 [158:0.30s]
花びらに触れる直前、風がそれをさらっていった。 [159:0.30s]
「……触れないままの方が、艶が残りますね」 [160:0.25s]
彼が囁き、私の頬は桜色に染まった。 [161:0.30s]
夕暮れ、帽子のつばで西日を遮りながら、私たちは互いに問いかける。 [162:0.30s]
「今日、どの一歩を選びましたか」 [163:0.25s]
答えは言葉にならず、ただ湿った呼吸だけが重なり、森の中に溶けていった。 [164:0.30s]
鳥たちが巣に帰る頃、私たちもまた、それぞれの孤独という巣に帰る。 [165:0.30s]
けれど、明日になればまた、この森で会える。 [166:0.30s]
その希望だけで、夜を越えられる気がした。 [167:0.30s]
