眠れない夜、頭の中で「やらなきゃ」が渦巻く。 [1:0.30s]
根は見えなくても伸びる。 [58:0.30s]
老子は「多言数窮（言多くして窮す）」と戒めた。 [59:0.30s]
言葉を減らす。 [60:0.30s]
今夜の口数を決める。 [61:0.30s]
「おやすみ」を一度だけ。 [62:0.30s]
胸の内で一度だけ言い、口を閉じる。 [63:0.30s]
その後は、口に力を入れない。 [64:0.30s]
言葉が少ないと、体も静かになる。 [65:0.30s]
彼は「大音希声（大きな音は、かえって聞こえない）」と書いた。 [66:0.30s]
大音を求めず、小さな音を聞く。 [67:0.30s]
布団の擦れる音、呼吸の音、遠い外の音。 [68:0.30s]
聞こえないなら、それでいい。 [69:0.30s]
希（まれ）な声を探そうとしない。 [70:0.30s]
音がなくても、夜は流れる。 [71:0.30s]
老子は「大方無隅（大きな四角には角がない）」と謎めいた言葉を残した。 [72:0.30s]
角を削る。 [73:0.30s]
布団の四隅のうち三つに触れ、そこに今日の角立った感情を置く。 [74:0.30s]
怒り、焦り、苛立ち。 [75:0.30s]
最後の一隅は触らずに空ける。 [76:0.30s]
空けた隅は丸い。 [77:0.30s]
丸い場所に頭を置くと、角は消える。 [78:0.30s]
彼は「大巧若拙（大いなる巧は拙きが如し）」と書いた。 [79:0.30s]
うまくやろうとするほど不器用になる。 [80:0.30s]
今夜は、不器用に寝ていい。 [81:0.30s]
枕の高さを決めず、しっくりこなくても、そのまま頭を置く。 [82:0.30s]
「これでいい」と心で言う。 [83:0.30s]
不器用なまま、眠りに向かう。 [84:0.30s]
老子は「重為軽根、静為躁君」と言った。 [85:0.30s]
重さが軽さの根であり、静けさが騒ぎの主。 [86:0.30s]
布団の重さを味方にする。 [87:0.30s]
肩に重さを感じたら、重さに身を委ねる。 [88:0.30s]
重さを嫌わず、重さを根にする。 [89:0.30s]
根にすれば、心は軽くなる。 [90:0.30s]
彼は「致虚極、守静篤（虚を極め、静を守る）」と説いた。 [91:0.30s]
虚とは空っぽ、静とは動かない。 [92:0.30s]
あなたも、体のどこか一箇所を空にする。 [93:0.30s]
たとえば腹。 [94:0.30s]
腹に何も入れないイメージを持ち、息を吐いて空洞を感じる。 [95:0.30s]
空洞ができたら、そのまま静かに守る。 [96:0.30s]
守るとは、触らないこと。 [97:0.30s]
老子は「柔弱は剛強に勝る」と繰り返した。 [98:0.30s]
柔らかいものは折れず、硬いものは折れる。 [99:0.30s]
首を左右にゆっくり倒し、草が風にしなるイメージを持つ。 [100:0.30s]
しなるたびに、首の筋が緩み、その緩みが背中まで伝わる。 [101:0.30s]
背中が柔らかくなると、呼吸が深くなる。 [102:0.30s]
彼は「足るを知る者は富む」と言った。 [103:0.30s]
満たされないときほど、眠れなくなる。 [104:0.30s]
今夜、足りているものを一つだけ思う。 [105:0.30s]
枕の柔らかさ、水の冷たさ、布団の重さ。 [106:0.30s]
思ったら、それ以上は思わない。 [107:0.30s]
一つで足りると決めると、心が静かになる。 [108:0.30s]
老子は「多言数窮」と戒め、言葉を減らした。 [109:0.30s]
今夜、口にするのは「おやすみ」の一言だけ。 [110:0.30s]
それ以外は胸の中で形にしない。 [111:0.30s]
言葉を減らすと、顎と舌の力が抜け、頭の中のざわめきも静まる。 [112:0.30s]
老子は「知足者常足（足るを知る者は常に足る）」と繰り返した。 [113:0.30s]
枕元に手を置き、「足りている」と一度だけ言う。 [114:0.30s]
言ったら、足りないものを数えない。 [115:0.30s]
数えないで寝る。 [116:0.30s]
寝ている間に、足りないものは夜に預ける。 [117:0.30s]
彼は「上善如水」で、水が低きに流れ、争わず、清めるさまを書いた。 [118:0.30s]
あなたも、水になる。 [119:0.30s]
横向きになり、背中に丸みを作る。 [120:0.30s]
丸みの中を水が流れると想像する。 [121:0.30s]
流れに逆らわず、流れるままにする。 [122:0.30s]
水は、何も成そうとしないのに、石を削る。 [123:0.30s]
老子は「無為而無不為（無為にして為さざる無し）」と残した。 [124:0.30s]
何もしないことで、逆に全てが回る。 [125:0.30s]
あなたも、今夜は何も完成させない。 [126:0.30s]
宿題も反省も、明日に送る。 [127:0.30s]
送るとき、紙を一枚裏返す。 [128:0.30s]
裏返した紙は、夜の郵便箱。 [129:0.30s]
夜が受け取り、明日に返す。 [130:0.30s]
老子は「大魚は小池に入らず」とたとえた。 [131:0.30s]
大きなものは小さな器に詰めない。 [132:0.30s]
あなたの心も、大魚だと思う。 [133:0.30s]
枕を少し離し、頭の周りに空間を作る。 [134:0.30s]
空間に頭を置くと、詰め込みが外れ、呼吸が広がる。 [135:0.30s]
彼は「門を閉じ、衆妙を守る」と書いた。 [136:0.30s]
扉を閉じると、妙なるものが内に残る。 [137:0.30s]
あなたも、まぶたを扉に見立て、そっと閉じる。 [138:0.30s]
閉じた扉に、指先を一度だけ当てる。 [139:0.30s]
扉を叩かず、触れるだけ。 [140:0.30s]
触れた瞬間、外の世界が遠ざかる。 [141:0.30s]
老子は「曲がっているものが全うする」と言った。 [142:0.30s]
真っ直ぐより、曲がりが生を保つ。 [143:0.30s]
膝を立て、左右に倒し、ゆるやかなカーブを体に作る。 [144:0.30s]
カーブができると、直線的な緊張がほどける。 [145:0.30s]
ほどけたところに、眠りが入る。 [146:0.30s]
彼は「無用の用」を語った。 [147:0.30s]
役に立たないものが、逆に役立つ。 [148:0.30s]
枕元の何の役にも立たない小物を一つ手に取り、親指で一周なぞる。 [149:0.30s]
役に立たない感触を楽しむ。 [150:0.30s]
役に立たないものを大切にすると、体の力も「役に立たない」方向へ抜けていく。 [151:0.30s]
老子は「天地は仁ならず、万物を芻狗と為す」と冷酷に見えたが、その裏に自然への敬意がある。 [152:0.30s]
あなたも、自然の冷たさを少し借りる。 [153:0.30s]
濡れタオルを首筋に一度当て、すぐに外す。 [154:0.30s]
冷たさが首を通り、頭の熱を冷やす。 [155:0.30s]
冷やしたあとは、首に手を当てて温め直す。 [156:0.30s]
冷と温の間で、力が揺れ、ほどける。 [157:0.30s]
彼は「太上は水の徳を貴ぶ」と書いた。 [158:0.30s]
水は下へ下へと行く。 [159:0.30s]
あなたも、ベッドの上で一度だけ座り、腰を落とす。 [160:0.30s]
落とすときに「下へ」と心で言う。 [161:0.30s]
下へ落ちた感覚が、体を沈める。 [162:0.30s]
沈めば浮かばない。 [163:0.30s]
浮かばないと、思考も浮かばない。 [164:0.30s]
老子は「知者不言、言者不知（知る者は語らず、語る者は知らず）」と残した。 [165:0.30s]
知ろうとせず、語ろうとしない。 [166:0.30s]
あなたも、布団を被り、鼻だけ外に出し、息を静かに通す。 [167:0.30s]
布団の中で、何も知らなくていいと心で言う。 [168:0.30s]
知らないまま眠ることを許可する。 [169:0.30s]
彼は「反者道之動（逆らうことは道の動き）」と言った。 [170:0.30s]
逆らうのではなく、戻る。 [171:0.30s]
肩をすくめて落とす動きを二度だけ逆再生するつもりで、肩を上げずに、下げる力だけ感じる。 [172:0.30s]
戻す動きが、元の位置に返す。 [173:0.30s]
返すとき、余計な力が置いていかれる。 [174:0.30s]
老子は「静を以って躁を制す」と説いた。 [175:0.30s]
騒がしい思考を、静けさで包む。 [176:0.30s]
枕元に水の入ったコップがあれば、静かに表面を覗く。 [177:0.30s]
水面が動いていなければ、その静けさを胸に写す。 [178:0.30s]
動いていても、その揺れを胸に写す。 [179:0.30s]
どちらでもいい。 [180:0.30s]
写すだけで、内側は静まる。 [181:0.30s]
彼は牛に乗って去ったとき、関所の番人に頼まれて「道徳経」を書いた。 [182:0.30s]
五千字を書いて、また静かに消えた。 [183:0.30s]
あなたも、書かないで消える。 [184:0.30s]
枕元のスマートフォンに布をかけ、世界を遮断する。 [185:0.30s]
布の下で、世界は勝手に動く。 [186:0.30s]
あなたは動かない。 [187:0.30s]
動かない人が、静かにすべてを成す。 [188:0.30s]
もし途中で目が覚めたら、老子の牛を思い出す。 [189:0.30s]
ゆっくり歩く青い牛の背に乗っていると想像する。 [190:0.30s]
牛の歩幅に合わせて、呼吸をする。 [191:0.30s]
牛は急がない。 [192:0.30s]
急がない呼吸は、再び眠りを連れてくる。 [193:0.30s]
老子は「大直若屈（大いに直なるは屈するがごとし）」とも言った。 [194:0.30s]
まっすぐさは、ときに少し曲がる。 [195:0.30s]
膝を抱え、背を丸くして二呼吸だけとどまる。 [196:0.30s]
丸さができたら足をほどき、背を床に預ける。 [197:0.30s]
曲がった後の伸びは、力を残さない。 [198:0.30s]
彼は「大盈若冲（大いに満ちるは、衝くがごとし）」と書いた。 [199:0.30s]
満ちた器は、空いているように見える。 [200:0.30s]
胸を満たすつもりで深く吸い、空にするつもりで長く吐く。 [201:0.30s]
吐き切ったあと、空に見える胸の中に、静かな満ち足りを感じる。 [202:0.30s]
感じられなくてもいい。 [203:0.30s]
感じようとしないのが、無為だ。 [204:0.30s]
老子は「上士聞道、勤而行之」と言った。 [205:0.30s]
上の士は道を聞けば、勤めて行う。 [206:0.30s]
しかし今夜は勤めない。 [207:0.30s]
道を聞くだけにする。 [208:0.30s]
あなたの道は、枕の柔らかさと布団の重さだと決める。 [209:0.30s]
決めたら、行わない。 [210:0.30s]
聞くだけで寝る。 [211:0.30s]
彼は「天地の間は、鼓のように空虚だ」と比喩した。 [212:0.30s]
胸と背の間に空を作る。 [213:0.30s]
仰向けになり、吸う息で胸が天井に近づき、吐く息で背中が床に沈むのを感じる。 [214:0.30s]
空虚な鼓のように、空気が出入りする。 [215:0.30s]
鼓は叩かなくても響く。 [216:0.30s]
老子は「少則得、多則惑」と言った。 [217:0.30s]
少ないほど得る。 [218:0.30s]
今夜の所作を一つに絞るなら、足指を開く。 [219:0.30s]
開いて、閉じて、また開く。 [220:0.30s]
それだけでいい。 [221:0.30s]
少ない所作は、惑わない。 [222:0.30s]
彼は「大丈夫は処弱」と書いた。 [223:0.30s]
強そうに見える者ほど、弱い場所に身を置く。 [224:0.30s]
うつ伏せになり、頬を手の甲に乗せ、背を丸める。 [225:0.30s]
弱い姿勢は、力を吸い取る。 [226:0.30s]
吸われた力は、床に溜まり、朝には消える。 [227:0.30s]
老子は「以柔克剛」を説いた。 [228:0.30s]
柔らかさで固さを制す。 [229:0.30s]
唇をそっと合わせ、舌を上顎から離し、口の中に柔らかい空間を作る。 [230:0.30s]
口が柔らかくなると、喉が緩み、胸も緩む。 [231:0.30s]
彼は「帰根復命」を唱えた。 [232:0.30s]
根に帰り、命に復る。 [233:0.30s]
足裏の温度を感じ、床の冷たさと混ぜる。 [234:0.30s]
混ざった温度が根への道になる。 [235:0.30s]
根に戻れば、頭の重さが消える。 [236:0.30s]
老子は「静を以って躁を制す」と繰り返した。 [237:0.30s]
耳の裏を指で一度撫で、耳たぶを軽く引いて離す。 [238:0.30s]
耳の扉が静かに閉じ、外の騒ぎが薄くなる。 [239:0.30s]
薄くなった世界で、内側の静けさが広がる。 [240:0.30s]
彼は「虚ろを持て」と言った。 [241:0.30s]
心の中に小さな空洞を一つ残す。 [242:0.30s]
空洞に何も入れないまま寝る。 [243:0.30s]
空洞があると、夢が通り抜けやすい。 [244:0.30s]
夢が通るとき、力は夢に乗って外へ出る。 [245:0.30s]
老子は「大智は愚の如し」と笑った。 [246:0.30s]
大きな知恵は、愚かに見える。 [247:0.30s]
あなたも、愚かさを装う。 [248:0.30s]
枕の位置を少しずらし、合わなくても「まあいいか」と呟く。 [249:0.30s]
妥協の愚かさが、完璧への力を抜く。 [250:0.30s]
彼は「大成若欠（大いに成るは欠くがごとし）」と書いた。 [251:0.30s]
完成は欠けて見える。 [252:0.30s]
布団を体にかけた後、わざと足元を少し開ける。 [253:0.30s]
隙間が欠けとして残る。 [254:0.30s]
欠けを残すと、体が頑張らない。 [255:0.30s]
老子は「天網恢恢、疎にして漏らさず」と言った。 [256:0.30s]
天の網は粗いが、何も漏らさない。 [257:0.30s]
あなたのまぶたの網も、粗くていい。 [258:0.30s]
光を少し通す隙を残したまま目を閉じる。 [259:0.30s]
隙があっても、眠りは漏れない。 [260:0.30s]
彼は「不争」を重んじた。 [261:0.30s]
争わないことが強さ。 [262:0.30s]
枕の高さで迷っても、争わずに選ばない。 [263:0.30s]
選ばないまま横になる。 [264:0.30s]
選ばないこと自体が、無為の行いだ。 [265:0.30s]
老子は「虚室生白（虚室に白生ず）」と書いた。 [266:0.30s]
空の部屋には白い光が生まれる。 [267:0.30s]
部屋の電気を消したあと、残光があると信じる。 [268:0.30s]
まぶたの裏に白いぼんやりを想像する。 [269:0.30s]
白が生まれたら、それで充分。 [270:0.30s]
白の中に沈む。 [271:0.30s]
彼は「無欲であれば剛」と説いた。 [272:0.30s]
欲を減らすと、かえって強くなる。 [273:0.30s]
今夜の欲を一つだけ減らす。 [274:0.30s]
眠ろうとする欲も減らす。 [275:0.30s]
「眠れなくてもいい」と心で言う。 [276:0.30s]
欲が減ると、眠りは勝手にやってくる。 [277:0.30s]
老子は「知る者は言わず、言う者は知らず」を繰り返した。 [278:0.30s]
知ろうとせず、言おうとしない。 [279:0.30s]
あなたも、今浮かんだ考えを、頭の上の空に放す。 [280:0.30s]
放したら、追わない。 [281:0.30s]
追わなければ、考えは夜空に消える。 [282:0.30s]
彼は「道は満ちても溢れない」と記した。 [283:0.30s]
あなたの胸も、呼吸で満ちても溢れない。 [284:0.30s]
吸う息で胸を満たし、吐く息で胸を空にする。 [285:0.30s]
その繰り返しが、胸を静かに保つ。 [286:0.30s]
老子は「善く士兵を用いる者は怒らず」と言った。 [287:0.30s]
怒らない者がよく兵を扱う。 [288:0.30s]
あなたの中の兵は筋肉だ。 [289:0.30s]
兵を怒らせないために、肩と顎の力を抜く。 [290:0.30s]
抜くとき、心で「怒らない」。 [291:0.30s]
筋肉は命令よりも、優しさに従う。 [292:0.30s]
老子は「聖人は心を虚しくし、民の心を実らせる」と書いた。 [293:0.30s]
あなたも、心を空にし、体を実らせる。 [294:0.30s]
胸の中に空を作り、腹に重さを集める。 [295:0.30s]
重さが腹に集まると、胸は空になり、空の中で眠りが育つ。 [296:0.30s]
彼は「天長地久」と詠んだ。 [297:0.30s]
天は長く、地は久しい。 [298:0.30s]
呼吸も長く、穏やかにする。 [299:0.30s]
吸う息を少し長く、吐く息をさらに長く。 [300:0.30s]
呼吸の長さが、夜を伸ばす。 [301:0.30s]
伸びた夜に、体が沈む。 [302:0.30s]
最後に、今夜試す小さな一歩をそっと並べる。 [303:0.30s]
空のコップの縁をなぞり、やらねばを空に溶かす。 [304:0.30s]
へこんだ場所に背を合わせ、水のように低くなる。 [305:0.30s]
一つだけ足りているものを数え、瞬きで器を満たす。 [306:0.30s]
首を草にして風にしならせ、足指に根を作る。 [307:0.30s]
「おやすみ」を一度だけ言い、音を探さず、角を三隅に置く。 [308:0.30s]
不器用な枕で、「これでいい」と呟く。 [309:0.30s]
腹を空にし、重さを根にし、水の丸みに身を任せる。 [310:0.30s]
紙を裏返し、スマートフォンに布をかけ、牛の歩みに呼吸を合わせる。 [311:0.30s]
全部でなくていい。 [312:0.30s]
できるところだけでいい。 [313:0.30s]
何もしない人が、静かにすべてを成す。 [314:0.30s]
おやすみ。 [315:0.30s]
