深夜の通知音に指先が跳ねた。 [1:0.30s]
でも、いきなり「ずっと想っていました」なんて言えるわけもない。 [51:0.30s]
昼の光がテーブルを照らし、コーヒーの湯気がカップの縁で揺れている。 [52:0.30s]
扉が開く音がするたびに振り向いて、自分でも可笑しくなった。 [53:0.30s]
そして、白髪混じりの修一が現れた。 [54:0.30s]
背筋は昔より少し丸くなったけれど、目元が細くなる笑い方は変わらない。 [55:0.30s]
あの頃より優しくなった気がする。 [56:0.30s]
時間が彼を柔らかくしたのか、それとも私が彼を美化しているだけなのか。 [57:0.30s]
「そのままだね」と彼が言った。 [58:0.30s]
「嘘。 [59:0.30s]
しわだらけよ」「しわも含めて、そのままだ。 [60:0.30s]
高校のとき、君のしわを想像したことがある」「変な人」笑いながら、胸の奥がじんわりと温かくなる。 [61:0.30s]
カップを持つ手が触れそうになり、慌てて引っ込めた。 [62:0.30s]
まるで高校生みたいだと自分でも呆れる。 [63:0.30s]
修一が指を伸ばして、そっと私の手の甲に触れる。 [64:0.30s]
その瞬間、時間が巻き戻されたような気がした。 [65:0.30s]
「舞台袖で、こうやって握ったっけ」掌から熱がゆっくり広がっていく。 [66:0.30s]
あの日、緞帳が上がる直前、震える私の手を彼が握ってくれた。 [67:0.30s]
「大丈夫、美和子ならできる」と囁いてくれた声を、今でも覚えている。 [68:0.30s]
歌い終わった後、手のひらが汗でべたべたになっていて、恥ずかしくて顔を上げられなかった。 [69:0.30s]
「あのとき、手汗がすごかったでしょう」「覚えてる。 [70:0.30s]
でも離したくなかった」彼の声は少し掠れていて、四十年の歳月を感じさせた。 [71:0.30s]
喫茶店を出て、夕暮れの公園を並んで歩いた。 [72:0.30s]
秋の風がスカーフを揺らすと、修一がそっと端を整えてくれる。 [73:0.30s]
布越しに首筋に触れられた感触が、背中まで痺れるように伝わった。 [74:0.30s]
誰かに触れられることがこんなにも心地よいなんて、忘れていた。 [75:0.30s]
「文化祭で歌った曲、覚えてる？ [76:0.30s]
」と修一が聞く。 [77:0.30s]
「覚えてる。 [78:0.30s]
あの日、突然の夕立で、二人ともずぶ濡れになって笑ったね」「君の白いブラウスが透けて、僕は目のやり場に困った」「今さら言うの」笑いながら頬が熱くなる。 [79:0.30s]
あの日のことは、私もよく覚えている。 [80:0.30s]
彼がわざと傘を忘れたふりをして、私と一緒に雨宿りしようとしたこと。 [81:0.30s]
結局二人とも濡れてしまったけれど、笑いながら走った帰り道が楽しかった。 [82:0.30s]
修一が低い声で曲を口ずさむと、胸の鼓動がそのリズムに重なった。 [83:0.30s]
思わず口紅を噛む。 [84:0.30s]
あの頃は歌詞の意味も分からずに歌っていた。 [85:0.30s]
大人の恋の歌を、子供のように無邪気に。 [86:0.30s]
今なら分かる。 [87:0.30s]
この歳になったから分かる、切なさと甘さの入り混じった感情。 [88:0.30s]
古いレコード店に立ち寄った。 [89:0.30s]
駅から少し離れた路地の奥にひっそりとある、知る人ぞ知る店。 [90:0.30s]
埃っぽい店内に、ジャズのレコードが所狭しと並んでいる。 [91:0.30s]
修一が一枚を手に取り、「これ、あの頃よく聴いたよな」と言った。 [92:0.30s]
ジャケットには若いトランペット奏者の写真。 [93:0.30s]
「君の家で、こっそり聴いたっけ」「お母さんにばれないように、小さな音で」店主に頼んで針を落としてもらうと、懐かしいメロディが流れ出す。 [94:0.30s]
音楽に包まれながら、肩と肩が触れ合う。 [95:0.30s]
十七歳の私たちに戻ったような、不思議な感覚。 [96:0.30s]
店を出たとき、雨上がりのアスファルトの匂いが鼻をくすぐった。 [97:0.30s]
私の香水と混ざり合い、胸の奥で何かが溶けていく。 [98:0.30s]
二人の影が歩道に重なり、離れ、また重なる。 [99:0.30s]
影の境界線が曖昧になっていくのを見ながら、雨の匂いに頬が熱を持った。 [100:0.30s]
夜、自宅に戻りベッドに横たわると、スマートフォンが光った。 [101:0.30s]
修一からのメッセージ。 [102:0.30s]
「今日の唇の色、まだ目に残ってる」。 [103:0.30s]
深いワイン色の口紅を選んだことを、彼は覚えていてくれた。 [104:0.30s]
鏡の前で何度も塗り直した甲斐があった。 [105:0.30s]
「あなたの声、まだ耳に残ってる」と返す。 [106:0.30s]
文字だけなのに喉が熱くなり、夫の走り書きに指を置いた。 [107:0.30s]
「頼るって、こういうこと？ [108:0.30s]
」と呟くと、遺影の中の夫が微笑んでいるように見えた。 [109:0.30s]
あなたが私に遺してくれた言葉のおかげで、今日という日があった。 [110:0.30s]
ありがとう。 [111:0.30s]
市民大学の図書館で、修一と並んで座った。 [112:0.30s]
週に一度、ここで会うのが私たちの習慣になっていた。 [113:0.30s]
心理学の教科書を広げながら、実際には文字を追う余裕などない。 [114:0.30s]
彼が隣にいるだけで、心臓がうるさい。 [115:0.30s]
窓から射す秋の光が、彼の白髪を照らしている。 [116:0.30s]
横顔を盗み見ると、彼もこちらを見ていて、目が合うと二人して俯いた。 [117:0.30s]
高校生のようだと思うと、可笑しくて肩が震える。 [118:0.30s]
周りの学生たちは熱心にノートを取っている。 [119:0.30s]
この歳で恋をしている自分が、少し恥ずかしくて、でも誇らしくもあった。 [120:0.30s]
修一の手が机の上に差し出される。 [121:0.30s]
私は迷わず自分の手を重ねた。 [122:0.30s]
紙の匂いと皮膚の匂いが混ざり、指先がじんわりと温まっていく。 [123:0.30s]
「高校のとき、こんなに長く手を握らなかったね」「今のほうが、指が離れない」静かな図書館で、二人の呼吸だけが聞こえた。 [124:0.30s]
本のページをめくる音も、誰かの咳払いも、遠くなっていく。 [125:0.30s]
河川敷を夕焼けに染まりながら歩く。 [126:0.30s]
川面がオレンジ色に輝いて、まるで絵画の中にいるようだった。 [127:0.30s]
空が燃えるような赤から、紫へと移り変わっていく。 [128:0.30s]
「頼れって、こういうことかな」と修一が呟く。 [129:0.30s]
「寄りかかるんじゃなくて、並ぶことかもね」と答えながら、差し出された手に自分の指を絡めた。 [130:0.30s]
四十年前は手を繋ぐだけで精一杯だった。 [131:0.30s]
それ以上のことを望む勇気がなかった。 [132:0.30s]
今は違う。 [133:0.30s]
その手の温もりがどれほど貴重か知っている。 [134:0.30s]
残された時間が永遠ではないことも。 [135:0.30s]
だからこそ、この瞬間が愛おしい。 [136:0.30s]
帰り道、小さなバーに立ち寄った。 [137:0.30s]
古いジャズが流れる落ち着いた店内。 [138:0.30s]
カウンターに並んで座り、カクテルを一口含む。 [139:0.30s]
柑橘とアルコールが舌に滲み、胃の奥がほんのり温まる。 [140:0.30s]
隣で修一が「君、酔うと目が潤む」と低く笑った。 [141:0.30s]
「昔から変わらないね」「あなたに見つめられると余計に」言ってから恥ずかしくなって俯くと、グラスを持つ私の手に、彼の親指がそっと擦れた。 [142:0.30s]
頬の内側がゆっくり焼けていく。 [143:0.30s]
バーの薄暗い照明の中で、彼の瞳が琥珀色に輝いている。 [144:0.30s]
この人を、もう一度好きになってもいいのだろうか。 [145:0.30s]
駅前で別れる夜。 [146:0.30s]
終電まであと少しという時間、二人は立ち尽くしていた。 [147:0.30s]
唇を重ねることはしなかった。 [148:0.30s]
それはまだ早いと、どこかで思っていたから。 [149:0.30s]
でも、修一の指先が私の頬の輪郭をゆっくりとなぞる。 [150:0.30s]
耳の後ろから顎のラインへ、そして唇のすぐ手前で止まった。 [151:0.30s]
触れられた場所が熱を帯びて、消えない。 [152:0.30s]
「次は」と私が言うと、彼は首を傾げた。 [153:0.30s]
「あなたの香りを嗅ぎたくなったとき」そう答えると、彼の瞳が小さく揺れた。 [154:0.30s]
「毎日だな、それは」「私もよ」電車の音が近づいてくる。 [155:0.30s]
名残惜しさを振り切るように、私は改札へと向かった。 [156:0.30s]
振り返ると、彼はまだ立っていた。 [157:0.30s]
自宅に帰り、枕元の遺影に向かう。 [158:0.30s]
暗い部屋の中で、夫の写真だけがぼんやりと浮かび上がる。 [159:0.30s]
「あなたの遺言、守ってる。 [160:0.30s]
頼るって、こんな温度だったのね」と囁いた。 [161:0.30s]
走り書きを撫でて、そっと唇に触れる。 [162:0.30s]
インクの匂いと今日つけた香水が混ざり、胸の奥が静かに熱を持った。 [163:0.30s]
夫は私に恋をさせてくれた。 [164:0.30s]
二十五歳で出会い、四十年連れ添った。 [165:0.30s]
子供を育て、孫の顔を見て、たくさんの思い出を作った。 [166:0.30s]
そして今、別の人がその続きを紡いでくれようとしている。 [167:0.30s]
不思議と罪悪感はない。 [168:0.30s]
むしろ、夫が背中を押してくれているような気がした。 [169:0.30s]
翌朝、鏡の前で口紅を選ぶ。 [170:0.30s]
赤、ベージュ、深いワイン。 [171:0.30s]
どれも似合わない気がして、また一からやり直す。 [172:0.30s]
結局、昨日と同じワイン色を唇に押し当てた。 [173:0.30s]
「今日も一歩だけ進む。 [174:0.30s]
触れそうで触れない距離を楽しむ」鏡の中の自分がふっと笑う。 [175:0.30s]
しわが増えた。 [176:0.30s]
白髪も増えた。 [177:0.30s]
でも、目だけは十七歳のあの頃と同じように輝いている気がする。 [178:0.30s]
初恋の熱を指先に灯したまま、静かに目を閉じた。 [179:0.30s]
スマートフォンが震えた。 [180:0.30s]
修一からのメッセージ。 [181:0.30s]
「今日の口紅も、きっとワイン色？ [182:0.30s]
」まるで見透かされているようで、思わず笑ってしまった。 [183:0.30s]
「当たり。 [184:0.30s]
あなたに見せたいから」送信ボタンを押す指が、もう震えていないことに気づく。 [185:0.30s]
六十七年生きてきて、こんなにも心が躍る朝は久しぶりだった。 [186:0.30s]
窓の外では秋の陽射しが輝いている。 [187:0.30s]
銀杏の葉が金色に染まって、風に揺れている。 [188:0.30s]
この季節が一番好きだ。 [189:0.30s]
夫もそう言っていた。 [190:0.30s]
そして今、新しい人とこの季節を共有できることが、何より嬉しい。 [191:0.30s]
今日も彼に会える。 [192:0.30s]
それだけで、一日が特別なものになる。 [193:0.30s]
夫の走り書きを胸ポケットにそっと入れて、私は玄関のドアを開けた。 [194:0.30s]
秋の風が頬を撫で、新しい一日が始まる予感に胸が高鳴った。 [195:0.30s]
