ワイン講座の教室は、少し落とされた照明と、芳醇な葡萄の香りに包まれていた。 [1:0.30s]
「今度、図書館で一緒に読みませんか？ [62:0.30s]
ワインは持ち込めませんが、言葉に香りを乗せることはできますから」 [63:0.25s]
休日の図書館。 [64:0.30s]
無香の空間で、私たちは紙に書いた例文を交互に読んだ。 [65:0.30s]
息を含んだ声が、乾燥した紙を柔らかくしていく。 [66:0.30s]
「あなたが読むと、言葉に艶が出ますね。 [67:0.30s]
まるでデキャンタージュしたようだ」 [68:0.25s]
「あなたの低音も、以前より響きが増しました。 [69:0.30s]
樽の香りがします」 [70:0.25s]
声と紙だけが寄り添い、行間の余白が甘く湿っていくようだった。 [71:0.30s]
ある日、彼が小さな小瓶を持ってきた。 [72:0.30s]
「これ、オーク樽のチップです」 [73:0.25s]
蓋を開けて嗅がせてくれる。 [74:0.30s]
「弱いですが、舌に残る香りでしょう？ [75:0.30s]
」 [76:0.25s]
差し出されたチップに指で触れると、木の粉が微かについた。 [77:0.30s]
「木の香り……落ち着きます。 [78:0.30s]
森の中にいるみたい」 [79:0.25s]
「あなたに似合う香りだ。 [80:0.30s]
自然で、飾らない」 [81:0.25s]
昼下がりのワインバー。 [82:0.30s]
窓際の席で、一杯だけを時間をかけて味わった。 [83:0.30s]
家族の話は浅く流し、香りの感想だけを深く共有する。 [84:0.30s]
それが私たちの流儀だった。 [85:0.30s]
お互いの過去に踏み込みすぎない。 [86:0.30s]
今の香りだけを楽しむ。 [87:0.30s]
「君の声を、長く聴いていたい」 [88:0.25s]
高橋さんの喉が少し掠れ、彼が笑うと、コーヒーの湯気が二人の間を霞ませた。 [89:0.30s]
「酔いましたか？ [90:0.30s]
」 [91:0.25s]
「あなたの声にね」 [92:0.25s]
講座のない日には、音声メモが届くようになった。 [93:0.30s]
『今日の空の匂い。 [94:0.30s]
湿った土と、アプリコット』 [95:0.25s]
彼の低音が、耳の奥で香りを広げる。 [96:0.30s]
私も録音ボタンを押す。 [97:0.30s]
『ベランダのハーブと、雨の匂い』 [98:0.25s]
声だけで、互いのいる場所の空気を運び合う。 [99:0.30s]
校外学習で訪れたワイナリー。 [100:0.30s]
土を踏みしめると、日差しと乾いた土の匂いが立ち上った。 [101:0.30s]
巨大な樽が並ぶ貯蔵庫。 [102:0.30s]
ひんやりとした空気。 [103:0.30s]
「この匂い、あなたの声に似ています」 [104:0.25s]
私が言うと、樽の蓋を閉めようとしていた彼の手が止まり、視線が絡み合った。 [105:0.30s]
香りと視線が溶け合う瞬間。 [106:0.30s]
帰りのバスで、彼が紙片を渡してきた。 [107:0.30s]
「今日の香りを三つ書きました。 [108:0.30s]
君も書いて」 [109:0.25s]
『葡萄の皮、湿った石、胸の熱』 [110:0.25s]
私はその下に書き足した。 [111:0.30s]
『樽の木、あなたの声、帰り道の風』 [112:0.25s]
紙が、今日という日の温度を閉じ込めた。 [113:0.30s]
冬の喫茶店。 [114:0.30s]
温かいカップを挟んで座る。 [115:0.30s]
「香りの感じ方が、変わりましたね」彼が言った。 [116:0.30s]
「あなたの声が、形にしてくれるからです。 [117:0.30s]
一人で飲むワインより、二人で語り合うワインの方が美味しい」 [118:0.25s]
年末、「この一年の香りを書いてください」と新しいノートを渡された。 [119:0.30s]
『あなたの声、熟したプラム。 [120:0.30s]
今日の香り、焦がしたキャラメル』 [121:0.25s]
記すと、「いい書き出しだ」と彼が笑い、紙がわずかに湿った。 [122:0.30s]
新年。 [123:0.30s]
「今年はどんな香りを重ねますか」 [124:0.25s]
「あなたの声に似合うものを」 [125:0.25s]
息を整え、香りが立ち上る瞬間に声を重ねる。 [126:0.30s]
喉が柔らかく鳴った。 [127:0.30s]
信号待ちの風の中、彼がポケットから出した柑橘の皮を捻り、香りを指に移した。 [128:0.30s]
「柑橘と、木と、声」 [129:0.25s]
ノートに彼が書き込む。 [130:0.30s]
文字が香りの代わりになり、紙がしっとりと温まる。 [131:0.30s]
散歩の終わりに、「今日はこのまま帰ります。 [132:0.30s]
香りも声も、持ち帰ると熟しますから」と彼が笑った。 [133:0.30s]
夜の時間が静かに温まった。 [134:0.30s]
ある夜、私が赤ワインをこぼしてしまった。 [135:0.30s]
白いクロスに染みが広がる。 [136:0.30s]
「ああ、すみません！ [137:0.30s]
どうしよう」 [138:0.25s]
「大丈夫。 [139:0.30s]
染みも記憶になります」 [140:0.25s]
彼が布巾を渡し、二人でテーブルを拭いた。 [141:0.30s]
「この色、あなたの声に似ています。 [142:0.30s]
深紅のベルベット」と彼が囁く。 [143:0.30s]
失敗さえも、艶やかな記憶に変わると知った。 [144:0.30s]
春、桜の日。 [145:0.30s]
彼が枝を優しく撫で、薄い香りを指に移した。 [146:0.30s]
「この香り、声には似合います」 [147:0.25s]
グラスを持たず、桜色の声を重ねる。 [148:0.30s]
花びらが舞い、私たちのリズムを映しているようだった。 [149:0.30s]
講座の終盤。 [150:0.30s]
「次はどんな香りで、声を染めましょうか」と彼が聞いた。 [151:0.30s]
「あなたが選ぶ香りで」 [152:0.25s]
私が微笑むと、鼻先に微かな甘さが残り、喉を潤した。 [153:0.30s]
彼はポケットから、ワインのコルクを取り出した。 [154:0.30s]
「これ、記念にどうぞ。 [155:0.30s]
今日飲んだワインのコルクです」 [156:0.25s]
「……ありがとうございます」 [157:0.25s]
受け取ると、コルクはまだ湿っていた。 [158:0.30s]
ワインの香りと、彼の手の匂いが染み込んでいる。 [159:0.30s]
「大切にします」 [160:0.25s]
夜、自宅でグラスを棚に戻す。 [161:0.30s]
柑橘、樽、木漏れ日、桜、そして高橋さんの低い声。 [162:0.30s]
それらをそっと思い出す。 [163:0.30s]
スマホを伏せて、「明日も、香りの声で」と呟く。 [164:0.30s]
湿った余韻を抱きしめながら、私は眠りに落ちた。 [165:0.30s]
枕元のコルクから、微かに葡萄の香りが漂っていた。 [166:0.30s]
