No.,チャンネル,動画番号,動画ID,台本番号,タイトル,進捗,作成フラグ,台本,品質チェック結果,文字数,更新日時,サムネタイトル上,サムネタイトル下,サムネ画像プロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,DALL-Eプロンプト（URL・テキスト指示込み）,台本本文（冒頭サンプル）,音声整形,音声検証,音声生成,音声品質,納品,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,内容,動画内挿絵AI向けプロンプト（10個）,内容（企画要約）,台本パス,GPT用プロンプト（日本人シニア女性）,台本本文,GPT用プロンプト（日本人シニア女性）_1,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること,台本型
11,CH02,11,CH02-011,CH02-011,【皇帝の哲学】なぜローマ帝国最高の賢者は、息子を“最悪の皇帝”に育ててしまったのか,投稿済み,,workspaces/scripts/CH02/011/content/assembled.md,✅完了,7661,2025-12-17T22:13:38.462932Z,,,,,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,マルクス・アウレリウスの『自省録』に見るストイックな生き方と、息子コンモドゥスの暴君ぶりの対比を分析する台本。哲学的な理想と、子育てという現実の乖離を、歴史的事実を基に描き出す。普遍的な「親と子の断絶」というテーマに迫る。,,,済,完了 (forced) 2025-12-17,待機中,完了 (forced) 2025-12-17,投稿済み 2025-12-17,賢者の子育て、最大の失敗,,,,,,,workspaces/scripts/CH02/011/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata3
12,CH02,12,CH02-012,CH02-012,【警告】なぜ「努力の才能論」は逆説的にあなたの成長を妨げるのか,投稿済み,,workspaces/scripts/CH02/012/content/assembled.md,✅完了,7686,2025-12-17T22:13:41.535227Z,,,,,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,セネカの「足るを知る」というストア派の教えと、現代の資本主義における消費文化を対比させる台本。「なぜ稼いでも稼いでも満たされないのか」という問いから始め、お金との健全な距離の取り方、真の豊かさについて論じる。,,,済,完了 (forced) 2025-12-17,待機中,完了 (forced) 2025-12-17,投稿済み 2025-12-17,富への渇望が、あなたを貧しくする,,,,,,,workspaces/scripts/CH02/012/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata2
13,CH02,13,CH02-013,CH02-013,【武士道】なぜ宮本武蔵は最強の剣豪でありながら、孤独に死んでいったのか,投稿済み,,workspaces/scripts/CH02/013/content/assembled.md,✅完了,7757,2025-12-17T22:13:44.124512Z,,,,【東洋思想・文化】の視点を導入。西洋哲学だけでなく日本の武士道を取り上げることで、自己鍛錬や伝統文化に興味がある層に新たな魅力を提示する。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,宮本武蔵の『五輪書』と、彼の生涯の逸話を分析する台本。「強さとは何か」をテーマに、剣の道を極めた先に待っていた精神的な境地と、人間関係の希薄さについて考察。強さと孤独の相関関係に迫る。,洞窟の中で、一本の刀を傍らに置き、瞑想する年老いた宮本武蔵の後ろ姿。洞窟の入り口から差し込む一筋の光が、彼の孤独と求道者としての峻厳さを照らし出す。水墨画のようなタッチで、写実的かつ精神的なスタイル。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済,完了 (forced) 2025-12-17,待機中,完了 (forced) 2025-12-17,投稿済み 2025-12-17,最強の男が、最後に求めたもの,,,,,,,workspaces/scripts/CH02/013/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata1
14,CH02,14,CH02-014,CH02-014,【正義の暴走】なぜ現代人はSNSで他人を叩かずにはいられないのか,投稿済み,,workspaces/scripts/CH02/014/content/assembled.md,✅完了,7794,2025-12-17T22:13:45.335390Z,,,,【社会・経済】の視点から、現代的な「キャンセルカルチャー」や「ネットリンチ」を分析。SNSでの論争に疲れを感じる20-40代の視聴者に、構造的な理解と距離感を提示する。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,ルネ・ジラールの「模倣の欲望」と「スケープゴート理論」を用いて、現代のキャンセルカルチャーやネットリンチの構造を分析する台本。集団心理と「正義」の名の下に行われる排除のメカニズムを解き明かす。,スマートフォンを持つ無数の手が、画面の中の一人の人物に指を突きつけている構図。指先は鋭い矢のように描かれ、ネットリンチの暴力性を象徴している。サイバーパンク風のネオンと影で描かれた、現代的な寓話スタイル。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済,OK 20251025T0,待機中,OK 20251026T0,投稿済み 2025-12-17,あなたの正義は、凶器になる,,,,,,,workspaces/scripts/CH02/014/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata2
15,CH02,15,CH02-015,CH02-015,【ミニマリズムの罠】「何もない部屋」に住む人ほど、実は何かに支配されている,投稿済み,,workspaces/scripts/CH02/015/content/assembled.md,✅完了,7745,2025-10-29 21:44:18,,,,【東洋思想・文化】の視点から、現代のライフスタイル「ミニマリズム」を批判的に考察。禅の思想と比較することで、本質を見抜くチャンネルの深さを示す。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,禅の「無一物」の思想と、現代のライフスタイルとしてのミニマリズムを比較分析する台本。「モノを持たないこと」が新たなステータスとなり、かえって「持たない」という思想に執着し、支配されるパラドックスを論じる。,ガランとした完璧なミニマリストの部屋。しかし、床には人物の形をした影がくっきりと落ちており、その影は無数の細い糸で天井から吊るされている。見えない束縛を表現。シュルレアリスム風の写実的なスタイル。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済,,待機中,,完了 2025-12-11,何も持たない、という執着,,,,,,,workspaces/scripts/CH02/015/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata1
16,CH02,16,CH02-016,CH02-016,【天才の憂鬱】なぜレオナルド・ダ・ヴィンチは、ほとんどの作品を未完で終えたのか,投稿済み,,workspaces/scripts/CH02/016/content/assembled.md,✅完了,6962,2025-11-28 17:00:00,,,,【歴史・偉人】の視点から、万能の天才ダ・ヴィンチの人間的な苦悩に迫る。クリエイティブな仕事に携わる人や、知的好奇心の強い層に響くテーマ。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,ヴァザーリの『美術家列伝』やフロイトのダ・ヴィンチ論を参考に、彼の完璧主義と飽くなき探求心が、なぜ作品の「完成」を阻んだのかを分析。「万能の天才」の知られざる苦悩と、創造性の本質に迫る。,レオナルド・ダ・ヴィンチ風の手稿（手鏡文字）の上に、完成間近で筆を置く画家の苦悩する手元をクローズアップ。背景には未完成の「モナ・リザ」や発明品のスケッチが散らばっている。歴史的でドラマチックな写実スタイル。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済,,待機中,,完了 2025-12-11,天才は、完成を恐れた,,,,,,,workspaces/scripts/CH02/016/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata3
17,CH02,17,CH02-017,CH02-017,【テクノロジーの隷従】なぜスマホは、あなたを賢くするどころか、思考停止に導くのか,投稿済み,,workspaces/scripts/CH02/017/content/assembled.md,✅完了,8126,2025-11-28 17:00:00,,,,【社会・経済】の視点から、現代人が毎日使う「スマホ」という身近なテーマを哲学的に深掘り。スマホ依存に悩む幅広い層に危機感と解決の糸口を提示する。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,ニコラス・カーの『ネット・バカ』と、マルシャル・マクルーハンの「メディアはメッセージである」を引用し、インターネットとスマートフォンが人間の認知能力に与える影響を論じる。便利さの代償として失われる「深い思考力」について警鐘を鳴らす。,図書館の膨大な書物を背景に、一人の人物が本には目もくれず、光るスマートフォンを無表情に見つめている。スマホの光が顔を青白く照らし、思考が奪われている様子を表現。現代的で風刺の効いた写実スタイル。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済,,待機中,,完了 2025-12-11,スマホが、あなたの脳を殺す,,,,,,,workspaces/scripts/CH02/017/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata2
18,CH02,18,CH02-018,CH02-018,【美意識の哲学】なぜ日本人は「わびさび」に惹かれるのか―不完全さの中に神を見る,投稿済み,,workspaces/scripts/CH02/018/content/assembled.md,✅完了,7694,2025-10-29 21:44:18,,,,【東洋思想・文化】の視点から、「わびさび」という日本の美意識を哲学的に解説。西洋的な価値観とは異なる視点を提供し、デザインや文化に関心のある層に訴求する。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,岡倉天心の『茶の本』と、柳宗悦の「民藝運動」の思想を解説する台本。「わびさび」の美意識の根源にある無常観や自然観を解き明かし、西洋的な完璧主義の美とは異なる、日本の精神文化の深層に迫る。,静かな和室の床の間に、一つだけ置かれた歪で欠けた茶碗。その欠けた部分（金継ぎ）から、淡い光が漏れ出している。不完全さの中に宿る美しさと精神性を象徴的に描く。ミニマルで精神性の高い写実スタイル。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済,,待機中,,完了 2025-12-11,未完成こそ、美しい,,,,,,,workspaces/scripts/CH02/018/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata1
19,CH02,19,CH02-019,CH02-019,【大衆の熱狂】なぜ人は、ワールドカップやアイドルに熱狂し、自分を忘れるのか,投稿済み,,workspaces/scripts/CH02/019/content/assembled.md,✅完了,7211,2025-12-17T22:13:53.087141Z,,,,【社会・経済】の視点から、現代的な「キャンセルカルチャー」や「ネットリンチ」を分析。SNSでの論争に疲れを感じる20-40代の視聴者に、構造的な理解と距離感を提示する。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,ルネ・ジラールの「模倣の欲望」と「スケープゴート理論」を用いて、現代のキャンセルカルチャーやネットリンチの構造を分析する台本。集団心理と「正義」の名の下に行われる排除のメカニズムを解き明かす。,スマートフォンを持つ無数の手が、画面の中の一人の人物に指を突きつけている構図。指先は鋭い矢のように描かれ、ネットリンチの暴力性を象徴している。サイバーパンク風のネオンと影で描かれた、現代的な寓話スタイル。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済,完了 (forced) 2025-12-17,待機中,完了 (forced) 2025-12-17,投稿済み 2025-12-17,あなたの正義は、凶器になる,,,,,,,workspaces/scripts/CH02/019/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata1
20,CH02,20,CH02-020,CH02-020,【言語の限界】なぜ「本当に大切なこと」は、言葉にした瞬間に嘘になるのか,投稿済み,,workspaces/scripts/CH02/020/content/assembled.md,✅完了,7095,2026-01-05T08:19:54.102116Z,,,,哲学の根源的なテーマである「言語」に焦点を当てる。コミュニケーションの本質を考えたい、より深い思索を求める視聴者層に向けた、チャンネルの知的権威性を高める企画。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,ウィトゲンシュタインの「語りえぬものについては、沈黙しなければならない」という命題と、老子の「道（タオ）の道とすべきは、常の道にあらず」を比較分析。言語の限界と、非言語的なコミュニケーション（芸術、音楽、沈識）の重要性について論じる。,口から放たれた言葉が、鳥籠に変わり、その中にいたはずの美しい鳥（真実）が飛び去ってしまった後の空の鳥籠を描く。言葉による世界の分節化と、それによって失われるもののメタファー。シュルレアリスム風で、寓話的なアートスタイル。 ドラマチックな照明効果と深い陰影。油絵の厚みのある筆致と、水彩画の流動的なにじみを融合させた独特の質感。強烈なコントラストと鮮やかな色彩対比。象徴的でメタファリカルな構図。映画ポスターのようなシネマティックで劇的な雰囲気。ビビッドなカラーとダークトーンの大胆な対比。光と影のドラマティックな演出。芸術的で感情を揺さぶる表現。16:9のワイドスクリーン構図。プロフェッショナルな仕上がり。 テキストや文字は一切含めないでください。,,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,完了 (forced) 2026-01-05,完了 2025-12-10,言葉にできないことこそ、真実,,,,,,,workspaces/scripts/CH02/020/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,言語の限界,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata1
