No.,チャンネル,動画番号,動画ID,YouTubeID,タイトル,台本,台本番号,作成フラグ,進捗,品質チェック結果,文字数,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,更新日時,音声整形,音声検証,音声生成,音声品質,DALL-Eプロンプト（URL・テキスト指示込み）,台本パス,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること,台本型,史実エピソード候補
11,CH32,11,CH32-011,,手遅れになる前に聞いてください。孤独死より怖い「後悔」を減らす話,workspaces/scripts/CH32/011/content/assembled.md,CH01-265,,script_validated,,4315,後悔を、減らせ,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。星空に向かって小さな荷物を手放す人物の背中。静かな旅立ち。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,死の恐怖を煽らず、「後悔（未練）」に焦点を当てて今を生き直す方向へ導く。執着をほどく具体行動を3つに絞る。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】孤独死の怖さの正体。 【物語】静かな葬儀の場面。 【解説】未練=執着。 【実践】後悔を減らす3つ（言う/渡す/整理）。 【締め】今日の一言が未来を救う。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/011/content/assembled.md,老後,死生観,ひとりの夜,後悔,死の不安が薄れ、今日を大切にできる,星空への旅,【老後】で苦しいあなたへ──後悔を減らす話。,"・孤独死より怖いもの
・後悔を減らす3つの行動",kata3,経典伝承: キサーゴータミーが亡子の死を受け入れられず、ブッダの示した「からし種」の教えで無常を知ったとされる—後悔を減らす視点。
12,CH32,12,CH32-012,,【これが本当の罰】怒りは心を破壊します。イライラの正体は「悲しみ」でした,workspaces/scripts/CH32/012/content/assembled.md,CH01-266,,script_validated,,4483,怒りは、悲しみ,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。炎の中に一粒の涙。熱と冷の対比。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,怒りを“抑える”ではなく“読み解く”ことで鎮める。悲しみに気づくと、言葉も行動も変わることを物語で示す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】イライラが止まらない日々。 【物語】家族/同僚の一言で爆発しそうになる。 【解説】怒りの下に悲しみがある。 【実践】感情実況＋3呼吸＋伝え方。 【締め】怒りと和解する。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/012/content/assembled.md,怒り,悲しみ,家庭 / 職場,苦,怒りが鎮まり、関係が壊れにくくなる,炎の中の涙,【怒り】で苦しいあなたへ──怒りの正体を見抜く話。,"・怒りの下にある感情
・今日からできる鎮め方",kata3,経典伝承: ブッダが罵倒を受けても反応せず、受け取らぬ言葉は相手に戻ると説いたとされる—怒りの連鎖を断つ例。
13,CH32,13,CH32-013,,【絶対にやるな】断れない人が人生を損する理由。ノーと言える人が使う言い換え7選,workspaces/scripts/CH32/013/content/assembled.md,CH01-267,,script_validated,,4124,NOは、優しさ,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。差し出された手を、穏やかに押し返す。強さではなく静かな優しさ。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,「断る力」需要を7選の具体ワーディングで即効性にする。慈悲を“線引き”として扱い、罪悪感を下げる。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】断れず疲れる共感。 【物語】頼まれごとが重なる。 【言い換え7選】そのまま口に出せる形で提示。 【仏教】慈悲=線引き。 【締め】NOは冷たさではなく、優しさ。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/013/content/assembled.md,人間関係,断る,職場 / 家庭,慈悲,罪悪感なく断れるようになる,静かな手のひら,【人間関係】で苦しいあなたへ──断る言葉を持つ話。,"・断る言い換え7選
・罪悪感を減らす考え方",kata3,史実: 世阿弥。権力者の寵愛と失脚を経験しつつ、言葉と距離感で身を守ったとされる—「断る/線引き」の対比に。
14,CH32,14,CH32-014,,【ブッダの警鐘】優しすぎる人ほど壊れます。境界線がない人が最後に失うもの,workspaces/scripts/CH32/014/content/assembled.md,CH01-268,,script_validated,,4147,境界線を、持て,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。人物の周りに淡い光の輪。外側は暗い霧。内側は穏やか。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,“優しさ”を利用される視聴者に、境界線=慈悲という再定義を渡す。距離/時間/返信ルールの3本柱で実装させる。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】優しいほど損をする痛み。 【物語】境界を越えられ続ける主人公。 【解説】境界線がないと壊れる理由。 【実践】断る/距離/ルールの3本柱。 【締め】守ることは冷たさではない。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/014/content/assembled.md,人間関係,境界線,日常,慈悲,優しさを守り、消耗しにくくなる,光の輪,【人間関係】で苦しいあなたへ──境界線を持つ話。,"・境界線がない人が壊れる理由
・今日からできる線引き",kata2,史実: 道元。真剣に学ぶ者へは惜しまず教え、そうでない者とは距離を取ったとされる—慈悲=無制限に近づくことではない例。
15,CH32,15,CH32-015,,【言葉は刃】陰口が止まらない人が心で失っているもの｜ブッダの教え,workspaces/scripts/CH32/015/content/assembled.md,CH01-269,,script_validated,,4120,噂は、業,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。黒い言葉の煙が渦を巻き、本人の心に戻ってくる。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,噂話を“他人事”にせず、口業として自分に返る構造を示す。噂の輪から降りる具体行動を短く提示する。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】噂話の輪が怖い。 【物語】町内会/職場で広がる陰口。 【仏教】口業と因果。 【実践】噂の輪から降りる3つ（同調しない/席を外す/話題を変える）。 【締め】静けさを選ぶ。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/015/content/assembled.md,人間関係,悪口,地域サークル,因果,噂話に巻き込まれず心が汚れにくくなる,煙は自分に戻る,【人間関係】で苦しいあなたへ──噂話から降りる話。,"・陰口が止まらない心理
・噂の輪から降りる方法",kata3,経典伝承: 提婆達多の分裂工作（伝承）。噂/陰口が共同体を壊す典型として語られる（細部は諸説）。
16,CH32,16,CH32-016,,【因果の法則】運がいい人は不運を味方にします。人生が動く習慣3つ,workspaces/scripts/CH32/016/content/assembled.md,CH01-270,,script_validated,,4285,不運は、味方,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。雨に濡れながらも微笑む人物。雨粒が金色に光る。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,「運」の人気テーマを、解釈と習慣に落とす。因果・縁起の視点で“不運の扱い方”を変え、行動に繋げる。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】不運続きで心が折れそうな時。 【物語】雨の日の出来事を転機にする主人公。 【共通点】運がいい人の解釈/行動/人間関係。 【実践】習慣3つ（記録/感謝/小さな挑戦）。 【締め】運は作れる。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/016/content/assembled.md,自己肯定感,運,日常,縁起,不運で折れず、前に進める,雨粒が金に光る,【自己肯定感】で苦しいあなたへ──運を味方にする話。,"・運がいい人の共通点
・不運を味方にする習慣",kata3,史実: 豊臣秀吉（出自や経緯は諸説）。失敗を糧に立ち上がり、局面を変えていった人物像—不運を「学び」に変える対比に。
17,CH32,17,CH32-017,,【黙らせ方】会話泥棒の心理と正しい対処法。人の話を奪う人が信頼を失う理由,workspaces/scripts/CH32/017/content/assembled.md,CH01-271,,script_validated,,4037,話を、奪うな,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。誰かの言葉（光）が、横から伸びる手に奪われて消える。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,会話のストレスを言語化し、対処の型を渡す。正語（正しい言葉）と傾聴を軸に、関係を壊さず線を引く。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】話しても虚しくなる経験に共感。 【物語】会話を横取りされる場面。 【解説】承認欲求と信頼の構造。 【実践】会話泥棒への対処3つ（区切る/質問で戻す/距離）。 【締め】聞ける人が最後に勝つ。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/017/content/assembled.md,人間関係,会話,職場 / 家庭,正語,会話で消耗しにくくなる,光を奪う手,【人間関係】で苦しいあなたへ──会話で心を守る話。,"・会話泥棒の心理
・対処の型3つ",kata2,経典伝承: アーナンダが「傾聴」で教えを支えたとされる—会話泥棒（遮る/奪う）との対比に。
18,CH32,18,CH32-018,,【無心こそ最強】SNSの比較地獄から抜け出す方法。心が静かになる「無関心」の技術,workspaces/scripts/CH32/018/content/assembled.md,CH01-272,,script_validated,,4109,見ない、比べない,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。スマホの画面をそっと閉じ、窓の外の月を見る人物。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,比較で心が荒む現代的な痛みを扱い、無関心を“逃げ”ではなく“放下着”として提示する。行動を3つに絞って実装させる。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】SNSを見るほど心が荒む共感。 【解説】比較バイアスの仕組み。 【仏教】無関心=放下着（手放す）。 【実践】見ない時間/通知/見る目的の3つ。 【締め】静かな心は取り戻せる。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/018/content/assembled.md,自己肯定感,SNS,ひとりの夜,放下着,比較が減り、心が軽くなる,月を見る,【自己肯定感】で苦しいあなたへ──比較から降りる話。,"・SNS疲れの正体
・無関心の技術",kata3,経典伝承: 物覚えに苦しんだチューラパンタカが、比べる心を離れて修行を続け悟りに至ったとされる（伝承）—比較地獄から抜ける例。
19,CH32,19,CH32-019,,【警告】過去を捨てられない人は晩年が地獄になります。後悔と恨みを手放す「放下着」ルーティン,workspaces/scripts/CH32/019/content/assembled.md,CH01-273,,script_validated,,4010,過去は、捨てろ,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。重い荷物を静かに下ろし、肩が軽くなる瞬間。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,後悔・恨みを“手放す手順”として提示し、放下着をルーティン化する。夜にできる儀式で再現性を上げる。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】過去が重くて眠れない夜。 【物語】古い荷物を抱え続ける主人公。 【仏教】放下着。 【実践】捨てる儀式3つ（箱/紙/呼吸）。 【締め】軽くなると、前に進める。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/019/content/assembled.md,自己肯定感,後悔,ひとりの夜,放下着,後悔に引きずられにくくなる,荷物を下ろす,【自己肯定感】で苦しいあなたへ──過去を手放す話。,"・後悔と恨みを手放す手順
・放下着ルーティン",kata3,史実: 徳川家康が大敗（例: 三方ヶ原）の屈辱を戒めとして残した“しかみ像”は逸話（諸説）。過去を抱えず次の一手へ変える例。
20,CH32,20,CH32-020,,去る者は追うな。縁が切れた時こそ運が上がる理由｜ブッダの教え,workspaces/scripts/CH32/020/content/assembled.md,CH01-274,,script_validated,,4666,追うな、手放せ,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。背中を向けて去る人物。追いかける影は止まり、静けさが戻る。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,縁が切れた痛みを癒しつつ、追うほど苦しくなる構造を示す。縁起と執着で説明し、追わないための3ルールを渡す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】縁が切れて辛い時期に寄り添う。 【物語】去る人を追って壊れる主人公。 【解説】縁起と執着。 【実践】追わないための3ルール（連絡/思い出/自己価値）。 【締め】空いた場所に、新しい縁が入る。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/020/content/assembled.md,人間関係,執着,日常,縁起,人間関係の喪失で折れにくくなる,空いた器に水が入る,【人間関係】で苦しいあなたへ──追わない勇気の話。,"・去る人を追うほど苦しい理由
・追わないための3ルール",kata1,史実: 西行（武士を離れ出家し旅へ。経緯は諸説）。去る縁を追うより、静かに手放して歩き出した例。
