1947年7月、アメリカのニューメキシコ州ロズウェル。 [1:0.30s]
それは金属のようだったが、プラスチックのようでもあった。 [63:0.30s]
紫色の奇妙な文字が書かれた小さな梁（はり）のようなものもあった」 [64:0.25s]
マーセル・ジュニアは、後に医師となり、死ぬまでこの証言を変えませんでした。 [65:0.30s]
「あれは地球のものではなかった」と。 [66:0.30s]
なぜ、軍の精鋭であるマーセル少佐に、このような茶番を演じさせたのでしょうか。 [67:0.30s]
それは、彼を黙らせるため、そして世間の目を欺くための、軍上層部による命令だったのです。 [68:1.00s]
第3章：消えた残骸 [69:1.00s]
軍が回収した本物の残骸はどこへ行ったのでしょうか。 [70:0.30s]
目撃者の証言によると、残骸は厳重な警備の下、トラックに積み込まれ、ライトパターソン空軍基地へ運ばれたと言われています。 [71:0.30s]
そこにはハンガー18と呼ばれる、極秘の格納庫があるという噂があります。 [72:0.30s]
また、一部の残骸には、奇妙な文字が刻まれていたという証言もあります。 [73:0.30s]
象形文字のような、あるいは幾何学模様のような文字。 [74:0.30s]
紫色の光沢を放ち、決して消すことができなかったといいます。 [75:0.30s]
これは、宇宙船の制御パネルの一部だったのでしょうか。 [76:0.30s]
さらに不可解なのは、軍の徹底的な隠蔽工作です。 [77:0.30s]
ブレイゼル氏は軍に拘束され、数日間尋問を受けました。 [78:0.30s]
解放された後、彼は「あれは気球だった」と証言を変え、二度と事件について語ろうとしませんでした。 [79:0.30s]
地元のラジオ局も、軍からの圧力で放送を中止させられました。 [80:0.30s]
現場周辺は封鎖され、すべての証拠が持ち去られました。 [81:0.30s]
たかが気球のために、これほど大規模な隠蔽工作が必要でしょうか。 [82:0.30s]
ブレイゼル氏の息子、ビル・ブレイゼルもまた、軍の脅迫を受けていました。 [83:0.30s]
彼は後にこう語っています。 [84:0.30s]
「父は軍に連行され、一週間も帰ってこなかった。 [85:0.30s]
帰ってきた時、父は別人のようになっていた。 [86:0.30s]
『二度とあの話をするな』とだけ言い、死ぬまで口を閉ざした」 [87:0.25s]
軍は、彼に何を言ったのでしょうか。 [88:0.30s]
おそらく、家族の安全を脅かすようなことを言われたのでしょう。 [89:0.30s]
また、地元のラジオ局KGFLのオーナー、ウォルト・ホイットモアも、ブレイゼル氏へのインタビューを録音していました。 [90:0.30s]
しかし、放送直前にワシントンから電話があり、「もし放送したら免許を取り消す」と脅されたといいます。 [91:0.30s]
これは、国家レベルの隠蔽工作だったのです。 [92:0.30s]
彼らが隠そうとしたのは、単なる気球の残骸などではありませんでした。 [93:1.00s]
第4章：異星人の遺体 [94:1.00s]
ロズウェル事件の最大の謎は、墜落現場から回収されたとされる遺体の存在です。 [95:0.30s]
事件当時、地元の葬儀屋グレン・デニスは、軍の担当者から奇妙な問い合わせを受けました。 [96:0.30s]
「子供用の小さな棺桶はあるか？ [97:0.30s]
」 [98:0.25s]
「遺体を防腐処理する方法について教えてくれ」 [99:0.25s]
不審に思ったデニスが病院に行くと、そこで働いていた看護師の友人に会いました。 [100:0.30s]
彼女は顔面蒼白で震えていました。 [101:0.30s]
そして、彼に衝撃的な事実を告げたのです。 [102:0.30s]
「軍の医師たちが、人間ではない小さな遺体の解剖を行っていた」 [103:0.25s]
彼女が描いたスケッチには、大きな頭、大きな黒い目、小さな口を持つ生物が描かれていました。 [104:0.30s]
それは、私たちがイメージする「グレイ・エイリアン」そのものでした。 [105:0.30s]
彼女によれば、遺体は3体あり、1体はまだ生きていたといいます。 [106:0.30s]
その後、この看護師は突然転属を命じられ、行方不明になりました。 [107:0.30s]
デニス自身も、軍から「余計なことを喋ると命はないぞ」と脅迫されたといいます。 [108:0.30s]
さらに、FBIの機密文書にも、興味深い記述があります。 [109:0.30s]
「ガイ・ホッテル・メモ」と呼ばれる文書です。 [110:0.30s]
1950年にFBI長官に宛てて書かれたこのメモには、次のように記されています。 [111:0.30s]
「空軍の調査官によれば、ニューメキシコ州で3機の空飛ぶ円盤が回収された」 [112:0.25s]
「円盤は直径約15メートル、中央が盛り上がった形状」 [113:0.25s]
「中には身長90センチほどの、人間に似た生物が3体ずつ乗っていた」 [114:0.25s]
「彼らは金属製のきめ細かい服を着ていた」 [115:0.25s]
このメモは、FBIの公式サイトで公開されており、誰でも見ることができます。 [116:0.30s]
これは、ロズウェル事件の裏付けとなる決定的な証拠ではないでしょうか。 [117:0.30s]
また、現場周辺では強烈な悪臭がしたという証言もあります。 [118:0.30s]
それは、アンモニアと硫黄を混ぜたような、鼻を突く臭いだったといいます。 [119:0.30s]
生物学的な組織が腐敗した臭いだったのかもしれません。 [120:1.00s]
第5章：プロジェクト・モーグル [121:1.00s]
1990年代に入り、アメリカ空軍はロズウェル事件に関する最終報告書を発表しました。 [122:0.30s]
そこで明かされたのは、「プロジェクト・モーグル」という極秘計画の存在でした。 [123:0.30s]
当時、アメリカはソ連の核実験を監視するために、特殊なマイクを積んだ気球を飛ばしていました。 [124:0.30s]
それがプロジェクト・モーグルです。 [125:0.30s]
この気球は極秘扱いだったため、一般の気象観測用気球とは形状が異なっていました。 [126:0.30s]
軍は、この極秘計画を隠すために、空飛ぶ円盤という嘘をつき、その後「気象観測用気球」という別の嘘で誤魔化したのだと説明しました。 [127:0.30s]
つまり、二重の隠蔽工作だったというのです。 [128:0.30s]
そして、目撃された異星人の遺体は、衝突実験用のダミー人形（ハイ・ダイブ人形）だったと説明しました。 [129:0.30s]
しかし、この説明には多くの矛盾があります。 [130:0.30s]
まず、ダミー人形を使った実験が始まったのは1950年代からです。 [131:0.30s]
1947年の事件とは時期が合いません。 [132:0.30s]
また、プロジェクト・モーグルの気球は、ポリエチレン製でした。 [133:0.30s]
ブレイゼル氏が拾った形状記憶合金のような金属とは、似ても似つきません。 [134:0.30s]
軍の説明は、あまりにも苦しい言い訳に聞こえます。 [135:0.30s]
そもそも、プロジェクト・モーグルは1947年当時、それほど重要な機密だったのでしょうか。 [136:0.30s]
確かにソ連の核実験監視は重要ですが、そのためだけに、民間人を脅迫し、偽のプレスリリースまで出す必要があったのでしょうか。 [137:0.30s]
さらに、ダミー人形説には決定的な矛盾があります。 [138:0.30s]
当時のダミー人形は、身長180センチほどの成人男性サイズでした。 [139:0.30s]
目撃された「身長90センチの小柄な生物」とは、サイズが全く合いません。 [140:0.30s]
また、人形が使われたのは1954年からです。 [141:0.30s]
事件から7年も後のことです。 [142:0.30s]
軍は、時系列さえも無視して、強引に辻褄を合わせようとしているのです。 [143:0.30s]
この報告書は、真実を明らかにするためのものではなく、真実を再び闇に葬るための鎮静剤だったのかもしれません。 [144:1.00s]
第6章：将軍の遺言 [145:1.00s]
事件から数十年後、当時の関係者たちが次々と沈黙を破り始めました。 [146:0.30s]
その中でも最も衝撃的だったのは、フィリップ・コーソ大佐の告白です。 [147:0.30s]
彼はペンタゴン（国防総省）の元高官で、アイゼンハワー大統領の側近も務めた人物です。 [148:0.30s]
彼は著書『ペンタゴンの陰謀』の中で、こう断言しました。 [149:0.30s]
「ロズウェルで回収されたのは、間違いなく地球外の宇宙船だった」 [150:0.25s]
コーソ大佐の任務は、回収された宇宙船の技術を、民間企業に「逆行分析（リバース・エンジニアリング）」させることでした。 [151:0.30s]
彼は、宇宙船から回収された部品を、IBMやベル研究所などの巨大企業に持ち込みました。 [152:0.30s]
その結果生まれたのが、光ファイバー、集積回路（ICチップ）、レーザー、暗視装置、防弾チョッキ（ケブラー）などの現代技術だというのです。 [153:0.30s]
コーソ大佐によれば、彼はこれらの技術を「海外からの技術」あるいは「自社の研究所での発明」として偽装し、民間企業に渡しました。 [154:0.30s]
企業側も、それがどこから来たのかを知らされずに（あるいは知っていて黙認して）、開発を進めました。 [155:0.30s]
例えば、ICチップの回路図は、宇宙船の制御パネルの回路を模倣したものだといいます。 [156:0.30s]
光ファイバーは、宇宙船内の通信ケーブルを解析した結果です。 [157:0.30s]
暗視装置は、エイリアンの目の構造をヒントに作られました。 [158:0.30s]
私たちが今使っているスマートフォンやパソコン。 [159:0.30s]
これらの技術のルーツは、ロズウェルで墜落したUFOにあるのかもしれません。 [160:0.30s]
もしコーソ大佐の話が本当なら、私たちは知らず知らずのうちに、エイリアンの技術を使っていることになります。 [161:0.30s]
そして、人類の科学技術は、この70年間で異常なほどの急進化を遂げたことになります。 [162:0.30s]
それは、自力で達成した進化ではなく、与えられた進化だったのでしょうか。 [163:1.00s]
第7章：生きていたエイリアン [164:1.00s]
回収されたエイリアンの中に、生き残りがいたという説も根強くあります。 [165:0.30s]
「EBE（イー・ビー・イー）」と呼ばれるその生命体は、エリア51などの秘密基地で保護され、政府とコンタクトを取っていたと言われています。 [166:0.30s]
EBEは、テレパシーのような能力を使って意思疎通を行い、自分たちの文明や科学技術について語ったといいます。 [167:0.30s]
彼らは数万年前から地球を訪れており、人類の進化を監視していたというのです。 [168:0.30s]
1949年にEBEは病死したとされていますが、その後も別のエイリアンとの交流が続いているという噂があります。 [169:0.30s]
アイゼンハワー大統領がエイリアンと密会し、協定を結んだという話さえあります。 [170:0.30s]
「技術を提供する代わりに、人間を誘拐して実験することを許可する」 [171:0.25s]
そんな恐ろしい密約が、本当に交わされたのでしょうか。 [172:0.30s]
さらに、「プロジェクト・セルポ」という極秘計画の噂もあります。 [173:0.30s]
これは、交換留学プログラムとして、12人のアメリカ軍人がエイリアンの母星（レティクル座ゼータ星）へ送られたという話です。 [174:0.30s]
彼らはそこで10年以上過ごし、異星の文化や科学を学びました。 [175:0.30s]
しかし、地球に帰還できたのはわずか数名で、彼らも放射線障害ですぐに亡くなったといいます。 [176:0.30s]
彼らが持ち帰った膨大な記録「イエロー・ブック」には、宇宙の歴史や人類の起源が記されていると言われています。 [177:0.30s]
そこには、私たちが学校で教わる歴史とは全く違う真実が書かれているのかもしれません。 [178:1.00s]
第8章：現代への影響 [179:1.00s]
ロズウェル事件は、単なる過去の出来事ではありません。 [180:0.30s]
その影響は、現代にも続いています。 [181:0.30s]
2020年以降、アメリカ政府はUFO（現在はUAP：未確認航空現象と呼ばれる）の存在を公式に認め始めました。 [182:0.30s]
海軍のパイロットが撮影したUFO映像が公開され、議会で公聴会が開かれています。 [183:0.30s]
なぜ今になって、急に情報公開が進み始めたのでしょうか。 [184:0.30s]
一部の研究者は、政府が「ディスクロージャー（情報開示）」の準備を始めているのではないかと考えています。 [185:0.30s]
長年隠してきた真実を、小出しにすることで、国民のショックを和らげようとしているのです。 [186:0.30s]
あるいは、隠しきれない何かが近づいているのかもしれません。 [187:0.30s]
エイリアンの大規模な来訪か、あるいは彼らとの最終的な接触か。 [188:0.30s]
2023年、元空軍情報将校のデビッド・グラッシュ氏が、議会の公聴会で衝撃的な証言を行いました。 [189:0.30s]
「アメリカ政府は、墜落したUFOと、そのパイロットの遺体（非人間的な生物由来の物質）を保有している」 [190:0.25s]
彼は宣誓の上でこう証言しました。 [191:0.30s]
これは、ロズウェル事件以来、初めて公の場で語られた内部告発です。 [192:0.30s]
また、2004年にニミッツ空母打撃群が遭遇した「チクタクUFO」の映像も、世界中に衝撃を与えました。 [193:0.30s]
物理法則を無視した動きを見せるその物体は、明らかに人類の技術を超えていました。 [194:0.30s]
もはや、UFOはオカルトではありません。 [195:0.30s]
国家安全保障上の重大な課題なのです。 [196:0.30s]
ロズウェル事件は、その長いプロセスの始まりに過ぎなかったのかもしれません。 [197:1.00s]
第9章：真実の行方 [198:1.00s]
ロズウェル事件から70年以上が経ちました。 [199:0.30s]
しかし、真相は未だに闇の中です。 [200:0.30s]
関係者の多くはすでに亡くなり、直接の証言を得ることは難しくなっています。 [201:0.30s]
しかし、彼らが残した言葉や遺言は、私たちに真実を訴えかけています。 [202:0.30s]
「あれは気球ではなかった」 [203:0.25s]
「私たちは宇宙船を見た」 [204:0.25s]
「小さな遺体があった」 [205:0.25s]
彼らは嘘をつく理由がありません。 [206:0.30s]
死の間際に、良心の呵責から真実を語った人々もいます。 [207:0.30s]
政府が隠し続ける何か。 [208:0.30s]
それは、人類の価値観を根底から覆すような、あまりにも巨大な真実なのかもしれません。 [209:0.30s]
もし明日、政府が「エイリアンは実在する」と発表したら、世界はどうなるでしょうか。 [210:0.30s]
宗教は崩壊するかもしれません。 [211:0.30s]
神の定義が書き換えられるからです。 [212:0.30s]
経済は大混乱に陥るかもしれません。 [213:0.30s]
フリーエネルギー技術が公開されれば、エネルギー産業は壊滅します。 [214:0.30s]
社会的なパニックを避けるために、真実は隠され続けてきたのかもしれません。 [215:0.30s]
「人類にはまだ早すぎる」という判断です。 [216:0.30s]
しかし、私たちはいつまでも子供のままではありません。 [217:0.30s]
真実を受け入れ、新しい時代へと進む準備ができているはずです。 [218:1.00s]
第10章：星空の彼方へ [219:1.00s]
ロズウェル事件。 [220:0.30s]
それは、人類が初めて「自分たち以外の知的生命体」の物理的な証拠を手にした瞬間だったのかもしれません。 [221:0.30s]
その証拠は隠蔽されましたが、記憶を消すことはできません。 [222:0.30s]
私たちは宇宙で孤独な存在ではありません。 [223:0.30s]
すぐ隣に、あるいは頭上に、彼らはいるのです。 [224:0.30s]
いつか、すべての真実が明らかになる日が来るでしょう。 [225:0.30s]
その時、私たちは彼らをどう迎えるのでしょうか。 [226:0.30s]
敵としてか、それとも友としてか。 [227:0.30s]
あるいは、彼らはすでに私たちの隣にいて、ただ静かにその時を待っているだけなのかもしれません。 [228:0.30s]
満員電車で隣に立っている人、カフェでコーヒーを飲んでいる人。 [229:0.30s]
彼らが本当に人間であるという保証は、どこにもないのですから。 [230:0.30s]
夜空を見上げる時、思い出してください。 [231:0.30s]
あなたが見ている星の光は、何万年も前の過去の光です。 [232:0.30s]
しかし、その光の向こう側には、今この瞬間も、私たちを見つめる誰かがいるかもしれないのです。 [233:0.30s]
宇宙は、私たちが想像するよりもはるかに賑やかで、そして神秘に満ちているのかもしれません。 [234:0.30s]
私たちが孤独ではないという事実は、希望であると同時に、未知への恐怖でもあります。 [235:0.30s]
しかし、恐れることはありません。 [236:0.30s]
未知を知ろうとする好奇心こそが、人類をここまで進化させてきたのですから。 [237:0.30s]
さあ、心の準備はできていますか？ [238:0.30s]
彼らと出会う、その日のために。 [239:0.30s]
もしかしたら、その日は明日かもしれません。 [240:0.30s]
あるいは、もうすでにその日は来ているのかもしれません。 [241:0.30s]
あなたが気づいていないだけで。 [242:0.30s]
真実は、常に私たちの目の前にあります。 [243:0.30s]
ただ、それを見るための目を持っているかどうかが、重要なのです。 [244:0.30s]
信じるか信じないかは、全てあなた次第です。 [245:0.30s]
最後までご覧いただき、ありがとうございました。 [246:0.30s]
あなたは、ロズウェルで何が起きたと思いますか？ [247:0.30s]
気球の墜落？ [248:0.30s]
それともUFOの墜落？ [249:0.30s]
ぜひコメント欄であなたの意見を聞かせてください。 [250:0.30s]
そして、この動画が興味深いと思ったら、高評価とチャンネル登録をお願いします。 [251:0.30s]
宇宙の謎を、これからも一緒に追いかけていきましょう。 [252:0.30s]
それでは、また次の動画でお会いしましょう。 [253:0.30s]
