1600年間、人類から隠され続けてきた一冊の本があります。 [1:0.30s]
物語は、エジプトの灼熱の砂漠から始まります。 [32:0.30s]
1945年、第二次世界大戦が終わったばかりの混乱の中、ナグ・ハマディ村の近くで、ムハンマド・アリーという農夫が仲間と土を掘っていました。 [33:0.30s]
彼の鍬が、カツンと硬いものに当たりました。 [34:0.30s]
掘り出してみると、それは古びた赤い壺でした。 [35:0.30s]
中には魔神が入っているかもしれない。 [36:0.30s]
彼らは最初、恐れをなして壺を開けるのをためらいました。 [37:0.30s]
しかし、黄金が入っているかもしれないという期待が恐怖に打ち勝ちました。 [38:0.30s]
ムハンマドが壺を割ると、黄金色の光ではなく、埃っぽいパピルスの束が出てきました。 [39:0.30s]
彼らはその価値を知りませんでした。 [40:0.30s]
ムハンマドの母は、その貴重な本の一部を、かまどの焚き付けにして燃やしてしまったと言われています。 [41:0.30s]
人類の至宝が、ただの燃料として煙に消えたのです。 [42:0.30s]
しかし、残された本は、やがてカイロの古物市場に流れ、学者の目に留まりました。 [43:0.30s]
そして、世界中に衝撃が走りました。 [44:0.30s]
これは、聖書の原本かもしれない。 [45:0.30s]
鑑定の結果、これらの本が作られたのは西暦350年頃。 [46:0.30s]
今から約1600年前のものであることが判明しました。 [47:0.30s]
しかし、もっと驚くべきは、その中身でした。 [48:0.30s]
そこには、私たちが知っている聖書には載っていない、イエスの秘密の言葉が記されていたのです。 [49:0.30s]
特にトマスによる福音書は、異様でした。 [50:0.30s]
物語もなければ、奇跡も起こらない。 [51:0.30s]
イエスが十字架にかかるシーンさえありません。 [52:0.30s]
ただひたすらに、イエスは言った、という書き出しで、114個の短い言葉が並んでいるだけです。 [53:0.30s]
それはまるで、誰かがイエスの講義をその場でメモした議事録のような生々しさでした。 [54:0.30s]
なぜ、こんな重要な記録が、聖書に含まれていないのでしょうか？ [55:0.30s]
なぜ、1600年もの間、砂漠の土の中に隠されていなければならなかったのでしょうか？ [56:0.30s]
その理由を探っていくと、私たちは歴史の裏側で行われた、ある完全犯罪にたどり着きます。 [57:1.00s]
第2章：消された理由—神はあなたの内側にいる [58:1.00s]
この本が消された理由。 [59:0.30s]
それは、あまりにも都合が良すぎたからです。 [60:0.30s]
誰にとって？ [61:0.30s]
私たち民衆にとってです。 [62:0.30s]
そして、あまりにも都合が悪すぎたからです。 [63:0.30s]
誰にとって？ [64:0.30s]
教会という組織にとってです。 [65:0.30s]
具体的な言葉を見てみましょう。 [66:0.30s]
トマス福音書の第3の言葉で、イエスはこう言っています。 [67:0.30s]
もし、あなたを導く者たちが、見よ、神の国は天にあると言うなら、鳥たちがあなたより先にそこに行くだろう。 [68:0.30s]
海の中にあると言うなら、魚たちが先に行くだろう。 [69:0.30s]
皮肉が効いていますね。 [70:0.30s]
神様は空の上にいると教える宗教指導者たちを、イエス自身が笑い飛ばしているのです。 [71:0.30s]
そして、こう続けます。 [72:0.30s]
そうではなく、神の国はあなたの内側にあり、またあなたの外側にあるのだ。 [73:0.30s]
これが決定的な一言です。 [74:0.30s]
神の国、つまり救いや真理は、遠い空の彼方にあるのではない。 [75:0.30s]
教会という建物の中にあるのでもない。 [76:0.30s]
今、ここにある。 [77:0.30s]
あなたの心の中に、最初からあるのだ、と。 [78:0.30s]
もし、誰もが自分の内側に神を見つけられるなら、どうなるでしょうか？ [79:0.30s]
わざわざ毎週日曜日に教会に行って、ありがたい説教を聞く必要はありません。 [80:0.30s]
罪を許してもらうために、司祭に告白する必要もありません。 [81:0.30s]
教会への寄付も、豪華な大聖堂の建設費も、必要なくなります。 [82:0.30s]
これは、教会という巨大組織にとっては倒産を意味します。 [83:0.30s]
彼らのビジネスモデルは、神と人間は離れているという前提で成り立っています。 [84:0.30s]
あなたたちは罪深い迷える子羊だ。 [85:0.30s]
だから、神に近づくためには私たち仲介者が必要だ、と。 [86:0.30s]
これによって、彼らは権威と富を独占してきました。 [87:0.30s]
しかし、トマス福音書は言います。 [88:0.30s]
いや、仲介者はいらない。 [89:0.30s]
あなたは最初から神と繋がっている。 [90:0.30s]
これは、宗教改革どころの話ではありません。 [91:0.30s]
宗教というシステムの全否定です。 [92:0.30s]
だからこそ、この本は危険だったのです。 [93:0.30s]
異端だから消されたのではありません。 [94:0.30s]
正論すぎて、組織の邪魔だったから消されたのです。 [95:1.00s]
第3章：歴史の闇—1600年前の焚書命令 [96:1.00s]
時計の針を、西暦367年に戻しましょう。 [97:0.30s]
この年、キリスト教の歴史を決定づける、ある事件が起きました。 [98:0.30s]
アレクサンドリアの司教アタナシオスという人物が、復活祭書簡という手紙を出したのです。 [99:0.30s]
その内容は、非常にシンプルで、かつ残酷なものでした。 [100:0.30s]
今からリストアップする27冊の本だけを正しい聖書とする。 [101:0.30s]
それ以外はすべて異端である。 [102:0.30s]
持っている者は処分せよ。 [103:0.30s]
これが、現在私たちが読んでいる新約聖書の始まりです。 [104:0.30s]
そして同時に、トマス福音書を含む多くの書物が禁止図書に指定された瞬間でした。 [105:0.30s]
想像してみてください。 [106:0.30s]
当時の修道士たちにとって、本は命よりも大切なものでした。 [107:0.30s]
一文字一文字、手書きで書き写し、何代にもわたって受け継いできた知恵の結晶です。 [108:0.30s]
それを今日から読むな、燃やせと言われたのです。 [109:0.30s]
エジプトのパコモス修道院の修道士たちは、苦渋の決断を迫られました。 [110:0.30s]
司教の命令に従って、愛する本を火に投げ込むか。 [111:0.30s]
それとも、命がけで命令に背き、本を守るか。 [112:0.30s]
彼らは後者を選びました。 [113:0.30s]
しかし、表立って反抗すれば、処刑されるかもしれません。 [114:0.30s]
そこで彼らは、夜陰に乗じてこっそりと本を持ち出し、頑丈な壺に入れ、蓋をタールで固めて、誰も来ない崖の下に埋めたのです。 [115:0.30s]
今は、この真実を受け入れる時代ではないかもしれない。 [116:0.30s]
でも、いつか必ず、この声が必要とされる時が来るはずだ。 [117:0.30s]
そんな祈りを込めて、彼らは壺を埋め、その場所を誰にも言わずに死んでいったのでしょう。 [118:0.30s]
その時が来るまでに、まさか1600年もかかるとは知らずに。 [119:0.30s]
ナグ・ハマディの壺は、単なる遺跡ではありません。 [120:0.30s]
それは、権力による情報統制に抗った、名もなき人々の抵抗の証なのです。 [121:1.00s]
第4章：もう一つの隠蔽—マグダラのマリアの真実 [122:1.00s]
トマス福音書と共に発見された文書の中に、もう一つ、教会にとって極めて不都合な文書がありました。 [123:0.30s]
マグダラのマリアによる福音書です。 [124:0.30s]
皆さんはマグダラのマリアと聞いて、どんなイメージを持ちますか？ [125:0.30s]
おそらく、悔い改めた娼婦というイメージではないでしょうか。 [126:0.30s]
しかし、この発見された福音書には、全く違う姿が描かれていました。 [127:0.30s]
そこには、イエスが他のどの弟子よりも彼女を愛し、彼女にだけ特別な教えを授けていたことが記されています。 [128:0.30s]
ペテロなどの男性の弟子たちが、なぜ主は、私たちよりも彼女を愛されるのか、と嫉妬する場面さえあります。 [129:0.30s]
もしこれが事実なら、どうなるでしょうか？ [130:0.30s]
教会のリーダーは男性でなければならないという、2000年続く教会のルールが崩壊します。 [131:0.30s]
イエスの後継者は、ペテロではなく、実はマリアだったかもしれないのです。 [132:0.30s]
教会は、この事実を隠すために、彼女を娼婦という汚名で塗り固めました。 [133:0.30s]
彼女の指導者としての地位を奪い、ただの罪深い女として歴史に記録したのです。 [134:0.30s]
これもまた、組織の権威を守るための情報操作でした。 [135:0.30s]
トマス福音書が個人の自立を説いて教会のビジネスを脅かしたように、マリアの福音書は女性の地位を説いて教会の家父長制を脅かしました。 [136:0.30s]
だから、両方とも消されたのです。 [137:0.30s]
これは偶然ではありません。 [138:0.30s]
自分たちの権力を守るために、不都合な声を徹底的に排除した結果なのです。 [139:1.00s]
第5章：空白の18年—イエスはどこにいたのか？ [140:1.00s]
ここで、もう一つの大きな謎について触れておきましょう。 [141:0.30s]
皆さんは、イエスの人生に空白の期間があることをご存知でしょうか？ [142:0.30s]
新約聖書には、イエスの誕生から12歳までの記録はあります。 [143:0.30s]
そして、30歳で洗礼を受け、宣教を始める記録もあります。 [144:0.30s]
しかし、その間の12歳から30歳までの18年間、イエスがどこで何をしていたのかについては、聖書には一行も書かれていないのです。 [145:0.30s]
18年間です。 [146:0.30s]
人生で最も多感で、人格が形成される重要な時期が、完全にカットされているのです。 [147:0.30s]
なぜでしょうか？ [148:0.30s]
単に記録がなかったからでしょうか？ [149:0.30s]
それとも、記録に残せないような場所にいたからでしょうか？ [150:0.30s]
トマス福音書の内容を詳しく分析すると、ある興味深い可能性が浮かび上がってきます。 [151:0.30s]
それは、イエスの教えが、仏教やヒンドゥー教といった東洋思想と驚くほど似ているという点です。 [152:0.30s]
神は内側にいるという教えは、仏教の仏性という考え方とそっくりです。 [153:0.30s]
すべての生き物の中に仏がいるという思想です。 [154:0.30s]
また、物質的な欲望を捨てることの重要性や、二元論を超える思想も、東洋哲学の影響を強く感じさせます。 [155:0.30s]
もし、イエスがこの空白の18年間に、シルクロードを通ってインドやチベットを旅し、そこで東洋の叡智を学んでいたとしたら？ [156:0.30s]
そして、帰国後にその教えを広めようとしたとしたら？ [157:0.30s]
しかし、当時のユダヤ教社会や、後のキリスト教会にとって、それは受け入れがたい事実だったでしょう。 [158:0.30s]
神の子が、異教徒から学んでいたなんて、あってはならないことです。 [159:0.30s]
だから、彼らはその18年間を歴史から削除したのかもしれません。 [160:0.30s]
トマス福音書が異端とされた本当の理由は、それがキリスト教的ではないからではなく、むしろあまりにも普遍的すぎる、東洋的すぎるからだったのかもしれません。 [161:0.30s]
教会は、イエスをキリスト教だけの神として独占したかった。 [162:0.30s]
しかし、トマスが描くイエスは、宗教の枠を超えた人類の教師だったのです。 [163:1.00s]
第6章：現代の焚書—情報は今もコントロールされている [164:1.00s]
さて、これは1600年前の昔話でしょうか？ [165:0.30s]
昔の人は野蛮だったんだな。 [166:0.30s]
今は言論の自由があるから大丈夫だ。 [167:0.30s]
本当にそう言い切れるでしょうか。 [168:0.30s]
形こそ変わりましたが、同じことは今も起きています。 [169:0.30s]
現代の正典とは何でしょうか？ [170:0.30s]
それは、テレビや新聞が報じる公式発表であり、教科書に書かれている定説です。 [171:0.30s]
現代の異端とは何でしょうか？ [172:0.30s]
それは、SNSでデマとレッテルを貼られ、削除される投稿であり、アルゴリズムによって検索結果の圏外に追いやられる情報です。 [173:0.30s]
もちろん、ネット上には本当に悪質な嘘もたくさんあります。 [174:0.30s]
しかし、その中には、かつてのトマス福音書のように、権力者にとって都合が悪いだけの真実が混ざってはいないでしょうか？ [175:0.30s]
例えば、ある病気の治療法について。 [176:0.30s]
ある歴史的な事件の真相について。 [177:0.30s]
あるいは、エネルギー利権について。 [178:0.30s]
もし、巨大な利益を生み出しているシステムを根底から覆すような発見があったとしたら、それは正しい情報としてニュースで流れるでしょうか？ [179:0.30s]
それとも、科学的根拠がない、陰謀論だとして、社会的に抹殺されるでしょうか？ [180:0.30s]
構造は1600年前と全く同じです。 [181:0.30s]
ピラミッドの頂点にいる一部の人たちが、何が正しくて、何が間違っているかを決める権利を独占している。 [182:0.30s]
そして、その決定に従わない情報は、有害なものとして削除される。 [183:0.30s]
私たちは、スマホという魔法の鏡を通して世界を見ています。 [184:0.30s]
でも、その鏡に映っているのは、誰かが見せてもいいと判断した景色だけかもしれません。 [185:0.30s]
ナグ・ハマディの壺が教えてくれるのは、本当に大切な真実は、公式の記録の中にはない。 [186:0.30s]
隠された場所、消された場所にあるかもしれないという教訓です。 [187:1.00s]
第7章：トマスが語る真の自由 [188:1.00s]
では、隠されていたトマス福音書には、具体的にどんな救いが書かれていたのでしょうか？ [189:0.30s]
それは、誰かにすがって助けてもらうことではありません。 [190:0.30s]
自分で気づくことです。 [191:0.30s]
第70の言葉で、イエスはこう言っています。 [192:0.30s]
もしあなたが、あなたの内にあるものを生み出すなら、あなたが持っているそのものが、あなたを救うだろう。 [193:0.30s]
もしあなたが、あなたの内にあるものを持っていなければ、あなたが持っていないそのものが、あなたを殺すだろう。 [194:0.30s]
少し難しい言い回しですが、意味は強烈です。 [195:0.30s]
あなたの中には、素晴らしい力が眠っている。 [196:0.30s]
それを外に出して生きれば、あなたは救われる。 [197:0.30s]
でも、その力を無視して、ないものとして生きれば、あなたは死んだも同然だという意味です。 [198:0.30s]
教会は言いました。 [199:0.30s]
あなたは無力だ。 [200:0.30s]
だから私たちが守ってあげる、と。 [201:0.30s]
トマスは言います。 [202:0.30s]
あなたは力を持っている。 [203:0.30s]
だから自分で立ち上がれ、と。 [204:0.30s]
これは、依存からの脱却です。 [205:0.30s]
親への依存、会社への依存、国への依存、そして宗教への依存。 [206:0.30s]
誰かが何とかしてくれるという甘えを捨てて、自分の足で立ち、自分の目で見て、自分の頭で考える。 [207:0.30s]
それこそが、イエスが本当に伝えたかった神の国への入り口だというのです。 [208:0.30s]
このメッセージは、現代を生きる私たちにこそ、強く響くのではないでしょうか？ [209:0.30s]
私たちは今、かつてないほど多くの情報に囲まれながら、かつてないほど正解を求めて迷っています。 [210:0.30s]
どのインフルエンサーが正しいの？ [211:0.30s]
どのニュースを信じればいいの？ [212:0.30s]
常に外側に答えを求めて、右往左往しています。 [213:0.30s]
そんな私たちに、1600年前のイエスは語りかけます。 [214:0.30s]
外を探すな。 [215:0.30s]
答えはスマホの中にはない。 [216:0.30s]
あなたの内側にある。 [217:1.00s]
第8章：二元論を超える知恵 [218:1.00s]
トマス福音書には、もう一つ重要な教えがあります。 [219:0.30s]
それは、善と悪、光と闇、神と悪魔といった二元論を超えるという思想です。 [220:0.30s]
第22の言葉で、イエスはこう言っています。 [221:0.30s]
二つのものを一つにし、内なるものを外なるもののようにし、外なるものを内なるもののようにし、上のものを下のもののようにし、男性と女性を一つにする時、神の国に入るであろう。 [222:0.30s]
これは、すべての対立を統合せよという教えです。 [223:0.30s]
私たちは、常に物事を分けて考えます。 [224:0.30s]
これは善、あれは悪。 [225:0.30s]
これは正しい、あれは間違っている。 [226:0.30s]
味方か敵か。 [227:0.30s]
しかし、イエスは言います。 [228:0.30s]
その分離こそが、苦しみの根源だ、と。 [229:0.30s]
現代社会を見てください。 [230:0.30s]
私たちは、かつてないほど分断されています。 [231:0.30s]
右と左、保守とリベラル、ワクチン賛成派と反対派、環境派と経済派。 [232:0.30s]
SNSでは、毎日のように誰かが攻撃され、炎上しています。 [233:0.30s]
なぜこんなに対立するのでしょうか。 [234:0.30s]
それは、私たちが絶対的な正義があると信じているからです。 [235:0.30s]
自分が100パーセント正しく、相手が100パーセント間違っていると思い込んでいるからです。 [236:0.30s]
トマス福音書は、その傲慢さを砕きます。 [237:0.30s]
善と悪は、表裏一体だ。 [238:0.30s]
どちらも必要で、どちらもあなたの中にある。 [239:0.30s]
それを認め、統合した時、初めて本当の平和が訪れる。 [240:0.30s]
これは、東洋思想の陰陽論そのものです。 [241:0.30s]
光があれば影がある。 [242:0.30s]
昼があれば夜がある。 [243:0.30s]
男がいれば女がいる。 [244:0.30s]
どちらかを排除することはできない。 [245:0.30s]
むしろ、両方を受け入れることで、全体が成り立つ。 [246:0.30s]
イエスがもし本当にこの教えを広めていたとしたら、どうなっていたでしょうか。 [247:0.30s]
キリスト教は、絶対神を信じる宗教ではなく、全体性を目指す哲学になっていたかもしれません。 [248:0.30s]
異教徒を悪魔と呼んで戦争を起こすのではなく、異なる価値観を尊重し、統合する文化が生まれていたかもしれません。 [249:0.30s]
しかし、教会はこの教えを選びませんでした。 [250:0.30s]
なぜなら、敵がいなければ、信者を団結させることができないからです。 [251:0.30s]
悪魔という共通の敵を作ることで、人々を教会のもとに集めることができたのです。 [252:0.30s]
トマス福音書が隠された理由の一つは、ここにもあります。 [253:0.30s]
それは、対立ではなく調和を説いていた。 [254:0.30s]
敵を作るのではなく、すべてを包み込むことを目指していた。 [255:0.30s]
しかし、それでは組織は維持できなかったのです。 [256:1.00s]
第9章：なぜ今　この福音書が必要なのか [257:1.00s]
1945年に偶然発見されたこの福音書が、なぜ今の時代に必要なのでしょうか。 [258:0.30s]
それは、私たちが今、歴史の転換点にいるからです。 [259:0.30s]
20世紀は、組織の時代でした。 [260:0.30s]
大きな会社、大きな政府、大きな宗教団体が、人々を管理し、導いていました。 [261:0.30s]
上から指示が降りてきて、私たちはそれに従っていれば良かった。 [262:0.30s]
しかし、21世紀は、個人の時代です。 [263:0.30s]
インターネットによって、情報の独占は崩れました。 [264:0.30s]
AI によって、多くの仕事が自動化され、会社に依存する必要がなくなりつつあります。 [265:0.30s]
YouTubeやSNSによって、誰もが発信者になれる時代になりました。 [266:0.30s]
この変化は、まさにトマス福音書が予言していた世界ではないでしょうか。 [267:0.30s]
仲介者はいらない。 [268:0.30s]
あなた自身が神と繋がっている。 [269:0.30s]
組織に頼らず、自分の内なる声に従って生きなさい。 [270:0.30s]
1600年前、この教えは早すぎました。 [271:0.30s]
当時の社会は、強力な権威がなければ成り立ちませんでした。 [272:0.30s]
だから、この福音書は隠されるしかなかった。 [273:0.30s]
しかし今、時代が変わりました。 [274:0.30s]
私たちは、もう組織に依存しなくても生きていける技術を手に入れました。 [275:0.30s]
むしろ、古い組織にしがみつくことが、私たちの可能性を奪っているのかもしれません。 [276:0.30s]
トマス福音書の再発見は、単なる考古学的な偶然ではないのかもしれません。 [277:0.30s]
それは、人類が次のステージに進む準備ができた時に、必然的に現れるべくして現れたメッセージなのかもしれません。 [278:1.00s]
第10章：あなたの中の福音 [279:1.00s]
最後に、一番重要な問いかけをしましょう。 [280:0.30s]
この動画を見ているあなた自身について、です。 [281:0.30s]
あなたは今、満足していますか？ [282:0.30s]
毎日が充実して、生きている実感がありますか？ [283:0.30s]
それとも、何かが足りない、何かが違うと感じながら、とりあえず生きていますか？ [284:0.30s]
もし後者なら、その違和感の正体は何でしょうか。 [285:0.30s]
お金が足りないから？ [286:0.30s]
時間が足りないから？ [287:0.30s]
良い人間関係がないから？ [288:0.30s]
確かにそれらも重要です。 [289:0.30s]
しかし、トマス福音書は言います。 [290:0.30s]
本当の問題は、あなたが内側の宝に気づいていないことだ、と。 [291:0.30s]
あなたには、まだ発揮していない才能があります。 [292:0.30s]
あなたには、まだ言葉にしていない思いがあります。 [293:0.30s]
あなたには、まだ実現していない可能性があります。 [294:0.30s]
それを押し殺して、社会の期待に応え、親の希望を叶え、会社のために尽くしているうちに、人生が終わってしまう。 [295:0.30s]
これほど悲しいことはありません。 [296:0.30s]
トマス福音書の第70の言葉を、もう一度思い出してください。 [297:0.30s]
もしあなたが、あなたの内にあるものを生み出すなら、それがあなたを救う。 [298:0.30s]
もし生み出さなければ、それがあなたを殺す。 [299:0.30s]
あなたの中にあるもの、それは一体何でしょうか？ [300:0.30s]
それを考える時間を、今日、少しだけ取ってみてください。 [301:0.30s]
15分でいいです。 [302:0.30s]
スマホを置いて、静かな場所で目を閉じて、自分に問いかけてください。 [303:0.30s]
本当は、私は何をしたいのだろう？ [304:0.30s]
本当は、私は何を言いたいのだろう？ [305:0.30s]
本当は、私はどう生きていきたいのだろう？ [306:0.30s]
その答えが、あなたの内なる神です。 [307:0.30s]
その声に従うことが、神の国に入ることです。 [308:0.30s]
教会は必要ありません。 [309:0.30s]
司祭の許可も必要ありません。 [310:0.30s]
あなたが決めればいい。 [311:0.30s]
今この瞬間から、自分の人生を生き始めると。 [312:1.00s]
結び：壺の封印を解くのはあなた [313:1.00s]
1945年に発見されたナグ・ハマディ文書は、私たちに突きつけられた挑戦状です。 [314:0.30s]
権力者が隠そうとした不都合な真実。 [315:0.30s]
それを知った上で、あなたはどう生きますか？ [316:0.30s]
今まで通り、与えられた情報を鵜呑みにして、システムの歯車として生きますか？ [317:0.30s]
それとも、自分の内なる声に耳を傾け、本当の自由を探し始めますか？ [318:0.30s]
トマス福音書の冒頭には、こう書かれています。 [319:0.30s]
これらの言葉の解釈を見出す者は、死を味わうことがないであろう。 [320:0.30s]
これは、意味を理解したら不死身になれるというオカルト的な意味ではありません。 [321:0.30s]
自分の頭で考え、真理に気づいた人は、もはや恐怖や常識に縛られることはない。 [322:0.30s]
本当の意味で生きることができるという意味でしょう。 [323:0.30s]
壺の蓋は開かれました。 [324:0.30s]
しかし、その中身をどう使うかは、あなた次第です。 [325:0.30s]
この動画を見終わった後、鏡を見てみてください。 [326:0.30s]
そこに映っているのは、無力な迷える子羊ですか？ [327:0.30s]
それとも、内側に無限の光を秘めた、一人の自立した人間ですか？ [328:0.30s]
歴史の闇から蘇ったこの禁書は、今も静かに、あなたに問いかけています。 [329:0.30s]
最後までご覧いただき、ありがとうございました。 [330:0.30s]
もし、この動画で何かの封印が解けたと感じたら、ぜひ高評価とチャンネル登録をお願いします。 [331:0.30s]
そして、コメント欄で教えてください。 [332:0.30s]
あなたが自分の内側にあると感じる可能性は何ですか？ [333:0.30s]
それでは、また次の動画でお会いしましょう。 [334:0.30s]
真実は、常にあなたの内側にあります。 [335:0.30s]
