世界を裏で操る秘密結社、フリーメイソン。 [1:0.30s]
彼らもまた、熱心なメイソンでした。 [55:0.30s]
彼らは国境を越えて連携し、世界中で革命の火を広げていったのです。 [56:0.30s]
彼らは単なる傍観者ではありません。 [57:0.30s]
歴史を動かす仕掛け人だったのです。 [58:1.00s]
第3章：1ドル紙幣の暗号 [59:1.00s]
フリーメイソンの陰謀論で最も有名な証拠とされるのが、アメリカの1ドル紙幣です。 [60:0.30s]
裏面の左側に描かれたピラミッド。 [61:0.30s]
その頂点には、光り輝く「万物を見通す目（プロビデンスの目）」があります。 [62:0.30s]
これはフリーメイソンのシンボルとして知られています。 [63:0.30s]
ピラミッドの下には、ラテン語で「NOVUS ORDO SECLORUM」と書かれています。 [64:0.30s]
これは新時代の秩序、つまり「新世界秩序（New World Order）」を意味すると言われています。 [65:0.30s]
そしてピラミッドの上には、「ANNUIT COEPTIS」という文字があります。 [66:0.30s]
これは「神は我々の企てを支持する」という意味です。 [67:0.30s]
彼らの企てとは何でしょうか。 [68:0.30s]
それは、アメリカという新しい国を作ることだけだったのでしょうか。 [69:0.30s]
それとも、もっと壮大な計画、つまり世界統一政府の樹立だったのでしょうか。 [70:0.30s]
陰謀論者たちは、これを「フリーメイソンによる世界統一政府の宣言」だと解釈します。 [71:0.30s]
さらに、ピラミッドの段数は13段。 [72:0.30s]
鷲が掴んでいるオリーブの葉も13枚、矢も13本。 [73:0.30s]
上の星も13個。 [74:0.30s]
13という数字は、アメリカ独立時の州の数ですが、同時にフリーメイソンにとっても重要な数字です。 [75:0.30s]
テンプル騎士団が弾圧された「13日の金曜日」を忘れないための数字だとも言われています。 [76:0.30s]
なぜ、国の通貨にこれほど多くの「秘密のシンボル」を隠したのでしょうか。 [77:0.30s]
公式には、これらは神の加護や建国の精神を表すと説明されています。 [78:0.30s]
しかし、デザインを決定した委員会のメンバーにフリーメイソンがいたことは事実です。 [79:0.30s]
彼らは、自分たちの勝利を密かに祝うために、紙幣に刻印を残したのでしょうか。 [80:1.00s]
第4章：ワシントンD. [81:1.00s]
C. [82:0.25s]
の魔方陣 [83:0.25s]
アメリカの首都ワシントンD. [84:0.25s]
C. [85:0.25s]
の都市計画にも、フリーメイソンの痕跡があると言われています。 [86:0.30s]
ホワイトハウス、国会議事堂、記念塔などの主要な建物を地図上で結ぶと、ある図形が浮かび上がります。 [87:0.30s]
それは「コンパスと定規」。 [88:0.30s]
フリーメイソンのシンボルマークです。 [89:0.30s]
さらに、別の線を結ぶと、逆五芒星（デビルスター）が現れるという説もあります。 [90:0.30s]
その頂点はホワイトハウスを指しています。 [91:0.30s]
都市全体が、巨大な魔術的な図形として設計されているというのです。 [92:0.30s]
さらに興味深いのは、国会議事堂の周辺の地図です。 [93:0.30s]
ある角度から見ると、フクロウの形が浮かび上がると言われています。 [94:0.30s]
フクロウは、ローマ神話の知恵の女神ミネルヴァ（ギリシャ神話のアテナ）の象徴です。 [95:0.30s]
そして同時に、イルミナティのシンボルでもあります。 [96:0.30s]
なぜ、アメリカの政治の中心に、異教の神のシンボルが隠されているのでしょうか。 [97:0.30s]
陰謀論者たちは、これを「知恵による支配」の象徴だと考えます。 [98:0.30s]
一般大衆には見えない高い場所から、すべてを見通し、コントロールする。 [99:0.30s]
まさに「万物を見通す目」と同じ思想です。 [100:0.30s]
設計者のピエール・シャルル・ランファンは、フリーメイソンのメンバーでした。 [101:0.30s]
彼は、古代エジプトやギリシャの神秘思想を取り入れ、この都市を設計したと言われています。 [102:0.30s]
都市の区画、道路の角度、建物の配置。 [103:0.30s]
すべてが計算され尽くしています。 [104:0.30s]
これは単なる都市計画ではありません。 [105:0.30s]
巨大な儀式場なのです。 [106:0.30s]
ここで政治を行うことで、世界をコントロールする魔術的な力を得ようとしているのでしょうか。 [107:1.00s]
第5章：アルバート・パイクの予言 [108:1.00s]
フリーメイソンの中には、恐るべき予言を残した人物がいます。 [109:0.30s]
19世紀のアメリカのメイソン、アルバート・パイクです。 [110:0.30s]
彼は黒い教皇とも呼ばれ、KKK（クー・クラックス・クラン）の創設にも関わったとされる人物です。 [111:0.30s]
彼が1871年にイタリアの革命家マッツィーニに送った手紙には、3つの世界大戦の計画が書かれていたと言われています。 [112:0.30s]
第一次世界大戦は、ロシアのツァーリ制を倒し、共産主義の要塞を作るために起こされる。 [113:0.30s]
第二次世界大戦は、ファシズムとシオニズムの対立を利用し、イスラエル建国のために起こされる。 [114:0.30s]
ここまでは、歴史の通りです。 [115:0.30s]
そして第三次世界大戦。 [116:0.30s]
それは、シオニズム（イスラエル）とイスラム世界の対立によって引き起こされる。 [117:0.30s]
この戦争は、世界中を巻き込み、完全な社会的・経済的疲弊をもたらす。 [118:0.30s]
そして最終的に、キリスト教と無神論の両方が破壊され、ルシファー（悪魔）の純粋な教義が世界に示される。 [119:0.30s]
この手紙の存在自体は議論の余地がありますが、現在の世界情勢を見ると、不気味なほど予言通りに進んでいるように見えます。 [120:0.30s]
中東での対立、宗教間の憎悪、世界的な混乱。 [121:0.30s]
これらはすべて、計画されたシナリオなのでしょうか。 [122:1.00s]
第6章：イルミナティとの関係 [123:1.00s]
フリーメイソンを語る上で欠かせないのが、イルミナティの存在です。 [124:0.30s]
イルミナティは、1776年にドイツでアダム・ヴァイスハウプトによって設立された秘密結社です。 [125:0.30s]
彼らの目的は、すべての政府と宗教を廃止し、理性に導かれた世界統一政府を作ることでした。 [126:0.30s]
イルミナティは、フリーメイソンのロッジに浸透し、内部から乗っ取ろうとしました。 [127:0.30s]
そして、上位の階級に入り込み、組織を操るようになったと言われています。 [128:0.30s]
現在のフリーメイソンは、表向きは慈善団体ですが、その奥の院にはイルミナティが潜んでいるという説です。 [129:0.30s]
彼らは「影の政府（ディープステート）」として、世界を裏で操っています。 [130:0.30s]
金融、メディア、政治、教育。 [131:0.30s]
あらゆる分野に彼らのエージェントがいます。 [132:0.30s]
彼らの最終目標は「新世界秩序（New World Order）」。 [133:0.30s]
少数のエリートが全人類を管理・支配する完全な独裁国家です。 [134:0.30s]
そのために、戦争を起こし、経済危機を作り出し、パンデミックを拡散させる。 [135:0.30s]
「秩序は混沌から生まれる（Ordo Ab Chao）」というのが、彼らのモットーです。 [136:0.30s]
混沌を作り出し、人々が恐怖に陥ったところで、解決策として管理社会を提示する。 [137:0.30s]
これが彼らの常套手段です（マッチポンプ）。 [138:0.30s]
イルミナティの創設者アダム・ヴァイスハウプトは、かつてイエズス会の大学教授でした。 [139:0.30s]
彼はイエズス会の厳格な組織運営を学び、それを自分の秘密結社に応用しました。 [140:0.30s]
徹底的な階級制度、絶対的な服従、そして目的のためなら手段を選ばない冷徹さ。 [141:0.30s]
これらはすべて、イエズス会から受け継いだものです。 [142:0.30s]
彼らは、フリーメイソンという巨大な隠れ蓑を使って、世界中にその触手を伸ばしていったのです。 [143:1.00s]
第7章：33階級の秘密 [144:1.00s]
フリーメイソンには階級があります。 [145:0.30s]
一般的に知られているのは、徒弟、職人、親方の3つの階級です。 [146:0.30s]
しかし、スコティッシュ・ライトという儀礼では、さらにその上に33の階級が存在します。 [147:0.30s]
最高位の33階級は最高大総監と呼ばれ、選ばれたごく一部の人間しかなれません。 [148:0.30s]
下位のメンバーは、組織の真の目的を知らされていません。 [149:0.30s]
彼らは、自分たちが社会奉仕活動をしている善良な団体の一員だと信じています。 [150:0.30s]
しかし、階級が上がるにつれて、徐々に真実が明かされていきます。 [151:0.30s]
上位のメンバーは、ルシファーを崇拝しているという説があります。 [152:0.30s]
彼らにとって、ルシファーは悪魔ではなく、「光をもたらす者（ライト・ブリンガー）」、つまり人間に知恵を与えた神なのです。 [153:0.30s]
逆に、キリスト教の神こそが、人間を無知なまま閉じ込めようとした悪神だと考えます。 [154:0.30s]
これはグノーシス主義の反転した価値観です。 [155:0.30s]
彼らは、ルシファーの光によって人類を進化させ、神になろうとしているのでしょうか。 [156:0.30s]
フリーメイソンの儀式には、ソロモン神殿の建設者ヒラム・アビフの伝説が深く関わっています。 [157:0.30s]
ヒラムは、神殿の秘密を守るために殺された石工の棟梁です。 [158:0.30s]
メイソンの儀式では、このヒラムの死と復活を演じます。 [159:0.30s]
これは死と再生の象徴であり、古代のエジプト神話（オシリスの復活）とも共通しています。 [160:0.30s]
彼らは、古代の秘儀を受け継ぎ、それを現代に蘇らせようとしているのです。 [161:0.30s]
しかし、その秘儀の中身は、一般人には決して明かされません。 [162:0.30s]
知る者と知らざる者。 [163:0.30s]
その断絶こそが、フリーメイソンの力の源泉なのです。 [164:1.00s]
第8章：日本とフリーメイソン [165:1.00s]
日本にもフリーメイソンのロッジがあります。 [166:0.30s]
東京タワーの近くにある「日本グランド・ロッジ」です。 [167:0.30s]
幕末から明治維新にかけて、多くのフリーメイソンが日本に来ていました。 [168:0.30s]
ペリー提督、マッカーサー元帥、グラバーなど、歴史の教科書に出てくる人物たちです。 [169:0.30s]
坂本龍馬や西郷隆盛も、彼らの支援を受けていたと言われています。 [170:0.30s]
明治維新そのものが、フリーメイソンによって仕組まれた革命だったという説もあります。 [171:0.30s]
特に重要な役割を果たしたのが、ジャーディン・マセソン商会（マセソン商会）です。 [172:0.30s]
彼らは、薩摩藩や長州藩に武器を売り、倒幕運動を支援しました。 [173:0.30s]
この商会の創設者たちもまた、フリーメイソンでした。 [174:0.30s]
彼らの目的は、日本を植民地化することではなく、近代化させて自分たちの市場に組み込むことでした。 [175:0.30s]
そのために、古い幕府体制を壊し、扱いやすい新政府を作らせたのです。 [176:0.30s]
戦後、鳩山一郎元首相など、日本の政財界のトップもメンバーになりました。 [177:0.30s]
鳩山一郎は、フリーメイソンの理念である「友愛（フラタニティ）」を掲げ、民主党（現在の自民党の前身）を結成しました。 [178:0.30s]
現在の日本国憲法の草案にも、メイソンの影響があると言われています。 [179:0.30s]
憲法第9条の平和主義は、彼らの理想とする世界統一政府のための布石だという見方もあります。 [180:0.30s]
軍隊を持たない国は、国際機関（国連など）に依存せざるを得ないからです。 [181:0.30s]
また、日本の紙幣にも秘密が隠されています。 [182:0.30s]
千円札の野口英世の顔を半分に折ると、ユダヤ人の顔に見える。 [183:0.30s]
透かしの部分が目になっている。 [184:0.30s]
これらは単なる都市伝説でしょうか。 [185:0.30s]
それとも、日本もまた、彼らの支配下にあるというサインなのでしょうか。 [186:1.00s]
第9章：人口削減計画 [187:1.00s]
陰謀論の中で最も恐ろしいのが、人口削減計画です。 [188:0.30s]
ジョージア・ガイドストーンという巨大な石碑には、8つの言語で「10のガイドライン」が刻まれていました（2022年に破壊されました）。 [189:0.30s]
その第一条には、こう書かれていました。 [190:0.30s]
「自然との調和を保つため、世界人口を5億人以下に維持する」 [191:0.25s]
この言葉は、非常に具体的で冷酷です。 [192:0.30s]
維持するということは、それ以上増えたら減らすという意味を含んでいるからです。 [193:0.30s]
ガイドストーンには、他にも次のようなガイドラインがありました。 [194:0.30s]
「優生学的に賢明な生殖を導く」 [195:0.25s]
「共通の新しい言語で人類を統合する」 [196:0.25s]
「公正な法律と法廷で、すべての国家を保護する」 [197:0.25s]
「国家間の紛争は、世界法廷で解決する」 [198:0.25s]
これらはすべて、「新世界秩序（New World Order）」の構想そのものです。 [199:0.30s]
世界統一政府を作り、人口を管理し、遺伝子レベルで人間を選別する。 [200:0.30s]
現在の世界人口は80億人を超えています。 [201:0.30s]
5億人にするためには、9割以上の人間を減らさなければなりません。 [202:0.30s]
どうやって？ [203:0.30s]
ワクチンによる不妊化、遺伝子組み換え食品による健康被害、ケムトレイルによる毒素散布。 [204:0.30s]
そして、人工的なウイルスによるパンデミック。 [205:0.30s]
これらはすべて、人口を減らすための手段だと言われています。 [206:0.30s]
環境保護運動（SDGsなど）も、その一環だという説があります。 [207:0.30s]
「地球を守るため」という美しいスローガンの下で、人間の活動を制限し、エネルギーや食料を管理する。 [208:0.30s]
最終的には、人間の数そのものを環境負荷として削減する。 [209:0.30s]
彼らにとって、増えすぎた人類は地球の癌であり、管理不可能な家畜です。 [210:0.30s]
エリートたちが快適に暮らすためには、家畜の数を減らす必要があるのです。 [211:0.30s]
これは狂気の沙汰でしょうか。 [212:0.30s]
それとも、冷徹な理性が導き出した「持続可能な未来」のための解決策なのでしょうか。 [213:1.00s]
第10章：真実はどこにあるのか [214:1.00s]
フリーメイソンに関する情報は、真実と嘘が入り混じっています。 [215:0.30s]
組織自身が、わざと偽情報を流して撹乱している可能性もあります。 [216:0.30s]
彼らは本当に世界を支配しているのでしょうか。 [217:0.30s]
それとも、単なる歴史ある社交クラブに過ぎないのでしょうか。 [218:0.30s]
しかし、火のない所に煙は立ちません。 [219:0.30s]
これだけ多くの状況証拠、歴史的な一致、シンボルの偏在。 [220:0.30s]
すべてを偶然で片付けるには、あまりにも出来すぎています。 [221:0.30s]
私たちが知っている歴史は、表向きのストーリーに過ぎないのかもしれません。 [222:0.30s]
その裏側には、全く別のシナリオが存在し、今も進行しているのかもしれません。 [223:0.30s]
信じるか信じないかは、あなた次第です。 [224:0.30s]
しかし、一つだけ確かなことがあります。 [225:0.30s]
世界は、私たちが見ている通りには動いていないということです。 [226:0.30s]
権力者たちは、決して手の内を明かしません。 [227:0.30s]
彼らは影の中で微笑みながら、次のチェスの一手を打っているのです。 [228:0.30s]
フリーメイソンが崇拝する「宇宙の偉大なる建築家（Great Architect of the Universe）」。 [229:0.30s]
それは特定の宗教の神ではありません。 [230:0.30s]
宇宙の法則そのもの、あるいは理性の光を指すとも言われています。 [231:0.30s]
彼らは、この世界を設計図通りに作り変えようとしているのかもしれません。 [232:0.30s]
その設計図には、私たちの知らない未来が描かれているのでしょう。 [233:0.30s]
それがユートピアなのか、ディストピアなのか。 [234:0.30s]
完成した時、初めて分かるのかもしれません。 [235:0.30s]
私たちは、巨大なチェス盤の上で動かされているポーン（歩兵）に過ぎないのでしょうか。 [236:0.30s]
それとも、自分の意志で動くプレイヤーになれるのでしょうか。 [237:0.30s]
彼らのゲームのルールを知ることは、その第一歩です。 [238:0.30s]
相手の手を知れば、対抗策を考えることができます。 [239:0.30s]
彼らが最も恐れているのは、私たちが目覚めることです。 [240:0.30s]
真実に気づき、彼らのコントロールから抜け出すこと。 [241:0.30s]
それが、私たちに残された唯一の希望なのかもしれません。 [242:0.30s]
信じるか信じないかは、あなた次第です。 [243:0.30s]
しかし、何も考えずに信じることだけは避けてください。 [244:0.30s]
そして、何も考えずに否定することも避けてください。 [245:0.30s]
自分の頭で考え、自分の目で確かめること。 [246:0.30s]
それだけが、真実に近づく唯一の方法です。 [247:0.30s]
真実は、あなたのすぐそばにあるのかもしれません。 [248:0.30s]
最後までご覧いただき、ありがとうございました。 [249:0.30s]
あなたの周りにも、メイソンのシンボルが隠されているかもしれません。 [250:0.30s]
注意深く観察してみてください。 [251:0.30s]
そして、もし何かを見つけたら、決して口外しないでください。 [252:0.30s]
彼らは、どこかであなたを見ているかもしれません。 [253:0.30s]
それでは、また次の動画でお会いしましょう。 [254:0.30s]
